Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA51, ,[' 1'],[' 6609+'],[' 3308'],"[' 1007.364s (Solving', ' 980.57s 1st Model', ' 590.11s Unsat', ' 0.00s)']",[' 1004.094s'], ,[' 393073071'],"[' 7527718  (Analyzed', ' 7287281)']","[' 15388    (Average', ' 473.57 Last', ' 188292)']",[' 6331.5  '],"[' 3308     (Average Length', ' 1585.53 Splits', ' 0)']","[' 7287281  (Deleted', ' 7169774)']","[' 2422     (Ratio', '   0.03%)']","[' 59970    (Ratio', '   0.82%)']","[' 7287281  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7287281  (Average', ' 51.78 Max', ' 6206 Sum', ' 377353609)']","[' 7286857  (Average', ' 51.68 Max', ' 6206 Sum', ' 376603096 Ratio', '  99.80%)']","[' 424      (Average', ' 1770.08 Max', ' 3032 Sum', ' 750513 Ratio', '   0.20%)']", ,[' 94965   '],[' 11636   '],[' 97248   '],[' 62037   '],"[' 186107   (Atom=Atom', ' 51149 Body=Body', ' 30711 Other', ' 104247)']",[' Yes'],"[' 14669    (Eliminated', '    0 Frozen', ' 14669)']","[' 5754     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.05504'],[' 0'], ,[' 392.811'],[' 0'],[' 27.645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7595e+09'],[' 1.58763e+09'],[' 0'],[' 1.42485e+10'],[' 0'],[' 0'],1119,2264,3211,3,0
Solving...,TA52, ,[' 1'],[' 4625+'],[' 2316'],"[' 696.293s (Solving', ' 680.18s 1st Model', ' 349.16s Unsat', ' 0.00s)']",[' 694.469s'], ,[' 274215765'],"[' 7704395  (Analyzed', ' 7583630)']","[' 15290    (Average', ' 495.99 Last', ' 125102)']",[' 5509.8  '],"[' 2315     (Average Length', ' 1133.16 Splits', ' 0)']","[' 7583630  (Deleted', ' 7484091)']","[' 664      (Ratio', '   0.01%)']","[' 44859    (Ratio', '   0.59%)']","[' 7583630  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7583630  (Average', ' 34.75 Max', ' 6185 Sum', ' 263566296)']","[' 7583466  (Average', ' 34.74 Max', ' 5724 Sum', ' 263429543 Ratio', '  99.95%)']","[' 164      (Average', ' 833.86 Max', ' 1711 Sum', ' 136753 Ratio', '   0.05%)']", ,[' 94163   '],[' 11754   '],[' 95634   '],[' 61380   '],"[' 184136   (Atom=Atom', ' 50374 Body=Body', ' 30829 Other', ' 102933)']",[' Yes'],"[' 13975    (Eliminated', '    0 Frozen', ' 13975)']","[' 2039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.1479'],[' 0'], ,[' 280.499'],[' 0'],[' 19.2483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09805e+09'],[' 9.71119e+08'],[' 0'],[' 1.09472e+10'],[' 0'],[' 0'],1211,2286,7186,3,0
Solving...,TA53, ,[' 1'],[' 3865+'],[' 1936'],"[' 683.703s (Solving', ' 671.38s 1st Model', ' 332.91s Unsat', ' 0.00s)']",[' 682.078s'], ,[' 284676714'],"[' 5152215  (Analyzed', ' 5085610)']","[' 10151    (Average', ' 501.00 Last', ' 87041)']",[' 4708.1  '],"[' 1935     (Average Length', ' 950.23 Splits', ' 0)']","[' 5085610  (Deleted', ' 5016374)']","[' 840      (Ratio', '   0.02%)']","[' 42657    (Ratio', '   0.84%)']","[' 5085610  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5085610  (Average', ' 54.54 Max', ' 5483 Sum', ' 277369929)']","[' 5085296  (Average', ' 54.46 Max', ' 5483 Sum', ' 276953843 Ratio', '  99.85%)']","[' 314      (Average', ' 1325.11 Max', ' 1715 Sum', ' 416086 Ratio', '   0.15%)']", ,[' 93811   '],[' 11709   '],[' 94938   '],[' 60942   '],"[' 182822   (Atom=Atom', ' 49981 Body=Body', ' 30784 Other', ' 102057)']",[' Yes'],"[' 13586    (Eliminated', '    0 Frozen', ' 13586)']","[' 4301     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27957'],[' 0'], ,[' 250.755'],[' 0'],[' 19.6239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24025e+09'],[' 1.10179e+09'],[' 0'],[' 8.63361e+09'],[' 0'],[' 0'],1054,2099,10214,3,0
Solving...,TA54, ,[' 1'],[' 6555+'],[' 3281'],"[' 1006.565s (Solving', ' 981.58s 1st Model', ' 673.29s Unsat', ' 0.00s)']",[' 1002.125s'], ,[' 384767844'],"[' 7065286  (Analyzed', ' 6879132)']","[' 14805    (Average', ' 464.65 Last', ' 474008)']",[' 6269.0  '],"[' 3281     (Average Length', ' 1573.53 Splits', ' 0)']","[' 6879132  (Deleted', ' 6768233)']","[' 2147     (Ratio', '   0.03%)']","[' 62188    (Ratio', '   0.90%)']","[' 6879132  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6879132  (Average', ' 53.71 Max', ' 6208 Sum', ' 369461002)']","[' 6878687  (Average', ' 53.58 Max', ' 6208 Sum', ' 368615792 Ratio', '  99.77%)']","[' 445      (Average', ' 1899.35 Max', ' 3002 Sum', ' 845210 Ratio', '   0.23%)']", ,[' 95210   '],[' 11746   '],[' 97461   '],[' 62387   '],"[' 187157   (Atom=Atom', ' 51389 Body=Body', ' 30821 Other', ' 104947)']",[' Yes'],"[' 14747    (Eliminated', '    0 Frozen', ' 14747)']","[' 6497     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.05518'],[' 0'], ,[' 401.081'],[' 0'],[' 27.548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73448e+09'],[' 1.56707e+09'],[' 0'],[' 1.52145e+10'],[' 0'],[' 0'],1162,2162,3079,3,0
Solving...,TA55, ,[' 1'],[' 4453+'],[' 2230'],"[' 1004.091s (Solving', ' 989.29s 1st Model', ' 347.99s Unsat', ' 0.00s)']",[' 1002.531s'], ,[' 297468012'],"[' 7712867  (Analyzed', ' 7622240)']","[' 15627    (Average', ' 487.76 Last', ' 90708)']",[' 5037.6  '],"[' 2230     (Average Length', ' 1083.00 Splits', ' 0)']","[' 7622240  (Deleted', ' 7526175)']","[' 843      (Ratio', '   0.01%)']","[' 44760    (Ratio', '   0.59%)']","[' 7622240  (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7622240  (Average', ' 37.80 Max', ' 6350 Sum', ' 288139957)']","[' 7621978  (Average', ' 37.76 Max', ' 6350 Sum', ' 287802879 Ratio', '  99.88%)']","[' 262      (Average', ' 1286.56 Max', ' 1757 Sum', ' 337078 Ratio', '   0.12%)']", ,[' 93972   '],[' 11676   '],[' 95337   '],[' 61138   '],"[' 183410   (Atom=Atom', ' 50210 Body=Body', ' 30751 Other', ' 102449)']",[' Yes'],"[' 13791    (Eliminated', '    0 Frozen', ' 13791)']","[' 3846     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.74323'],[' 0'], ,[' 544.294'],[' 0'],[' 22.8175'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29482e+09'],[' 1.1464e+09'],[' 0'],[' 3.19106e+10'],[' 0'],[' 0'],1135,2160,7431,3,0
Solving...,TA56, ,[' 1'],[' 5833+'],[' 2920'],"[' 1005.431s (Solving', ' 983.37s 1st Model', ' 595.94s Unsat', ' 0.00s)']",[' 1002.375s'], ,[' 374957314'],"[' 10208803 (Analyzed', ' 10006702)']","[' 20588    (Average', ' 486.05 Last', ' 153424)']",[' 6083.8  '],"[' 2920     (Average Length', ' 1403.61 Splits', ' 0)']","[' 10006702 (Deleted', ' 9866486)']","[' 2463     (Ratio', '   0.02%)']","[' 60426    (Ratio', '   0.60%)']","[' 10006702 (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10006702 (Average', ' 36.10 Max', ' 6511 Sum', ' 361231951)']","[' 10006252 (Average', ' 36.02 Max', ' 6511 Sum', ' 360426408 Ratio', '  99.78%)']","[' 450      (Average', ' 1790.10 Max', ' 2686 Sum', ' 805543 Ratio', '   0.22%)']", ,[' 94627   '],[' 11674   '],[' 96562   '],[' 61779   '],"[' 185333   (Atom=Atom', ' 50853 Body=Body', ' 30749 Other', ' 103731)']",[' Yes'],"[' 14359    (Eliminated', '    0 Frozen', ' 14359)']","[' 6319     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.24676'],[' 0'], ,[' 433.291'],[' 0'],[' 27.2277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66087e+09'],[' 1.50226e+09'],[' 0'],[' 1.77317e+10'],[' 0'],[' 0'],1294,2177,3230,3,0
Solving...,TA57, ,[' 1'],[' 6011+'],[' 3009'],"[' 1006.007s (Solving', ' 982.30s 1st Model', ' 622.05s Unsat', ' 0.00s)']",[' 1004.063s'], ,[' 391365944'],"[' 9456249  (Analyzed', ' 9256539)']","[' 19054    (Average', ' 485.81 Last', ' 86488)']",[' 6215.9  '],"[' 3009     (Average Length', ' 1455.97 Splits', ' 0)']","[' 9256539  (Deleted', ' 9123665)']","[' 2490     (Ratio', '   0.03%)']","[' 63405    (Ratio', '   0.68%)']","[' 9256539  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9256539  (Average', ' 40.72 Max', ' 6996 Sum', ' 376886139)']","[' 9256151  (Average', ' 40.64 Max', ' 6996 Sum', ' 376219225 Ratio', '  99.82%)']","[' 388      (Average', ' 1718.85 Max', ' 2808 Sum', ' 666914 Ratio', '   0.18%)']", ,[' 94842   '],[' 11674   '],[' 96900   '],[' 61868   '],"[' 185600   (Atom=Atom', ' 50942 Body=Body', ' 30749 Other', ' 103909)']",[' Yes'],"[' 14482    (Eliminated', '    0 Frozen', ' 14482)']","[' 5739     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.64709'],[' 0'], ,[' 417.566'],[' 0'],[' 27.5719'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74139e+09'],[' 1.573e+09'],[' 0'],[' 1.67962e+10'],[' 0'],[' 0'],1241,2467,3377,3,0
Solving...,TA58, ,[' 1'],[' 6403+'],[' 3205'],"[' 1006.510s (Solving', ' 982.37s 1st Model', ' 577.41s Unsat', ' 0.00s)']",[' 1004.375s'], ,[' 398832763'],"[' 10224800 (Analyzed', ' 10004437)']","[' 19357    (Average', ' 516.84 Last', ' 95231)']",[' 6063.6  '],"[' 3205     (Average Length', ' 1537.00 Splits', ' 0)']","[' 10004437 (Deleted', ' 9866757)']","[' 2475     (Ratio', '   0.02%)']","[' 63181    (Ratio', '   0.63%)']","[' 10004437 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10004437 (Average', ' 38.41 Max', ' 6344 Sum', ' 384292406)']","[' 10003988 (Average', ' 38.33 Max', ' 6344 Sum', ' 383450907 Ratio', '  99.78%)']","[' 449      (Average', ' 1874.16 Max', ' 2932 Sum', ' 841499 Ratio', '   0.22%)']", ,[' 95095   '],[' 11730   '],[' 97284   '],[' 62272   '],"[' 186812   (Atom=Atom', ' 51290 Body=Body', ' 30805 Other', ' 104717)']",[' Yes'],"[' 14669    (Eliminated', '    0 Frozen', ' 14669)']","[' 6736     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.81213'],[' 0'], ,[' 420.082'],[' 0'],[' 27.4415'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81922e+09'],[' 1.64719e+09'],[' 0'],[' 1.7631e+10'],[' 0'],[' 0'],1141,2274,3310,3,0
Solving...,TA59, ,[' 1'],[' 5771+'],[' 2889'],"[' 1005.529s (Solving', ' 983.76s 1st Model', ' 697.35s Unsat', ' 0.00s)']",[' 1002.938s'], ,[' 416857844'],"[' 6174243  (Analyzed', ' 5993894)']","[' 14278    (Average', ' 419.80 Last', ' 569301)']",[' 5817.1  '],"[' 2889     (Average Length', ' 1381.73 Splits', ' 0)']","[' 5993894  (Deleted', ' 5892187)']","[' 2694     (Ratio', '   0.04%)']","[' 64026    (Ratio', '   1.07%)']","[' 5993894  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5993894  (Average', ' 67.39 Max', ' 6951 Sum', ' 403958214)']","[' 5993508  (Average', ' 67.29 Max', ' 6951 Sum', ' 403318807 Ratio', '  99.84%)']","[' 386      (Average', ' 1656.49 Max', ' 2659 Sum', ' 639407 Ratio', '   0.16%)']", ,[' 94573   '],[' 11645   '],[' 96481   '],[' 61704   '],"[' 185108   (Atom=Atom', ' 50807 Body=Body', ' 30720 Other', ' 103581)']",[' Yes'],"[' 14303    (Eliminated', '    0 Frozen', ' 14303)']","[' 6204     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.24817'],[' 0'], ,[' 384.714'],[' 0'],[' 28.0271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03645e+09'],[' 1.84575e+09'],[' 0'],[' 1.45127e+10'],[' 0'],[' 0'],958,2115,3130,3,0
