Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 8127+'],[' 4069'],"[' 1019.246s (Solving', ' 938.57s 1st Model', ' 557.28s Unsat', ' 0.00s)']",[' 1000.609s'], ,[' 422088587'],"[' 4019041  (Analyzed', ' 3151376)']","[' 8855     (Average', ' 355.89 Last', ' 178129)']",[' 8736.3  '],"[' 4069     (Average Length', ' 1857.28 Splits', ' 0)']","[' 3151376  (Deleted', ' 3035674)']","[' 167      (Ratio', '   0.01%)']","[' 75378    (Ratio', '   2.39%)']","[' 3151376  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3151376  (Average', ' 125.92 Max', ' 10284 Sum', ' 396830021)']","[' 3149158  (Average', ' 124.65 Max', ' 10284 Sum', ' 392828452 Ratio', '  98.99%)']","[' 2218     (Average', ' 1804.13 Max', ' 2936 Sum', ' 4001569 Ratio', '   1.01%)']", ,[' 274969  '],[' 21493   '],[' 276451  '],[' 165443  '],"[' 496325   (Atom=Atom', ' 145948 Body=Body', ' 122393 Other', ' 227984)']",[' Yes'],"[' 24975    (Eliminated', '    0 Frozen', ' 24975)']","[' 13379    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4711'],[' 0'], ,[' 483.644'],[' 0'],[' 28.6643'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.90404e+08'],[' 8.75721e+08'],[' 0'],[' 2.68674e+10'],[' 0'],[' 0'],[' 1621 '],[' 3076 '],[' 4293 '],[' 5556 '],[' 6583 '],[' 5 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8687+'],[' 4349'],"[' 1025.361s (Solving', ' 942.10s 1st Model', ' 654.42s Unsat', ' 0.00s)']",[' 1016.156s'], ,[' 461029043'],"[' 3039228  (Analyzed', ' 2263142)']","[' 7982     (Average', ' 283.53 Last', ' 83234)']",[' 8415.1  '],"[' 4349     (Average Length', ' 1958.43 Splits', ' 0)']","[' 2263142  (Deleted', ' 2148199)']","[' 133      (Ratio', '   0.01%)']","[' 85399    (Ratio', '   3.77%)']","[' 2263142  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2263142  (Average', ' 192.73 Max', ' 9540 Sum', ' 436164450)']","[' 2260872  (Average', ' 190.78 Max', ' 9540 Sum', ' 431765058 Ratio', '  98.99%)']","[' 2270     (Average', ' 1938.06 Max', ' 9247 Sum', ' 4399392 Ratio', '   1.01%)']", ,[' 274365  '],[' 21232   '],[' 276017  '],[' 164940  '],"[' 494816   (Atom=Atom', ' 145706 Body=Body', ' 122132 Other', ' 226978)']",[' Yes'],"[' 24884    (Eliminated', '    0 Frozen', ' 24884)']","[' 15001    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.9215'],[' 0'], ,[' 455.479'],[' 0'],[' 28.4089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19051e+09'],[' 1.05763e+09'],[' 0'],[' 2.84793e+10'],[' 0'],[' 0'],[' 1314 '],[' 2533 '],[' 3642 '],[' 4853 '],[' 5826 '],[' 5 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 8503+'],[' 4257'],"[' 1024.493s (Solving', ' 945.07s 1st Model', ' 644.72s Unsat', ' 0.00s)']",[' 1011.969s'], ,[' 481202078'],"[' 4056023  (Analyzed', ' 2996621)']","[' 9550     (Average', ' 313.78 Last', ' 156834)']",[' 8372.0  '],"[' 4257     (Average Length', ' 1914.45 Splits', ' 0)']","[' 2996621  (Deleted', ' 2878587)']","[' 163      (Ratio', '   0.01%)']","[' 85354    (Ratio', '   2.85%)']","[' 2996621  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2996621  (Average', ' 152.37 Max', ' 9698 Sum', ' 456590395)']","[' 2994403  (Average', ' 150.90 Max', ' 9698 Sum', ' 452183005 Ratio', '  99.03%)']","[' 2218     (Average', ' 1987.10 Max', ' 3008 Sum', ' 4407390 Ratio', '   0.97%)']", ,[' 274757  '],[' 21360   '],[' 276330  '],[' 165232  '],"[' 495692   (Atom=Atom', ' 145870 Body=Body', ' 122260 Other', ' 227562)']",[' Yes'],"[' 24933    (Eliminated', '    0 Frozen', ' 24933)']","[' 14984    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8909'],[' 0'], ,[' 465.773'],[' 0'],[' 28.47'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23299e+09'],[' 1.09076e+09'],[' 0'],[' 2.98555e+10'],[' 0'],[' 0'],[' 1610 '],[' 2769 '],[' 4019 '],[' 5211 '],[' 6206 '],[' 5 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8979+'],[' 4495'],"[' 1026.366s (Solving', ' 934.25s 1st Model', ' 543.51s Unsat', ' 0.00s)']",[' 1005.703s'], ,[' 428944297'],"[' 3312688  (Analyzed', ' 2453666)']","[' 8072     (Average', ' 303.97 Last', ' 198234)']",[' 8792.6  '],"[' 4495     (Average Length', ' 2038.03 Splits', ' 0)']","[' 2453666  (Deleted', ' 2340191)']","[' 136      (Ratio', '   0.01%)']","[' 73294    (Ratio', '   2.99%)']","[' 2453666  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2453666  (Average', ' 163.86 Max', ' 10069 Sum', ' 402059284)']","[' 2451322  (Average', ' 161.96 Max', ' 10069 Sum', ' 397394257 Ratio', '  98.84%)']","[' 2344     (Average', ' 1990.20 Max', ' 3079 Sum', ' 4665027 Ratio', '   1.16%)']", ,[' 274962  '],[' 21319   '],[' 276829  '],[' 165347  '],"[' 496037   (Atom=Atom', ' 146026 Body=Body', ' 122219 Other', ' 227792)']",[' Yes'],"[' 25186    (Eliminated', '    0 Frozen', ' 25186)']","[' 13498    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.9263'],[' 0'], ,[' 482.452'],[' 0'],[' 27.3975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1108e+09'],[' 9.88565e+08'],[' 0'],[' 3.05444e+10'],[' 0'],[' 0'],[' 1370 '],[' 2482 '],[' 3806 '],[' 5069 '],[' 6132 '],[' 5 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8215+'],[' 4113'],"[' 1016.439s (Solving', ' 952.41s 1st Model', ' 703.84s Unsat', ' 0.00s)']",[' 1011.219s'], ,[' 488072572'],"[' 3012976  (Analyzed', ' 2030274)']","[' 7902     (Average', ' 256.93 Last', ' 61630)']",[' 8020.5  '],"[' 4113     (Average Length', ' 1849.28 Splits', ' 0)']","[' 2030274  (Deleted', ' 1913275)']","[' 193      (Ratio', '   0.01%)']","[' 89680    (Ratio', '   4.42%)']","[' 2030274  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2030274  (Average', ' 229.49 Max', ' 9441 Sum', ' 465927543)']","[' 2028046  (Average', ' 227.23 Max', ' 9441 Sum', ' 461346758 Ratio', '  99.02%)']","[' 2228     (Average', ' 2056.01 Max', ' 2907 Sum', ' 4580785 Ratio', '   0.98%)']", ,[' 275018  '],[' 21432   '],[' 276428  '],[' 165304  '],"[' 495908   (Atom=Atom', ' 145870 Body=Body', ' 122332 Other', ' 227706)']",[' Yes'],"[' 24842    (Eliminated', '    0 Frozen', ' 24842)']","[' 15810    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5675'],[' 0'], ,[' 459.636'],[' 0'],[' 28.7942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31528e+09'],[' 1.17441e+09'],[' 0'],[' 3.11464e+10'],[' 0'],[' 0'],[' 1400 '],[' 2610 '],[' 3901 '],[' 5054 '],[' 6023 '],[' 5 '],[' 0 ']
Solving...,TA76, , , ,[' 8053+'],[' 4032'],"[' 1023.100s (Solving', ' 951.18s 1st Model', ' 440.18s Unsat', ' 0.00s)']",[' 1016.469s'], ,[' 474813668'],"[' 4930615  (Analyzed', ' 3977977)']","[' 9688     (Average', ' 410.61 Last', ' 86371)']",[' 8384.8  '],"[' 4033     (Average Length', ' 1818.87 Splits', ' 0)']","[' 3977977  (Deleted', ' 3843200)']","[' 164      (Ratio', '   0.00%)']","[' 85271    (Ratio', '   2.14%)']","[' 3977977  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3977977  (Average', ' 113.41 Max', ' 9684 Sum', ' 451157338)']","[' 3975606  (Average', ' 112.33 Max', ' 9684 Sum', ' 446856037 Ratio', '  99.05%)']","[' 2371     (Average', ' 1814.13 Max', ' 2764 Sum', ' 4301301 Ratio', '   0.95%)']", ,[' 274326  '],[' 21304   '],[' 275699  '],[' 164838  '],"[' 494510   (Atom=Atom', ' 145532 Body=Body', ' 122204 Other', ' 226774)']",[' Yes'],"[' 24677    (Eliminated', '    0 Frozen', ' 24677)']","[' 14681    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9836'],[' 0'], ,[' 507.739'],[' 0'],[' 28.2599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14073e+09'],[' 1.0106e+09'],[' 0'],[' 3.5492e+10'],[' 0'],[' 0'],[' 1424 '],[' 2693 '],[' 3986 '],[' 5136 '],[' 6193 '],[' 5 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8471+'],[' 4241'],"[' 1019.026s (Solving', ' 937.99s 1st Model', ' 610.19s Unsat', ' 0.00s)']",[' 1005.641s'], ,[' 405253249'],"[' 5120718  (Analyzed', ' 3758708)']","[' 9726     (Average', ' 386.46 Last', ' 87795)']",[' 8849.8  '],"[' 4241     (Average Length', ' 1877.68 Splits', ' 0)']","[' 3758708  (Deleted', ' 3646930)']","[' 102      (Ratio', '   0.00%)']","[' 69951    (Ratio', '   1.86%)']","[' 3758708  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3758708  (Average', ' 100.57 Max', ' 10290 Sum', ' 378031519)']","[' 3756427  (Average', ' 99.43 Max', ' 10290 Sum', ' 373718156 Ratio', '  98.86%)']","[' 2281     (Average', ' 1891.00 Max', ' 2777 Sum', ' 4313363 Ratio', '   1.14%)']", ,[' 274508  '],[' 21256   '],[' 276055  '],[' 164904  '],"[' 494708   (Atom=Atom', ' 145646 Body=Body', ' 122156 Other', ' 226906)']",[' Yes'],"[' 24803    (Eliminated', '    0 Frozen', ' 24803)']","[' 12835    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.9366'],[' 0'], ,[' 486.787'],[' 0'],[' 28.3259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.14077e+08'],[' 8.07318e+08'],[' 0'],[' 2.56915e+10'],[' 0'],[' 0'],[' 1577 '],[' 2750 '],[' 4000 '],[' 5278 '],[' 6280 '],[' 5 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8273+'],[' 4142'],"[' 1017.730s (Solving', ' 949.86s 1st Model', ' 622.12s Unsat', ' 0.00s)']",[' 1009.703s'], ,[' 458107180'],"[' 3412499  (Analyzed', ' 2167822)']","[' 7511     (Average', ' 288.62 Last', ' 119218)']",[' 8160.8  '],"[' 4142     (Average Length', ' 1825.80 Splits', ' 0)']","[' 2167822  (Deleted', ' 2054780)']","[' 147      (Ratio', '   0.01%)']","[' 85781    (Ratio', '   3.96%)']","[' 2167822  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2167822  (Average', ' 200.29 Max', ' 9688 Sum', ' 434193822)']","[' 2165761  (Average', ' 198.49 Max', ' 9688 Sum', ' 430296864 Ratio', '  99.10%)']","[' 2061     (Average', ' 1890.81 Max', ' 2779 Sum', ' 3896958 Ratio', '   0.90%)']", ,[' 274828  '],[' 21383   '],[' 276196  '],[' 165186  '],"[' 495554   (Atom=Atom', ' 145801 Body=Body', ' 122283 Other', ' 227470)']",[' Yes'],"[' 24751    (Eliminated', '    0 Frozen', ' 24751)']","[' 14472    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3093'],[' 0'], ,[' 474.751'],[' 0'],[' 28.3941'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14473e+09'],[' 1.01965e+09'],[' 0'],[' 3.18251e+10'],[' 0'],[' 0'],[' 1433 '],[' 2676 '],[' 3860 '],[' 5035 '],[' 6083 '],[' 5 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8655+'],[' 4333'],"[' 1017.833s (Solving', ' 946.03s 1st Model', ' 675.99s Unsat', ' 0.00s)']",[' 1010.453s'], ,[' 498762744'],"[' 3096377  (Analyzed', ' 2092273)']","[' 7809     (Average', ' 267.93 Last', ' 101969)']",[' 8303.2  '],"[' 4333     (Average Length', ' 1948.27 Splits', ' 0)']","[' 2092273  (Deleted', ' 1973941)']","[' 147      (Ratio', '   0.01%)']","[' 90158    (Ratio', '   4.31%)']","[' 2092273  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2092273  (Average', ' 226.86 Max', ' 9451 Sum', ' 474649801)']","[' 2089884  (Average', ' 224.57 Max', ' 9451 Sum', ' 469859329 Ratio', '  98.99%)']","[' 2389     (Average', ' 2005.22 Max', ' 2901 Sum', ' 4790472 Ratio', '   1.01%)']", ,[' 275301  '],[' 21443   '],[' 276965  '],[' 165557  '],"[' 496667   (Atom=Atom', ' 146112 Body=Body', ' 122343 Other', ' 228212)']",[' Yes'],"[' 25107    (Eliminated', '    0 Frozen', ' 25107)']","[' 16472    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3425'],[' 0'], ,[' 453.531'],[' 0'],[' 28.6791'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33896e+09'],[' 1.19952e+09'],[' 0'],[' 2.95037e+10'],[' 0'],[' 0'],[' 1358 '],[' 2587 '],[' 3759 '],[' 4975 '],[' 6027 '],[' 5 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8271+'],[' 4141'],"[' 1016.738s (Solving', ' 948.99s 1st Model', ' 582.99s Unsat', ' 0.00s)']",[' 1009.172s'], ,[' 484460191'],"[' 3312011  (Analyzed', ' 2548407)']","[' 8229     (Average', ' 309.69 Last', ' 204563)']",[' 8405.1  '],"[' 4141     (Average Length', ' 1868.08 Splits', ' 0)']","[' 2548407  (Deleted', ' 2425251)']","[' 174      (Ratio', '   0.01%)']","[' 89851    (Ratio', '   3.53%)']","[' 2548407  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2548407  (Average', ' 180.71 Max', ' 9721 Sum', ' 460527403)']","[' 2546131  (Average', ' 179.03 Max', ' 9721 Sum', ' 456245634 Ratio', '  99.07%)']","[' 2276     (Average', ' 1881.27 Max', ' 2894 Sum', ' 4281769 Ratio', '   0.93%)']", ,[' 275274  '],[' 21482   '],[' 276763  '],[' 165482  '],"[' 496442   (Atom=Atom', ' 145998 Body=Body', ' 122382 Other', ' 228062)']",[' Yes'],"[' 24971    (Eliminated', '    0 Frozen', ' 24971)']","[' 15880    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4962'],[' 0'], ,[' 469.606'],[' 0'],[' 28.6987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27211e+09'],[' 1.12804e+09'],[' 0'],[' 3.13045e+10'],[' 0'],[' 0'],[' 1372 '],[' 2627 '],[' 3746 '],[' 4900 '],[' 5921 '],[' 5 '],[' 0 ']
