Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4501+'],[' 2253'],"[' 1004.111s (Solving', ' 987.64s 1st Model', ' 668.92s Unsat', ' 0.00s)']",[' 1001.422s'], ,[' 457752371'],"[' 3222780  (Analyzed', ' 2619341)']","[' 8197     (Average', ' 319.55 Last', ' 147032)']",[' 6403.3  '],"[' 2253     (Average Length', ' 1102.14 Splits', ' 0)']","[' 2619341  (Deleted', ' 2527602)']","[' 563      (Ratio', '   0.02%)']","[' 75793    (Ratio', '   2.89%)']","[' 2619341  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2619341  (Average', ' 170.03 Max', ' 6880 Sum', ' 445353701)']","[' 2618858  (Average', ' 169.81 Max', ' 6880 Sum', ' 444783738 Ratio', '  99.87%)']","[' 483      (Average', ' 1180.05 Max', ' 1995 Sum', ' 569963 Ratio', '   0.13%)']", ,[' 97574   '],[' 10970   '],[' 98970   '],[' 62048   '],"[' 186140   (Atom=Atom', ' 51826 Body=Body', ' 30045 Other', ' 104269)']",[' Yes'],"[' 13116    (Eliminated', '    0 Frozen', ' 13116)']","[' 7958     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29403'],[' 0'], ,[' 383.018'],[' 0'],[' 28.0192'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92174e+09'],[' 1.75584e+09'],[' 0'],[' 1.84754e+10'],[' 0'],[' 0'],[' 1687 '],[' 3345 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4115+'],[' 2060'],"[' 1004.243s (Solving', ' 988.37s 1st Model', ' 80.23s Unsat', ' 0.00s)']",[' 1001.438s'], ,[' 441853876'],"[' 5017593  (Analyzed', ' 4170572)']","[' 8572     (Average', ' 486.53 Last', ' 120213)']",[' 6810.1  '],"[' 2060     (Average Length', ' 1015.42 Splits', ' 0)']","[' 4170572  (Deleted', ' 4076410)']","[' 593      (Ratio', '   0.01%)']","[' 71928    (Ratio', '   1.72%)']","[' 4170572  (Average Length', '   29.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4170572  (Average', ' 102.88 Max', ' 7282 Sum', ' 429051921)']","[' 4170120  (Average', ' 102.77 Max', ' 7198 Sum', ' 428626848 Ratio', '  99.90%)']","[' 452      (Average', ' 940.43 Max', ' 1999 Sum', ' 425073 Ratio', '   0.10%)']", ,[' 97521   '],[' 11009   '],[' 98769   '],[' 62034   '],"[' 186098   (Atom=Atom', ' 51773 Body=Body', ' 30084 Other', ' 104241)']",[' Yes'],"[' 13007    (Eliminated', '    0 Frozen', ' 13007)']","[' 7081     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.27057'],[' 0'], ,[' 427.875'],[' 0'],[' 28.1104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60622e+09'],[' 1.45063e+09'],[' 0'],[' 2.18735e+10'],[' 0'],[' 0'],[' 1867 '],[' 3717 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4751+'],[' 2378'],"[' 1004.311s (Solving', ' 987.31s 1st Model', ' 696.79s Unsat', ' 0.00s)']",[' 1002.500s'], ,[' 473416843'],"[' 3598803  (Analyzed', ' 2945037)']","[' 8781     (Average', ' 335.39 Last', ' 269945)']",[' 6674.9  '],"[' 2378     (Average Length', ' 1174.94 Splits', ' 0)']","[' 2945037  (Deleted', ' 2861025)']","[' 534      (Ratio', '   0.02%)']","[' 70336    (Ratio', '   2.39%)']","[' 2945037  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2945037  (Average', ' 156.11 Max', ' 7795 Sum', ' 459760311)']","[' 2944595  (Average', ' 155.93 Max', ' 7483 Sum', ' 459205527 Ratio', '  99.88%)']","[' 442      (Average', ' 1255.17 Max', ' 2284 Sum', ' 554784 Ratio', '   0.12%)']", ,[' 97171   '],[' 10797   '],[' 98704   '],[' 61472   '],"[' 184412   (Atom=Atom', ' 51423 Body=Body', ' 29872 Other', ' 103117)']",[' Yes'],"[' 13080    (Eliminated', '    0 Frozen', ' 13080)']","[' 6922     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.43833'],[' 0'], ,[' 391.288'],[' 0'],[' 28.5598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94745e+09'],[' 1.77031e+09'],[' 0'],[' 1.92727e+10'],[' 0'],[' 0'],[' 1498 '],[' 3363 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4423+'],[' 2214'],"[' 1003.795s (Solving', ' 988.03s 1st Model', ' 486.02s Unsat', ' 0.00s)']",[' 1001.781s'], ,[' 447042676'],"[' 4272963  (Analyzed', ' 2990515)']","[' 8077     (Average', ' 370.25 Last', ' 209401)']",[' 6568.9  '],"[' 2214     (Average Length', ' 1089.74 Splits', ' 0)']","[' 2990515  (Deleted', ' 2895126)']","[' 509      (Ratio', '   0.02%)']","[' 73382    (Ratio', '   2.45%)']","[' 2990515  (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2990515  (Average', ' 145.06 Max', ' 7772 Sum', ' 433796720)']","[' 2990029  (Average', ' 144.86 Max', ' 7286 Sum', ' 433208396 Ratio', '  99.86%)']","[' 486      (Average', ' 1210.54 Max', ' 2128 Sum', ' 588324 Ratio', '   0.14%)']", ,[' 97409   '],[' 10932   '],[' 98786   '],[' 61845   '],"[' 185531   (Atom=Atom', ' 51661 Body=Body', ' 30007 Other', ' 103863)']",[' Yes'],"[' 13059    (Eliminated', '    0 Frozen', ' 13059)']","[' 7772     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.16164'],[' 0'], ,[' 430.207'],[' 0'],[' 27.0296'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80744e+09'],[' 1.64848e+09'],[' 0'],[' 2.41145e+10'],[' 0'],[' 0'],[' 1603 '],[' 3489 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4623+'],[' 2314'],"[' 1004.663s (Solving', ' 985.38s 1st Model', ' 495.73s Unsat', ' 0.00s)']",[' 1002.531s'], ,[' 427293633'],"[' 3958151  (Analyzed', ' 2820366)']","[' 7975     (Average', ' 353.65 Last', ' 96238)']",[' 6701.5  '],"[' 2314     (Average Length', ' 1140.91 Splits', ' 0)']","[' 2820366  (Deleted', ' 2731936)']","[' 596      (Ratio', '   0.02%)']","[' 73518    (Ratio', '   2.61%)']","[' 2820366  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2820366  (Average', ' 146.58 Max', ' 7542 Sum', ' 413405663)']","[' 2819835  (Average', ' 146.37 Max', ' 6992 Sum', ' 412814091 Ratio', '  99.86%)']","[' 531      (Average', ' 1114.07 Max', ' 2145 Sum', ' 591572 Ratio', '   0.14%)']", ,[' 97531   '],[' 10936   '],[' 98997   '],[' 61971   '],"[' 185909   (Atom=Atom', ' 51783 Body=Body', ' 30011 Other', ' 104115)']",[' Yes'],"[' 13152    (Eliminated', '    0 Frozen', ' 13152)']","[' 7232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.99523'],[' 0'], ,[' 385.496'],[' 0'],[' 28.447'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7237e+09'],[' 1.56364e+09'],[' 0'],[' 1.68231e+10'],[' 0'],[' 0'],[' 1762 '],[' 3357 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 5115+'],[' 2560'],"[' 1004.610s (Solving', ' 984.88s 1st Model', ' 468.07s Unsat', ' 0.00s)']",[' 1002.328s'], ,[' 465712053'],"[' 6212029  (Analyzed', ' 4956014)']","[' 11401    (Average', ' 434.70 Last', ' 217938)']",[' 6892.2  '],"[' 2560     (Average Length', ' 1245.86 Splits', ' 0)']","[' 4956014  (Deleted', ' 4855954)']","[' 622      (Ratio', '   0.01%)']","[' 70591    (Ratio', '   1.42%)']","[' 4956014  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4956014  (Average', ' 90.78 Max', ' 7709 Sum', ' 449890851)']","[' 4955511  (Average', ' 90.66 Max', ' 7498 Sum', ' 449331432 Ratio', '  99.88%)']","[' 503      (Average', ' 1112.17 Max', ' 2217 Sum', ' 559419 Ratio', '   0.12%)']", ,[' 97445   '],[' 10832   '],[' 99076   '],[' 61781   '],"[' 185339   (Atom=Atom', ' 51697 Body=Body', ' 29907 Other', ' 103735)']",[' Yes'],"[' 13213    (Eliminated', '    0 Frozen', ' 13213)']","[' 7117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.99371'],[' 0'], ,[' 422.091'],[' 0'],[' 28.3272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73494e+09'],[' 1.56153e+09'],[' 0'],[' 2.23531e+10'],[' 0'],[' 0'],[' 1903 '],[' 3420 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 4287+'],[' 2146'],"[' 1003.975s (Solving', ' 987.39s 1st Model', ' 76.35s Unsat', ' 0.00s)']",[' 1000.828s'], ,[' 455183749'],"[' 5190214  (Analyzed', ' 3895408)']","[' 8436     (Average', ' 461.76 Last', ' 86087)']",[' 6773.7  '],"[' 2146     (Average Length', ' 1057.37 Splits', ' 0)']","[' 3895408  (Deleted', ' 3796695)']","[' 682      (Ratio', '   0.02%)']","[' 73370    (Ratio', '   1.88%)']","[' 3895408  (Average Length', '   27.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3895408  (Average', ' 113.38 Max', ' 7481 Sum', ' 441647520)']","[' 3894915  (Average', ' 113.26 Max', ' 6751 Sum', ' 441180671 Ratio', '  99.89%)']","[' 493      (Average', ' 946.96 Max', ' 2055 Sum', ' 466849 Ratio', '   0.11%)']", ,[' 97273   '],[' 10905   '],[' 98599   '],[' 61682   '],"[' 185042   (Atom=Atom', ' 51525 Body=Body', ' 29980 Other', ' 103537)']",[' Yes'],"[' 12981    (Eliminated', '    0 Frozen', ' 12981)']","[' 7727     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.32894'],[' 0'], ,[' 424.212'],[' 0'],[' 28.0799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78951e+09'],[' 1.63149e+09'],[' 0'],[' 2.24643e+10'],[' 0'],[' 0'],[' 1981 '],[' 3718 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4017+'],[' 2011'],"[' 515.119s (Solving', ' 499.33s 1st Model', ' 164.95s Unsat', ' 0.00s)']",[' 514.156s'], ,[' 254818156'],"[' 4472305  (Analyzed', ' 1075574)']","[' 4023     (Average', ' 267.36 Last', ' 91776)']",[' 8750.4  '],"[' 2010     (Average Length', ' 995.54 Splits', ' 0)']","[' 1075574  (Deleted', ' 1032194)']","[' 252      (Ratio', '   0.02%)']","[' 36739    (Ratio', '   3.42%)']","[' 1075574  (Average Length', '   26.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1075574  (Average', ' 219.17 Max', ' 9364 Sum', ' 235730421)']","[' 1075554  (Average', ' 219.14 Max', ' 9364 Sum', ' 235698262 Ratio', '  99.99%)']","[' 20       (Average', ' 1607.95 Max', ' 1937 Sum', '  32159 Ratio', '   0.01%)']", ,[' 97400   '],[' 10992   '],[' 98591   '],[' 61896   '],"[' 185684   (Atom=Atom', ' 51652 Body=Body', ' 30067 Other', ' 103965)']",[' Yes'],"[' 12933    (Eliminated', '    0 Frozen', ' 12933)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.52361'],[' 0'], ,[' 241.927'],[' 0'],[' 14.9286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.89568e+08'],[' 7.19406e+08'],[' 0'],[' 1.62389e+10'],[' 0'],[' 0'],[' 3919 '],[' 5705 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 4177+'],[' 2091'],"[' 1003.582s (Solving', ' 988.23s 1st Model', ' 592.13s Unsat', ' 0.00s)']",[' 1001.625s'], ,[' 455478354'],"[' 3817117  (Analyzed', ' 3129298)']","[' 8519     (Average', ' 367.33 Last', ' 196166)']",[' 6385.5  '],"[' 2091     (Average Length', ' 1024.38 Splits', ' 0)']","[' 3129298  (Deleted', ' 3036152)']","[' 635      (Ratio', '   0.02%)']","[' 78524    (Ratio', '   2.51%)']","[' 3129298  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3129298  (Average', ' 141.77 Max', ' 7827 Sum', ' 443644330)']","[' 3128786  (Average', ' 141.60 Max', ' 6590 Sum', ' 443097244 Ratio', '  99.88%)']","[' 512      (Average', ' 1068.53 Max', ' 1958 Sum', ' 547086 Ratio', '   0.12%)']", ,[' 97072   '],[' 10862   '],[' 98291   '],[' 61438   '],"[' 184310   (Atom=Atom', ' 51324 Body=Body', ' 29937 Other', ' 103049)']",[' Yes'],"[' 12831    (Eliminated', '    0 Frozen', ' 12831)']","[' 7787     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05123'],[' 0'], ,[' 393.535'],[' 0'],[' 27.808'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90714e+09'],[' 1.7361e+09'],[' 0'],[' 1.9935e+10'],[' 0'],[' 0'],[' 1642 '],[' 3392 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4973+'],[' 2489'],"[' 1004.850s (Solving', ' 986.24s 1st Model', ' 942.44s Unsat', ' 0.00s)']",[' 1002.859s'], ,[' 461355792'],"[' 3757846  (Analyzed', ' 2786018)']","[' 8334     (Average', ' 334.30 Last', ' 723915)']",[' 6617.5  '],"[' 2489     (Average Length', ' 1217.92 Splits', ' 0)']","[' 2786018  (Deleted', ' 2701481)']","[' 502      (Ratio', '   0.02%)']","[' 73055    (Ratio', '   2.62%)']","[' 2786018  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2786018  (Average', ' 160.48 Max', ' 7599 Sum', ' 447087734)']","[' 2785581  (Average', ' 160.28 Max', ' 7288 Sum', ' 446543860 Ratio', '  99.88%)']","[' 437      (Average', ' 1244.56 Max', ' 2339 Sum', ' 543874 Ratio', '   0.12%)']", ,[' 97394   '],[' 10832   '],[' 98998   '],[' 61730   '],"[' 185186   (Atom=Atom', ' 51646 Body=Body', ' 29907 Other', ' 103633)']",[' Yes'],"[' 13186    (Eliminated', '    0 Frozen', ' 13186)']","[' 7282     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.65315'],[' 0'], ,[' 377.919'],[' 0'],[' 28.2378'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9611e+09'],[' 1.78331e+09'],[' 0'],[' 1.80047e+10'],[' 0'],[' 0'],[' 1617 '],[' 3224 '],[' 2 '],[' 0 ']
