Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11627+'],[' 5818'],"[' 1031.569s (Solving', ' 891.02s 1st Model', ' 466.72s Unsat', ' 0.00s)']",[' 1027.953s'], ,[' 591983503'],"[' 1948904  (Analyzed', ' 1177942)']","[' 5749     (Average', ' 204.90 Last', ' 41048)']",[' 16310.7 '],"[' 5818     (Average Length', ' 2692.56 Splits', ' 0)']","[' 1177942  (Deleted', ' 1086816)']","[' 1923     (Ratio', '   0.16%)']","[' 63398    (Ratio', '   5.38%)']","[' 1177942  (Average Length', '   32.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1177942  (Average', ' 442.65 Max', ' 20616 Sum', ' 521410641)']","[' 1174525  (Average', ' 434.48 Max', ' 20616 Sum', ' 511788183 Ratio', '  98.15%)']","[' 3417     (Average', ' 2816.05 Max', ' 5074 Sum', ' 9622458 Ratio', '   1.85%)']", ,[' 451613  '],[' 34653   '],[' 455036  '],[' 286509  '],"[' 859523   (Atom=Atom', ' 253854 Body=Body', ' 135553 Other', ' 470116)']",[' Yes'],"[' 39727    (Eliminated', '    0 Frozen', ' 39727)']","[' 10609    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.8522'],[' 0'], ,[' 365.459'],[' 0'],[' 36.6797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74256e+09'],[' 1.64254e+09'],[' 0'],[' 1.09812e+10'],[' 0'],[' 0'],[' 1977 '],[' 3455 '],[' 5703 '],[' 7499 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 12853+'],[' 6431'],"[' 1036.640s (Solving', ' 885.16s 1st Model', ' 517.01s Unsat', ' 0.00s)']",[' 1033.578s'], ,[' 568529887'],"[' 2350612  (Analyzed', ' 892074)']","[' 5459     (Average', ' 163.41 Last', ' 138882)']",[' 16005.7 '],"[' 6431     (Average Length', ' 2973.41 Splits', ' 0)']","[' 892074   (Deleted', ' 800246)']","[' 1627     (Ratio', '   0.18%)']","[' 61466    (Ratio', '   6.89%)']","[' 892074   (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 892074   (Average', ' 552.52 Max', ' 20379 Sum', ' 492884529)']","[' 888772   (Average', ' 541.33 Max', ' 20379 Sum', ' 482907199 Ratio', '  97.98%)']","[' 3302     (Average', ' 3021.60 Max', ' 5573 Sum', ' 9977330 Ratio', '   2.02%)']", ,[' 449107  '],[' 34113   '],[' 452754  '],[' 284822  '],"[' 854462   (Atom=Atom', ' 252707 Body=Body', ' 135013 Other', ' 466742)']",[' Yes'],"[' 39702    (Eliminated', '    0 Frozen', ' 39702)']","[' 11829    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.8075'],[' 0'], ,[' 358.786'],[' 0'],[' 34.9361'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.753e+09'],[' 1.65552e+09'],[' 0'],[' 1.1058e+10'],[' 0'],[' 0'],[' 1631 '],[' 3232 '],[' 5033 '],[' 6909 '],[' 4 '],[' 0 ']
Solving...,TA73, , ,[' 12109+'],[' 6059'],"[' 1035.048s (Solving', ' 888.00s 1st Model', ' 530.51s Unsat', ' 0.00s)']",[' 1032.266s'], ,[' 600013252'],"[' 3077611  (Analyzed', ' 2065643)']","[' 7226     (Average', ' 285.86 Last', ' 44629)']",[' 17431.0 '],"[' 6060     (Average Length', ' 2810.05 Splits', ' 0)']","[' 2065643  (Deleted', ' 1976537)']","[' 1649     (Ratio', '   0.08%)']","[' 56697    (Ratio', '   2.74%)']","[' 2065643  (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2065643  (Average', ' 249.28 Max', ' 22846 Sum', ' 514932463)']","[' 2063639  (Average', ' 246.96 Max', ' 22846 Sum', ' 510125888 Ratio', '  99.07%)']","[' 2004     (Average', ' 2398.49 Max', ' 3954 Sum', ' 4806575 Ratio', '   0.93%)']", ,[' 451689  '],[' 34378   '],[' 455118  '],[' 287070  '],"[' 861206   (Atom=Atom', ' 254690 Body=Body', ' 135278 Other', ' 471238)']",[' Yes'],"[' 39807    (Eliminated', '    0 Frozen', ' 39807)']","[' 7855     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.1009'],[' 0'], ,[' 373.062'],[' 0'],[' 37.1605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66389e+09'],[' 1.56064e+09'],[' 0'],[' 1.13573e+10'],[' 0'],[' 0'],[' 2099 '],[' 3699 '],[' 5260 '],[' 9652 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 12755+'],[' 6382'],"[' 1037.034s (Solving', ' 887.65s 1st Model', ' 696.98s Unsat', ' 0.00s)']",[' 1034.313s'], ,[' 594599413'],"[' 1132332  (Analyzed', ' 669416)']","[' 4819     (Average', ' 138.91 Last', ' 104625)']",[' 16487.6 '],"[' 6382     (Average Length', ' 2935.84 Splits', ' 0)']","[' 669416   (Deleted', ' 582882)']","[' 1864     (Ratio', '   0.28%)']","[' 62631    (Ratio', '   9.36%)']","[' 669416   (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 669416   (Average', ' 764.17 Max', ' 22114 Sum', ' 511550841)']","[' 667654   (Average', ' 758.15 Max', ' 22114 Sum', ' 507517990 Ratio', '  99.21%)']","[' 1762     (Average', ' 2288.79 Max', ' 5490 Sum', ' 4032851 Ratio', '   0.79%)']", ,[' 449461  '],[' 34100   '],[' 452953  '],[' 285030  '],"[' 855086   (Atom=Atom', ' 252928 Body=Body', ' 135000 Other', ' 467158)']",[' Yes'],"[' 39592    (Eliminated', '    0 Frozen', ' 39592)']","[' 10574    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.4024'],[' 0'], ,[' 334.749'],[' 0'],[' 36.2904'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81206e+09'],[' 1.71375e+09'],[' 0'],[' 8.06937e+09'],[' 0'],[' 0'],[' 1647 '],[' 3329 '],[' 4917 '],[' 7430 '],[' 4 '],[' 0 ']
Solving...,TA75, , ,[' 12813+'],[' 6411'],"[' 979.064s (Solving', ' 822.09s 1st Model', ' 333.75s Unsat', ' 0.00s)']",[' 976.063s'], ,[' 537538586'],"[' 1732577  (Analyzed', ' 1151964)']","[' 5465     (Average', ' 210.79 Last', ' 4107)']",[' 17180.8 '],"[' 6411     (Average Length', ' 2991.99 Splits', ' 0)']","[' 1151964  (Deleted', ' 1060031)']","[' 1037     (Ratio', '   0.09%)']","[' 57353    (Ratio', '   4.98%)']","[' 1151964  (Average Length', '   30.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1151964  (Average', ' 390.37 Max', ' 23333 Sum', ' 449690760)']","[' 1150022  (Average', ' 387.03 Max', ' 23333 Sum', ' 445839275 Ratio', '  99.14%)']","[' 1942     (Average', ' 1983.26 Max', ' 2567 Sum', ' 3851485 Ratio', '   0.86%)']", ,[' 451879  '],[' 34514   '],[' 455671  '],[' 287224  '],"[' 861668   (Atom=Atom', ' 254708 Body=Body', ' 135414 Other', ' 471546)']",[' Yes'],"[' 40226    (Eliminated', '    0 Frozen', ' 40226)']","[' 10165    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.0555'],[' 0'], ,[' 322.496'],[' 0'],[' 33.1154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63093e+09'],[' 1.53439e+09'],[' 0'],[' 8.6339e+09'],[' 0'],[' 0'],[' 1824 '],[' 3607 '],[' 6286 '],[' 9838 '],[' 4 '],[' 0 ']
Solving...,TA76, , ,[' 11989+'],[' 5999'],"[' 1034.353s (Solving', ' 888.62s 1st Model', ' 556.60s Unsat', ' 0.00s)']",[' 1031.078s'], ,[' 581202575'],"[' 2479914  (Analyzed', ' 861301)']","[' 5511     (Average', ' 156.29 Last', ' 39970)']",[' 16334.4 '],"[' 6000     (Average Length', ' 2814.86 Splits', ' 0)']","[' 861301   (Deleted', ' 769895)']","[' 1737     (Ratio', '   0.20%)']","[' 61130    (Ratio', '   7.10%)']","[' 861301   (Average Length', '   26.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 861301   (Average', ' 586.78 Max', ' 21120 Sum', ' 505392445)']","[' 858477   (Average', ' 578.19 Max', ' 21120 Sum', ' 497991580 Ratio', '  98.54%)']","[' 2824     (Average', ' 2620.70 Max', ' 3959 Sum', ' 7400865 Ratio', '   1.46%)']", ,[' 449159  '],[' 34131   '],[' 452553  '],[' 283869  '],"[' 851603   (Atom=Atom', ' 251736 Body=Body', ' 135031 Other', ' 464836)']",[' Yes'],"[' 39515    (Eliminated', '    0 Frozen', ' 39515)']","[' 11351    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.6831'],[' 0'], ,[' 359.274'],[' 0'],[' 35.4265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75968e+09'],[' 1.65665e+09'],[' 0'],[' 1.09822e+10'],[' 0'],[' 0'],[' 1762 '],[' 3208 '],[' 4838 '],[' 8622 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 13275+'],[' 6642'],"[' 1037.418s (Solving', ' 878.97s 1st Model', ' 464.78s Unsat', ' 0.00s)']",[' 1034.250s'], ,[' 587681573'],"[' 3445637  (Analyzed', ' 1639608)']","[' 6576     (Average', ' 249.33 Last', ' 32298)']",[' 17016.7 '],"[' 6643     (Average Length', ' 3092.86 Splits', ' 0)']","[' 1639608  (Deleted', ' 1545484)']","[' 1534     (Ratio', '   0.09%)']","[' 55383    (Ratio', '   3.38%)']","[' 1639608  (Average Length', '   28.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1639608  (Average', ' 304.54 Max', ' 22398 Sum', ' 499333277)']","[' 1637116  (Average', ' 300.70 Max', ' 22398 Sum', ' 493027046 Ratio', '  98.74%)']","[' 2492     (Average', ' 2530.59 Max', ' 5815 Sum', ' 6306231 Ratio', '   1.26%)']", ,[' 449508  '],[' 34138   '],[' 453322  '],[' 285601  '],"[' 856799   (Atom=Atom', ' 253461 Body=Body', ' 135038 Other', ' 468300)']",[' Yes'],"[' 39952    (Eliminated', '    0 Frozen', ' 39952)']","[' 9884     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.8845'],[' 0'], ,[' 367.684'],[' 0'],[' 35.6412'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69006e+09'],[' 1.58787e+09'],[' 0'],[' 1.1343e+10'],[' 0'],[' 0'],[' 1711 '],[' 3317 '],[' 5022 '],[' 7219 '],[' 4 '],[' 0 ']
Solving...,TA78, , ,[' 11737+'],[' 5873'],"[' 1033.147s (Solving', ' 891.93s 1st Model', ' 379.72s Unsat', ' 0.00s)']",[' 1030.313s'], ,[' 591399644'],"[' 2174592  (Analyzed', ' 1379223)']","[' 5934     (Average', ' 232.43 Last', ' 15300)']",[' 16232.2 '],"[' 5874     (Average Length', ' 2705.24 Splits', ' 0)']","[' 1379223  (Deleted', ' 1288627)']","[' 1974     (Ratio', '   0.14%)']","[' 61929    (Ratio', '   4.49%)']","[' 1379223  (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1379223  (Average', ' 377.05 Max', ' 20484 Sum', ' 520039898)']","[' 1375976  (Average', ' 370.45 Max', ' 20484 Sum', ' 510932904 Ratio', '  98.25%)']","[' 3247     (Average', ' 2804.74 Max', ' 4991 Sum', ' 9106994 Ratio', '   1.75%)']", ,[' 449238  '],[' 34241   '],[' 452347  '],[' 284879  '],"[' 854633   (Atom=Atom', ' 252636 Body=Body', ' 135141 Other', ' 466856)']",[' Yes'],"[' 39349    (Eliminated', '    0 Frozen', ' 39349)']","[' 11178    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.7525'],[' 0'], ,[' 367.235'],[' 0'],[' 36.5271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7306e+09'],[' 1.62794e+09'],[' 0'],[' 1.13361e+10'],[' 0'],[' 0'],[' 1801 '],[' 3391 '],[' 4898 '],[' 7012 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 13787+'],[' 6898'],"[' 1037.923s (Solving', ' 878.98s 1st Model', ' 452.66s Unsat', ' 0.00s)']",[' 1035.563s'], ,[' 582539107'],"[' 1522796  (Analyzed', ' 879939)']","[' 5441     (Average', ' 161.72 Last', ' 14134)']",[' 16250.6 '],"[' 6899     (Average Length', ' 3154.08 Splits', ' 0)']","[' 879939   (Deleted', ' 794247)']","[' 1427     (Ratio', '   0.16%)']","[' 60200    (Ratio', '   6.84%)']","[' 879939   (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 879939   (Average', ' 565.42 Max', ' 21768 Sum', ' 497533132)']","[' 877598   (Average', ' 558.46 Max', ' 21768 Sum', ' 491409328 Ratio', '  98.77%)']","[' 2341     (Average', ' 2615.89 Max', ' 5783 Sum', ' 6123804 Ratio', '   1.23%)']", ,[' 450375  '],[' 34167   '],[' 454204  '],[' 284668  '],"[' 854000   (Atom=Atom', ' 252499 Body=Body', ' 135067 Other', ' 466434)']",[' Yes'],"[' 39974    (Eliminated', '    0 Frozen', ' 39974)']","[' 10540    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.7296'],[' 0'], ,[' 339.727'],[' 0'],[' 35.7906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76592e+09'],[' 1.66769e+09'],[' 0'],[' 8.63712e+09'],[' 0'],[' 0'],[' 1730 '],[' 3282 '],[' 4816 '],[' 6561 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 12471+'],[' 6240'],"[' 1034.826s (Solving', ' 888.74s 1st Model', ' 524.49s Unsat', ' 0.00s)']",[' 1031.906s'], ,[' 600736945'],"[' 1958829  (Analyzed', ' 1186156)']","[' 5832     (Average', ' 203.39 Last', ' 16695)']",[' 16274.0 '],"[' 6240     (Average Length', ' 2858.58 Splits', ' 0)']","[' 1186156  (Deleted', ' 1098363)']","[' 1731     (Ratio', '   0.15%)']","[' 61315    (Ratio', '   5.17%)']","[' 1186156  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1186156  (Average', ' 442.55 Max', ' 21128 Sum', ' 524937138)']","[' 1183158  (Average', ' 435.07 Max', ' 21128 Sum', ' 516056043 Ratio', '  98.31%)']","[' 2998     (Average', ' 2962.34 Max', ' 5394 Sum', ' 8881095 Ratio', '   1.69%)']", ,[' 450414  '],[' 34539   '],[' 453807  '],[' 285919  '],"[' 857753   (Atom=Atom', ' 253378 Body=Body', ' 135439 Other', ' 468936)']",[' Yes'],"[' 39932    (Eliminated', '    0 Frozen', ' 39932)']","[' 10447    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.3749'],[' 0'], ,[' 353.101'],[' 0'],[' 36.8363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75476e+09'],[' 1.6542e+09'],[' 0'],[' 9.75643e+09'],[' 0'],[' 0'],[' 1800 '],[' 3249 '],[' 4896 '],[' 6779 '],[' 4 '],[' 0 ']
