Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 8921+'],[' 4465'],"[' 1022.419s (Solving', ' 930.73s 1st Model', ' 562.67s Unsat', ' 0.00s)']",[' 1018.953s'], ,[' 571731736'],"[' 1557761  (Analyzed', ' 1257145)']","[' 4986     (Average', ' 252.13 Last', ' 63890)']",[' 13217.5 '],"[' 4465     (Average Length', ' 2033.59 Splits', ' 0)']","[' 1257145  (Deleted', ' 1159556)']","[' 788      (Ratio', '   0.06%)']","[' 73169    (Ratio', '   5.82%)']","[' 1257145  (Average Length', '   29.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1257145  (Average', ' 418.49 Max', ' 16698 Sum', ' 526104619)']","[' 1254732  (Average', ' 414.67 Max', ' 16698 Sum', ' 521300376 Ratio', '  99.09%)']","[' 2413     (Average', ' 1990.98 Max', ' 3763 Sum', ' 4804243 Ratio', '   0.91%)']", ,[' 375610  '],[' 30908   '],[' 375737  '],[' 259782  '],"[' 779342   (Atom=Atom', ' 232557 Body=Body', ' 130123 Other', ' 416662)']",[' Yes'],"[' 33035    (Eliminated', '    0 Frozen', ' 33035)']","[' 12651    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5037'],[' 0'], ,[' 393.621'],[' 0'],[' 37.1602'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5933e+09'],[' 1.49529e+09'],[' 0'],[' 1.43731e+10'],[' 0'],[' 0'],[' 2286 '],[' 3817 '],[' 5279 '],[' 6798 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 8981+'],[' 4495'],"[' 1022.031s (Solving', ' 931.72s 1st Model', ' 442.31s Unsat', ' 0.00s)']",[' 1017.656s'], ,[' 548295349'],"[' 2389586  (Analyzed', ' 2012764)']","[' 6522     (Average', ' 308.61 Last', ' 84123)']",[' 12816.4 '],"[' 4495     (Average Length', ' 2073.21 Splits', ' 0)']","[' 2012764  (Deleted', ' 1910127)']","[' 760      (Ratio', '   0.04%)']","[' 69197    (Ratio', '   3.44%)']","[' 2012764  (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2012764  (Average', ' 251.07 Max', ' 16525 Sum', ' 505339046)']","[' 2009954  (Average', ' 248.11 Max', ' 16525 Sum', ' 499378693 Ratio', '  98.82%)']","[' 2810     (Average', ' 2121.12 Max', ' 3875 Sum', ' 5960353 Ratio', '   1.18%)']", ,[' 371251  '],[' 30584   '],[' 371170  '],[' 255698  '],"[' 767090   (Atom=Atom', ' 229067 Body=Body', ' 129529 Other', ' 408494)']",[' Yes'],"[' 32503    (Eliminated', '    0 Frozen', ' 32503)']","[' 12559    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4925'],[' 0'], ,[' 429.676'],[' 0'],[' 36.3622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51954e+09'],[' 1.41465e+09'],[' 0'],[' 1.84774e+10'],[' 0'],[' 0'],[' 1934 '],[' 3484 '],[' 5146 '],[' 6573 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 10053+'],[' 5031'],"[' 1023.974s (Solving', ' 926.31s 1st Model', ' 475.82s Unsat', ' 0.00s)']",[' 1019.750s'], ,[' 567750433'],"[' 3271696  (Analyzed', ' 2707524)']","[' 7824     (Average', ' 346.05 Last', ' 43137)']",[' 13409.3 '],"[' 5031     (Average Length', ' 2258.19 Splits', ' 0)']","[' 2707524  (Deleted', ' 2610726)']","[' 794      (Ratio', '   0.03%)']","[' 64323    (Ratio', '   2.38%)']","[' 2707524  (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2707524  (Average', ' 191.18 Max', ' 17070 Sum', ' 517628030)']","[' 2704701  (Average', ' 188.65 Max', ' 17070 Sum', ' 510766553 Ratio', '  98.67%)']","[' 2823     (Average', ' 2430.56 Max', ' 4091 Sum', ' 6861477 Ratio', '   1.33%)']", ,[' 369940  '],[' 30503   '],[' 370173  '],[' 257422  '],"[' 772262   (Atom=Atom', ' 230793 Body=Body', ' 129527 Other', ' 411942)']",[' Yes'],"[' 32735    (Eliminated', '    0 Frozen', ' 32735)']","[' 11305    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.6882'],[' 0'], ,[' 422.946'],[' 0'],[' 37.1128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49483e+09'],[' 1.39113e+09'],[' 0'],[' 1.78938e+10'],[' 0'],[' 0'],[' 2247 '],[' 3653 '],[' 5250 '],[' 6644 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 8671+'],[' 4340'],"[' 796.534s (Solving', ' 700.95s 1st Model', ' 559.42s Unsat', ' 0.00s)']",[' 791.766s'], ,[' 431037853'],"[' 923286   (Analyzed', ' 581333)']","[' 3475     (Average', ' 167.29 Last', ' 85266)']",[' 14244.9 '],"[' 4339     (Average Length', ' 2026.87 Splits', ' 0)']","[' 581333   (Deleted', ' 520889)']","[' 530      (Ratio', '   0.09%)']","[' 44508    (Ratio', '   7.66%)']","[' 581333   (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 581333   (Average', ' 656.42 Max', ' 21629 Sum', ' 381597659)']","[' 579561   (Average', ' 649.49 Max', ' 21629 Sum', ' 377570795 Ratio', '  98.94%)']","[' 1772     (Average', ' 2272.50 Max', ' 3754 Sum', ' 4026864 Ratio', '   1.06%)']", ,[' 371036  '],[' 30462   '],[' 370378  '],[' 256484  '],"[' 769448   (Atom=Atom', ' 230466 Body=Body', ' 128916 Other', ' 410066)']",[' Yes'],"[' 31804    (Eliminated', '    0 Frozen', ' 31804)']","[' 8161     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.0156'],[' 0'], ,[' 280.481'],[' 0'],[' 31.645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22167e+09'],[' 1.15163e+09'],[' 0'],[' 6.6391e+09'],[' 0'],[' 0'],[' 1677 '],[' 5910 '],[' 6448 '],[' 7861 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9221+'],[' 4615'],"[' 1022.964s (Solving', ' 930.51s 1st Model', ' 456.56s Unsat', ' 0.00s)']",[' 1019.766s'], ,[' 508214104'],"[' 1569508  (Analyzed', ' 1106081)']","[' 5067     (Average', ' 218.29 Last', ' 78075)']",[' 13183.4 '],"[' 4615     (Average Length', ' 2118.94 Splits', ' 0)']","[' 1106081  (Deleted', ' 1018262)']","[' 944      (Ratio', '   0.09%)']","[' 61714    (Ratio', '   5.58%)']","[' 1106081  (Average Length', '   27.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1106081  (Average', ' 418.13 Max', ' 17550 Sum', ' 462483906)']","[' 1103476  (Average', ' 412.74 Max', ' 17550 Sum', ' 456520327 Ratio', '  98.71%)']","[' 2605     (Average', ' 2289.28 Max', ' 3923 Sum', ' 5963579 Ratio', '   1.29%)']", ,[' 373056  '],[' 30623   '],[' 373206  '],[' 257918  '],"[' 773750   (Atom=Atom', ' 231065 Body=Body', ' 129751 Other', ' 412934)']",[' Yes'],"[' 32773    (Eliminated', '    0 Frozen', ' 32773)']","[' 10957    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.6763'],[' 0'], ,[' 432.021'],[' 0'],[' 35.1815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46188e+09'],[' 1.37765e+09'],[' 0'],[' 1.96295e+10'],[' 0'],[' 0'],[' 1920 '],[' 3348 '],[' 5186 '],[' 6777 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 10127+'],[' 5068'],"[' 1024.744s (Solving', ' 922.33s 1st Model', ' 510.31s Unsat', ' 0.00s)']",[' 1020.500s'], ,[' 527878603'],"[' 1795806  (Analyzed', ' 1163692)']","[' 5207     (Average', ' 223.49 Last', ' 233643)']",[' 13169.2 '],"[' 5068     (Average Length', ' 2314.13 Splits', ' 0)']","[' 1163692  (Deleted', ' 1074640)']","[' 852      (Ratio', '   0.07%)']","[' 62894    (Ratio', '   5.40%)']","[' 1163692  (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1163692  (Average', ' 411.64 Max', ' 16816 Sum', ' 479020475)']","[' 1160839  (Average', ' 405.64 Max', ' 16816 Sum', ' 472039793 Ratio', '  98.54%)']","[' 2853     (Average', ' 2446.79 Max', ' 4239 Sum', ' 6980682 Ratio', '   1.46%)']", ,[' 370838  '],[' 30665   '],[' 371123  '],[' 257085  '],"[' 771251   (Atom=Atom', ' 230422 Body=Body', ' 129561 Other', ' 411268)']",[' Yes'],"[' 32947    (Eliminated', '    0 Frozen', ' 32947)']","[' 11785    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.5926'],[' 0'], ,[' 419.037'],[' 0'],[' 35.6946'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5517e+09'],[' 1.46143e+09'],[' 0'],[' 1.71341e+10'],[' 0'],[' 0'],[' 1791 '],[' 3527 '],[' 5221 '],[' 6730 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8227+'],[' 4118'],"[' 817.091s (Solving', ' 726.43s 1st Model', ' 235.16s Unsat', ' 0.00s)']",[' 811.000s'], ,[' 390789787'],"[' 2579815  (Analyzed', ' 1858098)']","[' 5945     (Average', ' 312.55 Last', ' 21773)']",[' 13670.6 '],"[' 4117     (Average Length', ' 1929.45 Splits', ' 0)']","[' 1858098  (Deleted', ' 1783242)']","[' 640      (Ratio', '   0.03%)']","[' 46750    (Ratio', '   2.52%)']","[' 1858098  (Average Length', '   30.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1858098  (Average', ' 185.72 Max', ' 19339 Sum', ' 345079288)']","[' 1856109  (Average', ' 183.80 Max', ' 19339 Sum', ' 341525148 Ratio', '  98.97%)']","[' 1989     (Average', ' 1786.90 Max', ' 2290 Sum', ' 3554140 Ratio', '   1.03%)']", ,[' 367886  '],[' 30574   '],[' 367238  '],[' 255105  '],"[' 765311   (Atom=Atom', ' 228920 Body=Body', ' 129083 Other', ' 407308)']",[' Yes'],"[' 31901    (Eliminated', '    0 Frozen', ' 31901)']","[' 8231     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.3415'],[' 0'], ,[' 349.852'],[' 0'],[' 28.6553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01378e+09'],[' 9.38263e+08'],[' 0'],[' 1.30717e+10'],[' 0'],[' 0'],[' 2052 '],[' 3885 '],[' 8330 '],[' 9161 '],[' 4 '],[' 0 ']
Solving...,TA78, , ,[' 10017+'],[' 5013'],"[' 1027.592s (Solving', ' 910.48s 1st Model', ' 508.32s Unsat', ' 0.00s)']",[' 1018.813s'], ,[' 469021306'],"[' 1549388  (Analyzed', ' 869245)']","[' 4626     (Average', ' 187.90 Last', ' 96355)']",[' 12904.6 '],"[' 5014     (Average Length', ' 2260.11 Splits', ' 0)']","[' 869245   (Deleted', ' 786656)']","[' 627      (Ratio', '   0.07%)']","[' 57866    (Ratio', '   6.66%)']","[' 869245   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 869245   (Average', ' 484.81 Max', ' 17845 Sum', ' 421414358)']","[' 866500   (Average', ' 477.18 Max', ' 17845 Sum', ' 414789674 Ratio', '  98.43%)']","[' 2745     (Average', ' 2413.36 Max', ' 4189 Sum', ' 6624684 Ratio', '   1.57%)']", ,[' 370153  '],[' 30380   '],[' 370469  '],[' 256153  '],"[' 768455   (Atom=Atom', ' 229650 Body=Body', ' 129401 Other', ' 409404)']",[' Yes'],"[' 32694    (Eliminated', '    0 Frozen', ' 32694)']","[' 11591    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.4775'],[' 0'], ,[' 376.058'],[' 0'],[' 37.532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31692e+09'],[' 1.2342e+09'],[' 0'],[' 9.65317e+09'],[' 0'],[' 0'],[' 1841 '],[' 3414 '],[' 4972 '],[' 6389 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 8987+'],[' 4498'],"[' 1023.846s (Solving', ' 926.57s 1st Model', ' 599.55s Unsat', ' 0.00s)']",[' 1016.219s'], ,[' 497692972'],"[' 1232316  (Analyzed', ' 786819)']","[' 4350     (Average', ' 180.88 Last', ' 53877)']",[' 12765.8 '],"[' 4498     (Average Length', ' 2084.39 Splits', ' 0)']","[' 786819   (Deleted', ' 705334)']","[' 835      (Ratio', '   0.11%)']","[' 60890    (Ratio', '   7.74%)']","[' 786819   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 786819   (Average', ' 579.61 Max', ' 16474 Sum', ' 456047310)']","[' 783769   (Average', ' 570.71 Max', ' 16474 Sum', ' 449047184 Ratio', '  98.47%)']","[' 3050     (Average', ' 2295.12 Max', ' 3910 Sum', ' 7000126 Ratio', '   1.53%)']", ,[' 372801  '],[' 30594   '],[' 372829  '],[' 257284  '],"[' 771848   (Atom=Atom', ' 230602 Body=Body', ' 129580 Other', ' 411666)']",[' Yes'],"[' 32593    (Eliminated', '    0 Frozen', ' 32593)']","[' 10648    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.6613'],[' 0'], ,[' 396.997'],[' 0'],[' 37.1656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4119e+09'],[' 1.33204e+09'],[' 0'],[' 1.32386e+10'],[' 0'],[' 0'],[' 1633 '],[' 3185 '],[' 4978 '],[' 6418 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9523+'],[' 4766'],"[' 1024.368s (Solving', ' 925.05s 1st Model', ' 556.10s Unsat', ' 0.00s)']",[' 1020.672s'], ,[' 536350318'],"[' 1506919  (Analyzed', ' 1099966)']","[' 4875     (Average', ' 225.63 Last', ' 96199)']",[' 13109.5 '],"[' 4766     (Average Length', ' 2179.50 Splits', ' 0)']","[' 1099966  (Deleted', ' 1007622)']","[' 770      (Ratio', '   0.07%)']","[' 70308    (Ratio', '   6.39%)']","[' 1099966  (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1099966  (Average', ' 445.19 Max', ' 16400 Sum', ' 489694920)']","[' 1097269  (Average', ' 439.73 Max', ' 16400 Sum', ' 483684928 Ratio', '  98.77%)']","[' 2697     (Average', ' 2228.40 Max', ' 4034 Sum', ' 6009992 Ratio', '   1.23%)']", ,[' 373178  '],[' 30548   '],[' 373369  '],[' 256449  '],"[' 769343   (Atom=Atom', ' 229760 Body=Body', ' 129587 Other', ' 409996)']",[' Yes'],"[' 32739    (Eliminated', '    0 Frozen', ' 32739)']","[' 12442    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.7265'],[' 0'], ,[' 388.363'],[' 0'],[' 36.3872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49864e+09'],[' 1.4051e+09'],[' 0'],[' 1.34842e+10'],[' 0'],[' 0'],[' 2062 '],[' 3401 '],[' 4824 '],[' 6223 '],[' 4 '],[' 0 ']
