Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu36, ,[' 1'],[' 7119+'],[' 3562'],"[' 1010.781s (Solving', ' 968.16s 1st Model', ' 838.73s Unsat', ' 0.00s)']",[' 1007.281s'], ,[' 660531234'],"[' 1507279  (Analyzed', ' 807991)']","[' 5151     (Average', ' 156.86 Last', ' 74255)']",[' 14226.0 '],"[' 3562     (Average Length', ' 1760.55 Splits', ' 0)']","[' 807991   (Deleted', ' 713905)']","[' 472      (Ratio', '   0.06%)']","[' 84000    (Ratio', '  10.40%)']","[' 807991   (Average Length', '   39.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 807991   (Average', ' 763.45 Max', ' 17512 Sum', ' 616863869)']","[' 807142   (Average', ' 761.40 Max', ' 17512 Sum', ' 615207309 Ratio', '  99.73%)']","[' 849      (Average', ' 1951.19 Max', ' 17509 Sum', ' 1656560 Ratio', '   0.27%)']", ,[' 155738  '],[' 23991   '],[' 157442  '],[' 118102  '],"[' 354302   (Atom=Atom', ' 95860 Body=Body', ' 48690 Other', ' 209752)']",[' Yes'],"[' 26695    (Eliminated', '    0 Frozen', ' 26695)']","[' 9535     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.28689'],[' 0'], ,[' 306.963'],[' 0'],[' 38.7965'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7339e+09'],[' 1.64185e+09'],[' 0'],[' 5.84314e+09'],[' 0'],[' 0'],[' 5736 '],[' 11114 '],[' 2 '],[' 0 ']
Solving...,Dmu37, ,[' 1'],[' 6747+'],[' 3376'],"[' 1009.683s (Solving', ' 968.22s 1st Model', ' 821.87s Unsat', ' 0.00s)']",[' 1006.625s'], ,[' 645786141'],"[' 1360900  (Analyzed', ' 868286)']","[' 4882     (Average', ' 177.85 Last', ' 100582)']",[' 13958.6 '],"[' 3376     (Average Length', ' 1668.66 Splits', ' 0)']","[' 868286   (Deleted', ' 768878)']","[' 602      (Ratio', '   0.07%)']","[' 88991    (Ratio', '  10.25%)']","[' 868286   (Average Length', '   38.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 868286   (Average', ' 697.08 Max', ' 16227 Sum', ' 605263437)']","[' 867311   (Average', ' 695.16 Max', ' 14807 Sum', ' 603595012 Ratio', '  99.72%)']","[' 975      (Average', ' 1711.21 Max', ' 3128 Sum', ' 1668425 Ratio', '   0.28%)']", ,[' 153817  '],[' 23535   '],[' 155425  '],[' 116269  '],"[' 348803   (Atom=Atom', ' 94406 Body=Body', ' 48311 Other', ' 206086)']",[' Yes'],"[' 26143    (Eliminated', '    0 Frozen', ' 26143)']","[' 10814    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.0208'],[' 0'], ,[' 303.676'],[' 0'],[' 37.997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75219e+09'],[' 1.65457e+09'],[' 0'],[' 6.25104e+09'],[' 0'],[' 0'],[' 5915 '],[' 11201 '],[' 2 '],[' 0 ']
Solving...,Dmu38, ,[' 1'],[' 7049+'],[' 3527'],"[' 1009.742s (Solving', ' 967.88s 1st Model', ' 761.09s Unsat', ' 0.00s)']",[' 1006.063s'], ,[' 639550909'],"[' 1486924  (Analyzed', ' 890895)']","[' 5017     (Average', ' 177.58 Last', ' 145271)']",[' 13808.6 '],"[' 3527     (Average Length', ' 1743.41 Splits', ' 0)']","[' 890895   (Deleted', ' 790017)']","[' 555      (Ratio', '   0.06%)']","[' 90171    (Ratio', '  10.12%)']","[' 890895   (Average Length', '   38.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 890895   (Average', ' 671.18 Max', ' 15839 Sum', ' 597952588)']","[' 889914   (Average', ' 669.22 Max', ' 15162 Sum', ' 596201607 Ratio', '  99.71%)']","[' 981      (Average', ' 1784.89 Max', ' 3444 Sum', ' 1750981 Ratio', '   0.29%)']", ,[' 152404  '],[' 23069   '],[' 154014  '],[' 114050  '],"[' 342146   (Atom=Atom', ' 92813 Body=Body', ' 47685 Other', ' 201648)']",[' Yes'],"[' 25679    (Eliminated', '    0 Frozen', ' 25679)']","[' 10891    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.27793'],[' 0'], ,[' 306.45'],[' 0'],[' 37.4516'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7682e+09'],[' 1.66917e+09'],[' 0'],[' 6.28716e+09'],[' 0'],[' 0'],[' 5911 '],[' 11078 '],[' 2 '],[' 0 ']
Solving...,Dmu39, ,[' 1'],[' 6967+'],[' 3486'],"[' 1010.230s (Solving', ' 966.58s 1st Model', ' 741.92s Unsat', ' 0.00s)']",[' 1007.125s'], ,[' 657297750'],"[' 1388100  (Analyzed', ' 837526)']","[' 4971     (Average', ' 168.48 Last', ' 87566)']",[' 14207.7 '],"[' 3486     (Average Length', ' 1722.71 Splits', ' 0)']","[' 837526   (Deleted', ' 739229)']","[' 561      (Ratio', '   0.07%)']","[' 86438    (Ratio', '  10.32%)']","[' 837526   (Average Length', '   39.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 837526   (Average', ' 734.03 Max', ' 15674 Sum', ' 614773363)']","[' 836467   (Average', ' 731.92 Max', ' 14974 Sum', ' 612999201 Ratio', '  99.71%)']","[' 1059     (Average', ' 1675.32 Max', ' 2951 Sum', ' 1774162 Ratio', '   0.29%)']", ,[' 154681  '],[' 23685   '],[' 156319  '],[' 116725  '],"[' 350171   (Atom=Atom', ' 94788 Body=Body', ' 48385 Other', ' 206998)']",[' Yes'],"[' 26323    (Eliminated', '    0 Frozen', ' 26323)']","[' 11023    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.45858'],[' 0'], ,[' 305.118'],[' 0'],[' 38.4092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76413e+09'],[' 1.66804e+09'],[' 0'],[' 6.07179e+09'],[' 0'],[' 0'],[' 5824 '],[' 11437 '],[' 2 '],[' 0 ']
Solving...,Dmu40, ,[' 1'],[' 6829+'],[' 3417'],"[' 1009.928s (Solving', ' 966.45s 1st Model', ' 838.29s Unsat', ' 0.00s)']",[' 1006.250s'], ,[' 656766902'],"[' 1517304  (Analyzed', ' 805029)']","[' 5040     (Average', ' 159.73 Last', ' 97959)']",[' 14392.5 '],"[' 3417     (Average Length', ' 1690.57 Splits', ' 0)']","[' 805029   (Deleted', ' 710528)']","[' 507      (Ratio', '   0.06%)']","[' 87217    (Ratio', '  10.83%)']","[' 805029   (Average Length', '   38.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 805029   (Average', ' 763.21 Max', ' 15904 Sum', ' 614405560)']","[' 803858   (Average', ' 760.77 Max', ' 15718 Sum', ' 612442153 Ratio', '  99.68%)']","[' 1171     (Average', ' 1676.69 Max', ' 3187 Sum', ' 1963407 Ratio', '   0.32%)']", ,[' 156180  '],[' 24009   '],[' 157903  '],[' 118632  '],"[' 355892   (Atom=Atom', ' 96227 Body=Body', ' 48853 Other', ' 210812)']",[' Yes'],"[' 26732    (Eliminated', '    0 Frozen', ' 26732)']","[' 10891    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.42466'],[' 0'], ,[' 305.219'],[' 0'],[' 38.3964'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74381e+09'],[' 1.64988e+09'],[' 0'],[' 6.28436e+09'],[' 0'],[' 0'],[' 5744 '],[' 10947 '],[' 2 '],[' 0 ']
Solving...,Dmu76, ,[' 1'],[' 6847+'],[' 3426'],"[' 1006.767s (Solving', ' 976.63s 1st Model', ' 853.94s Unsat', ' 0.00s)']",[' 1003.594s'], ,[' 538472175'],"[' 2260573  (Analyzed', ' 1962593)']","[' 7382     (Average', ' 265.86 Last', ' 206327)']",[' 9078.9  '],"[' 3426     (Average Length', ' 1693.91 Splits', ' 0)']","[' 1962593  (Deleted', ' 1883341)']","[' 858      (Ratio', '   0.04%)']","[' 65464    (Ratio', '   3.34%)']","[' 1962593  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1962593  (Average', ' 261.72 Max', ' 10760 Sum', ' 513654377)']","[' 1962007  (Average', ' 261.15 Max', ' 10138 Sum', ' 512534428 Ratio', '  99.78%)']","[' 586      (Average', ' 1911.18 Max', ' 3325 Sum', ' 1119949 Ratio', '   0.22%)']", ,[' 121969  '],[' 15651   '],[' 123108  '],[' 82413   '],"[' 247235   (Atom=Atom', ' 68956 Body=Body', ' 39905 Other', ' 138374)']",[' Yes'],"[' 17790    (Eliminated', '    0 Frozen', ' 17790)']","[' 7178     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.91245'],[' 0'], ,[' 365.953'],[' 0'],[' 33.112'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80911e+09'],[' 1.64587e+09'],[' 0'],[' 1.34214e+10'],[' 0'],[' 0'],[' 3839 '],[' 6957 '],[' 2 '],[' 0 ']
Solving...,Dmu77, ,[' 1'],[' 7459+'],[' 3732'],"[' 1007.230s (Solving', ' 975.27s 1st Model', ' 902.12s Unsat', ' 0.00s)']",[' 1003.625s'], ,[' 534649952'],"[' 2342707  (Analyzed', ' 1944006)']","[' 7759     (Average', ' 250.55 Last', ' 172358)']",[' 9139.7  '],"[' 3732     (Average Length', ' 1844.21 Splits', ' 0)']","[' 1944006  (Deleted', ' 1864383)']","[' 763      (Ratio', '   0.04%)']","[' 67948    (Ratio', '   3.50%)']","[' 1944006  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1944006  (Average', ' 261.24 Max', ' 10876 Sum', ' 507855857)']","[' 1943443  (Average', ' 260.63 Max', ' 10876 Sum', ' 506659099 Ratio', '  99.76%)']","[' 563      (Average', ' 2125.68 Max', ' 3624 Sum', ' 1196758 Ratio', '   0.24%)']", ,[' 122000  '],[' 15741   '],[' 123300  '],[' 82724   '],"[' 248168   (Atom=Atom', ' 69306 Body=Body', ' 39866 Other', ' 138996)']",[' Yes'],"[' 18041    (Eliminated', '    0 Frozen', ' 18041)']","[' 7400     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.3644'],[' 0'], ,[' 360.101'],[' 0'],[' 32.8253'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8035e+09'],[' 1.64019e+09'],[' 0'],[' 1.28712e+10'],[' 0'],[' 0'],[' 3575 '],[' 7039 '],[' 2 '],[' 0 ']
Solving...,Dmu78, ,[' 1'],[' 7689+'],[' 3847'],"[' 1007.577s (Solving', ' 972.47s 1st Model', ' 865.94s Unsat', ' 0.00s)']",[' 1004.297s'], ,[' 522578838'],"[' 2398752  (Analyzed', ' 1940123)']","[' 7664     (Average', ' 253.15 Last', ' 226377)']",[' 9545.7  '],"[' 3847     (Average Length', ' 1898.22 Splits', ' 0)']","[' 1940123  (Deleted', ' 1860051)']","[' 799      (Ratio', '   0.04%)']","[' 66307    (Ratio', '   3.42%)']","[' 1940123  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1940123  (Average', ' 254.34 Max', ' 10709 Sum', ' 493444147)']","[' 1939559  (Average', ' 253.78 Max', ' 10401 Sum', ' 492361890 Ratio', '  99.78%)']","[' 564      (Average', ' 1918.90 Max', ' 3729 Sum', ' 1082257 Ratio', '   0.22%)']", ,[' 121285  '],[' 15644   '],[' 122711  '],[' 82486   '],"[' 247454   (Atom=Atom', ' 69147 Body=Body', ' 39787 Other', ' 138520)']",[' Yes'],"[' 18070    (Eliminated', '    0 Frozen', ' 18070)']","[' 7166     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.06975'],[' 0'], ,[' 362.005'],[' 0'],[' 32.3031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76379e+09'],[' 1.60293e+09'],[' 0'],[' 1.32374e+10'],[' 0'],[' 0'],[' 3575 '],[' 7198 '],[' 2 '],[' 0 ']
Solving...,Dmu79, ,[' 1'],[' 6257+'],[' 3131'],"[' 1006.098s (Solving', ' 978.91s 1st Model', ' 661.81s Unsat', ' 0.00s)']",[' 1002.797s'], ,[' 541426517'],"[' 2829265  (Analyzed', ' 2522967)']","[' 8285     (Average', ' 304.52 Last', ' 124964)']",[' 9032.5  '],"[' 3131     (Average Length', ' 1544.17 Splits', ' 0)']","[' 2522967  (Deleted', ' 2439905)']","[' 735      (Ratio', '   0.03%)']","[' 64748    (Ratio', '   2.57%)']","[' 2522967  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2522967  (Average', ' 205.48 Max', ' 10808 Sum', ' 518424283)']","[' 2522330  (Average', ' 205.04 Max', ' 9838 Sum', ' 517319544 Ratio', '  99.79%)']","[' 637      (Average', ' 1734.28 Max', ' 3017 Sum', ' 1104739 Ratio', '   0.21%)']", ,[' 121262  '],[' 15691   '],[' 122033  '],[' 82116   '],"[' 246344   (Atom=Atom', ' 68675 Body=Body', ' 39889 Other', ' 137780)']",[' Yes'],"[' 17462    (Eliminated', '    0 Frozen', ' 17462)']","[' 7031     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.44569'],[' 0'], ,[' 391.527'],[' 0'],[' 33.1115'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70503e+09'],[' 1.53635e+09'],[' 0'],[' 1.57614e+10'],[' 0'],[' 0'],[' 3864 '],[' 7448 '],[' 2 '],[' 0 ']
Solving...,Dmu80, ,[' 1'],[' 7373+'],[' 3689'],"[' 1006.992s (Solving', ' 975.46s 1st Model', ' 823.98s Unsat', ' 0.00s)']",[' 1003.609s'], ,[' 528002676'],"[' 2646969  (Analyzed', ' 2013890)']","[' 7899     (Average', ' 254.96 Last', ' 331263)']",[' 9254.7  '],"[' 3689     (Average Length', ' 1822.96 Splits', ' 0)']","[' 2013890  (Deleted', ' 1939054)']","[' 669      (Ratio', '   0.03%)']","[' 61471    (Ratio', '   3.05%)']","[' 2013890  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2013890  (Average', ' 248.66 Max', ' 11472 Sum', ' 500772327)']","[' 2013321  (Average', ' 248.07 Max', ' 10465 Sum', ' 499587435 Ratio', '  99.76%)']","[' 569      (Average', ' 2082.41 Max', ' 3551 Sum', ' 1184892 Ratio', '   0.24%)']", ,[' 121243  '],[' 15623   '],[' 122530  '],[' 82319   '],"[' 246953   (Atom=Atom', ' 68969 Body=Body', ' 39798 Other', ' 138186)']",[' Yes'],"[' 17910    (Eliminated', '    0 Frozen', ' 17910)']","[' 6107     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.2377'],[' 0'], ,[' 368.556'],[' 0'],[' 32.9593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7782e+09'],[' 1.6103e+09'],[' 0'],[' 1.38219e+10'],[' 0'],[' 0'],[' 3564 '],[' 6987 '],[' 2 '],[' 0 ']
