Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,Dmu36, ,[' 1'],[' 7077+'],[' 3541'],"[' 1010.460s (Solving', ' 967.90s 1st Model', ' 786.06s Unsat', ' 0.00s)']", 1006.969s, ,[' 653338897'],"[' 1416883  (Analyzed', ' 783139)']","[' 4944     (Average', ' 158.40 Last', ' 74255)']",[' 14287.6 '],"[' 3541     (Average Length', ' 1755.91 Splits', ' 0)']","[' 783139   (Deleted', ' 692874)']","[' 551      (Ratio', '   0.07%)']","[' 81610    (Ratio', '  10.42%)']","[' 783139   (Average Length', '   40.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 783139   (Average', ' 778.47 Max', ' 17003 Sum', ' 609652583)']","[' 782352   (Average', ' 776.52 Max', ' 17003 Sum', ' 608122688 Ratio', '  99.75%)']","[' 787      (Average', ' 1943.96 Max', ' 3459 Sum', ' 1529895 Ratio', '   0.25%)']", ,[' 156486  '],[' 24288   '],[' 158070  '],[' 118603  '],"[' 355805   (Atom=Atom', ' 96187 Body=Body', ' 48864 Other', ' 210754)']",[' Yes'],"[' 26872    (Eliminated', '    0 Frozen', ' 26872)']","[' 9287     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.29601'],[' 0'], ,[' 304.348'],[' 0'],[' 39.0696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76063e+09'],[' 1.66783e+09'],[' 0'],[' 5.52874e+09'],[' 0'],[' 0'],5736,11014,2,0
Solving...,Dmu37, ,[' 1'],[' 7091+'],[' 3548'],"[' 1010.917s (Solving', ' 966.77s 1st Model', ' 864.19s Unsat', ' 0.00s)']", 1007.625s, ,[' 647633927'],"[' 1456632  (Analyzed', ' 837304)']","[' 5037     (Average', ' 166.23 Last', ' 100582)']",[' 14315.9 '],"[' 3548     (Average Length', ' 1753.93 Splits', ' 0)']","[' 837304   (Deleted', ' 743194)']","[' 734      (Ratio', '   0.09%)']","[' 84837    (Ratio', '  10.13%)']","[' 837304   (Average Length', '   39.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 837304   (Average', ' 721.13 Max', ' 16064 Sum', ' 603804136)']","[' 836394   (Average', ' 719.26 Max', ' 15067 Sum', ' 602235678 Ratio', '  99.74%)']","[' 910      (Average', ' 1723.58 Max', ' 3427 Sum', ' 1568458 Ratio', '   0.26%)']", ,[' 155141  '],[' 23981   '],[' 156724  '],[' 117197  '],"[' 351587   (Atom=Atom', ' 95082 Body=Body', ' 48563 Other', ' 207942)']",[' Yes'],"[' 26564    (Eliminated', '    0 Frozen', ' 26564)']","[' 10430    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.57116'],[' 0'], ,[' 304.473'],[' 0'],[' 38.6124'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75483e+09'],[' 1.65833e+09'],[' 0'],[' 5.97101e+09'],[' 0'],[' 0'],5915,11140,2,0
Solving...,Dmu38, ,[' 1'],[' 3611+'],[' 1808'],"[' 1004.515s (Solving', ' 989.50s 1st Model', ' 444.83s Unsat', ' 0.00s)']", 1001.797s, ,[' 367569593'],"[' 5626062  (Analyzed', ' 5406606)']","[' 11933    (Average', ' 453.08 Last', ' 145271)']",[' 10653.3 '],"[' 1808     (Average Length', ' 903.48 Splits', ' 0)']","[' 5406606  (Deleted', ' 5274885)']","[' 287      (Ratio', '   0.01%)']","[' 55588    (Ratio', '   1.03%)']","[' 5406606  (Average Length', '   59.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5406606  (Average', ' 64.85 Max', ' 16019 Sum', ' 350618104)']","[' 5405684  (Average', ' 64.55 Max', ' 15934 Sum', ' 348989154 Ratio', '  99.54%)']","[' 922      (Average', ' 1766.76 Max', ' 1806 Sum', ' 1628950 Ratio', '   0.46%)']", ,[' 152340  '],[' 23733   '],[' 151994  '],[' 113372  '],"[' 340112   (Atom=Atom', ' 91788 Body=Body', ' 48032 Other', ' 200292)']",[' Yes'],"[' 24387    (Eliminated', '    0 Frozen', ' 24387)']","[' 10356    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.47869'],[' 0'], ,[' 565.22'],[' 0'],[' 26.3987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0609e+09'],[' 9.8702e+08'],[' 0'],[' 3.24552e+10'],[' 0'],[' 0'],5911,37243,2,0
Solving...,Dmu39, ,[' 1'],[' 7197+'],[' 3601'],"[' 1011.772s (Solving', ' 965.00s 1st Model', ' 782.00s Unsat', ' 0.00s)']", 1008.422s, ,[' 623415608'],"[' 1816303  (Analyzed', ' 1224389)']","[' 6029     (Average', ' 203.08 Last', ' 490078)']",[' 14502.8 '],"[' 3601     (Average Length', ' 1783.22 Splits', ' 0)']","[' 1224389  (Deleted', ' 1127876)']","[' 607      (Ratio', '   0.05%)']","[' 78429    (Ratio', '   6.41%)']","[' 1224389  (Average Length', '   42.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1224389  (Average', ' 472.34 Max', ' 16898 Sum', ' 578324264)']","[' 1223464  (Average', ' 471.07 Max', ' 15640 Sum', ' 576767487 Ratio', '  99.73%)']","[' 925      (Average', ' 1683.00 Max', ' 3471 Sum', ' 1556777 Ratio', '   0.27%)']", ,[' 155663  '],[' 24074   '],[' 157222  '],[' 117368  '],"[' 352100   (Atom=Atom', ' 95255 Body=Body', ' 48561 Other', ' 208284)']",[' Yes'],"[' 26633    (Eliminated', '    0 Frozen', ' 26633)']","[' 10454    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.8754'],[' 0'], ,[' 339.258'],[' 0'],[' 37.0515'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67169e+09'],[' 1.57959e+09'],[' 0'],[' 9.73473e+09'],[' 0'],[' 0'],5824,11527,2,0
Solving...,Dmu40, ,[' 1'],[' 7309+'],[' 3657'],"[' 1011.648s (Solving', ' 964.51s 1st Model', ' 727.49s Unsat', ' 0.00s)']", 1008.234s, ,[' 652028620'],"[' 1608213  (Analyzed', ' 778630)']","[' 5145     (Average', ' 151.34 Last', ' 97959)']",[' 14727.6 '],"[' 3657     (Average Length', ' 1807.16 Splits', ' 0)']","[' 778630   (Deleted', ' 686516)']","[' 669      (Ratio', '   0.09%)']","[' 83866    (Ratio', '  10.77%)']","[' 778630   (Average Length', '   40.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 778630   (Average', ' 777.69 Max', ' 16417 Sum', ' 605531958)']","[' 777573   (Average', ' 775.38 Max', ' 16417 Sum', ' 603737630 Ratio', '  99.70%)']","[' 1057     (Average', ' 1697.57 Max', ' 14211 Sum', ' 1794328 Ratio', '   0.30%)']", ,[' 157331  '],[' 24382   '],[' 159100  '],[' 119460  '],"[' 358376   (Atom=Atom', ' 96859 Body=Body', ' 49049 Other', ' 212468)']",[' Yes'],"[' 27151    (Eliminated', '    0 Frozen', ' 27151)']","[' 10269    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.95249'],[' 0'], ,[' 307.026'],[' 0'],[' 38.436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74401e+09'],[' 1.6498e+09'],[' 0'],[' 6.22453e+09'],[' 0'],[' 0'],5744,10785,2,0
Solving...,Dmu76, ,[' 1'],[' 6869+'],[' 3437'],"[' 1006.500s (Solving', ' 976.61s 1st Model', ' 892.91s Unsat', ' 0.00s)']", 1003.063s, ,[' 545217101'],"[' 2236855  (Analyzed', ' 1877841)']","[' 7595     (Average', ' 247.25 Last', ' 194791)']",[' 9333.3  '],"[' 3437     (Average Length', ' 1698.30 Splits', ' 0)']","[' 1877841  (Deleted', ' 1801565)']","[' 895      (Ratio', '   0.05%)']","[' 64895    (Ratio', '   3.46%)']","[' 1877841  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1877841  (Average', ' 276.55 Max', ' 11740 Sum', ' 519319388)']","[' 1877294  (Average', ' 276.00 Max', ' 11064 Sum', ' 518281177 Ratio', '  99.80%)']","[' 547      (Average', ' 1898.01 Max', ' 3341 Sum', ' 1038211 Ratio', '   0.20%)']", ,[' 124727  '],[' 16894   '],[' 125150  '],[' 83978   '],"[' 251930   (Atom=Atom', ' 70003 Body=Body', ' 40423 Other', ' 141504)']",[' Yes'],"[' 18317    (Eliminated', '    0 Frozen', ' 18317)']","[' 6738     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.97161'],[' 0'], ,[' 361.836'],[' 0'],[' 33.483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83501e+09'],[' 1.67278e+09'],[' 0'],[' 1.28711e+10'],[' 0'],[' 0'],3839,7007,2,0
Solving...,Dmu77, ,[' 1'],[' 7637+'],[' 3821'],"[' 1008.085s (Solving', ' 973.99s 1st Model', ' 864.44s Unsat', ' 0.00s)']", 1004.672s, ,[' 533440355'],"[' 2259558  (Analyzed', ' 2015812)']","[' 7637     (Average', ' 263.95 Last', ' 172358)']",[' 9590.0  '],"[' 3821     (Average Length', ' 1888.56 Splits', ' 0)']","[' 2015812  (Deleted', ' 1934833)']","[' 851      (Ratio', '   0.04%)']","[' 65480    (Ratio', '   3.25%)']","[' 2015812  (Average Length', '   26.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2015812  (Average', ' 250.29 Max', ' 11629 Sum', ' 504531043)']","[' 2015274  (Average', ' 249.72 Max', ' 11629 Sum', ' 503394197 Ratio', '  99.77%)']","[' 538      (Average', ' 2113.10 Max', ' 3679 Sum', ' 1136846 Ratio', '   0.23%)']", ,[' 124892  '],[' 16917   '],[' 125661  '],[' 84490   '],"[' 253466   (Atom=Atom', ' 70513 Body=Body', ' 40425 Other', ' 142528)']",[' Yes'],"[' 18686    (Eliminated', '    0 Frozen', ' 18686)']","[' 7066     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.65081'],[' 0'], ,[' 370.733'],[' 0'],[' 32.8633'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79164e+09'],[' 1.63341e+09'],[' 0'],[' 1.37791e+10'],[' 0'],[' 0'],3575,7105,2,0
Solving...,Dmu78, ,[' 1'],[' 7305+'],[' 3655'],"[' 1007.599s (Solving', ' 974.41s 1st Model', ' 783.42s Unsat', ' 0.00s)']", 1004.250s, ,[' 519590438'],"[' 2358851  (Analyzed', ' 2065138)']","[' 7271     (Average', ' 284.02 Last', ' 226377)']",[' 9775.7  '],"[' 3655     (Average Length', ' 1809.64 Splits', ' 0)']","[' 2065138  (Deleted', ' 1987389)']","[' 931      (Ratio', '   0.05%)']","[' 64188    (Ratio', '   3.11%)']","[' 2065138  (Average Length', '   26.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2065138  (Average', ' 237.68 Max', ' 11178 Sum', ' 490850137)']","[' 2064603  (Average', ' 237.20 Max', ' 11178 Sum', ' 489843767 Ratio', '  99.79%)']","[' 535      (Average', ' 1881.07 Max', ' 3556 Sum', ' 1006370 Ratio', '   0.21%)']", ,[' 124571  '],[' 16895   '],[' 125327  '],[' 84571   '],"[' 253709   (Atom=Atom', ' 70473 Body=Body', ' 40546 Other', ' 142690)']",[' Yes'],"[' 18651    (Eliminated', '    0 Frozen', ' 18651)']","[' 6799     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.63309'],[' 0'], ,[' 373.027'],[' 0'],[' 32.3072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76414e+09'],[' 1.60471e+09'],[' 0'],[' 1.41215e+10'],[' 0'],[' 0'],3575,7147,2,0
Solving...,Dmu79, ,[' 1'],[' 7053+'],[' 3529'],"[' 1007.781s (Solving', ' 974.99s 1st Model', ' 586.62s Unsat', ' 0.00s)']", 1004.328s, ,[' 527095241'],"[' 2973205  (Analyzed', ' 2644429)']","[' 8533     (Average', ' 309.91 Last', ' 155872)']",[' 9869.0  '],"[' 3529     (Average Length', ' 1737.68 Splits', ' 0)']","[' 2644429  (Deleted', ' 2559263)']","[' 741      (Ratio', '   0.03%)']","[' 61862    (Ratio', '   2.34%)']","[' 2644429  (Average Length', '   27.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2644429  (Average', ' 188.60 Max', ' 12630 Sum', ' 498738184)']","[' 2643849  (Average', ' 188.21 Max', ' 11396 Sum', ' 497717221 Ratio', '  99.80%)']","[' 580      (Average', ' 1760.28 Max', ' 3397 Sum', ' 1020963 Ratio', '   0.20%)']", ,[' 124540  '],[' 16878   '],[' 125078  '],[' 84257   '],"[' 252767   (Atom=Atom', ' 70235 Body=Body', ' 40470 Other', ' 142062)']",[' Yes'],"[' 18416    (Eliminated', '    0 Frozen', ' 18416)']","[' 6492     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.46549'],[' 0'], ,[' 404.505'],[' 0'],[' 32.7958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65322e+09'],[' 1.49222e+09'],[' 0'],[' 1.72757e+10'],[' 0'],[' 0'],3864,7464,2,0
