Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 8319+'],[' 4162'],"[' 994.870s (Solving', ' 931.21s 1st Model', ' 750.94s Unsat', ' 0.00s)']",[' 977.406s'], ,[' 478087101'],"[' 2909745  (Analyzed', ' 1688507)']","[' 7733     (Average', ' 218.35 Last', ' 189277)']",[' 10720.4 '],"[' 4162     (Average Length', ' 2027.04 Splits', ' 0)']","[' 1688507  (Deleted', ' 1618271)']","[' 551      (Ratio', '   0.03%)']","[' 56993    (Ratio', '   3.38%)']","[' 1688507  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1688507  (Average', ' 261.38 Max', ' 12283 Sum', ' 441338260)']","[' 1687953  (Average', ' 260.77 Max', ' 10725 Sum', ' 440319762 Ratio', '  99.77%)']","[' 554      (Average', ' 1838.44 Max', ' 3903 Sum', ' 1018498 Ratio', '   0.23%)']", ,[' 123242  '],[' 15633   '],[' 126147  '],[' 76932   '],"[' 230792   (Atom=Atom', ' 62297 Body=Body', ' 41083 Other', ' 127412)']",[' Yes'],"[' 19538    (Eliminated', '    0 Frozen', ' 19538)']","[' 6342     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5728'],[' 0'], ,[' 363.374'],[' 0'],[' 33.3908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33452e+09'],[' 1.19815e+09'],[' 0'],[' 1.1057e+10'],[' 0'],[' 0'],[' 1831 '],[' 3577 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 4971+'],[' 2488'],"[' 503.119s (Solving', ' 455.53s 1st Model', ' 370.51s Unsat', ' 0.00s)']",[' 490.625s'], ,[' 259833311'],"[' 810950   (Analyzed', ' 495108)']","[' 3052     (Average', ' 162.22 Last', ' 70444)']",[' 15376.9 '],"[' 2487     (Average Length', ' 1240.22 Splits', ' 0)']","[' 495108   (Deleted', ' 464322)']","[' 211      (Ratio', '   0.04%)']","[' 27152    (Ratio', '   5.48%)']","[' 495108   (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 495108   (Average', ' 452.99 Max', ' 14651 Sum', ' 224279339)']","[' 495105   (Average', ' 452.98 Max', ' 14651 Sum', ' 224272721 Ratio', ' 100.00%)']","[' 3        (Average', ' 2206.00 Max', ' 2344 Sum', '   6618 Ratio', '   0.00%)']", ,[' 121883  '],[' 15800   '],[' 123337  '],[' 75740   '],"[' 227216   (Atom=Atom', ' 60938 Body=Body', ' 41250 Other', ' 125028)']",[' Yes'],"[' 18254    (Eliminated', '    0 Frozen', ' 18254)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.85616'],[' 0'], ,[' 190.955'],[' 0'],[' 18.9136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.57337e+08'],[' 5.1012e+08'],[' 0'],[' 6.60732e+09'],[' 0'],[' 0'],[' 12867 '],[' 13414 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 8395+'],[' 4200'],"[' 994.325s (Solving', ' 932.34s 1st Model', ' 689.51s Unsat', ' 0.00s)']",[' 974.953s'], ,[' 474712058'],"[' 2558235  (Analyzed', ' 1486931)']","[' 6847     (Average', ' 217.17 Last', ' 261340)']",[' 10548.1 '],"[' 4200     (Average Length', ' 2038.50 Splits', ' 0)']","[' 1486931  (Deleted', ' 1421097)']","[' 416      (Ratio', '   0.03%)']","[' 56818    (Ratio', '   3.82%)']","[' 1486931  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1486931  (Average', ' 295.03 Max', ' 12089 Sum', ' 438688324)']","[' 1486377  (Average', ' 294.30 Max', ' 11766 Sum', ' 437603475 Ratio', '  99.75%)']","[' 554      (Average', ' 1958.21 Max', ' 3900 Sum', ' 1084849 Ratio', '   0.25%)']", ,[' 123169  '],[' 15582   '],[' 126068  '],[' 76808   '],"[' 230420   (Atom=Atom', ' 62224 Body=Body', ' 41032 Other', ' 127164)']",[' Yes'],"[' 19481    (Eliminated', '    0 Frozen', ' 19481)']","[' 6486     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4317'],[' 0'], ,[' 350.956'],[' 0'],[' 33.3054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37393e+09'],[' 1.24457e+09'],[' 0'],[' 9.95926e+09'],[' 0'],[' 0'],[' 1676 '],[' 3398 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 7287+'],[' 3646'],"[' 996.885s (Solving', ' 943.26s 1st Model', ' 699.38s Unsat', ' 0.00s)']",[' 984.563s'], ,[' 476809163'],"[' 3565541  (Analyzed', ' 1537744)']","[' 7125     (Average', ' 215.82 Last', ' 231434)']",[' 10579.1 '],"[' 3646     (Average Length', ' 1789.09 Splits', ' 0)']","[' 1537744  (Deleted', ' 1467667)']","[' 465      (Ratio', '   0.03%)']","[' 59259    (Ratio', '   3.85%)']","[' 1537744  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1537744  (Average', ' 288.13 Max', ' 11522 Sum', ' 443063457)']","[' 1537211  (Average', ' 287.61 Max', ' 10852 Sum', ' 442262918 Ratio', '  99.82%)']","[' 533      (Average', ' 1501.95 Max', ' 4614 Sum', ' 800539 Ratio', '   0.18%)']", ,[' 122769  '],[' 15638   '],[' 125246  '],[' 76464   '],"[' 229388   (Atom=Atom', ' 61824 Body=Body', ' 41088 Other', ' 126476)']",[' Yes'],"[' 19115    (Eliminated', '    0 Frozen', ' 19115)']","[' 7019     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6606'],[' 0'], ,[' 372.16'],[' 0'],[' 33.3148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3877e+09'],[' 1.25817e+09'],[' 0'],[' 1.19532e+10'],[' 0'],[' 0'],[' 1763 '],[' 3440 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 7697+'],[' 3851'],"[' 999.330s (Solving', ' 941.62s 1st Model', ' 815.22s Unsat', ' 0.00s)']",[' 988.438s'], ,[' 478879639'],"[' 2136395  (Analyzed', ' 1418784)']","[' 6600     (Average', ' 214.97 Last', ' 148679)']",[' 10107.2 '],"[' 3851     (Average Length', ' 1875.93 Splits', ' 0)']","[' 1418784  (Deleted', ' 1345721)']","[' 409      (Ratio', '   0.03%)']","[' 62483    (Ratio', '   4.40%)']","[' 1418784  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1418784  (Average', ' 315.28 Max', ' 11863 Sum', ' 447310006)']","[' 1418213  (Average', ' 314.50 Max', ' 10824 Sum', ' 446201196 Ratio', '  99.75%)']","[' 571      (Average', ' 1941.87 Max', ' 3550 Sum', ' 1108810 Ratio', '   0.25%)']", ,[' 123071  '],[' 15689   '],[' 125645  '],[' 76817   '],"[' 230447   (Atom=Atom', ' 62126 Body=Body', ' 41139 Other', ' 127182)']",[' Yes'],"[' 19263    (Eliminated', '    0 Frozen', ' 19263)']","[' 6922     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3486'],[' 0'], ,[' 342.514'],[' 0'],[' 33.7152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42069e+09'],[' 1.29381e+09'],[' 0'],[' 9.16494e+09'],[' 0'],[' 0'],[' 1696 '],[' 3516 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7077+'],[' 3541'],"[' 998.150s (Solving', ' 948.42s 1st Model', ' 835.30s Unsat', ' 0.01s)']",[' 984.313s'], ,[' 473266961'],"[' 2174923  (Analyzed', ' 1403151)']","[' 6296     (Average', ' 222.86 Last', ' 98852)']",[' 9875.6  '],"[' 3541     (Average Length', ' 1738.29 Splits', ' 0)']","[' 1403151  (Deleted', ' 1330782)']","[' 363      (Ratio', '   0.03%)']","[' 62534    (Ratio', '   4.46%)']","[' 1403151  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1403151  (Average', ' 316.80 Max', ' 10509 Sum', ' 444513754)']","[' 1402537  (Average', ' 316.00 Max', ' 10509 Sum', ' 443397815 Ratio', '  99.75%)']","[' 614      (Average', ' 1817.49 Max', ' 3278 Sum', ' 1115939 Ratio', '   0.25%)']", ,[' 122907  '],[' 15765   '],[' 125231  '],[' 76729   '],"[' 230183   (Atom=Atom', ' 61962 Body=Body', ' 41215 Other', ' 127006)']",[' Yes'],"[' 19089    (Eliminated', '    0 Frozen', ' 19089)']","[' 7011     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.618'],[' 0'], ,[' 351.365'],[' 0'],[' 33.4903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42586e+09'],[' 1.29993e+09'],[' 0'],[' 9.88219e+09'],[' 0'],[' 0'],[' 1721 '],[' 3610 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 7827+'],[' 3916'],"[' 998.361s (Solving', ' 939.45s 1st Model', ' 707.36s Unsat', ' 0.00s)']",[' 984.625s'], ,[' 480782914'],"[' 1982590  (Analyzed', ' 1461787)']","[' 6640     (Average', ' 220.15 Last', ' 139124)']",[' 10314.1 '],"[' 3916     (Average Length', ' 1920.98 Splits', ' 0)']","[' 1461787  (Deleted', ' 1388173)']","[' 619      (Ratio', '   0.04%)']","[' 61399    (Ratio', '   4.20%)']","[' 1461787  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1461787  (Average', ' 306.58 Max', ' 11877 Sum', ' 448159096)']","[' 1461203  (Average', ' 305.87 Max', ' 10718 Sum', ' 447120137 Ratio', '  99.77%)']","[' 584      (Average', ' 1779.04 Max', ' 3417 Sum', ' 1038959 Ratio', '   0.23%)']", ,[' 122985  '],[' 15620   '],[' 125686  '],[' 76662   '],"[' 229982   (Atom=Atom', ' 62040 Body=Body', ' 41070 Other', ' 126872)']",[' Yes'],"[' 19321    (Eliminated', '    0 Frozen', ' 19321)']","[' 7068     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3796'],[' 0'], ,[' 342.193'],[' 0'],[' 33.7944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4222e+09'],[' 1.2931e+09'],[' 0'],[' 9.44557e+09'],[' 0'],[' 0'],[' 1817 '],[' 3522 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6845+'],[' 3425'],"[' 1004.877s (Solving', ' 922.01s 1st Model', ' 759.31s Unsat', ' 0.00s)']",[' 990.031s'], ,[' 341227493'],"[' 1566941  (Analyzed', ' 900921)']","[' 5053     (Average', ' 178.29 Last', ' 103298)']",[' 10197.3 '],"[' 3425     (Average Length', ' 1680.93 Splits', ' 0)']","[' 900921   (Deleted', ' 846372)']","[' 298      (Ratio', '   0.03%)']","[' 45110    (Ratio', '   5.01%)']","[' 900921   (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 900921   (Average', ' 346.56 Max', ' 10726 Sum', ' 312223332)']","[' 900254   (Average', ' 345.44 Max', ' 10726 Sum', ' 311210940 Ratio', '  99.68%)']","[' 667      (Average', ' 1517.83 Max', ' 3288 Sum', ' 1012392 Ratio', '   0.32%)']", ,[' 122604  '],[' 15664   '],[' 124892  '],[' 76325   '],"[' 228971   (Atom=Atom', ' 61659 Body=Body', ' 41114 Other', ' 126198)']",[' Yes'],"[' 18952    (Eliminated', '    0 Frozen', ' 18952)']","[' 6305     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.6224'],[' 0'], ,[' 341.294'],[' 0'],[' 35.2519'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.73456e+08'],[' 7.93274e+08'],[' 0'],[' 5.3779e+09'],[' 0'],[' 0'],[' 1807 '],[' 3587 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 6839+'],[' 3422'],"[' 1003.299s (Solving', ' 913.09s 1st Model', ' 561.42s Unsat', ' 0.00s)']",[' 985.828s'], ,[' 288155362'],"[' 2578170  (Analyzed', ' 688983)']","[' 4547     (Average', ' 151.52 Last', ' 90370)']",[' 10545.1 '],"[' 3422     (Average Length', ' 1687.01 Splits', ' 0)']","[' 688983   (Deleted', ' 639293)']","[' 334      (Ratio', '   0.05%)']","[' 39804    (Ratio', '   5.78%)']","[' 688983   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 688983   (Average', ' 372.44 Max', ' 11301 Sum', ' 256607080)']","[' 688383   (Average', ' 371.15 Max', ' 11301 Sum', ' 255717738 Ratio', '  99.65%)']","[' 600      (Average', ' 1482.24 Max', ' 3225 Sum', ' 889342 Ratio', '   0.35%)']", ,[' 122749  '],[' 15754   '],[' 125038  '],[' 76560   '],"[' 229676   (Atom=Atom', ' 61804 Body=Body', ' 41204 Other', ' 126668)']",[' Yes'],"[' 19043    (Eliminated', '    0 Frozen', ' 19043)']","[' 5541     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.2002'],[' 0'], ,[' 372.369'],[' 0'],[' 34.6763'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.74424e+08'],[' 6.11482e+08'],[' 0'],[' 6.4703e+09'],[' 0'],[' 0'],[' 1979 '],[' 3785 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 7031+'],[' 3518'],"[' 1003.536s (Solving', ' 918.34s 1st Model', ' 571.75s Unsat', ' 0.00s)']",[' 983.063s'], ,[' 308295244'],"[' 1513589  (Analyzed', ' 813036)']","[' 4376     (Average', ' 185.79 Last', ' 154935)']",[' 10118.9 '],"[' 3518     (Average Length', ' 1730.89 Splits', ' 0)']","[' 813036   (Deleted', ' 760102)']","[' 352      (Ratio', '   0.04%)']","[' 44903    (Ratio', '   5.52%)']","[' 813036   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 813036   (Average', ' 343.23 Max', ' 12350 Sum', ' 279059062)']","[' 812426   (Average', ' 341.85 Max', ' 11493 Sum', ' 277938928 Ratio', '  99.60%)']","[' 610      (Average', ' 1836.29 Max', ' 3320 Sum', ' 1120134 Ratio', '   0.40%)']", ,[' 122925  '],[' 15776   '],[' 125252  '],[' 76758   '],"[' 230270   (Atom=Atom', ' 61980 Body=Body', ' 41226 Other', ' 127064)']",[' Yes'],"[' 19103    (Eliminated', '    0 Frozen', ' 19103)']","[' 5605     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.0927'],[' 0'], ,[' 350.324'],[' 0'],[' 36.4816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.1422e+08'],[' 6.45959e+08'],[' 0'],[' 5.54361e+09'],[' 0'],[' 0'],[' 1975 '],[' 3861 '],[' 2 '],[' 0 ']
