Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11851+'],[' 5930'],"[' 1031.359s (Solving', ' 893.12s 1st Model', ' 524.22s Unsat', ' 0.00s)']",[' 1028.016s'], ,[' 635566516'],"[' 1739962  (Analyzed', ' 1098507)']","[' 5606     (Average', ' 195.95 Last', ' 32931)']",[' 18440.5 '],"[' 5930     (Average Length', ' 2752.30 Splits', ' 0)']","[' 1098507  (Deleted', ' 1011314)']","[' 3066     (Ratio', '   0.28%)']","[' 59658    (Ratio', '   5.43%)']","[' 1098507  (Average Length', '   32.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1098507  (Average', ' 499.75 Max', ' 24832 Sum', ' 548980710)']","[' 1095913  (Average', ' 493.17 Max', ' 24832 Sum', ' 541749238 Ratio', '  98.68%)']","[' 2594     (Average', ' 2787.77 Max', ' 5263 Sum', ' 7231472 Ratio', '   1.32%)']", ,[' 366502  '],[' 38403   '],[' 369764  '],[' 231538  '],"[' 694610   (Atom=Atom', ' 195133 Body=Body', ' 139303 Other', ' 360174)']",[' Yes'],"[' 43665    (Eliminated', '    0 Frozen', ' 43665)']","[' 9424     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.1594'],[' 0'], ,[' 329.407'],[' 0'],[' 38.1209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42832e+09'],[' 1.32886e+09'],[' 0'],[' 7.09478e+09'],[' 0'],[' 0'],[' 1977 '],[' 3455 '],[' 5494 '],[' 7962 '],[' 4 '],[' 0 ']
Solving...,TA72, , ,[' 12921+'],[' 6465'],"[' 1037.051s (Solving', ' 875.83s 1st Model', ' 608.23s Unsat', ' 0.00s)']",[' 1028.500s'], ,[' 539223937'],"[' 1156981  (Analyzed', ' 508827)']","[' 4669     (Average', ' 108.98 Last', ' 138882)']",[' 17851.6 '],"[' 6466     (Average Length', ' 2997.81 Splits', ' 0)']","[' 508827   (Deleted', ' 442475)']","[' 3208     (Ratio', '   0.63%)']","[' 46660    (Ratio', '   9.17%)']","[' 508827   (Average Length', '   27.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 508827   (Average', ' 889.48 Max', ' 24196 Sum', ' 452589844)']","[' 505607   (Average', ' 869.56 Max', ' 24196 Sum', ' 442456881 Ratio', '  97.76%)']","[' 3220     (Average', ' 3146.88 Max', ' 4378 Sum', ' 10132963 Ratio', '   2.24%)']", ,[' 365026  '],[' 37828   '],[' 368780  '],[' 230111  '],"[' 690329   (Atom=Atom', ' 194281 Body=Body', ' 138728 Other', ' 357320)']",[' Yes'],"[' 43582    (Eliminated', '    0 Frozen', ' 43582)']","[' 8291     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.8861'],[' 0'], ,[' 322.4'],[' 0'],[' 37.4376'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19694e+09'],[' 1.12049e+09'],[' 0'],[' 5.32378e+09'],[' 0'],[' 0'],[' 1631 '],[' 3201 '],[' 4935 '],[' 11532 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 11907+'],[' 5957'],"[' 1034.443s (Solving', ' 885.56s 1st Model', ' 522.35s Unsat', ' 0.00s)']",[' 1027.563s'], ,[' 575750148'],"[' 2467216  (Analyzed', ' 1724878)']","[' 6536     (Average', ' 263.90 Last', ' 16774)']",[' 19649.8 '],"[' 5957     (Average Length', ' 2758.18 Splits', ' 0)']","[' 1724878  (Deleted', ' 1650887)']","[' 2198     (Ratio', '   0.13%)']","[' 45579    (Ratio', '   2.64%)']","[' 1724878  (Average Length', '   32.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1724878  (Average', ' 276.83 Max', ' 27797 Sum', ' 477491074)']","[' 1723561  (Average', ' 274.91 Max', ' 27797 Sum', ' 474186788 Ratio', '  99.31%)']","[' 1317     (Average', ' 2508.95 Max', ' 4126 Sum', ' 3304286 Ratio', '   0.69%)']", ,[' 365855  '],[' 38099   '],[' 369074  '],[' 230529  '],"[' 691583   (Atom=Atom', ' 194428 Body=Body', ' 138999 Other', ' 358156)']",[' Yes'],"[' 43318    (Eliminated', '    0 Frozen', ' 43318)']","[' 4968     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.2705'],[' 0'], ,[' 353.017'],[' 0'],[' 38.782'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1691e+09'],[' 1.08001e+09'],[' 0'],[' 7.86471e+09'],[' 0'],[' 0'],[' 2099 '],[' 3520 '],[' 5430 '],[' 8619 '],[' 4 '],[' 0 ']
Solving...,TA74, , ,[' 12075+'],[' 6042'],"[' 1036.339s (Solving', ' 878.54s 1st Model', ' 617.47s Unsat', ' 0.00s)']",[' 1023.406s'], ,[' 508338868'],"[' 1383417  (Analyzed', ' 419822)']","[' 4453     (Average', ' 94.28 Last', ' 85520)']",[' 17380.9 '],"[' 6043     (Average Length', ' 2833.83 Splits', ' 0)']","[' 419822   (Deleted', ' 356929)']","[' 2543     (Ratio', '   0.61%)']","[' 44384    (Ratio', '  10.57%)']","[' 419822   (Average Length', '   26.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 419822   (Average', ' 1015.10 Max', ' 25655 Sum', ' 426160009)']","[' 417321   (Average', ' 998.87 Max', ' 25655 Sum', ' 419345539 Ratio', '  98.40%)']","[' 2501     (Average', ' 2724.70 Max', ' 5449 Sum', ' 6814470 Ratio', '   1.60%)']", ,[' 364782  '],[' 37867   '],[' 368231  '],[' 229762  '],"[' 689282   (Atom=Atom', ' 193893 Body=Body', ' 138767 Other', ' 356622)']",[' Yes'],"[' 43316    (Eliminated', '    0 Frozen', ' 43316)']","[' 8227     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.8686'],[' 0'], ,[' 309.362'],[' 0'],[' 37.9455'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1336e+09'],[' 1.06205e+09'],[' 0'],[' 4.83932e+09'],[' 0'],[' 0'],[' 1653 '],[' 3321 '],[' 5016 '],[' 11618 '],[' 4 '],[' 0 ']
Solving...,TA75, , ,[' 11299+'],[' 5654'],"[' 1033.226s (Solving', ' 864.20s 1st Model', ' 475.24s Unsat', ' 0.01s)']",[' 1016.594s'], ,[' 472389435'],"[' 1369035  (Analyzed', ' 863932)']","[' 4625     (Average', ' 186.80 Last', ' 6588)']",[' 17933.5 '],"[' 5655     (Average Length', ' 2670.12 Splits', ' 0)']","[' 863932   (Deleted', ' 801709)']","[' 2066     (Ratio', '   0.24%)']","[' 42788    (Ratio', '   4.95%)']","[' 863932   (Average Length', '   29.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 863932   (Average', ' 449.94 Max', ' 27463 Sum', ' 388720165)']","[' 862403   (Average', ' 446.19 Max', ' 27463 Sum', ' 385476902 Ratio', '  99.17%)']","[' 1529     (Average', ' 2121.17 Max', ' 4240 Sum', ' 3243263 Ratio', '   0.83%)']", ,[' 365946  '],[' 38298   '],[' 369070  '],[' 230721  '],"[' 692159   (Atom=Atom', ' 194421 Body=Body', ' 139198 Other', ' 358540)']",[' Yes'],"[' 43422    (Eliminated', '    0 Frozen', ' 43422)']","[' 6485     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.3896'],[' 0'], ,[' 304.221'],[' 0'],[' 37.9537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03636e+09'],[' 9.61171e+08'],[' 0'],[' 4.63633e+09'],[' 0'],[' 0'],[' 1824 '],[' 3533 '],[' 5635 '],[' 12063 '],[' 4 '],[' 0 ']
Solving...,TA76, , ,[' 11179+'],[' 5593'],"[' 1034.560s (Solving', ' 868.54s 1st Model', ' 514.42s Unsat', ' 0.00s)']",[' 1018.422s'], ,[' 464145084'],"[' 1274224  (Analyzed', ' 632867)']","[' 4506     (Average', ' 140.45 Last', ' 39970)']",[' 17501.3 '],"[' 5594     (Average Length', ' 2667.15 Splits', ' 0)']","[' 632867   (Deleted', ' 568023)']","[' 1982     (Ratio', '   0.31%)']","[' 44151    (Ratio', '   6.98%)']","[' 632867   (Average Length', '   27.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 632867   (Average', ' 607.07 Max', ' 26204 Sum', ' 384192791)']","[' 631174   (Average', ' 601.12 Max', ' 26204 Sum', ' 380429020 Ratio', '  99.02%)']","[' 1693     (Average', ' 2223.14 Max', ' 2804 Sum', ' 3763771 Ratio', '   0.98%)']", ,[' 364716  '],[' 37871   '],[' 367964  '],[' 229327  '],"[' 687977   (Atom=Atom', ' 193454 Body=Body', ' 138771 Other', ' 355752)']",[' Yes'],"[' 43119    (Eliminated', '    0 Frozen', ' 43119)']","[' 7496     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.6047'],[' 0'], ,[' 303.006'],[' 0'],[' 37.6128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07255e+09'],[' 9.9339e+08'],[' 0'],[' 4.64526e+09'],[' 0'],[' 0'],[' 1762 '],[' 3254 '],[' 7406 '],[' 16623 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 14397+'],[' 7202'],"[' 1035.913s (Solving', ' 865.93s 1st Model', ' 498.72s Unsat', ' 0.00s)']",[' 1030.609s'], ,[' 591565362'],"[' 2094814  (Analyzed', ' 1303798)']","[' 6399     (Average', ' 203.75 Last', ' 50790)']",[' 20171.5 '],"[' 7202     (Average Length', ' 3344.39 Splits', ' 0)']","[' 1303798  (Deleted', ' 1227557)']","[' 720      (Ratio', '   0.06%)']","[' 46530    (Ratio', '   3.57%)']","[' 1303798  (Average Length', '   28.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1303798  (Average', ' 360.87 Max', ' 28695 Sum', ' 470507551)']","[' 1303015  (Average', ' 360.04 Max', ' 28695 Sum', ' 469414406 Ratio', '  99.77%)']","[' 783      (Average', ' 1396.10 Max', ' 6296 Sum', ' 1093145 Ratio', '   0.23%)']", ,[' 365627  '],[' 37816   '],[' 370009  '],[' 230801  '],"[' 692399   (Atom=Atom', ' 194983 Body=Body', ' 138716 Other', ' 358700)']",[' Yes'],"[' 44198    (Eliminated', '    0 Frozen', ' 44198)']","[' 4813     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.9448'],[' 0'], ,[' 328.388'],[' 0'],[' 36.3806'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27114e+09'],[' 1.17948e+09'],[' 0'],[' 6.92929e+09'],[' 0'],[' 0'],[' 1711 '],[' 3227 '],[' 5756 '],[' 8158 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 14315+'],[' 7162'],"[' 1039.360s (Solving', ' 878.23s 1st Model', ' 505.33s Unsat', ' 0.00s)']",[' 1036.641s'], ,[' 616146728'],"[' 2216763  (Analyzed', ' 1270350)']","[' 6528     (Average', ' 194.60 Last', ' 21881)']",[' 18812.2 '],"[' 7162     (Average Length', ' 3313.06 Splits', ' 0)']","[' 1270350  (Deleted', ' 1182049)']","[' 1992     (Ratio', '   0.16%)']","[' 54758    (Ratio', '   4.31%)']","[' 1270350  (Average Length', '   28.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1270350  (Average', ' 400.00 Max', ' 26206 Sum', ' 508139151)']","[' 1268557  (Average', ' 396.75 Max', ' 26206 Sum', ' 504015281 Ratio', '  99.19%)']","[' 1793     (Average', ' 2299.98 Max', ' 4952 Sum', ' 4123870 Ratio', '   0.81%)']", ,[' 366114  '],[' 37917   '],[' 370424  '],[' 231112  '],"[' 693332   (Atom=Atom', ' 195193 Body=Body', ' 138817 Other', ' 359322)']",[' Yes'],"[' 44227    (Eliminated', '    0 Frozen', ' 44227)']","[' 9131     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.0189'],[' 0'], ,[' 333.59'],[' 0'],[' 35.3485'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43503e+09'],[' 1.332e+09'],[' 0'],[' 7.99246e+09'],[' 0'],[' 0'],[' 1801 '],[' 3352 '],[' 5076 '],[' 10126 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 14051+'],[' 7030'],"[' 1038.587s (Solving', ' 879.46s 1st Model', ' 526.51s Unsat', ' 0.00s)']",[' 1035.578s'], ,[' 616324628'],"[' 1637417  (Analyzed', ' 840644)']","[' 5483     (Average', ' 153.32 Last', ' 28639)']",[' 18387.2 '],"[' 7031     (Average Length', ' 3230.88 Splits', ' 0)']","[' 840644   (Deleted', ' 760754)']","[' 2010     (Ratio', '   0.24%)']","[' 56265    (Ratio', '   6.69%)']","[' 840644   (Average Length', '   29.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 840644   (Average', ' 611.94 Max', ' 25814 Sum', ' 514425092)']","[' 838599   (Average', ' 605.26 Max', ' 25814 Sum', ' 508809638 Ratio', '  98.91%)']","[' 2045     (Average', ' 2745.94 Max', ' 6098 Sum', ' 5615454 Ratio', '   1.09%)']", ,[' 366412  '],[' 37881   '],[' 370510  '],[' 230857  '],"[' 692567   (Atom=Atom', ' 194974 Body=Body', ' 138781 Other', ' 358812)']",[' Yes'],"[' 43979    (Eliminated', '    0 Frozen', ' 43979)']","[' 9303     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.821'],[' 0'], ,[' 318.516'],[' 0'],[' 35.7178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45574e+09'],[' 1.3577e+09'],[' 0'],[' 6.59446e+09'],[' 0'],[' 0'],[' 1730 '],[' 3262 '],[' 4892 '],[' 8469 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 13159+'],[' 6584'],"[' 1036.317s (Solving', ' 885.77s 1st Model', ' 524.55s Unsat', ' 0.00s)']",[' 1033.406s'], ,[' 598861749'],"[' 1656012  (Analyzed', ' 956960)']","[' 5611     (Average', ' 170.55 Last', ' 80027)']",[' 18115.1 '],"[' 6585     (Average Length', ' 3050.95 Splits', ' 0)']","[' 956960   (Deleted', ' 877831)']","[' 3098     (Ratio', '   0.32%)']","[' 55110    (Ratio', '   5.76%)']","[' 956960   (Average Length', '   28.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 956960   (Average', ' 529.71 Max', ' 24128 Sum', ' 506912078)']","[' 954286   (Average', ' 521.27 Max', ' 24128 Sum', ' 498835947 Ratio', '  98.41%)']","[' 2674     (Average', ' 3020.24 Max', ' 4582 Sum', ' 8076131 Ratio', '   1.59%)']", ,[' 366127  '],[' 38171   '],[' 369912  '],[' 231300  '],"[' 693896   (Atom=Atom', ' 195127 Body=Body', ' 139071 Other', ' 359698)']",[' Yes'],"[' 43956    (Eliminated', '    0 Frozen', ' 43956)']","[' 8883     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.7121'],[' 0'], ,[' 330.094'],[' 0'],[' 36.5421'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37046e+09'],[' 1.27744e+09'],[' 0'],[' 6.93906e+09'],[' 0'],[' 0'],[' 1800 '],[' 3170 '],[' 4928 '],[' 9992 '],[' 4 '],[' 0 ']
