Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4163+'],[' 2085'],"[' 1002.964s (Solving', ' 991.01s 1st Model', ' 643.04s Unsat', ' 0.00s)']",[' 1000.781s'], ,[' 344184653'],"[' 10529561 (Analyzed', ' 10406931)']","[' 22684    (Average', ' 458.78 Last', ' 774651)']",[' 3739.6  '],"[' 2085     (Average Length', ' 988.99 Splits', ' 0)']","[' 10406931 (Deleted', ' 10301302)']","[' 577      (Ratio', '   0.01%)']","[' 42253    (Ratio', '   0.41%)']","[' 10406931 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10406931 (Average', ' 32.49 Max', ' 3699 Sum', ' 338074788)']","[' 10406404 (Average', ' 32.44 Max', ' 3699 Sum', ' 337564847 Ratio', '  99.85%)']","[' 527      (Average', ' 967.63 Max', ' 1873 Sum', ' 509941 Ratio', '   0.15%)']", ,[' 75466   '],[' 7525    '],[' 76606   '],[' 43064   '],"[' 129188   (Atom=Atom', ' 36287 Body=Body', ' 26600 Other', ' 66301)']",[' Yes'],"[' 9415     (Eliminated', '    0 Frozen', ' 9415)']","[' 5676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37477'],[' 0'], ,[' 569.97'],[' 0'],[' 23.6947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25341e+09'],[' 1.05666e+09'],[' 0'],[' 3.98797e+10'],[' 0'],[' 0'],[' 1115 '],[' 2086 '],[' 2990 '],[' 3 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4143+'],[' 2075'],"[' 1002.926s (Solving', ' 990.06s 1st Model', ' 481.95s Unsat', ' 0.00s)']",[' 999.469s'], ,[' 298821273'],"[' 13669263 (Analyzed', ' 13346724)']","[' 26791    (Average', ' 498.18 Last', ' 280831)']",[' 3992.8  '],"[' 2075     (Average Length', ' 991.80 Splits', ' 0)']","[' 13346724 (Deleted', ' 13215103)']","[' 446      (Ratio', '   0.00%)']","[' 41351    (Ratio', '   0.31%)']","[' 13346724 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13346724 (Average', ' 21.86 Max', ' 4327 Sum', ' 291784006)']","[' 13346226 (Average', ' 21.83 Max', ' 4327 Sum', ' 291370065 Ratio', '  99.86%)']","[' 498      (Average', ' 831.21 Max', ' 1907 Sum', ' 413941 Ratio', '   0.14%)']", ,[' 75537   '],[' 7574    '],[' 76707   '],[' 43221   '],"[' 129659   (Atom=Atom', ' 36395 Body=Body', ' 26649 Other', ' 66615)']",[' Yes'],"[' 9494     (Eliminated', '    0 Frozen', ' 9494)']","[' 5577     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.59739'],[' 0'], ,[' 600.13'],[' 0'],[' 22.9155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0005e+09'],[' 8.28164e+08'],[' 0'],[' 4.00052e+10'],[' 0'],[' 0'],[' 1193 '],[' 2159 '],[' 3090 '],[' 3 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4145+'],[' 2076'],"[' 1003.718s (Solving', ' 989.19s 1st Model', ' 617.40s Unsat', ' 0.00s)']",[' 994.844s'], ,[' 274855629'],"[' 10141273 (Analyzed', ' 9758974)']","[' 21149    (Average', ' 461.44 Last', ' 207681)']",[' 3929.9  '],"[' 2076     (Average Length', ' 991.08 Splits', ' 0)']","[' 9758974  (Deleted', ' 9644778)']","[' 425      (Ratio', '   0.00%)']","[' 39396    (Ratio', '   0.40%)']","[' 9758974  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9758974  (Average', ' 27.48 Max', ' 3754 Sum', ' 268206310)']","[' 9758403  (Average', ' 27.43 Max', ' 3754 Sum', ' 267663494 Ratio', '  99.80%)']","[' 571      (Average', ' 950.64 Max', ' 1863 Sum', ' 542816 Ratio', '   0.20%)']", ,[' 75684   '],[' 7589    '],[' 76825   '],[' 43256   '],"[' 129764   (Atom=Atom', ' 36415 Body=Body', ' 26664 Other', ' 66685)']",[' Yes'],"[' 9480     (Eliminated', '    0 Frozen', ' 9480)']","[' 5331     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.92723'],[' 0'], ,[' 566.785'],[' 0'],[' 22.85'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.47991e+08'],[' 7.91782e+08'],[' 0'],[' 3.23099e+10'],[' 0'],[' 0'],[' 1069 '],[' 2026 '],[' 2952 '],[' 3 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4031+'],[' 2019'],"[' 1002.676s (Solving', ' 991.00s 1st Model', ' 594.10s Unsat', ' 0.00s)']",[' 1001.094s'], ,[' 337502152'],"[' 13259761 (Analyzed', ' 13120718)']","[' 27861    (Average', ' 470.93 Last', ' 1212759)']",[' 3895.9  '],"[' 2019     (Average Length', ' 966.26 Splits', ' 0)']","[' 13120718 (Deleted', ' 12971893)']","[' 481      (Ratio', '   0.00%)']","[' 42631    (Ratio', '   0.32%)']","[' 13120718 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13120718 (Average', ' 25.23 Max', ' 3759 Sum', ' 331079071)']","[' 13120178 (Average', ' 25.20 Max', ' 3759 Sum', ' 330602886 Ratio', '  99.86%)']","[' 540      (Average', ' 881.82 Max', ' 1834 Sum', ' 476185 Ratio', '   0.14%)']", ,[' 75631   '],[' 7605    '],[' 76736   '],[' 43264   '],"[' 129788   (Atom=Atom', ' 36407 Body=Body', ' 26680 Other', ' 66701)']",[' Yes'],"[' 9460     (Eliminated', '    0 Frozen', ' 9460)']","[' 5525     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.35204'],[' 0'], ,[' 588.066'],[' 0'],[' 23.4245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17577e+09'],[' 9.86321e+08'],[' 0'],[' 4.1898e+10'],[' 0'],[' 0'],[' 1134 '],[' 2022 '],[' 2960 '],[' 3 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 3781+'],[' 1894'],"[' 1002.920s (Solving', ' 992.42s 1st Model', ' 609.80s Unsat', ' 0.00s)']",[' 1001.453s'], ,[' 331865023'],"[' 12555787 (Analyzed', ' 12424062)']","[' 26649    (Average', ' 466.21 Last', ' 673555)']",[' 3780.3  '],"[' 1894     (Average Length', ' 908.99 Splits', ' 0)']","[' 12424062 (Deleted', ' 12292034)']","[' 628      (Ratio', '   0.01%)']","[' 42541    (Ratio', '   0.34%)']","[' 12424062 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12424062 (Average', ' 26.23 Max', ' 3766 Sum', ' 325851825)']","[' 12423571 (Average', ' 26.19 Max', ' 3766 Sum', ' 325441146 Ratio', '  99.87%)']","[' 491      (Average', ' 836.41 Max', ' 1737 Sum', ' 410679 Ratio', '   0.13%)']", ,[' 75343   '],[' 7573    '],[' 76333   '],[' 43038   '],"[' 129110   (Atom=Atom', ' 36213 Body=Body', ' 26648 Other', ' 66249)']",[' Yes'],"[' 9313     (Eliminated', '    0 Frozen', ' 9313)']","[' 5550     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15466'],[' 0'], ,[' 582.71'],[' 0'],[' 23.288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20225e+09'],[' 1.01256e+09'],[' 0'],[' 4.08519e+10'],[' 0'],[' 0'],[' 1054 '],[' 2079 '],[' 3002 '],[' 3 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 3765+'],[' 1886'],"[' 1002.633s (Solving', ' 992.02s 1st Model', ' 314.47s Unsat', ' 0.00s)']",[' 1000.813s'], ,[' 280331843'],"[' 15482204 (Analyzed', ' 15149576)']","[' 27728    (Average', ' 546.36 Last', ' 477911)']",[' 3920.7  '],"[' 1886     (Average Length', ' 898.38 Splits', ' 0)']","[' 15149576 (Deleted', ' 14997027)']","[' 526      (Ratio', '   0.00%)']","[' 38320    (Ratio', '   0.25%)']","[' 15149576 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15149576 (Average', ' 18.07 Max', ' 3812 Sum', ' 273811164)']","[' 15149014 (Average', ' 18.04 Max', ' 3812 Sum', ' 273364983 Ratio', '  99.84%)']","[' 562      (Average', ' 793.92 Max', ' 1660 Sum', ' 446181 Ratio', '   0.16%)']", ,[' 75324   '],[' 7549    '],[' 76274   '],[' 42945   '],"[' 128831   (Atom=Atom', ' 36144 Body=Body', ' 26624 Other', ' 66063)']",[' Yes'],"[' 9249     (Eliminated', '    0 Frozen', ' 9249)']","[' 4415     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.18994'],[' 0'], ,[' 661.6'],[' 0'],[' 21.1696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.71343e+08'],[' 7.20912e+08'],[' 0'],[' 4.84938e+10'],[' 0'],[' 0'],[' 1193 '],[' 2309 '],[' 3224 '],[' 3 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 4161+'],[' 2084'],"[' 1002.800s (Solving', ' 990.80s 1st Model', ' 504.49s Unsat', ' 0.00s)']",[' 1001.297s'], ,[' 345576033'],"[' 11605626 (Analyzed', ' 11230998)']","[' 23385    (Average', ' 480.27 Last', ' 369515)']",[' 3898.7  '],"[' 2084     (Average Length', ' 989.76 Splits', ' 0)']","[' 11230998 (Deleted', ' 11120459)']","[' 467      (Ratio', '   0.00%)']","[' 42636    (Ratio', '   0.38%)']","[' 11230998 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11230998 (Average', ' 30.15 Max', ' 3682 Sum', ' 338617863)']","[' 11230491 (Average', ' 30.11 Max', ' 3682 Sum', ' 338186890 Ratio', '  99.87%)']","[' 507      (Average', ' 850.05 Max', ' 1835 Sum', ' 430973 Ratio', '   0.13%)']", ,[' 75603   '],[' 7565    '],[' 76735   '],[' 43230   '],"[' 129686   (Atom=Atom', ' 36413 Body=Body', ' 26640 Other', ' 66633)']",[' Yes'],"[' 9447     (Eliminated', '    0 Frozen', ' 9447)']","[' 5454     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42015'],[' 0'], ,[' 568.627'],[' 0'],[' 23.9662'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26054e+09'],[' 1.06238e+09'],[' 0'],[' 3.99521e+10'],[' 0'],[' 0'],[' 1264 '],[' 2257 '],[' 3186 '],[' 3 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4011+'],[' 2009'],"[' 1002.364s (Solving', ' 991.31s 1st Model', ' 556.67s Unsat', ' 0.00s)']",[' 1000.781s'], ,[' 335218268'],"[' 13884381 (Analyzed', ' 13527253)']","[' 26181    (Average', ' 516.68 Last', ' 425709)']",[' 3800.2  '],"[' 2009     (Average Length', ' 963.75 Splits', ' 0)']","[' 13527253 (Deleted', ' 13378266)']","[' 490      (Ratio', '   0.00%)']","[' 44917    (Ratio', '   0.33%)']","[' 13527253 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13527253 (Average', ' 24.31 Max', ' 3590 Sum', ' 328787062)']","[' 13526661 (Average', ' 24.27 Max', ' 3590 Sum', ' 328242271 Ratio', '  99.83%)']","[' 592      (Average', ' 920.26 Max', ' 1737 Sum', ' 544791 Ratio', '   0.17%)']", ,[' 75554   '],[' 7566    '],[' 76648   '],[' 43139   '],"[' 129413   (Atom=Atom', ' 36321 Body=Body', ' 26641 Other', ' 66451)']",[' Yes'],"[' 9410     (Eliminated', '    0 Frozen', ' 9410)']","[' 5877     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2907'],[' 0'], ,[' 561.128'],[' 0'],[' 23.345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2575e+09'],[' 1.0678e+09'],[' 0'],[' 3.88109e+10'],[' 0'],[' 0'],[' 1180 '],[' 2224 '],[' 3179 '],[' 3 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 3807+'],[' 1907'],"[' 1002.665s (Solving', ' 991.51s 1st Model', ' 461.39s Unsat', ' 0.00s)']",[' 1001.328s'], ,[' 329022699'],"[' 15076645 (Analyzed', ' 14752739)']","[' 27816    (Average', ' 530.37 Last', ' 472235)']",[' 3839.6  '],"[' 1907     (Average Length', ' 912.66 Splits', ' 0)']","[' 14752739 (Deleted', ' 14600282)']","[' 463      (Ratio', '   0.00%)']","[' 43111    (Ratio', '   0.29%)']","[' 14752739 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14752739 (Average', ' 21.87 Max', ' 3565 Sum', ' 322661745)']","[' 14752130 (Average', ' 21.84 Max', ' 3565 Sum', ' 322157711 Ratio', '  99.84%)']","[' 609      (Average', ' 827.64 Max', ' 1705 Sum', ' 504034 Ratio', '   0.16%)']", ,[' 75296   '],[' 7564    '],[' 76304   '],[' 43025   '],"[' 129071   (Atom=Atom', ' 36209 Body=Body', ' 26639 Other', ' 66223)']",[' Yes'],"[' 9322     (Eliminated', '    0 Frozen', ' 9322)']","[' 6037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23947'],[' 0'], ,[' 576.277'],[' 0'],[' 23.6021'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20794e+09'],[' 1.01916e+09'],[' 0'],[' 3.94514e+10'],[' 0'],[' 0'],[' 1019 '],[' 2064 '],[' 2994 '],[' 3 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4583+'],[' 2295'],"[' 1003.019s (Solving', ' 990.26s 1st Model', ' 682.59s Unsat', ' 0.00s)']",[' 1000.891s'], ,[' 372130781'],"[' 8497632  (Analyzed', ' 8192670)']","[' 19778    (Average', ' 414.23 Last', ' 475287)']",[' 3854.5  '],"[' 2295     (Average Length', ' 1091.47 Splits', ' 0)']","[' 8192670  (Deleted', ' 8106866)']","[' 477      (Ratio', '   0.01%)']","[' 43508    (Ratio', '   0.53%)']","[' 8192670  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8192670  (Average', ' 44.60 Max', ' 3560 Sum', ' 365403258)']","[' 8192074  (Average', ' 44.53 Max', ' 3560 Sum', ' 364779141 Ratio', '  99.83%)']","[' 596      (Average', ' 1047.18 Max', ' 1984 Sum', ' 624117 Ratio', '   0.17%)']", ,[' 75677   '],[' 7514    '],[' 76996   '],[' 43248   '],"[' 129740   (Atom=Atom', ' 36482 Body=Body', ' 26589 Other', ' 66669)']",[' Yes'],"[' 9583     (Eliminated', '    0 Frozen', ' 9583)']","[' 6040     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.66091'],[' 0'], ,[' 529.043'],[' 0'],[' 24.2971'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43379e+09'],[' 1.21837e+09'],[' 0'],[' 3.57478e+10'],[' 0'],[' 0'],[' 1022 '],[' 2009 '],[' 2923 '],[' 3 '],[' 0 ']
