Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 4641+'],[' 2325'],"[' 1002.901s (Solving', ' 987.56s 1st Model', ' 406.11s Unsat', ' 0.00s)']",[' 997.922s'], ,[' 171812497'],"[' 16615205 (Analyzed', ' 16239701)']","[' 31873    (Average', ' 509.51 Last', ' 450227)']",[' 4156.2  '],"[' 2325     (Average Length', ' 1081.03 Splits', ' 0)']","[' 16239701 (Deleted', ' 16031113)']","[' 331      (Ratio', '   0.00%)']","[' 22850    (Ratio', '   0.14%)']","[' 16239701 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16239701 (Average', ' 10.11 Max', ' 4236 Sum', ' 164190146)']","[' 16239075 (Average', ' 10.07 Max', ' 4236 Sum', ' 163578633 Ratio', '  99.63%)']","[' 626      (Average', ' 976.86 Max', ' 2053 Sum', ' 611513 Ratio', '   0.37%)']", ,[' 88601   '],[' 7850    '],[' 89654   '],[' 50279   '],"[' 150833   (Atom=Atom', ' 43427 Body=Body', ' 33300 Other', ' 74106)']",[' Yes'],"[' 9903     (Eliminated', '    0 Frozen', ' 9903)']","[' 3216     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.51881'],[' 0'], ,[' 739.891'],[' 0'],[' 18.7236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.4822e+08'],[' 3.45618e+08'],[' 0'],[' 5.29647e+10'],[' 0'],[' 0'],[' 936 '],[' 1816 '],[' 2518 '],[' 3272 '],[' 4 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 4923+'],[' 2466'],"[' 1002.981s (Solving', ' 987.75s 1st Model', ' 359.69s Unsat', ' 0.00s)']",[' 1000.234s'], ,[' 249605764'],"[' 12834555 (Analyzed', ' 12551580)']","[' 26028    (Average', ' 482.23 Last', ' 394036)']",[' 3823.6  '],"[' 2466     (Average Length', ' 1137.37 Splits', ' 0)']","[' 12551580 (Deleted', ' 12400112)']","[' 366      (Ratio', '   0.00%)']","[' 30827    (Ratio', '   0.25%)']","[' 12551580 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12551580 (Average', ' 19.35 Max', ' 3834 Sum', ' 242842636)']","[' 12550819 (Average', ' 19.28 Max', ' 3834 Sum', ' 242020205 Ratio', '  99.66%)']","[' 761      (Average', ' 1080.72 Max', ' 2135 Sum', ' 822431 Ratio', '   0.34%)']", ,[' 89046   '],[' 7900    '],[' 90200   '],[' 50602   '],"[' 151802   (Atom=Atom', ' 43700 Body=Body', ' 33350 Other', ' 74752)']",[' Yes'],"[' 10054    (Eliminated', '    0 Frozen', ' 10054)']","[' 4806     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.46002'],[' 0'], ,[' 689.313'],[' 0'],[' 20.621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.29343e+08'],[' 5.81874e+08'],[' 0'],[' 4.93807e+10'],[' 0'],[' 0'],[' 942 '],[' 1793 '],[' 2573 '],[' 3344 '],[' 4 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 5241+'],[' 2625'],"[' 1003.270s (Solving', ' 985.57s 1st Model', ' 596.02s Unsat', ' 0.00s)']",[' 997.484s'], ,[' 226665180'],"[' 13864176 (Analyzed', ' 13651794)']","[' 30184    (Average', ' 452.29 Last', ' 1291085)']",[' 3965.7  '],"[' 2625     (Average Length', ' 1202.48 Splits', ' 0)']","[' 13651794 (Deleted', ' 13465101)']","[' 412      (Ratio', '   0.00%)']","[' 26660    (Ratio', '   0.20%)']","[' 13651794 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13651794 (Average', ' 16.06 Max', ' 3994 Sum', ' 219304429)']","[' 13651139 (Average', ' 16.01 Max', ' 3994 Sum', ' 218592091 Ratio', '  99.68%)']","[' 655      (Average', ' 1087.54 Max', ' 2249 Sum', ' 712338 Ratio', '   0.32%)']", ,[' 88809   '],[' 7793    '],[' 90077   '],[' 50403   '],"[' 151205   (Atom=Atom', ' 43608 Body=Body', ' 33243 Other', ' 74354)']",[' Yes'],"[' 10061    (Eliminated', '    0 Frozen', ' 10061)']","[' 3872     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.95956'],[' 0'], ,[' 682.771'],[' 0'],[' 20.7869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.46544e+08'],[' 5.03379e+08'],[' 0'],[' 4.52516e+10'],[' 0'],[' 0'],[' 885 '],[' 1593 '],[' 2298 '],[' 3001 '],[' 4 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 4827+'],[' 2418'],"[' 1003.076s (Solving', ' 986.58s 1st Model', ' 601.76s Unsat', ' 0.00s)']",[' 1000.188s'], ,[' 236918736'],"[' 15617816 (Analyzed', ' 15276580)']","[' 31079    (Average', ' 491.54 Last', ' 256953)']",[' 3902.2  '],"[' 2418     (Average Length', ' 1108.71 Splits', ' 0)']","[' 15276580 (Deleted', ' 15115002)']","[' 345      (Ratio', '   0.00%)']","[' 28461    (Ratio', '   0.19%)']","[' 15276580 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15276580 (Average', ' 15.03 Max', ' 3869 Sum', ' 229643614)']","[' 15275946 (Average', ' 14.99 Max', ' 3869 Sum', ' 229005136 Ratio', '  99.72%)']","[' 634      (Average', ' 1007.06 Max', ' 2109 Sum', ' 638478 Ratio', '   0.28%)']", ,[' 88886   '],[' 7872    '],[' 89998   '],[' 50454   '],"[' 151358   (Atom=Atom', ' 43580 Body=Body', ' 33322 Other', ' 74456)']",[' Yes'],"[' 9984     (Eliminated', '    0 Frozen', ' 9984)']","[' 4312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.72482'],[' 0'], ,[' 667.751'],[' 0'],[' 20.6862'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.07943e+08'],[' 5.60058e+08'],[' 0'],[' 4.57954e+10'],[' 0'],[' 0'],[' 998 '],[' 1669 '],[' 2364 '],[' 3044 '],[' 4 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 4535+'],[' 2272'],"[' 1003.339s (Solving', ' 988.09s 1st Model', ' 602.20s Unsat', ' 0.00s)']",[' 999.922s'], ,[' 255210792'],"[' 11536757 (Analyzed', ' 11302327)']","[' 24015    (Average', ' 470.64 Last', ' 693932)']",[' 3664.2  '],"[' 2272     (Average Length', ' 1061.39 Splits', ' 0)']","[' 11302327 (Deleted', ' 11175543)']","[' 376      (Ratio', '   0.00%)']","[' 28443    (Ratio', '   0.25%)']","[' 11302327 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11302327 (Average', ' 22.05 Max', ' 3820 Sum', ' 249183981)']","[' 11301586 (Average', ' 21.98 Max', ' 3820 Sum', ' 248413881 Ratio', '  99.69%)']","[' 741      (Average', ' 1039.27 Max', ' 1964 Sum', ' 770100 Ratio', '   0.31%)']", ,[' 88562   '],[' 7810    '],[' 89581   '],[' 50143   '],"[' 150425   (Atom=Atom', ' 43331 Body=Body', ' 33260 Other', ' 73834)']",[' Yes'],"[' 9829     (Eliminated', '    0 Frozen', ' 9829)']","[' 4761     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.35975'],[' 0'], ,[' 675.591'],[' 0'],[' 22.3942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.64659e+08'],[' 6.08284e+08'],[' 0'],[' 4.698e+10'],[' 0'],[' 0'],[' 820 '],[' 1563 '],[' 2341 '],[' 3062 '],[' 4 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 5449+'],[' 2729'],"[' 956.065s (Solving', ' 935.93s 1st Model', ' 621.01s Unsat', ' 7.64s)']",[' 950.797s'], ,[' 233320655'],"[' 8579166  (Analyzed', ' 8355131)']","[' 20696    (Average', ' 403.71 Last', ' 495530)']",[' 3984.1  '],"[' 2729     (Average Length', ' 1271.32 Splits', ' 0)']","[' 8355131  (Deleted', ' 8263597)']","[' 391      (Ratio', '   0.00%)']","[' 27550    (Ratio', '   0.33%)']","[' 8355131  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8355131  (Average', ' 27.05 Max', ' 3978 Sum', ' 225974709)']","[' 8354436  (Average', ' 26.95 Max', ' 3978 Sum', ' 225134502 Ratio', '  99.63%)']","[' 695      (Average', ' 1208.93 Max', ' 2375 Sum', ' 840207 Ratio', '   0.37%)']", ,[' 89219   '],[' 7884    '],[' 90613   '],[' 50825   '],"[' 152471   (Atom=Atom', ' 43939 Body=Body', ' 33334 Other', ' 75198)']",[' Yes'],"[' 10278    (Eliminated', '    0 Frozen', ' 10278)']","[' 4296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.32257'],[' 0'], ,[' 615.419'],[' 0'],[' 20.4607'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.38087e+08'],[' 5.94623e+08'],[' 0'],[' 3.76512e+10'],[' 0'],[' 0'],[' 827 '],[' 1530 '],[' 2343 '],[' 3121 '],[' 3 '],[' 1 ']
Solving...,TA67, ,[' 1'],[' 4513+'],[' 2261'],"[' 1004.031s (Solving', ' 983.73s 1st Model', ' 503.58s Unsat', ' 0.00s)']",[' 997.016s'], ,[' 152583013'],"[' 10006168 (Analyzed', ' 9650698)']","[' 21165    (Average', ' 455.97 Last', ' 468065)']",[' 3868.1  '],"[' 2261     (Average Length', ' 1047.29 Splits', ' 0)']","[' 9650698  (Deleted', ' 9530432)']","[' 263      (Ratio', '   0.00%)']","[' 25097    (Ratio', '   0.26%)']","[' 9650698  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9650698  (Average', ' 15.13 Max', ' 4064 Sum', ' 146022163)']","[' 9649976  (Average', ' 15.05 Max', ' 4064 Sum', ' 145287935 Ratio', '  99.50%)']","[' 722      (Average', ' 1016.94 Max', ' 1959 Sum', ' 734228 Ratio', '   0.50%)']", ,[' 88702   '],[' 7915    '],[' 89670   '],[' 50431   '],"[' 151289   (Atom=Atom', ' 43514 Body=Body', ' 33365 Other', ' 74410)']",[' Yes'],"[' 9883     (Eliminated', '    0 Frozen', ' 9883)']","[' 3948     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.37644'],[' 0'], ,[' 674.31'],[' 0'],[' 19.0114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08165e+08'],[' 3.21158e+08'],[' 0'],[' 3.45367e+10'],[' 0'],[' 0'],[' 967 '],[' 1721 '],[' 2544 '],[' 3225 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 4795+'],[' 2402'],"[' 1003.896s (Solving', ' 982.53s 1st Model', ' 443.85s Unsat', ' 0.00s)']",[' 998.016s'], ,[' 147446803'],"[' 12644926 (Analyzed', ' 12222130)']","[' 26240    (Average', ' 465.78 Last', ' 289848)']",[' 4142.1  '],"[' 2402     (Average Length', ' 1115.48 Splits', ' 0)']","[' 12222130 (Deleted', ' 12039838)']","[' 280      (Ratio', '   0.00%)']","[' 21603    (Ratio', '   0.18%)']","[' 12222130 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12222130 (Average', ' 11.45 Max', ' 4099 Sum', ' 139934528)']","[' 12221432 (Average', ' 11.39 Max', ' 4099 Sum', ' 139224027 Ratio', '  99.49%)']","[' 698      (Average', ' 1017.91 Max', ' 2525 Sum', ' 710501 Ratio', '   0.51%)']", ,[' 88579   '],[' 7800    '],[' 89680   '],[' 50222   '],"[' 150662   (Atom=Atom', ' 43420 Body=Body', ' 33250 Other', ' 73992)']",[' Yes'],"[' 9901     (Eliminated', '    0 Frozen', ' 9901)']","[' 3215     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.61704'],[' 0'], ,[' 683.487'],[' 0'],[' 19.8764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79516e+08'],[' 2.95563e+08'],[' 0'],[' 3.56629e+10'],[' 0'],[' 0'],[' 865 '],[' 1693 '],[' 2401 '],[' 3138 '],[' 4 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 4989+'],[' 2499'],"[' 1004.610s (Solving', ' 981.74s 1st Model', ' 544.08s Unsat', ' 0.00s)']",[' 997.953s'], ,[' 169041835'],"[' 10129053 (Analyzed', ' 9701528)']","[' 22094    (Average', ' 439.10 Last', ' 206349)']",[' 3950.7  '],"[' 2499     (Average Length', ' 1136.66 Splits', ' 0)']","[' 9701528  (Deleted', ' 9580385)']","[' 345      (Ratio', '   0.00%)']","[' 25290    (Ratio', '   0.26%)']","[' 9701528  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9701528  (Average', ' 16.68 Max', ' 4047 Sum', ' 161794824)']","[' 9700853  (Average', ' 16.60 Max', ' 4047 Sum', ' 161051549 Ratio', '  99.54%)']","[' 675      (Average', ' 1101.15 Max', ' 2035 Sum', ' 743275 Ratio', '   0.46%)']", ,[' 88950   '],[' 7869    '],[' 90079   '],[' 50520   '],"[' 151556   (Atom=Atom', ' 43649 Body=Body', ' 33319 Other', ' 74588)']",[' Yes'],"[' 9998     (Eliminated', '    0 Frozen', ' 9998)']","[' 3787     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.89073'],[' 0'], ,[' 661.794'],[' 0'],[' 20.0866'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67954e+08'],[' 3.70268e+08'],[' 0'],[' 3.23901e+10'],[' 0'],[' 0'],[' 1048 '],[' 1812 '],[' 2546 '],[' 3288 '],[' 4 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 3465+'],[' 1737'],"[' 755.436s (Solving', ' 739.73s 1st Model', ' 189.94s Unsat', ' 0.00s)']",[' 749.125s'], ,[' 109339838'],"[' 12724246 (Analyzed', ' 12439234)']","[' 24906    (Average', ' 499.45 Last', ' 306584)']",[' 3959.5  '],"[' 1736     (Average Length', ' 841.58 Splits', ' 0)']","[' 12439234 (Deleted', ' 12276573)']","[' 281      (Ratio', '   0.00%)']","[' 13775    (Ratio', '   0.11%)']","[' 12439234 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12439234 (Average', '  8.31 Max', ' 5021 Sum', ' 103391633)']","[' 12438806 (Average', '  8.29 Max', ' 5021 Sum', ' 103092042 Ratio', '  99.71%)']","[' 428      (Average', ' 699.98 Max', ' 979 Sum', ' 299591 Ratio', '   0.29%)']", ,[' 88353   '],[' 7908    '],[' 89026   '],[' 49934   '],"[' 149798   (Atom=Atom', ' 43024 Body=Body', ' 33358 Other', ' 73416)']",[' Yes'],"[' 9581     (Eliminated', '    0 Frozen', ' 9581)']","[' 2612     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.30151'],[' 0'], ,[' 484.516'],[' 0'],[' 12.7803'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16004e+08'],[' 2.35823e+08'],[' 0'],[' 2.4703e+10'],[' 0'],[' 0'],[' 1039 '],[' 1787 '],[' 6668 '],[' 6781 '],[' 4 '],[' 0 ']
