Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 13113+'],[' 6563'],"[' 1027.949s (Solving', ' 922.08s 1st Model', ' 575.97s Unsat', ' 0.00s)']",[' 1023.750s'], ,[' 545078950'],"[' 8485139  (Analyzed', ' 7767337)']","[' 17815    (Average', ' 436.00 Last', ' 159205)']",[' 11711.9 '],"[' 6563     (Average Length', ' 2905.91 Splits', ' 0)']","[' 7767337  (Deleted', ' 7614041)']","[' 146      (Ratio', '   0.00%)']","[' 77870    (Ratio', '   1.00%)']","[' 7767337  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7767337  (Average', ' 63.57 Max', ' 13023 Sum', ' 493740808)']","[' 7764180  (Average', ' 62.57 Max', ' 13023 Sum', ' 486006543 Ratio', '  98.43%)']","[' 3157     (Average', ' 2449.88 Max', ' 4400 Sum', ' 7734265 Ratio', '   1.57%)']", ,[' 375749  '],[' 24916   '],[' 369174  '],[' 162779  '],"[' 467553   (Atom=Atom', ' 132639 Body=Body', ' 90106 Other', ' 244808)']",[' Yes'],"[' 29849    (Eliminated', '    0 Frozen', ' 29849)']","[' 14544    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8153'],[' 0'], ,[' 372.544'],[' 0'],[' 32.5586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13365e+09'],[' 1.0135e+09'],[' 0'],[' 1.43284e+10'],[' 0'],[' 0'],[' 1254 '],[' 2237 '],[' 3343 '],[' 4359 '],[' 5310 '],[' 6292 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10679+'],[' 5346'],"[' 863.107s (Solving', ' 775.37s 1st Model', ' 394.39s Unsat', ' 0.00s)']",[' 859.500s'], ,[' 526155379'],"[' 4240575  (Analyzed', ' 3841960)']","[' 9908     (Average', ' 387.76 Last', ' 43076)']",[' 13342.5 '],"[' 5346     (Average Length', ' 2454.34 Splits', ' 0)']","[' 3841960  (Deleted', ' 3728784)']","[' 122      (Ratio', '   0.00%)']","[' 66767    (Ratio', '   1.74%)']","[' 3841960  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3841960  (Average', ' 122.96 Max', ' 15410 Sum', ' 472393865)']","[' 3839909  (Average', ' 121.61 Max', ' 15410 Sum', ' 467229117 Ratio', '  98.91%)']","[' 2051     (Average', ' 2518.16 Max', ' 3894 Sum', ' 5164748 Ratio', '   1.09%)']", ,[' 372091  '],[' 24645   '],[' 364642  '],[' 159787  '],"[' 460367   (Atom=Atom', ' 130451 Body=Body', ' 89385 Other', ' 240531)']",[' Yes'],"[' 28785    (Eliminated', '    0 Frozen', ' 28785)']","[' 10801    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6309'],[' 0'], ,[' 296.384'],[' 0'],[' 30.8206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02476e+09'],[' 9.13223e+08'],[' 0'],[' 9.91776e+09'],[' 0'],[' 0'],[' 960 '],[' 6432 '],[' 5602 '],[' 6426 '],[' 7385 '],[' 8376 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 13139+'],[' 6576'],"[' 1028.802s (Solving', ' 923.04s 1st Model', ' 501.49s Unsat', ' 0.00s)']",[' 1025.797s'], ,[' 553237714'],"[' 7597510  (Analyzed', ' 6837377)']","[' 15863    (Average', ' 431.03 Last', ' 163711)']",[' 11547.0 '],"[' 6576     (Average Length', ' 2886.59 Splits', ' 0)']","[' 6837377  (Deleted', ' 6685882)']","[' 151      (Ratio', '   0.00%)']","[' 82139    (Ratio', '   1.20%)']","[' 6837377  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6837377  (Average', ' 73.55 Max', ' 12909 Sum', ' 502863391)']","[' 6834306  (Average', ' 72.39 Max', ' 12909 Sum', ' 494940873 Ratio', '  98.42%)']","[' 3071     (Average', ' 2579.78 Max', ' 4301 Sum', ' 7922518 Ratio', '   1.58%)']", ,[' 373525  '],[' 24661   '],[' 366812  '],[' 160927  '],"[' 466076   (Atom=Atom', ' 132237 Body=Body', ' 89791 Other', ' 244048)']",[' Yes'],"[' 29719    (Eliminated', '    0 Frozen', ' 29719)']","[' 15444    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6728'],[' 0'], ,[' 374.508'],[' 0'],[' 32.8397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18288e+09'],[' 1.05307e+09'],[' 0'],[' 1.41932e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3318 '],[' 4318 '],[' 5387 '],[' 6308 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 11407+'],[' 5710'],"[' 1023.703s (Solving', ' 938.87s 1st Model', ' 530.68s Unsat', ' 0.00s)']",[' 1020.172s'], ,[' 566268101'],"[' 4937339  (Analyzed', ' 4565060)']","[' 12341    (Average', ' 369.91 Last', ' 51066)']",[' 10194.5 '],"[' 5710     (Average Length', ' 2521.32 Splits', ' 0)']","[' 4565060  (Deleted', ' 4421851)']","[' 158      (Ratio', '   0.00%)']","[' 89050    (Ratio', '   1.95%)']","[' 4565060  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4565060  (Average', ' 115.93 Max', ' 12625 Sum', ' 529224828)']","[' 4562058  (Average', ' 114.26 Max', ' 12625 Sum', ' 521597010 Ratio', '  98.56%)']","[' 3002     (Average', ' 2540.91 Max', ' 3855 Sum', ' 7627818 Ratio', '   1.44%)']", ,[' 371520  '],[' 24537   '],[' 364244  '],[' 159240  '],"[' 462100   (Atom=Atom', ' 131004 Body=Body', ' 89523 Other', ' 241573)']",[' Yes'],"[' 29029    (Eliminated', '    0 Frozen', ' 29029)']","[' 16589    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1873'],[' 0'], ,[' 367.729'],[' 0'],[' 34.3851'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31437e+09'],[' 1.17724e+09'],[' 0'],[' 1.38208e+10'],[' 0'],[' 0'],[' 1152 '],[' 1987 '],[' 3026 '],[' 4003 '],[' 5087 '],[' 6016 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 14463+'],[' 7238'],"[' 1031.878s (Solving', ' 918.52s 1st Model', ' 575.96s Unsat', ' 0.00s)']",[' 1028.656s'], ,[' 554566471'],"[' 4400334  (Analyzed', ' 3929145)']","[' 11435    (Average', ' 343.61 Last', ' 89361)']",[' 11350.8 '],"[' 7238     (Average Length', ' 3102.35 Splits', ' 0)']","[' 3929145  (Deleted', ' 3792021)']","[' 202      (Ratio', '   0.01%)']","[' 89639    (Ratio', '   2.28%)']","[' 3929145  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3929145  (Average', ' 127.53 Max', ' 13181 Sum', ' 501088467)']","[' 3926635  (Average', ' 125.72 Max', ' 13181 Sum', ' 493982204 Ratio', '  98.58%)']","[' 2510     (Average', ' 2831.18 Max', ' 4624 Sum', ' 7106263 Ratio', '   1.42%)']", ,[' 375737  '],[' 24882   '],[' 369391  '],[' 162829  '],"[' 469604   (Atom=Atom', ' 133315 Body=Body', ' 90123 Other', ' 246166)']",[' Yes'],"[' 30217    (Eliminated', '    0 Frozen', ' 30217)']","[' 16115    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.0279'],[' 0'], ,[' 326.293'],[' 0'],[' 32.3431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33396e+09'],[' 1.19096e+09'],[' 0'],[' 1.0564e+10'],[' 0'],[' 0'],[' 1205 '],[' 2084 '],[' 3123 '],[' 4160 '],[' 5098 '],[' 6122 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 12913+'],[' 6463'],"[' 1026.791s (Solving', ' 929.85s 1st Model', ' 584.96s Unsat', ' 0.00s)']",[' 1023.266s'], ,[' 565512135'],"[' 6833046  (Analyzed', ' 6312303)']","[' 15193    (Average', ' 415.47 Last', ' 94658)']",[' 10605.0 '],"[' 6463     (Average Length', ' 2862.02 Splits', ' 0)']","[' 6312303  (Deleted', ' 6152708)']","[' 123      (Ratio', '   0.00%)']","[' 90121    (Ratio', '   1.43%)']","[' 6312303  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6312303  (Average', ' 82.81 Max', ' 12184 Sum', ' 522719443)']","[' 6309354  (Average', ' 81.50 Max', ' 12184 Sum', ' 514428883 Ratio', '  98.41%)']","[' 2949     (Average', ' 2811.31 Max', ' 4401 Sum', ' 8290560 Ratio', '   1.59%)']", ,[' 372122  '],[' 24530   '],[' 365459  '],[' 159999  '],"[' 464203   (Atom=Atom', ' 131723 Body=Body', ' 89527 Other', ' 242953)']",[' Yes'],"[' 29539    (Eliminated', '    0 Frozen', ' 29539)']","[' 16711    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.2029'],[' 0'], ,[' 356.777'],[' 0'],[' 33.6462'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30463e+09'],[' 1.16541e+09'],[' 0'],[' 1.27318e+10'],[' 0'],[' 0'],[' 1131 '],[' 2107 '],[' 3032 '],[' 3984 '],[' 4920 '],[' 5878 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 11859+'],[' 5936'],"[' 1024.396s (Solving', ' 934.55s 1st Model', ' 511.31s Unsat', ' 0.00s)']",[' 1022.344s'], ,[' 558888294'],"[' 8236717  (Analyzed', ' 7736412)']","[' 16421    (Average', ' 471.13 Last', ' 84549)']",[' 10852.2 '],"[' 5936     (Average Length', ' 2631.65 Splits', ' 0)']","[' 7736412  (Deleted', ' 7572023)']","[' 118      (Ratio', '   0.00%)']","[' 82947    (Ratio', '   1.07%)']","[' 7736412  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7736412  (Average', ' 66.72 Max', ' 12367 Sum', ' 516178787)']","[' 7733425  (Average', ' 65.80 Max', ' 12367 Sum', ' 509074241 Ratio', '  98.62%)']","[' 2987     (Average', ' 2378.49 Max', ' 4114 Sum', ' 7104546 Ratio', '   1.38%)']", ,[' 370744  '],[' 24439   '],[' 363783  '],[' 158795  '],"[' 461304   (Atom=Atom', ' 130831 Body=Body', ' 89208 Other', ' 241265)']",[' Yes'],"[' 29111    (Eliminated', '    0 Frozen', ' 29111)']","[' 14618    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.1375'],[' 0'], ,[' 386.367'],[' 0'],[' 33.8053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19367e+09'],[' 1.06424e+09'],[' 0'],[' 1.4959e+10'],[' 0'],[' 0'],[' 1068 '],[' 2051 '],[' 3000 '],[' 4056 '],[' 5084 '],[' 5996 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 13043+'],[' 6528'],"[' 1028.613s (Solving', ' 922.66s 1st Model', ' 580.76s Unsat', ' 0.00s)']",[' 1024.766s'], ,[' 560897812'],"[' 6912782  (Analyzed', ' 6399528)']","[' 14363    (Average', ' 445.56 Last', ' 86752)']",[' 11092.9 '],"[' 6528     (Average Length', ' 2862.69 Splits', ' 0)']","[' 6399528  (Deleted', ' 6248588)']","[' 151      (Ratio', '   0.00%)']","[' 89283    (Ratio', '   1.40%)']","[' 6399528  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6399528  (Average', ' 80.23 Max', ' 12199 Sum', ' 513420454)']","[' 6396490  (Average', ' 79.08 Max', ' 12199 Sum', ' 506089858 Ratio', '  98.57%)']","[' 3038     (Average', ' 2412.97 Max', ' 4191 Sum', ' 7330596 Ratio', '   1.43%)']", ,[' 373065  '],[' 24628   '],[' 366371  '],[' 160568  '],"[' 466430   (Atom=Atom', ' 132285 Body=Body', ' 89885 Other', ' 244260)']",[' Yes'],"[' 29723    (Eliminated', '    0 Frozen', ' 29723)']","[' 17017    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8209'],[' 0'], ,[' 358.195'],[' 0'],[' 32.8818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26127e+09'],[' 1.12393e+09'],[' 0'],[' 1.39107e+10'],[' 0'],[' 0'],[' 1276 '],[' 2111 '],[' 3053 '],[' 4052 '],[' 5051 '],[' 6020 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 11039+'],[' 5526'],"[' 872.189s (Solving', ' 770.84s 1st Model', ' 420.01s Unsat', ' 0.00s)']",[' 867.641s'], ,[' 434086643'],"[' 4414714  (Analyzed', ' 3808336)']","[' 10620    (Average', ' 358.60 Last', ' 70534)']",[' 12247.7 '],"[' 5525     (Average Length', ' 2633.44 Splits', ' 0)']","[' 3808336  (Deleted', ' 3699509)']","[' 90       (Ratio', '   0.00%)']","[' 66723    (Ratio', '   1.75%)']","[' 3808336  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3808336  (Average', ' 101.40 Max', ' 14633 Sum', ' 386174830)']","[' 3805945  (Average', ' 99.78 Max', ' 14633 Sum', ' 379997429 Ratio', '  98.40%)']","[' 2391     (Average', ' 2583.61 Max', ' 4006 Sum', ' 6177401 Ratio', '   1.60%)']", ,[' 372335  '],[' 24651   '],[' 365287  '],[' 159692  '],"[' 462460   (Atom=Atom', ' 131085 Body=Body', ' 89701 Other', ' 241674)']",[' Yes'],"[' 29359    (Eliminated', '    0 Frozen', ' 29359)']","[' 12694    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.8757'],[' 0'], ,[' 284.239'],[' 0'],[' 27.8594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.58214e+08'],[' 8.48905e+08'],[' 0'],[' 8.64117e+09'],[' 0'],[' 0'],[' 1147 '],[' 2041 '],[' 9720 '],[' 10555 '],[' 11487 '],[' 12462 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 11807+'],[' 5910'],"[' 1026.140s (Solving', ' 931.56s 1st Model', ' 550.95s Unsat', ' 0.00s)']",[' 1022.406s'], ,[' 558498803'],"[' 4800376  (Analyzed', ' 4292125)']","[' 11948    (Average', ' 359.23 Last', ' 86623)']",[' 10869.1 '],"[' 5910     (Average Length', ' 2635.41 Splits', ' 0)']","[' 4292125  (Deleted', ' 4153623)']","[' 129      (Ratio', '   0.00%)']","[' 92263    (Ratio', '   2.15%)']","[' 4292125  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4292125  (Average', ' 120.22 Max', ' 12456 Sum', ' 515991615)']","[' 4289276  (Average', ' 118.56 Max', ' 12456 Sum', ' 508873020 Ratio', '  98.62%)']","[' 2849     (Average', ' 2498.63 Max', ' 4008 Sum', ' 7118595 Ratio', '   1.38%)']", ,[' 374647  '],[' 24938   '],[' 367501  '],[' 161922  '],"[' 467472   (Atom=Atom', ' 132469 Body=Body', ' 90551 Other', ' 244452)']",[' Yes'],"[' 29490    (Eliminated', '    0 Frozen', ' 29490)']","[' 16881    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.9219'],[' 0'], ,[' 352.2'],[' 0'],[' 33.5024'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27535e+09'],[' 1.13988e+09'],[' 0'],[' 1.1607e+10'],[' 0'],[' 0'],[' 1136 '],[' 2132 '],[' 3076 '],[' 3992 '],[' 4884 '],[' 5863 '],[' 6 '],[' 0 ']
