Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 14077+'],[' 7045'],"[' 1021.551s (Solving', ' 874.14s 1st Model', ' 521.78s Unsat', ' 0.00s)']",[' 1014.281s'], ,[' 442969930'],"[' 6615614  (Analyzed', ' 6080886)']","[' 13934    (Average', ' 436.41 Last', ' 39301)']",[' 13564.3 '],"[' 7044     (Average Length', ' 3125.34 Splits', ' 0)']","[' 6080886  (Deleted', ' 5961813)']","[' 83       (Ratio', '   0.00%)']","[' 51242    (Ratio', '   0.84%)']","[' 6080886  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6080886  (Average', ' 61.67 Max', ' 17962 Sum', ' 374997852)']","[' 6078005  (Average', ' 60.61 Max', ' 17962 Sum', ' 368534208 Ratio', '  98.28%)']","[' 2881     (Average', ' 2243.54 Max', ' 3780 Sum', ' 6463644 Ratio', '   1.72%)']", ,[' 399738  '],[' 27951   '],[' 393751  '],[' 184584  '],"[' 520164   (Atom=Atom', ' 147066 Body=Body', ' 101929 Other', ' 271169)']",[' Yes'],"[' 32960    (Eliminated', '    0 Frozen', ' 32960)']","[' 9609     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.4775'],[' 0'], ,[' 331.224'],[' 0'],[' 32.0849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.11188e+08'],[' 7.30233e+08'],[' 0'],[' 8.32833e+09'],[' 0'],[' 0'],[' 1254 '],[' 2274 '],[' 3359 '],[' 4440 '],[' 5612 '],[' 6617 '],[' 6 '],[' 0 ']
Solving...,TA72, , ,[' 10793+'],[' 5401'],"[' 1054.048s (Solving', ' 868.13s 1st Model', ' 427.54s Unsat', ' 0.00s)']",[' 1034.891s'], ,[' 277155538'],"[' 2654942  (Analyzed', ' 2219058)']","[' 7008     (Average', ' 316.65 Last', ' 44153)']",[' 12668.1 '],"[' 5402     (Average Length', ' 2485.69 Splits', ' 0)']","[' 2219058  (Deleted', ' 2137221)']","[' 75       (Ratio', '   0.00%)']","[' 34867    (Ratio', '   1.57%)']","[' 2219058  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2219058  (Average', ' 100.93 Max', ' 20688 Sum', ' 223961434)']","[' 2217571  (Average', ' 99.81 Max', ' 20688 Sum', ' 221488542 Ratio', '  98.90%)']","[' 1487     (Average', ' 1663.01 Max', ' 2650 Sum', ' 2472892 Ratio', '   1.10%)']", ,[' 395005  '],[' 27565   '],[' 388140  '],[' 180516  '],"[' 510643   (Atom=Atom', ' 144168 Body=Body', ' 100985 Other', ' 265490)']",[' Yes'],"[' 31762    (Eliminated', '    0 Frozen', ' 31762)']","[' 6273     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 34.3527'],[' 0'], ,[' 268.196'],[' 0'],[' 32.0855'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.49023e+08'],[' 4.83316e+08'],[' 0'],[' 3.6012e+09'],[' 0'],[' 0'],[' 960 '],[' 1977 '],[' 3049 '],[' 5603 '],[' 7581 '],[' 12434 '],[' 6 '],[' 0 ']
Solving...,TA73, , ,[' 13215+'],[' 6614'],"[' 1034.886s (Solving', ' 906.37s 1st Model', ' 554.58s Unsat', ' 0.00s)']",[' 1028.797s'], ,[' 516841915'],"[' 6690494  (Analyzed', ' 6011443)']","[' 13627    (Average', ' 441.14 Last', ' 357475)']",[' 12759.2 '],"[' 6615     (Average Length', ' 2925.69 Splits', ' 0)']","[' 6011443  (Deleted', ' 5884561)']","[' 113      (Ratio', '   0.00%)']","[' 67409    (Ratio', '   1.12%)']","[' 6011443  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6011443  (Average', ' 76.77 Max', ' 15566 Sum', ' 461492064)']","[' 6007827  (Average', ' 74.97 Max', ' 15566 Sum', ' 450673003 Ratio', '  97.66%)']","[' 3616     (Average', ' 2992.00 Max', ' 4533 Sum', ' 10819061 Ratio', '   2.34%)']", ,[' 397152  '],[' 27655   '],[' 390796  '],[' 182319  '],"[' 516717   (Atom=Atom', ' 146043 Body=Body', ' 101495 Other', ' 269179)']",[' Yes'],"[' 32459    (Eliminated', '    0 Frozen', ' 32459)']","[' 13105    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.5055'],[' 0'], ,[' 346.554'],[' 0'],[' 33.7491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01037e+09'],[' 9.06097e+08'],[' 0'],[' 1.05517e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3328 '],[' 4285 '],[' 5331 '],[' 6333 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 15079+'],[' 7546'],"[' 1041.488s (Solving', ' 890.13s 1st Model', ' 468.40s Unsat', ' 0.00s)']",[' 1036.141s'], ,[' 476602162'],"[' 3700102  (Analyzed', ' 3210719)']","[' 9487     (Average', ' 338.43 Last', ' 45251)']",[' 12908.3 '],"[' 7546     (Average Length', ' 3306.76 Splits', ' 0)']","[' 3210719  (Deleted', ' 3093510)']","[' 114      (Ratio', '   0.00%)']","[' 62673    (Ratio', '   1.95%)']","[' 3210719  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3210719  (Average', ' 128.72 Max', ' 15836 Sum', ' 413274533)']","[' 3207417  (Average', ' 125.63 Max', ' 15836 Sum', ' 403346611 Ratio', '  97.60%)']","[' 3302     (Average', ' 3006.64 Max', ' 5089 Sum', ' 9927922 Ratio', '   2.40%)']", ,[' 397159  '],[' 27584   '],[' 391713  '],[' 182716  '],"[' 518948   (Atom=Atom', ' 146842 Body=Body', ' 101401 Other', ' 270705)']",[' Yes'],"[' 33215    (Eliminated', '    0 Frozen', ' 33215)']","[' 12612    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.9313'],[' 0'], ,[' 310.136'],[' 0'],[' 33.5352'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.8192e+08'],[' 8.84488e+08'],[' 0'],[' 6.87865e+09'],[' 0'],[' 0'],[' 1152 '],[' 2006 '],[' 3011 '],[' 4060 '],[' 5108 '],[' 6233 '],[' 6 '],[' 0 ']
Solving...,TA75, , ,[' 13435+'],[' 6724'],"[' 1033.105s (Solving', ' 878.54s 1st Model', ' 504.98s Unsat', ' 0.00s)']",[' 981.781s'], ,[' 411559337'],"[' 2742714  (Analyzed', ' 2351269)']","[' 7719     (Average', ' 304.61 Last', ' 41166)']",[' 12182.1 '],"[' 6725     (Average Length', ' 2943.03 Splits', ' 0)']","[' 2351269  (Deleted', ' 2256683)']","[' 135      (Ratio', '   0.01%)']","[' 56240    (Ratio', '   2.39%)']","[' 2351269  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2351269  (Average', ' 152.79 Max', ' 16663 Sum', ' 359239170)']","[' 2347956  (Average', ' 148.34 Max', ' 16663 Sum', ' 348794104 Ratio', '  97.09%)']","[' 3313     (Average', ' 3152.75 Max', ' 4644 Sum', ' 10445066 Ratio', '   2.91%)']", ,[' 399822  '],[' 27979   '],[' 393790  '],[' 184619  '],"[' 518202   (Atom=Atom', ' 146472 Body=Body', ' 101710 Other', ' 270020)']",[' Yes'],"[' 32753    (Eliminated', '    0 Frozen', ' 32753)']","[' 11087    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.3034'],[' 0'], ,[' 282.2'],[' 0'],[' 34.4144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38735e+08'],[' 7.54548e+08'],[' 0'],[' 4.83952e+09'],[' 0'],[' 0'],[' 1205 '],[' 2123 '],[' 3157 '],[' 4343 '],[' 5365 '],[' 9103 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 13287+'],[' 6650'],"[' 1028.953s (Solving', ' 861.92s 1st Model', ' 474.89s Unsat', ' 0.00s)']",[' 930.422s'], ,[' 393995985'],"[' 5018816  (Analyzed', ' 4622942)']","[' 11974    (Average', ' 386.08 Last', ' 40083)']",[' 12772.9 '],"[' 6651     (Average Length', ' 2947.45 Splits', ' 0)']","[' 4622942  (Deleted', ' 4506945)']","[' 97       (Ratio', '   0.00%)']","[' 50522    (Ratio', '   1.09%)']","[' 4622942  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4622942  (Average', ' 72.80 Max', ' 17345 Sum', ' 336560938)']","[' 4619820  (Average', ' 70.94 Max', ' 17345 Sum', ' 327940462 Ratio', '  97.44%)']","[' 3122     (Average', ' 2761.20 Max', ' 4725 Sum', ' 8620476 Ratio', '   2.56%)']", ,[' 396287  '],[' 27589   '],[' 390135  '],[' 181933  '],"[' 516132   (Atom=Atom', ' 145906 Body=Body', ' 101390 Other', ' 268836)']",[' Yes'],"[' 32468    (Eliminated', '    0 Frozen', ' 32468)']","[' 9720     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.3206'],[' 0'], ,[' 290.078'],[' 0'],[' 33.0093'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.7574e+08'],[' 6.93869e+08'],[' 0'],[' 6.26866e+09'],[' 0'],[' 0'],[' 1131 '],[' 2133 '],[' 3104 '],[' 4092 '],[' 5106 '],[' 6345 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 13459+'],[' 6736'],"[' 1031.744s (Solving', ' 863.01s 1st Model', ' 487.89s Unsat', ' 0.00s)']",[' 968.281s'], ,[' 379929214'],"[' 6097719  (Analyzed', ' 5709686)']","[' 11994    (Average', ' 476.05 Last', ' 510780)']",[' 13140.0 '],"[' 6736     (Average Length', ' 2991.63 Splits', ' 0)']","[' 5709686  (Deleted', ' 5599940)']","[' 67       (Ratio', '   0.00%)']","[' 43297    (Ratio', '   0.76%)']","[' 5709686  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5709686  (Average', ' 55.85 Max', ' 17783 Sum', ' 318865926)']","[' 5706653  (Average', ' 54.45 Max', ' 17783 Sum', ' 310882605 Ratio', '  97.50%)']","[' 3033     (Average', ' 2632.15 Max', ' 4803 Sum', ' 7983321 Ratio', '   2.50%)']", ,[' 395641  '],[' 27487   '],[' 389567  '],[' 181337  '],"[' 515640   (Atom=Atom', ' 145798 Body=Body', ' 101222 Other', ' 268620)']",[' Yes'],"[' 32540    (Eliminated', '    0 Frozen', ' 32540)']","[' 8513     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.9474'],[' 0'], ,[' 313.39'],[' 0'],[' 33.9414'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.89686e+08'],[' 6.1854e+08'],[' 0'],[' 7.60426e+09'],[' 0'],[' 0'],[' 1068 '],[' 2058 '],[' 3064 '],[' 4166 '],[' 5339 '],[' 8340 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 11661+'],[' 5835'],"[' 904.435s (Solving', ' 754.75s 1st Model', ' 395.18s Unsat', ' 0.00s)']",[' 832.078s'], ,[' 352219084'],"[' 4749675  (Analyzed', ' 4290768)']","[' 10245    (Average', ' 418.82 Last', ' 18173)']",[' 15374.3 '],"[' 5835     (Average Length', ' 2635.95 Splits', ' 0)']","[' 4290768  (Deleted', ' 4202939)']","[' 60       (Ratio', '   0.00%)']","[' 30733    (Ratio', '   0.72%)']","[' 4290768  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4290768  (Average', ' 65.04 Max', ' 21916 Sum', ' 279057040)']","[' 4289530  (Average', ' 64.58 Max', ' 21916 Sum', ' 277103060 Ratio', '  99.30%)']","[' 1238     (Average', ' 1578.34 Max', ' 2218 Sum', ' 1953980 Ratio', '   0.70%)']", ,[' 397823  '],[' 27924   '],[' 390989  '],[' 182922  '],"[' 515462   (Atom=Atom', ' 145529 Body=Body', ' 101728 Other', ' 268205)']",[' Yes'],"[' 32102    (Eliminated', '    0 Frozen', ' 32102)']","[' 4526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.7626'],[' 0'], ,[' 271.669'],[' 0'],[' 31.5013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.34655e+08'],[' 4.78026e+08'],[' 0'],[' 6.15055e+09'],[' 0'],[' 0'],[' 1276 '],[' 2739 '],[' 3585 '],[' 4588 '],[' 5887 '],[' 7842 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 14749+'],[' 7381'],"[' 1034.337s (Solving', ' 893.61s 1st Model', ' 547.33s Unsat', ' 0.00s)']",[' 1001.141s'], ,[' 541662875'],"[' 3419537  (Analyzed', ' 3005366)']","[' 8303     (Average', ' 361.96 Last', ' 187800)']",[' 13458.2 '],"[' 7381     (Average Length', ' 3247.51 Splits', ' 0)']","[' 3005366  (Deleted', ' 2907196)']","[' 108      (Ratio', '   0.00%)']","[' 67014    (Ratio', '   2.23%)']","[' 3005366  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3005366  (Average', ' 157.73 Max', ' 17512 Sum', ' 474039405)']","[' 3003156  (Average', ' 154.92 Max', ' 17512 Sum', ' 465583330 Ratio', '  98.22%)']","[' 2210     (Average', ' 3826.28 Max', ' 5251 Sum', ' 8456075 Ratio', '   1.78%)']", ,[' 398905  '],[' 27801   '],[' 393110  '],[' 184005  '],"[' 519726   (Atom=Atom', ' 147033 Body=Body', ' 101659 Other', ' 271034)']",[' Yes'],"[' 33020    (Eliminated', '    0 Frozen', ' 33020)']","[' 7422     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2022'],[' 0'], ,[' 293.734'],[' 0'],[' 34.8431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04137e+09'],[' 9.42986e+08'],[' 0'],[' 6.23905e+09'],[' 0'],[' 0'],[' 1147 '],[' 2070 '],[' 3014 '],[' 3979 '],[' 4998 '],[' 5890 '],[' 6 '],[' 0 ']
Solving...,TA80, , ,[' 12335+'],[' 6173'],"[' 1035.837s (Solving', ' 893.31s 1st Model', ' 486.73s Unsat', ' 0.00s)']",[' 1021.047s'], ,[' 430381334'],"[' 4319619  (Analyzed', ' 3874249)']","[' 10485    (Average', ' 369.50 Last', ' 19471)']",[' 12726.3 '],"[' 6174     (Average Length', ' 2778.58 Splits', ' 0)']","[' 3874249  (Deleted', ' 3765758)']","[' 95       (Ratio', '   0.00%)']","[' 58519    (Ratio', '   1.51%)']","[' 3874249  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3874249  (Average', ' 96.53 Max', ' 17661 Sum', ' 373963027)']","[' 3871748  (Average', ' 95.03 Max', ' 17661 Sum', ' 368174288 Ratio', '  98.45%)']","[' 2501     (Average', ' 2314.57 Max', ' 3446 Sum', ' 5788739 Ratio', '   1.55%)']", ,[' 397780  '],[' 27875   '],[' 391233  '],[' 182998  '],"[' 519170   (Atom=Atom', ' 146602 Body=Body', ' 102307 Other', ' 270261)']",[' Yes'],"[' 32506    (Eliminated', '    0 Frozen', ' 32506)']","[' 10674    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.5457'],[' 0'], ,[' 301.75'],[' 0'],[' 34.0683'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.81954e+08'],[' 7.88707e+08'],[' 0'],[' 6.55674e+09'],[' 0'],[' 0'],[' 1136 '],[' 2137 '],[' 3135 '],[' 4111 '],[' 5307 '],[' 6880 '],[' 6 '],[' 0 ']
