Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA61, ,[' 1'],[' 6553+'],[' 3279'],"[' 1045.777s (Solving', ' 1015.53s 1st Model', ' 874.46s Unsat', ' 0.00s)']",[' 1041.141s'], ,[' 469004766'],"[' 5415743  (Analyzed', ' 2002324)']","[' 8068     (Average', ' 248.18 Last', ' 189277)']",[' 8694.3  '],"[' 3279     (Average Length', ' 1603.24 Splits', ' 0)']","[' 2002324  (Deleted', ' 1931543)']","[' 352      (Ratio', '   0.02%)']","[' 59661    (Ratio', '   2.98%)']","[' 2002324  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2002324  (Average', ' 221.12 Max', ' 9848 Sum', ' 442747831)']","[' 2001709  (Average', ' 220.59 Max', ' 8854 Sum', ' 441685111 Ratio', '  99.76%)']","[' 615      (Average', ' 1728.00 Max', ' 1728 Sum', ' 1062720 Ratio', '   0.24%)']", ,[' 126735  '],[' 13156   '],[' 128834  '],[' 78351   '],"[' 235049   (Atom=Atom', ' 66193 Body=Body', ' 38606 Other', ' 130250)']",[' Yes'],"[' 16255    (Eliminated', '    0 Frozen', ' 16255)']","[' 6725     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.38971'],[' 0'], ,[' 433.952'],[' 0'],[' 31.5425'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44679e+09'],[' 1.29394e+09'],[' 0'],[' 2.00464e+10'],[' 0'],[' 0'],[' 1831 '],[' 3564 ']
Solving...,TA62, , ,[' 7683+'],[' 3844'],"[' 1047.005s (Solving', ' 1011.01s 1st Model', ' 826.91s Unsat', ' 0.00s)']",[' 1040.922s'], ,[' 449669577'],"[' 5061200  (Analyzed', ' 1503363)']","[' 7270     (Average', ' 206.79 Last', ' 143218)']",[' 8911.8  '],"[' 3845     (Average Length', ' 1879.81 Splits', ' 0)']","[' 1503363  (Deleted', ' 1435142)']","[' 261      (Ratio', '   0.02%)']","[' 59925    (Ratio', '   3.99%)']","[' 1503363  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1503363  (Average', ' 279.22 Max', ' 9948 Sum', ' 419764103)']","[' 1502757  (Average', ' 278.40 Max', ' 9227 Sum', ' 418543619 Ratio', '  99.71%)']","[' 606      (Average', ' 2014.00 Max', ' 2014 Sum', ' 1220484 Ratio', '   0.29%)']", ,[' 127743  '],[' 13304   '],[' 130340  '],[' 79507   '],"[' 238517   (Atom=Atom', ' 67201 Body=Body', ' 38754 Other', ' 132562)']",[' Yes'],"[' 16901    (Eliminated', '    0 Frozen', ' 16901)']","[' 7152     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.46023'],[' 0'], ,[' 411.03'],[' 0'],[' 31.3737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43102e+09'],[' 1.29863e+09'],[' 0'],[' 1.64049e+10'],[' 0'],[' 0'],[' 1809 '],[' 3610 ']
Solving...,TA63, ,[' 1'],[' 6939+'],[' 3472'],"[' 1047.304s (Solving', ' 1009.23s 1st Model', ' 824.27s Unsat', ' 0.00s)']",[' 1042.391s'], ,[' 386892504'],"[' 4850799  (Analyzed', ' 1401499)']","[' 6509     (Average', ' 215.32 Last', ' 261340)']",[' 8698.3  '],"[' 3472     (Average Length', ' 1699.63 Splits', ' 0)']","[' 1401499  (Deleted', ' 1341265)']","[' 262      (Ratio', '   0.02%)']","[' 53211    (Ratio', '   3.80%)']","[' 1401499  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1401499  (Average', ' 256.80 Max', ' 10151 Sum', ' 359909208)']","[' 1400868  (Average', ' 255.97 Max', ' 8301 Sum', ' 358741858 Ratio', '  99.68%)']","[' 631      (Average', ' 1850.00 Max', ' 1850 Sum', ' 1167350 Ratio', '   0.32%)']", ,[' 126748  '],[' 13096   '],[' 128993  '],[' 78304   '],"[' 234908   (Atom=Atom', ' 66206 Body=Body', ' 38546 Other', ' 130156)']",[' Yes'],"[' 16341    (Eliminated', '    0 Frozen', ' 16341)']","[' 6559     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.46501'],[' 0'], ,[' 430.813'],[' 0'],[' 32.0226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15469e+09'],[' 1.0381e+09'],[' 0'],[' 1.56622e+10'],[' 0'],[' 0'],[' 1676 '],[' 3310 ']
Solving...,TA64, ,[' 1'],[' 5997+'],[' 3001'],"[' 1046.460s (Solving', ' 1011.72s 1st Model', ' 728.86s Unsat', ' 0.00s)']",[' 1042.734s'], ,[' 399363277'],"[' 4787779  (Analyzed', ' 1420205)']","[' 6656     (Average', ' 213.37 Last', ' 88407)']",[' 8709.9  '],"[' 3001     (Average Length', ' 1470.59 Splits', ' 0)']","[' 1420205  (Deleted', ' 1357674)']","[' 318      (Ratio', '   0.02%)']","[' 55763    (Ratio', '   3.93%)']","[' 1420205  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1420205  (Average', ' 263.80 Max', ' 9275 Sum', ' 374656005)']","[' 1419553  (Average', ' 263.17 Max', ' 7905 Sum', ' 373752985 Ratio', '  99.76%)']","[' 652      (Average', ' 1385.00 Max', ' 1385 Sum', ' 903020 Ratio', '   0.24%)']", ,[' 126571  '],[' 13194   '],[' 128423  '],[' 78225   '],"[' 234671   (Atom=Atom', ' 66029 Body=Body', ' 38644 Other', ' 129998)']",[' Yes'],"[' 16046    (Eliminated', '    0 Frozen', ' 16046)']","[' 6778     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.71022'],[' 0'], ,[' 424.81'],[' 0'],[' 32.6776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19296e+09'],[' 1.07572e+09'],[' 0'],[' 1.54036e+10'],[' 0'],[' 0'],[' 1768 '],[' 3376 ']
Solving...,TA65, ,[' 1'],[' 7265+'],[' 3635'],"[' 1048.418s (Solving', ' 1006.34s 1st Model', ' 818.25s Unsat', ' 0.00s)']",[' 1045.328s'], ,[' 386866267'],"[' 4346163  (Analyzed', ' 1278962)']","[' 6376     (Average', ' 200.59 Last', ' 148679)']",[' 8913.8  '],"[' 3635     (Average Length', ' 1773.91 Splits', ' 0)']","[' 1278962  (Deleted', ' 1211947)']","[' 250      (Ratio', '   0.02%)']","[' 56071    (Ratio', '   4.38%)']","[' 1278962  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1278962  (Average', ' 280.37 Max', ' 9398 Sum', ' 358576688)']","[' 1278327  (Average', ' 279.45 Max', ' 9135 Sum', ' 357401938 Ratio', '  99.67%)']","[' 635      (Average', ' 1850.00 Max', ' 1850 Sum', ' 1174750 Ratio', '   0.33%)']", ,[' 127343  '],[' 13240   '],[' 129721  '],[' 79043   '],"[' 237125   (Atom=Atom', ' 66801 Body=Body', ' 38690 Other', ' 131634)']",[' Yes'],"[' 16618    (Eliminated', '    0 Frozen', ' 16618)']","[' 6656     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.88058'],[' 0'], ,[' 419.758'],[' 0'],[' 32.2994'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15525e+09'],[' 1.04572e+09'],[' 0'],[' 1.47642e+10'],[' 0'],[' 0'],[' 1708 '],[' 3418 ']
Solving...,TA66, ,[' 1'],[' 6967+'],[' 3486'],"[' 1048.140s (Solving', ' 1010.93s 1st Model', ' 851.28s Unsat', ' 0.00s)']",[' 1044.766s'], ,[' 420590911'],"[' 4418140  (Analyzed', ' 1430713)']","[' 6617     (Average', ' 216.22 Last', ' 119280)']",[' 8914.6  '],"[' 3486     (Average Length', ' 1705.15 Splits', ' 0)']","[' 1430713  (Deleted', ' 1359787)']","[' 277      (Ratio', '   0.02%)']","[' 60280    (Ratio', '   4.21%)']","[' 1430713  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1430713  (Average', ' 274.64 Max', ' 10091 Sum', ' 392935147)']","[' 1430128  (Average', ' 273.93 Max', ' 8767 Sum', ' 391917832 Ratio', '  99.74%)']","[' 585      (Average', ' 1739.00 Max', ' 1739 Sum', ' 1017315 Ratio', '   0.26%)']", ,[' 127404  '],[' 13310   '],[' 129665  '],[' 79174   '],"[' 237518   (Atom=Atom', ' 66862 Body=Body', ' 38760 Other', ' 131896)']",[' Yes'],"[' 16571    (Eliminated', '    0 Frozen', ' 16571)']","[' 6637     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.69731'],[' 0'], ,[' 415.686'],[' 0'],[' 31.9157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31063e+09'],[' 1.1895e+09'],[' 0'],[' 1.71057e+10'],[' 0'],[' 0'],[' 1731 '],[' 3570 ']
Solving...,TA67, ,[' 1'],[' 6859+'],[' 3432'],"[' 1046.061s (Solving', ' 1013.72s 1st Model', ' 861.75s Unsat', ' 0.00s)']",[' 1043.156s'], ,[' 462965536'],"[' 4933331  (Analyzed', ' 1772729)']","[' 7597     (Average', ' 233.35 Last', ' 143256)']",[' 8689.2  '],"[' 3432     (Average Length', ' 1680.72 Splits', ' 0)']","[' 1772729  (Deleted', ' 1700625)']","[' 365      (Ratio', '   0.02%)']","[' 61635    (Ratio', '   3.48%)']","[' 1772729  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1772729  (Average', ' 246.14 Max', ' 9949 Sum', ' 436347171)']","[' 1772095  (Average', ' 245.52 Max', ' 8627 Sum', ' 435244011 Ratio', '  99.75%)']","[' 634      (Average', ' 1740.00 Max', ' 1740 Sum', ' 1103160 Ratio', '   0.25%)']", ,[' 126894  '],[' 13158   '],[' 129116  '],[' 78512   '],"[' 235532   (Atom=Atom', ' 66352 Body=Body', ' 38608 Other', ' 130572)']",[' Yes'],"[' 16380    (Eliminated', '    0 Frozen', ' 16380)']","[' 7237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.77462'],[' 0'], ,[' 424.701'],[' 0'],[' 30.7706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49887e+09'],[' 1.3542e+09'],[' 0'],[' 1.95155e+10'],[' 0'],[' 0'],[' 1817 '],[' 3533 ']
Solving...,TA68, ,[' 1'],[' 6071+'],[' 3038'],"[' 1045.706s (Solving', ' 1016.47s 1st Model', ' 937.82s Unsat', ' 0.00s)']",[' 1042.172s'], ,[' 472056589'],"[' 4579162  (Analyzed', ' 1756770)']","[' 7144     (Average', ' 245.91 Last', ' 199934)']",[' 8445.5  '],"[' 3038     (Average Length', ' 1478.21 Splits', ' 0)']","[' 1756770  (Deleted', ' 1681726)']","[' 357      (Ratio', '   0.02%)']","[' 62855    (Ratio', '   3.58%)']","[' 1756770  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1756770  (Average', ' 255.22 Max', ' 9067 Sum', ' 448359201)']","[' 1756283  (Average', ' 254.82 Max', ' 7866 Sum', ' 447657434 Ratio', '  99.84%)']","[' 487      (Average', ' 1441.00 Max', ' 1441 Sum', ' 701767 Ratio', '   0.16%)']", ,[' 126698  '],[' 13224   '],[' 128577  '],[' 78382   '],"[' 235142   (Atom=Atom', ' 66156 Body=Body', ' 38674 Other', ' 130312)']",[' Yes'],"[' 16103    (Eliminated', '    0 Frozen', ' 16103)']","[' 6266     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.08937'],[' 0'], ,[' 416.085'],[' 0'],[' 31.5535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55774e+09'],[' 1.41427e+09'],[' 0'],[' 1.86113e+10'],[' 0'],[' 0'],[' 1799 '],[' 3476 ']
Solving...,TA69, ,[' 1'],[' 5871+'],[' 2938'],"[' 1045.340s (Solving', ' 1017.95s 1st Model', ' 686.49s Unsat', ' 0.00s)']",[' 1041.203s'], ,[' 467297377'],"[' 4389588  (Analyzed', ' 1885829)']","[' 6860     (Average', ' 274.90 Last', ' 203026)']",[' 8591.4  '],"[' 2938     (Average Length', ' 1442.88 Splits', ' 0)']","[' 1885829  (Deleted', ' 1809500)']","[' 391      (Ratio', '   0.02%)']","[' 65515    (Ratio', '   3.47%)']","[' 1885829  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1885829  (Average', ' 235.54 Max', ' 9135 Sum', ' 444188329)']","[' 1885185  (Average', ' 235.05 Max', ' 7765 Sum', ' 443266121 Ratio', '  99.79%)']","[' 644      (Average', ' 1432.00 Max', ' 1432 Sum', ' 922208 Ratio', '   0.21%)']", ,[' 126772  '],[' 13282   '],[' 128563  '],[' 78514   '],"[' 235538   (Atom=Atom', ' 66230 Body=Body', ' 38732 Other', ' 130576)']",[' Yes'],"[' 16073    (Eliminated', '    0 Frozen', ' 16073)']","[' 7439     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.8009'],[' 0'], ,[' 424.939'],[' 0'],[' 31.1079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52243e+09'],[' 1.38159e+09'],[' 0'],[' 1.88138e+10'],[' 0'],[' 0'],[' 1977 '],[' 3748 ']
Solving...,TA70, ,[' 1'],[' 6153+'],[' 3079'],"[' 619.085s (Solving', ' 592.07s 1st Model', ' 158.29s Unsat', ' 0.00s)']",[' 616.297s'], ,[' 289767726'],"[' 3959937  (Analyzed', ' 1313022)']","[' 4987     (Average', ' 263.29 Last', ' 154935)']",[' 8497.2  '],"[' 3078     (Average Length', ' 1515.00 Splits', ' 0)']","[' 1313022  (Deleted', ' 1262478)']","[' 271      (Ratio', '   0.02%)']","[' 39519    (Ratio', '   3.01%)']","[' 1313022  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1313022  (Average', ' 202.92 Max', ' 9469 Sum', ' 266436254)']","[' 1312387  (Average', ' 202.06 Max', ' 7692 Sum', ' 265307859 Ratio', '  99.58%)']","[' 635      (Average', ' 1777.00 Max', ' 1777 Sum', ' 1128395 Ratio', '   0.42%)']", ,[' 127087  '],[' 13340   '],[' 129013  '],[' 78887   '],"[' 236657   (Atom=Atom', ' 66545 Body=Body', ' 38790 Other', ' 131322)']",[' Yes'],"[' 16266    (Eliminated', '    0 Frozen', ' 16266)']","[' 8007     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.60641'],[' 0'], ,[' 216.332'],[' 0'],[' 18.7009'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.39261e+08'],[' 8.43515e+08'],[' 0'],[' 7.8596e+09'],[' 0'],[' 0'],[' 1975 '],[' 4435 ']
