Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 
Solving...,TA61, ,[' 1'],[' 4723+'],[' 2365'],"[' 708.122s (Solving', ' 690.90s 1st Model', ' 61.81s Unsat', ' 0.00s)']",[' 705.156s'], ,[' 238449155'],"[' 5292189  (Analyzed', ' 4668226)']","[' 10346    (Average', ' 451.21 Last', ' 61202)']",[' 4680.7  '],"[' 2365     (Average Length', ' 1124.92 Splits', ' 0)']","[' 4668226  (Deleted', ' 4592902)']","[' 263      (Ratio', '   0.01%)']","[' 36680    (Ratio', '   0.79%)']","[' 4668226  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4668226  (Average', ' 49.26 Max', ' 4753 Sum', ' 229943877)']","[' 4667506  (Average', ' 49.07 Max', ' 4753 Sum', ' 229056399 Ratio', '  99.61%)']","[' 720      (Average', ' 1232.61 Max', ' 1543 Sum', ' 887478 Ratio', '   0.39%)']", ,[' 116123  '],[' 9098    '],[' 117280  '],[' 68022   '],"[' 204062   (Atom=Atom', ' 59922 Body=Body', ' 34548 Other', ' 109592)']",[' Yes'],"[' 11255    (Eliminated', '    0 Frozen', ' 11255)']","[' 5769     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.64521'],[' 0'], ,[' 423.506'],[' 0'],[' 16.9028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.54723e+08'],[' 6.47997e+08'],[' 0'],[' 3.3792e+10'],[' 0'],[' 0'],[' 1243 '],[' 2400 '],[' 3604 ']
Solving...,TA62, ,[' 1'],[' 5033+'],[' 2520'],"[' 708.850s (Solving', ' 688.38s 1st Model', ' 278.89s Unsat', ' 0.00s)']",[' 705.859s'], ,[' 266786951'],"[' 3838084  (Analyzed', ' 3143728)']","[' 8543     (Average', ' 367.99 Last', ' 327275)']",[' 4926.4  '],"[' 2520     (Average Length', ' 1195.77 Splits', ' 0)']","[' 3143728  (Deleted', ' 3077693)']","[' 255      (Ratio', '   0.01%)']","[' 43188    (Ratio', '   1.37%)']","[' 3143728  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3143728  (Average', ' 81.80 Max', ' 4797 Sum', ' 257163983)']","[' 3143044  (Average', ' 81.54 Max', ' 4797 Sum', ' 256353775 Ratio', '  99.68%)']","[' 684      (Average', ' 1184.51 Max', ' 1521 Sum', ' 810208 Ratio', '   0.32%)']", ,[' 117553  '],[' 9261    '],[' 118827  '],[' 69326   '],"[' 207974   (Atom=Atom', ' 61063 Body=Body', ' 34711 Other', ' 112200)']",[' Yes'],"[' 11535    (Eliminated', '    0 Frozen', ' 11535)']","[' 6540     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.42011'],[' 0'], ,[' 356.731'],[' 0'],[' 18.6094'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.4495e+08'],[' 8.28214e+08'],[' 0'],[' 2.35893e+10'],[' 0'],[' 0'],[' 1345 '],[' 2392 '],[' 3606 ']
Solving...,TA63, ,[' 1'],[' 5339+'],[' 2673'],"[' 708.765s (Solving', ' 689.46s 1st Model', ' 221.72s Unsat', ' 0.00s)']",[' 705.969s'], ,[' 226422678'],"[' 5759378  (Analyzed', ' 4999478)']","[' 11367    (Average', ' 439.82 Last', ' 308264)']",[' 4797.2  '],"[' 2673     (Average Length', ' 1262.41 Splits', ' 0)']","[' 4999478  (Deleted', ' 4913122)']","[' 278      (Ratio', '   0.01%)']","[' 35083    (Ratio', '   0.70%)']","[' 4999478  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4999478  (Average', ' 43.35 Max', ' 4706 Sum', ' 216739704)']","[' 4998839  (Average', ' 43.18 Max', ' 4706 Sum', ' 215870206 Ratio', '  99.60%)']","[' 639      (Average', ' 1360.72 Max', ' 1756 Sum', ' 869498 Ratio', '   0.40%)']", ,[' 116624  '],[' 9094    '],[' 117999  '],[' 68554   '],"[' 205658   (Atom=Atom', ' 60458 Body=Body', ' 34544 Other', ' 110656)']",[' Yes'],"[' 11469    (Eliminated', '    0 Frozen', ' 11469)']","[' 5613     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.18229'],[' 0'], ,[' 422.689'],[' 0'],[' 16.5764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.19707e+08'],[' 6.19789e+08'],[' 0'],[' 3.3513e+10'],[' 0'],[' 0'],[' 1221 '],[' 2226 '],[' 3409 ']
Solving...,TA64, ,[' 1'],[' 5001+'],[' 2504'],"[' 708.489s (Solving', ' 689.53s 1st Model', ' 206.00s Unsat', ' 0.00s)']",[' 706.016s'], ,[' 236507411'],"[' 6914967  (Analyzed', ' 6237291)']","[' 13298    (Average', ' 469.04 Last', ' 83779)']",[' 4911.4  '],"[' 2504     (Average Length', ' 1184.34 Splits', ' 0)']","[' 6237291  (Deleted', ' 6147519)']","[' 277      (Ratio', '   0.00%)']","[' 37406    (Ratio', '   0.60%)']","[' 6237291  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6237291  (Average', ' 36.37 Max', ' 4776 Sum', ' 226841402)']","[' 6236585  (Average', ' 36.23 Max', ' 4776 Sum', ' 225984888 Ratio', '  99.62%)']","[' 706      (Average', ' 1213.19 Max', ' 1517 Sum', ' 856514 Ratio', '   0.38%)']", ,[' 116556  '],[' 9120    '],[' 117783  '],[' 68515   '],"[' 205541   (Atom=Atom', ' 60393 Body=Body', ' 34570 Other', ' 110578)']",[' Yes'],"[' 11347    (Eliminated', '    0 Frozen', ' 11347)']","[' 5400     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.16888'],[' 0'], ,[' 422.247'],[' 0'],[' 17.4178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.95052e+08'],[' 5.93704e+08'],[' 0'],[' 3.08215e+10'],[' 0'],[' 0'],[' 1313 '],[' 2418 '],[' 3445 ']
Solving...,TA65, ,[' 1'],[' 4675+'],[' 2341'],"[' 708.442s (Solving', ' 690.24s 1st Model', ' 50.14s Unsat', ' 0.00s)']",[' 705.125s'], ,[' 234429112'],"[' 6880678  (Analyzed', ' 6005880)']","[' 12926    (Average', ' 464.64 Last', ' 48371)']",[' 4961.3  '],"[' 2341     (Average Length', ' 1122.58 Splits', ' 0)']","[' 6005880  (Deleted', ' 5913136)']","[' 252      (Ratio', '   0.00%)']","[' 36487    (Ratio', '   0.61%)']","[' 6005880  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6005880  (Average', ' 37.42 Max', ' 4892 Sum', ' 224721088)']","[' 6005170  (Average', ' 37.29 Max', ' 4892 Sum', ' 223967280 Ratio', '  99.66%)']","[' 710      (Average', ' 1061.70 Max', ' 1495 Sum', ' 753808 Ratio', '   0.34%)']", ,[' 116454  '],[' 9172    '],[' 117607  '],[' 68310   '],"[' 204926   (Atom=Atom', ' 60136 Body=Body', ' 34622 Other', ' 110168)']",[' Yes'],"[' 11325    (Eliminated', '    0 Frozen', ' 11325)']","[' 5487     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.97883'],[' 0'], ,[' 431.224'],[' 0'],[' 17.4707'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94279e+08'],[' 5.96076e+08'],[' 0'],[' 3.21378e+10'],[' 0'],[' 0'],[' 1171 '],[' 2413 '],[' 3534 ']
Solving...,TA66, ,[' 1'],[' 4931+'],[' 2469'],"[' 708.698s (Solving', ' 689.58s 1st Model', ' 215.81s Unsat', ' 0.00s)']",[' 705.688s'], ,[' 253192793'],"[' 5377633  (Analyzed', ' 4598754)']","[' 10554    (Average', ' 435.74 Last', ' 192396)']",[' 4929.3  '],"[' 2469     (Average Length', ' 1161.84 Splits', ' 0)']","[' 4598754  (Deleted', ' 4517616)']","[' 254      (Ratio', '   0.01%)']","[' 38312    (Ratio', '   0.83%)']","[' 4598754  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4598754  (Average', ' 52.93 Max', ' 4788 Sum', ' 243393949)']","[' 4598083  (Average', ' 52.75 Max', ' 4788 Sum', ' 242587427 Ratio', '  99.67%)']","[' 671      (Average', ' 1201.97 Max', ' 1544 Sum', ' 806522 Ratio', '   0.33%)']", ,[' 116873  '],[' 9201    '],[' 118057  '],[' 68867   '],"[' 206597   (Atom=Atom', ' 60664 Body=Body', ' 34651 Other', ' 111282)']",[' Yes'],"[' 11385    (Eliminated', '    0 Frozen', ' 11385)']","[' 6173     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.08664'],[' 0'], ,[' 393.026'],[' 0'],[' 17.7054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.10316e+08'],[' 6.97482e+08'],[' 0'],[' 2.84761e+10'],[' 0'],[' 0'],[' 1137 '],[' 2251 '],[' 3494 ']
Solving...,TA67, ,[' 1'],[' 5251+'],[' 2629'],"[' 708.224s (Solving', ' 689.47s 1st Model', ' 193.63s Unsat', ' 0.00s)']",[' 705.984s'], ,[' 248832857'],"[' 5803721  (Analyzed', ' 5024281)']","[' 11648    (Average', ' 431.34 Last', ' 861935)']",[' 5009.9  '],"[' 2629     (Average Length', ' 1244.50 Splits', ' 0)']","[' 5024281  (Deleted', ' 4943792)']","[' 278      (Ratio', '   0.01%)']","[' 37825    (Ratio', '   0.75%)']","[' 5024281  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5024281  (Average', ' 47.49 Max', ' 4876 Sum', ' 238619256)']","[' 5023577  (Average', ' 47.32 Max', ' 4876 Sum', ' 237754540 Ratio', '  99.64%)']","[' 704      (Average', ' 1228.29 Max', ' 1591 Sum', ' 864716 Ratio', '   0.36%)']", ,[' 116509  '],[' 9122    '],[' 117860  '],[' 68622   '],"[' 205862   (Atom=Atom', ' 60498 Body=Body', ' 34572 Other', ' 110792)']",[' Yes'],"[' 11473    (Eliminated', '    0 Frozen', ' 11473)']","[' 5681     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.11983'],[' 0'], ,[' 420.775'],[' 0'],[' 17.4376'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.75105e+08'],[' 6.66577e+08'],[' 0'],[' 3.4201e+10'],[' 0'],[' 0'],[' 1287 '],[' 2521 '],[' 3589 ']
Solving...,TA68, ,[' 1'],[' 4421+'],[' 2214'],"[' 708.050s (Solving', ' 691.05s 1st Model', ' 77.18s Unsat', ' 0.00s)']",[' 705.391s'], ,[' 222403656'],"[' 9680282  (Analyzed', ' 8851164)']","[' 16578    (Average', ' 533.91 Last', ' 67554)']",[' 4966.6  '],"[' 2214     (Average Length', ' 1064.35 Splits', ' 0)']","[' 8851164  (Deleted', ' 8737155)']","[' 286      (Ratio', '   0.00%)']","[' 34107    (Ratio', '   0.39%)']","[' 8851164  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8851164  (Average', ' 24.06 Max', ' 4943 Sum', ' 212946228)']","[' 8850454  (Average', ' 23.98 Max', ' 4943 Sum', ' 212242043 Ratio', '  99.67%)']","[' 710      (Average', ' 991.81 Max', ' 1360 Sum', ' 704185 Ratio', '   0.33%)']", ,[' 115988  '],[' 9096    '],[' 117022  '],[' 67877   '],"[' 203627   (Atom=Atom', ' 59779 Body=Body', ' 34546 Other', ' 109302)']",[' Yes'],"[' 11130    (Eliminated', '    0 Frozen', ' 11130)']","[' 4824     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78245'],[' 0'], ,[' 456.118'],[' 0'],[' 16.4591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.10883e+08'],[' 5.18163e+08'],[' 0'],[' 3.58069e+10'],[' 0'],[' 0'],[' 1346 '],[' 2614 '],[' 3750 ']
Solving...,TA69, ,[' 1'],[' 4685+'],[' 2346'],"[' 708.474s (Solving', ' 689.11s 1st Model', ' 59.87s Unsat', ' 0.00s)']",[' 703.922s'], ,[' 215263850'],"[' 6467703  (Analyzed', ' 5573167)']","[' 12170    (Average', ' 457.94 Last', ' 70681)']",[' 5037.3  '],"[' 2346     (Average Length', ' 1134.45 Splits', ' 0)']","[' 5573167  (Deleted', ' 5485841)']","[' 267      (Ratio', '   0.00%)']","[' 35348    (Ratio', '   0.63%)']","[' 5573167  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5573167  (Average', ' 36.84 Max', ' 4810 Sum', ' 205324354)']","[' 5572471  (Average', ' 36.71 Max', ' 4810 Sum', ' 204586751 Ratio', '  99.64%)']","[' 696      (Average', ' 1059.77 Max', ' 1464 Sum', ' 737603 Ratio', '   0.36%)']", ,[' 116869  '],[' 9187    '],[' 118046  '],[' 68520   '],"[' 205556   (Atom=Atom', ' 60331 Body=Body', ' 34637 Other', ' 110588)']",[' Yes'],"[' 11364    (Eliminated', '    0 Frozen', ' 11364)']","[' 5823     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.16291'],[' 0'], ,[' 436.457'],[' 0'],[' 16.3858'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.50998e+08'],[' 5.59724e+08'],[' 0'],[' 3.48229e+10'],[' 0'],[' 0'],[' 1393 '],[' 2603 '],[' 3825 ']
Solving...,TA70, ,[' 1'],[' 4647+'],[' 2327'],"[' 708.085s (Solving', ' 690.54s 1st Model', ' 38.77s Unsat', ' 0.00s)']",[' 705.531s'], ,[' 208337286'],"[' 4514952  (Analyzed', ' 4032320)']","[' 8898     (Average', ' 453.17 Last', ' 14784)']",[' 4807.7  '],"[' 2327     (Average Length', ' 1112.77 Splits', ' 0)']","[' 4032320  (Deleted', ' 3952320)']","[' 259      (Ratio', '   0.01%)']","[' 35845    (Ratio', '   0.89%)']","[' 4032320  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4032320  (Average', ' 49.53 Max', ' 4850 Sum', ' 199716716)']","[' 4031650  (Average', ' 49.34 Max', ' 4850 Sum', ' 198949446 Ratio', '  99.62%)']","[' 670      (Average', ' 1145.18 Max', ' 1452 Sum', ' 767270 Ratio', '   0.38%)']", ,[' 116850  '],[' 9189    '],[' 117996  '],[' 68717   '],"[' 206147   (Atom=Atom', ' 60526 Body=Body', ' 34639 Other', ' 110982)']",[' Yes'],"[' 11335    (Eliminated', '    0 Frozen', ' 11335)']","[' 6088     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.89555'],[' 0'], ,[' 435.747'],[' 0'],[' 15.7711'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.05979e+08'],[' 6.19082e+08'],[' 0'],[' 3.46464e+10'],[' 0'],[' 0'],[' 1191 '],[' 2500 '],[' 3796 ']
