Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,TA31, , ,[' 697'],[' 354'],"[' 41.491s (Solving', ' 40.65s 1st Model', ' 0.47s Unsat', ' 2.24s)']",[' 41.422s'], ,[' 2200379 '],"[' 1162495  (Analyzed', ' 1140636)']","[' 2849     (Average', ' 400.36 Last', ' 4144)']",[' 881.3   '],"[' 354      (Average Length', ' 171.90 Splits', ' 0)']","[' 1140636  (Deleted', ' 1115181)']","[' 46       (Ratio', '   0.00%)']","[' 892      (Ratio', '   0.08%)']","[' 1140636  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1140636  (Average', '  1.68 Max', ' 1135 Sum', ' 1912574)']","[' 1140531  (Average', '  1.67 Max', ' 1135 Sum', ' 1902198 Ratio', '  99.46%)']","[' 105      (Average', ' 98.82 Max', ' 237 Sum', '  10376 Ratio', '   0.54%)']", ,[' 30966   '],[' 1755    '],[' 30859   '],[' 16693   '],"[' 50075    (Atom=Atom', ' 15386 Body=Body', ' 8700 Other', ' 25989)']",[' Yes'],"[' 2098     (Eliminated', '    0 Frozen', ' 2098)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.22679'],[' 0'], ,[' 32.4953'],[' 0'],[' 0.635947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.12622e+06'],[' 4.33615e+06'],[' 0'],[' 4.77705e+09'],[' 0'],[' 0'],[' 571 '],[' 923 '],[' 1495 '],[' 2044 '],[' 2387 ']
Solving...,TA32, , ,[' 697'],[' 354'],"[' 117.222s (Solving', ' 116.27s 1st Model', ' 0.32s Unsat', ' 4.82s)']",[' 116.875s'], ,[' 7032185 '],"[' 4514802  (Analyzed', ' 4480828)']","[' 10152    (Average', ' 441.37 Last', ' 7224)']",[' 898.5   '],"[' 354      (Average Length', ' 174.33 Splits', ' 0)']","[' 4480828  (Deleted', ' 4402321)']","[' 33       (Ratio', '   0.00%)']","[' 1687     (Ratio', '   0.04%)']","[' 4480828  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4480828  (Average', '  1.48 Max', ' 1114 Sum', ' 6620938)']","[' 4480689  (Average', '  1.47 Max', ' 1114 Sum', ' 6602276 Ratio', '  99.72%)']","[' 139      (Average', ' 134.26 Max', ' 251 Sum', '  18662 Ratio', '   0.28%)']", ,[' 31489   '],[' 1834    '],[' 31386   '],[' 16938   '],"[' 50810    (Atom=Atom', ' 15552 Body=Body', ' 8779 Other', ' 26479)']",[' Yes'],"[' 2181     (Eliminated', '    0 Frozen', ' 2181)']","[' 168      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.221355'],[' 0'], ,[' 90.6961'],[' 0'],[' 1.86497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04147e+07'],[' 9.98274e+06'],[' 0'],[' 1.17293e+10'],[' 0'],[' 0'],[' 541 '],[' 1183 '],[' 1759 '],[' 2463 '],[' 2936 ']
Solving...,TA33, , ,[' 819'],[' 415'],"[' 75.948s (Solving', ' 74.98s 1st Model', ' 0.61s Unsat', ' 0.11s)']",[' 75.734s'], ,[' 3643148 '],"[' 2263773  (Analyzed', ' 2197970)']","[' 5343     (Average', ' 411.37 Last', ' 635)']",[' 913.8   '],"[' 415      (Average Length', ' 200.65 Splits', ' 0)']","[' 2197970  (Deleted', ' 2150157)']","[' 26       (Ratio', '   0.00%)']","[' 830      (Ratio', '   0.04%)']","[' 2197970  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2197970  (Average', '  1.47 Max', ' 1120 Sum', ' 3240634)']","[' 2197860  (Average', '  1.46 Max', ' 1120 Sum', ' 3218258 Ratio', '  99.31%)']","[' 110      (Average', ' 203.42 Max', ' 309 Sum', '  22376 Ratio', '   0.69%)']", ,[' 31265   '],[' 1771    '],[' 31213   '],[' 16898   '],"[' 50690    (Atom=Atom', ' 15575 Body=Body', ' 8716 Other', ' 26399)']",[' Yes'],"[' 2169     (Eliminated', '    0 Frozen', ' 2169)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.250771'],[' 0'], ,[' 60.9523'],[' 0'],[' 1.22854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15828e+07'],[' 6.23836e+06'],[' 0'],[' 8.19832e+09'],[' 0'],[' 0'],[' 464 '],[' 946 '],[' 1491 '],[' 2075 '],[' 2564 ']
Solving...,TA34, , ,[' 741'],[' 376'],"[' 44.057s (Solving', ' 43.07s 1st Model', ' 0.41s Unsat', ' 4.30s)']",[' 43.875s'], ,[' 3531179 '],"[' 2177356  (Analyzed', ' 2124235)']","[' 4793     (Average', ' 443.20 Last', ' 76262)']",[' 901.1   '],"[' 376      (Average Length', ' 181.89 Splits', ' 0)']","[' 2124235  (Deleted', ' 2083557)']","[' 45       (Ratio', '   0.00%)']","[' 1131     (Ratio', '   0.05%)']","[' 2124235  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2124235  (Average', '  1.49 Max', ' 1139 Sum', ' 3167447)']","[' 2124151  (Average', '  1.49 Max', ' 1139 Sum', ' 3157974 Ratio', '  99.70%)']","[' 84       (Average', ' 112.77 Max', ' 278 Sum', '   9473 Ratio', '   0.30%)']", ,[' 30928   '],[' 1740    '],[' 30838   '],[' 16596   '],"[' 49784    (Atom=Atom', ' 15304 Body=Body', ' 8685 Other', ' 25795)']",[' Yes'],"[' 2100     (Eliminated', '    0 Frozen', ' 2100)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.231856'],[' 0'], ,[' 29.9984'],[' 0'],[' 0.665675'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14153e+07'],[' 6.31874e+06'],[' 0'],[' 3.05487e+09'],[' 0'],[' 0'],[' 539 '],[' 1058 '],[' 1533 '],[' 2065 '],[' 2578 ']
Solving...,TA35, , ,[' 643'],[' 327'],"[' 46.303s (Solving', ' 45.44s 1st Model', ' 0.34s Unsat', ' 7.04s)']",[' 46.094s'], ,[' 4131685 '],"[' 2411917  (Analyzed', ' 2368031)']","[' 5291     (Average', ' 447.56 Last', ' 4724)']",[' 883.7   '],"[' 327      (Average Length', ' 157.49 Splits', ' 0)']","[' 2368031  (Deleted', ' 2324497)']","[' 39       (Ratio', '   0.00%)']","[' 1101     (Ratio', '   0.05%)']","[' 2368031  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2368031  (Average', '  1.60 Max', ' 1119 Sum', ' 3797797)']","[' 2367931  (Average', '  1.60 Max', ' 1119 Sum', ' 3786517 Ratio', '  99.70%)']","[' 100      (Average', ' 112.80 Max', ' 229 Sum', '  11280 Ratio', '   0.30%)']", ,[' 31132   '],[' 1748    '],[' 30994   '],[' 16679   '],"[' 50033    (Atom=Atom', ' 15379 Body=Body', ' 8693 Other', ' 25961)']",[' Yes'],"[' 2060     (Eliminated', '    0 Frozen', ' 2060)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.220808'],[' 0'], ,[' 31.4749'],[' 0'],[' 0.804595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19897e+07'],[' 6.63441e+06'],[' 0'],[' 3.23464e+09'],[' 0'],[' 0'],[' 484 '],[' 1142 '],[' 1512 '],[' 1989 '],[' 2625 ']
Solving...,TA36, , ,[' 729'],[' 370'],"[' 12.831s (Solving', ' 11.85s 1st Model', ' 0.44s Unsat', ' 10.20s)']",[' 12.719s'], ,[' 1829253 '],"[' 933816   (Analyzed', ' 916550)']","[' 2394     (Average', ' 382.85 Last', ' 6727)']",[' 855.9   '],"[' 370      (Average Length', ' 176.26 Splits', ' 0)']","[' 916550   (Deleted', ' 892639)']","[' 49       (Ratio', '   0.01%)']","[' 810      (Ratio', '   0.09%)']","[' 916550   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 916550   (Average', '  1.69 Max', ' 1129 Sum', ' 1547860)']","[' 916458   (Average', '  1.68 Max', ' 1129 Sum', ' 1539705 Ratio', '  99.47%)']","[' 92       (Average', ' 88.64 Max', ' 284 Sum', '   8155 Ratio', '   0.53%)']", ,[' 31032   '],[' 1728    '],[' 30935   '],[' 16682   '],"[' 50042    (Atom=Atom', ' 15402 Body=Body', ' 8673 Other', ' 25967)']",[' Yes'],"[' 2081     (Eliminated', '    0 Frozen', ' 2081)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.21851'],[' 0'], ,[' 5.7737'],[' 0'],[' 0.195161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.33592e+06'],[' 4.06284e+06'],[' 0'],[' 4.33151e+08'],[' 0'],[' 0'],[' 658 '],[' 1092 '],[' 1488 '],[' 1983 '],[' 2481 ']
Solving...,TA37, , ,[' 853'],[' 432'],"[' 68.657s (Solving', ' 67.67s 1st Model', ' 0.54s Unsat', ' 28.98s)']",[' 68.406s'], ,[' 3455680 '],"[' 2097315  (Analyzed', ' 2091721)']","[' 5027     (Average', ' 416.10 Last', ' 1215)']",[' 927.0   '],"[' 432      (Average Length', ' 207.92 Splits', ' 0)']","[' 2091721  (Deleted', ' 2045808)']","[' 48       (Ratio', '   0.00%)']","[' 905      (Ratio', '   0.04%)']","[' 2091721  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2091721  (Average', '  1.48 Max', ' 1169 Sum', ' 3100918)']","[' 2091635  (Average', '  1.48 Max', ' 1169 Sum', ' 3091598 Ratio', '  99.70%)']","[' 86       (Average', ' 108.37 Max', ' 314 Sum', '   9320 Ratio', '   0.30%)']", ,[' 30873   '],[' 1746    '],[' 30836   '],[' 16638   '],"[' 49910    (Atom=Atom', ' 15340 Body=Body', ' 8691 Other', ' 25879)']",[' Yes'],"[' 2159     (Eliminated', '    0 Frozen', ' 2159)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.265478'],[' 0'], ,[' 53.1168'],[' 0'],[' 1.07181'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12308e+07'],[' 6.20007e+06'],[' 0'],[' 7.08591e+09'],[' 0'],[' 0'],[' 415 '],[' 904 '],[' 1446 '],[' 1938 '],[' 2467 ']
Solving...,TA38, , ,[' 751'],[' 381'],"[' 42.785s (Solving', ' 41.60s 1st Model', ' 0.39s Unsat', ' 39.42s)']",[' 42.609s'], ,[' 2828404 '],"[' 1782498  (Analyzed', ' 1674968)']","[' 4424     (Average', ' 378.61 Last', ' 15603)']",[' 999.6   '],"[' 381      (Average Length', ' 185.51 Splits', ' 0)']","[' 1674968  (Deleted', ' 1633633)']","[' 61       (Ratio', '   0.00%)']","[' 1043     (Ratio', '   0.06%)']","[' 1674968  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1674968  (Average', '  1.42 Max', ' 1201 Sum', ' 2375474)']","[' 1674882  (Average', '  1.41 Max', ' 1201 Sum', ' 2369853 Ratio', '  99.76%)']","[' 86       (Average', ' 65.36 Max', ' 204 Sum', '   5621 Ratio', '   0.24%)']", ,[' 30971   '],[' 1781    '],[' 30887   '],[' 17202   '],"[' 51602    (Atom=Atom', ' 15869 Body=Body', ' 8726 Other', ' 27007)']",[' Yes'],"[' 2147     (Eliminated', '    0 Frozen', ' 2147)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.249535'],[' 0'], ,[' 30.5724'],[' 0'],[' 0.680622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42772e+06'],[' 5.33222e+06'],[' 0'],[' 3.73294e+09'],[' 0'],[' 0'],[' 573 '],[' 1102 '],[' 1541 '],[' 2040 '],[' 2562 ']
Solving...,TA39, , ,[' 627'],[' 319'],"[' 78.884s (Solving', ' 78.01s 1st Model', ' 5.17s Unsat', ' 3.42s)']",[' 78.656s'], ,[' 7574291 '],"[' 4650944  (Analyzed', ' 4638057)']","[' 9952     (Average', ' 466.04 Last', ' 126089)']",[' 855.7   '],"[' 319      (Average Length', ' 154.34 Splits', ' 0)']","[' 4638057  (Deleted', ' 4573811)']","[' 32       (Ratio', '   0.00%)']","[' 1490     (Ratio', '   0.03%)']","[' 4638057  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4638057  (Average', '  1.55 Max', ' 1065 Sum', ' 7183017)']","[' 4637951  (Average', '  1.55 Max', ' 1065 Sum', ' 7176144 Ratio', '  99.90%)']","[' 106      (Average', ' 64.84 Max', ' 250 Sum', '   6873 Ratio', '   0.10%)']", ,[' 31223   '],[' 1776    '],[' 31079   '],[' 16743   '],"[' 50225    (Atom=Atom', ' 15415 Body=Body', ' 8721 Other', ' 26089)']",[' Yes'],"[' 2082     (Eliminated', '    0 Frozen', ' 2082)']","[' 228      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.208391'],[' 0'], ,[' 53.9532'],[' 0'],[' 1.30661'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15192e+07'],[' 1.05607e+07'],[' 0'],[' 6.4726e+09'],[' 0'],[' 0'],[' 741 '],[' 1207 '],[' 1745 '],[' 2227 '],[' 2632 ']
Solving...,TA40, , ,[' 795'],[' 403'],"[' 13.575s (Solving', ' 12.44s 1st Model', ' 0.50s Unsat', ' 10.31s)']",[' 13.422s'], ,[' 1874753 '],"[' 992143   (Analyzed', ' 972192)']","[' 2309     (Average', ' 421.04 Last', ' 380)']",[' 940.5   '],"[' 403      (Average Length', ' 196.57 Splits', ' 0)']","[' 972192   (Deleted', ' 950416)']","[' 24       (Ratio', '   0.00%)']","[' 555      (Ratio', '   0.06%)']","[' 972192   (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 972192   (Average', '  1.58 Max', ' 1165 Sum', ' 1539811)']","[' 972132   (Average', '  1.58 Max', ' 1165 Sum', ' 1534704 Ratio', '  99.67%)']","[' 60       (Average', ' 85.12 Max', ' 277 Sum', '   5107 Ratio', '   0.33%)']", ,[' 30852   '],[' 1723    '],[' 30793   '],[' 16618   '],"[' 49850    (Atom=Atom', ' 15343 Body=Body', ' 8668 Other', ' 25839)']",[' Yes'],"[' 2114     (Eliminated', '    0 Frozen', ' 2114)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.270636'],[' 0'], ,[' 5.62631'],[' 0'],[' 0.201599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62582e+06'],[' 4.17473e+06'],[' 0'],[' 3.32554e+08'],[' 0'],[' 0'],[' 525 '],[' 1021 '],[' 1454 '],[' 1847 '],[' 2351 ']
