Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,TA51, ,[' 1'],[' 1689+'],[' 850'],"[' 316.169s (Solving', ' 311.84s 1st Model', ' 3.59s Unsat', ' 0.00s)']",[' 314.234s'], ,[' 23027660'],"[' 10342964 (Analyzed', ' 10257089)']","[' 21095    (Average', ' 486.23 Last', ' 97540)']",[' 2049.4  '],"[' 850      (Average Length', ' 407.37 Splits', ' 0)']","[' 10257089 (Deleted', ' 10100603)']","[' 3        (Ratio', '   0.00%)']","[' 4070     (Ratio', '   0.04%)']","[' 10257089 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10257089 (Average', '  2.09 Max', ' 2773 Sum', ' 21391254)']","[' 10256555 (Average', '  2.07 Max', ' 2773 Sum', ' 21205393 Ratio', '  99.13%)']","[' 534      (Average', ' 348.05 Max', ' 648 Sum', ' 185861 Ratio', '   0.87%)']", ,[' 78797   '],[' 4423    '],[' 78849   '],[' 43879   '],"[' 131633   (Atom=Atom', ' 40204 Body=Body', ' 23498 Other', ' 67931)']",[' Yes'],"[' 5225     (Eliminated', '    0 Frozen', ' 5225)']","[' 563      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.988658'],[' 0'], ,[' 241.028'],[' 0'],[' 4.04861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.75732e+07'],[' 4.17336e+07'],[' 0'],[' 2.70738e+10'],[' 0'],[' 0'],[' 794 '],[' 1467 '],[' 2177 '],[' 2847 '],[' 3800 ']
Solving...,TA52, ,[' 1'],[' 1361+'],[' 686'],"[' 315.913s (Solving', ' 312.27s 1st Model', ' 2.49s Unsat', ' 0.00s)']",[' 315.188s'], ,[' 24624006'],"[' 9529905  (Analyzed', ' 9455204)']","[' 18145    (Average', ' 521.09 Last', ' 114663)']",[' 2179.4  '],"[' 686      (Average Length', ' 334.72 Splits', ' 0)']","[' 9455204  (Deleted', ' 9333503)']","[' 13       (Ratio', '   0.00%)']","[' 4407     (Ratio', '   0.05%)']","[' 9455204  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9455204  (Average', '  2.44 Max', ' 2725 Sum', ' 23072369)']","[' 9454665  (Average', '  2.42 Max', ' 2725 Sum', ' 22917786 Ratio', '  99.33%)']","[' 539      (Average', ' 286.80 Max', ' 489 Sum', ' 154583 Ratio', '   0.67%)']", ,[' 79443   '],[' 4465    '],[' 79354   '],[' 44579   '],"[' 133733   (Atom=Atom', ' 40862 Body=Body', ' 23540 Other', ' 69331)']",[' Yes'],"[' 5126     (Eliminated', '    0 Frozen', ' 5126)']","[' 648      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.81161'],[' 0'], ,[' 257.241'],[' 0'],[' 4.33753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94509e+07'],[' 4.56926e+07'],[' 0'],[' 3.41856e+10'],[' 0'],[' 0'],[' 964 '],[' 1734 '],[' 2455 '],[' 3376 '],[' 4097 ']
Solving...,TA53, ,[' 1'],[' 1529+'],[' 770'],"[' 315.845s (Solving', ' 312.16s 1st Model', ' 2.78s Unsat', ' 0.00s)']",[' 314.922s'], ,[' 21124434'],"[' 9354373  (Analyzed', ' 9245822)']","[' 19075    (Average', ' 484.71 Last', ' 34330)']",[' 2202.8  '],"[' 770      (Average Length', ' 371.54 Splits', ' 0)']","[' 9245822  (Deleted', ' 9101322)']","[' 5        (Ratio', '   0.00%)']","[' 3178     (Ratio', '   0.03%)']","[' 9245822  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9245822  (Average', '  2.10 Max', ' 2838 Sum', ' 19421047)']","[' 9245399  (Average', '  2.08 Max', ' 2838 Sum', ' 19274577 Ratio', '  99.25%)']","[' 423      (Average', ' 346.26 Max', ' 573 Sum', ' 146470 Ratio', '   0.75%)']", ,[' 78505   '],[' 4315    '],[' 78489   '],[' 44001   '],"[' 131999   (Atom=Atom', ' 40434 Body=Body', ' 23390 Other', ' 68175)']",[' Yes'],"[' 5049     (Eliminated', '    0 Frozen', ' 5049)']","[' 562      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.862376'],[' 0'], ,[' 258.179'],[' 0'],[' 4.36827'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.03222e+07'],[' 3.7925e+07'],[' 0'],[' 3.39648e+10'],[' 0'],[' 0'],[' 910 '],[' 1511 '],[' 2254 '],[' 2892 '],[' 3754 ']
Solving...,TA54, ,[' 1'],[' 1583+'],[' 797'],"[' 316.424s (Solving', ' 311.12s 1st Model', ' 3.49s Unsat', ' 0.00s)']",[' 312.672s'], ,[' 20513437'],"[' 7032075  (Analyzed', ' 6941006)']","[' 14926    (Average', ' 465.03 Last', ' 11010)']",[' 2104.0  '],"[' 797      (Average Length', ' 380.79 Splits', ' 0)']","[' 6941006  (Deleted', ' 6837717)']","[' 10       (Ratio', '   0.00%)']","[' 5038     (Ratio', '   0.07%)']","[' 6941006  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6941006  (Average', '  2.73 Max', ' 2668 Sum', ' 18918188)']","[' 6940462  (Average', '  2.70 Max', ' 2668 Sum', ' 18747169 Ratio', '  99.10%)']","[' 544      (Average', ' 314.37 Max', ' 545 Sum', ' 171019 Ratio', '   0.90%)']", ,[' 79394   '],[' 4424    '],[' 79400   '],[' 44183   '],"[' 132545   (Atom=Atom', ' 40507 Body=Body', ' 23499 Other', ' 68539)']",[' Yes'],"[' 5180     (Eliminated', '    0 Frozen', ' 5180)']","[' 952      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.17823'],[' 0'], ,[' 251.713'],[' 0'],[' 4.19105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.98514e+07'],[' 4.04286e+07'],[' 0'],[' 2.44897e+10'],[' 0'],[' 0'],[' 850 '],[' 1480 '],[' 2145 '],[' 3048 '],[' 3732 ']
Solving...,TA55, ,[' 1'],[' 1501+'],[' 756'],"[' 316.147s (Solving', ' 311.99s 1st Model', ' 3.22s Unsat', ' 0.00s)']",[' 314.594s'], ,[' 18838987'],"[' 7215687  (Analyzed', ' 7129415)']","[' 15395    (Average', ' 463.10 Last', ' 52017)']",[' 2141.7  '],"[' 756      (Average Length', ' 365.91 Splits', ' 0)']","[' 7129415  (Deleted', ' 7023147)']","[' 17       (Ratio', '   0.00%)']","[' 3771     (Ratio', '   0.05%)']","[' 7129415  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7129415  (Average', '  2.42 Max', ' 2978 Sum', ' 17263206)']","[' 7129023  (Average', '  2.40 Max', ' 2978 Sum', ' 17119581 Ratio', '  99.17%)']","[' 392      (Average', ' 366.39 Max', ' 572 Sum', ' 143625 Ratio', '   0.83%)']", ,[' 79485   '],[' 4477    '],[' 79465   '],[' 45099   '],"[' 135293   (Atom=Atom', ' 41370 Body=Body', ' 23552 Other', ' 70371)']",[' Yes'],"[' 5207     (Eliminated', '    0 Frozen', ' 5207)']","[' 655      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.931098'],[' 0'], ,[' 256.453'],[' 0'],[' 4.45272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.56131e+07'],[' 3.71614e+07'],[' 0'],[' 2.93324e+10'],[' 0'],[' 0'],[' 773 '],[' 1650 '],[' 2552 '],[' 3215 '],[' 4133 ']
Solving...,TA56, ,[' 1'],[' 1545+'],[' 778'],"[' 316.112s (Solving', ' 311.69s 1st Model', ' 2.95s Unsat', ' 0.00s)']",[' 314.359s'], ,[' 24782344'],"[' 8945994  (Analyzed', ' 8854943)']","[' 18557    (Average', ' 477.18 Last', ' 97853)']",[' 2036.5  '],"[' 778      (Average Length', ' 371.58 Splits', ' 0)']","[' 8854943  (Deleted', ' 8739731)']","[' 20       (Ratio', '   0.00%)']","[' 5229     (Ratio', '   0.06%)']","[' 8854943  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8854943  (Average', '  2.62 Max', ' 2579 Sum', ' 23239027)']","[' 8854287  (Average', '  2.60 Max', ' 2579 Sum', ' 23012282 Ratio', '  99.02%)']","[' 656      (Average', ' 345.65 Max', ' 570 Sum', ' 226745 Ratio', '   0.98%)']", ,[' 78646   '],[' 4426    '],[' 78630   '],[' 43782   '],"[' 131342   (Atom=Atom', ' 40104 Body=Body', ' 23501 Other', ' 67737)']",[' Yes'],"[' 5160     (Eliminated', '    0 Frozen', ' 5160)']","[' 935      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.957116'],[' 0'], ,[' 250.565'],[' 0'],[' 4.33906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.05625e+07'],[' 4.72538e+07'],[' 0'],[' 2.85969e+10'],[' 0'],[' 0'],[' 1056 '],[' 1681 '],[' 2575 '],[' 3153 '],[' 4043 ']
Solving...,TA57, ,[' 1'],[' 1623+'],[' 817'],"[' 316.127s (Solving', ' 311.53s 1st Model', ' 3.73s Unsat', ' 0.00s)']",[' 314.438s'], ,[' 22804141'],"[' 9098224  (Analyzed', ' 9004089)']","[' 17597    (Average', ' 511.68 Last', ' 45559)']",[' 2282.6  '],"[' 817      (Average Length', ' 392.54 Splits', ' 0)']","[' 9004089  (Deleted', ' 8895985)']","[' 8        (Ratio', '   0.00%)']","[' 3977     (Ratio', '   0.04%)']","[' 9004089  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9004089  (Average', '  2.33 Max', ' 2860 Sum', ' 20963313)']","[' 9003617  (Average', '  2.31 Max', ' 2860 Sum', ' 20820675 Ratio', '  99.32%)']","[' 472      (Average', ' 302.20 Max', ' 583 Sum', ' 142638 Ratio', '   0.68%)']", ,[' 78974   '],[' 4425    '],[' 78998   '],[' 44442   '],"[' 133322   (Atom=Atom', ' 40765 Body=Body', ' 23500 Other', ' 69057)']",[' Yes'],"[' 5199     (Eliminated', '    0 Frozen', ' 5199)']","[' 658      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0683'],[' 0'], ,[' 250.144'],[' 0'],[' 4.20272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.5519e+07'],[' 4.25841e+07'],[' 0'],[' 2.91832e+10'],[' 0'],[' 0'],[' 966 '],[' 1710 '],[' 2428 '],[' 3098 '],[' 3976 ']
Solving...,TA58, ,[' 1'],[' 1533+'],[' 772'],"[' 316.117s (Solving', ' 311.43s 1st Model', ' 3.65s Unsat', ' 0.00s)']",[' 314.078s'], ,[' 21809035'],"[' 8495438  (Analyzed', ' 8430880)']","[' 17347    (Average', ' 486.01 Last', ' 86734)']",[' 2156.2  '],"[' 772      (Average Length', ' 375.72 Splits', ' 0)']","[' 8430880  (Deleted', ' 8308173)']","[' 9        (Ratio', '   0.00%)']","[' 4065     (Ratio', '   0.05%)']","[' 8430880  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8430880  (Average', '  2.40 Max', ' 2727 Sum', ' 20214543)']","[' 8430328  (Average', '  2.38 Max', ' 2727 Sum', ' 20031684 Ratio', '  99.10%)']","[' 552      (Average', ' 331.27 Max', ' 537 Sum', ' 182859 Ratio', '   0.90%)']", ,[' 78982   '],[' 4412    '],[' 78981   '],[' 44160   '],"[' 132476   (Atom=Atom', ' 40496 Body=Body', ' 23487 Other', ' 68493)']",[' Yes'],"[' 5161     (Eliminated', '    0 Frozen', ' 5161)']","[' 794      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02966'],[' 0'], ,[' 251.481'],[' 0'],[' 4.23195'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.31488e+07'],[' 4.16006e+07'],[' 0'],[' 2.81302e+10'],[' 0'],[' 0'],[' 761 '],[' 1518 '],[' 2258 '],[' 3259 '],[' 3958 ']
Solving...,TA59, ,[' 1'],[' 1549+'],[' 780'],"[' 316.013s (Solving', ' 311.77s 1st Model', ' 3.58s Unsat', ' 0.00s)']",[' 314.500s'], ,[' 21267750'],"[' 8971904  (Analyzed', ' 8877272)']","[' 17913    (Average', ' 495.58 Last', ' 10506)']",[' 2229.4  '],"[' 780      (Average Length', ' 378.38 Splits', ' 0)']","[' 8877272  (Deleted', ' 8758688)']","[' 9        (Ratio', '   0.00%)']","[' 3497     (Ratio', '   0.04%)']","[' 8877272  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8877272  (Average', '  2.20 Max', ' 2922 Sum', ' 19517086)']","[' 8876877  (Average', '  2.18 Max', ' 2922 Sum', ' 19393784 Ratio', '  99.37%)']","[' 395      (Average', ' 312.16 Max', ' 598 Sum', ' 123302 Ratio', '   0.63%)']", ,[' 79318   '],[' 4415    '],[' 79312   '],[' 44599   '],"[' 133793   (Atom=Atom', ' 40932 Body=Body', ' 23490 Other', ' 69371)']",[' Yes'],"[' 5159     (Eliminated', '    0 Frozen', ' 5159)']","[' 472      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.976166'],[' 0'], ,[' 251.015'],[' 0'],[' 4.30433'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.09163e+07'],[' 3.93347e+07'],[' 0'],[' 2.96343e+10'],[' 0'],[' 0'],[' 816 '],[' 1444 '],[' 2305 '],[' 2986 '],[' 3905 ']
Solving...,TA60, ,[' 1'],[' 1683+'],[' 847'],"[' 316.204s (Solving', ' 311.48s 1st Model', ' 3.37s Unsat', ' 0.00s)']",[' 314.922s'], ,[' 19686911'],"[' 7855001  (Analyzed', ' 7759755)']","[' 16649    (Average', ' 466.08 Last', ' 117930)']",[' 2210.3  '],"[' 847      (Average Length', ' 412.43 Splits', ' 0)']","[' 7759755  (Deleted', ' 7630143)']","[' 15       (Ratio', '   0.00%)']","[' 3584     (Ratio', '   0.05%)']","[' 7759755  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7759755  (Average', '  2.32 Max', ' 2806 Sum', ' 18018946)']","[' 7759219  (Average', '  2.29 Max', ' 2806 Sum', ' 17790812 Ratio', '  98.73%)']","[' 536      (Average', ' 425.62 Max', ' 625 Sum', ' 228134 Ratio', '   1.27%)']", ,[' 79139   '],[' 4452    '],[' 79204   '],[' 44961   '],"[' 134879   (Atom=Atom', ' 41257 Body=Body', ' 23527 Other', ' 70095)']",[' Yes'],"[' 5267     (Eliminated', '    0 Frozen', ' 5267)']","[' 659      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0253'],[' 0'], ,[' 252.649'],[' 0'],[' 4.43095'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.19927e+07'],[' 4.00146e+07'],[' 0'],[' 2.96628e+10'],[' 0'],[' 0'],[' 661 '],[' 1407 '],[' 2239 '],[' 2835 '],[' 3564 ']
