Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,TA71, ,[' 1'],[' 5469+'],[' 2741'],"[' 583.410s (Solving', ' 526.41s 1st Model', ' 79.29s Unsat', ' 0.00s)']",[' 580.688s'], ,[' 144460891'],"[' 4869899  (Analyzed', ' 3903951)']","[' 8872     (Average', ' 440.03 Last', ' 1913)']",[' 9160.6  '],"[' 2741     (Average Length', ' 1284.73 Splits', ' 0)']","[' 3903951  (Deleted', ' 3826745)']","[' 19       (Ratio', '   0.00%)']","[' 17239    (Ratio', '   0.44%)']","[' 3903951  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3903951  (Average', ' 31.81 Max', ' 12516 Sum', ' 124182885)']","[' 3901567  (Average', ' 31.14 Max', ' 12516 Sum', ' 121561535 Ratio', '  97.89%)']","[' 2384     (Average', ' 1099.56 Max', ' 1911 Sum', ' 2621350 Ratio', '   2.11%)']", ,[' 387126  '],[' 18721   '],[' 387663  '],[' 227106  '],"[' 681314   (Atom=Atom', ' 210383 Body=Body', ' 119621 Other', ' 351310)']",[' Yes'],"[' 21258    (Eliminated', '    0 Frozen', ' 21258)']","[' 3174     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0309'],[' 0'], ,[' 398.833'],[' 0'],[' 11.9354'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.96788e+08'],[' 4.64705e+08'],[' 0'],[' 3.92316e+10'],[' 0'],[' 0'],[' 1516 '],[' 2712 '],[' 3769 '],[' 5588 '],[' 6802 '],[' 7987 ']
Solving...,TA72, ,[' 1'],[' 5615+'],[' 2814'],"[' 584.134s (Solving', ' 524.61s 1st Model', ' 79.68s Unsat', ' 0.00s)']",[' 581.625s'], ,[' 140849924'],"[' 5840487  (Analyzed', ' 4727892)']","[' 10837    (Average', ' 436.27 Last', ' 10145)']",[' 9279.5  '],"[' 2814     (Average Length', ' 1317.33 Splits', ' 0)']","[' 4727892  (Deleted', ' 4649824)']","[' 25       (Ratio', '   0.00%)']","[' 17165    (Ratio', '   0.36%)']","[' 4727892  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4727892  (Average', ' 25.35 Max', ' 11956 Sum', ' 119852680)']","[' 4725616  (Average', ' 24.75 Max', ' 11956 Sum', ' 117030506 Ratio', '  97.65%)']","[' 2276     (Average', ' 1239.97 Max', ' 1980 Sum', ' 2822174 Ratio', '   2.35%)']", ,[' 384663  '],[' 18447   '],[' 385249  '],[' 228131  '],"[' 684389   (Atom=Atom', ' 211682 Body=Body', ' 119347 Other', ' 353360)']",[' Yes'],"[' 21033    (Eliminated', '    0 Frozen', ' 21033)']","[' 3462     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.633'],[' 0'], ,[' 386.536'],[' 0'],[' 12.5151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.08223e+08'],[' 4.75065e+08'],[' 0'],[' 3.47173e+10'],[' 0'],[' 0'],[' 1283 '],[' 2490 '],[' 3796 '],[' 5126 '],[' 6110 '],[' 7408 ']
Solving...,TA73, ,[' 1'],[' 5357+'],[' 2685'],"[' 583.044s (Solving', ' 527.82s 1st Model', ' 84.61s Unsat', ' 0.00s)']",[' 580.125s'], ,[' 163250646'],"[' 5761442  (Analyzed', ' 4883994)']","[' 10780    (Average', ' 453.06 Last', ' 15224)']",[' 8576.4  '],"[' 2685     (Average Length', ' 1256.14 Splits', ' 0)']","[' 4883994  (Deleted', ' 4802978)']","[' 27       (Ratio', '   0.00%)']","[' 18641    (Ratio', '   0.38%)']","[' 4883994  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4883994  (Average', ' 29.83 Max', ' 11618 Sum', ' 145690515)']","[' 4881136  (Average', ' 29.14 Max', ' 11618 Sum', ' 142334216 Ratio', '  97.70%)']","[' 2858     (Average', ' 1174.35 Max', ' 1964 Sum', ' 3356299 Ratio', '   2.30%)']", ,[' 384452  '],[' 18600   '],[' 384928  '],[' 224691  '],"[' 674069   (Atom=Atom', ' 208089 Body=Body', ' 119500 Other', ' 346480)']",[' Yes'],"[' 21076    (Eliminated', '    0 Frozen', ' 21076)']","[' 3447     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.6183'],[' 0'], ,[' 381.44'],[' 0'],[' 13.0285'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.19489e+08'],[' 4.82345e+08'],[' 0'],[' 3.55841e+10'],[' 0'],[' 0'],[' 1570 '],[' 2927 '],[' 3985 '],[' 5178 '],[' 6364 '],[' 7580 ']
Solving...,TA74, ,[' 1'],[' 5813+'],[' 2913'],"[' 583.880s (Solving', ' 525.32s 1st Model', ' 77.64s Unsat', ' 0.00s)']",[' 581.359s'], ,[' 141955151'],"[' 4061532  (Analyzed', ' 3446156)']","[' 8576     (Average', ' 401.84 Last', ' 5674)']",[' 8005.8  '],"[' 2913     (Average Length', ' 1360.76 Splits', ' 0)']","[' 3446156  (Deleted', ' 3362271)']","[' 49       (Ratio', '   0.00%)']","[' 23463    (Ratio', '   0.68%)']","[' 3446156  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3446156  (Average', ' 36.10 Max', ' 11358 Sum', ' 124405041)']","[' 3443864  (Average', ' 35.30 Max', ' 11358 Sum', ' 121651641 Ratio', '  97.79%)']","[' 2292     (Average', ' 1201.31 Max', ' 2131 Sum', ' 2753400 Ratio', '   2.21%)']", ,[' 382315  '],[' 18331   '],[' 382960  '],[' 223468  '],"[' 670400   (Atom=Atom', ' 207135 Body=Body', ' 119231 Other', ' 344034)']",[' Yes'],"[' 20976    (Eliminated', '    0 Frozen', ' 20976)']","[' 4694     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.1356'],[' 0'], ,[' 380.567'],[' 0'],[' 11.8714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.32915e+08'],[' 4.9271e+08'],[' 0'],[' 3.53762e+10'],[' 0'],[' 0'],[' 1108 '],[' 2340 '],[' 3619 '],[' 4914 '],[' 5986 '],[' 7062 ']
Solving...,TA75, ,[' 1'],[' 5783+'],[' 2898'],"[' 584.137s (Solving', ' 525.23s 1st Model', ' 74.82s Unsat', ' 0.00s)']",[' 581.453s'], ,[' 134760209'],"[' 5622091  (Analyzed', ' 4738126)']","[' 10470    (Average', ' 452.54 Last', ' 15357)']",[' 8702.7  '],"[' 2898     (Average Length', ' 1358.37 Splits', ' 0)']","[' 4738126  (Deleted', ' 4651388)']","[' 27       (Ratio', '   0.00%)']","[' 15610    (Ratio', '   0.33%)']","[' 4738126  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4738126  (Average', ' 24.55 Max', ' 11915 Sum', ' 116319100)']","[' 4735094  (Average', ' 23.68 Max', ' 11915 Sum', ' 112201898 Ratio', '  96.46%)']","[' 3032     (Average', ' 1357.92 Max', ' 2150 Sum', ' 4117202 Ratio', '   3.54%)']", ,[' 386676  '],[' 18815   '],[' 387336  '],[' 227389  '],"[' 682163   (Atom=Atom', ' 210572 Body=Body', ' 119715 Other', ' 351876)']",[' Yes'],"[' 21475    (Eliminated', '    0 Frozen', ' 21475)']","[' 2925     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.1562'],[' 0'], ,[' 391.235'],[' 0'],[' 11.9251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90632e+08'],[' 4.58142e+08'],[' 0'],[' 3.52587e+10'],[' 0'],[' 0'],[' 1261 '],[' 2436 '],[' 3599 '],[' 4965 '],[' 6106 '],[' 7447 ']
Solving...,TA76, ,[' 1'],[' 5479+'],[' 2746'],"[' 583.443s (Solving', ' 525.39s 1st Model', ' 80.90s Unsat', ' 0.00s)']",[' 580.766s'], ,[' 131592118'],"[' 4768065  (Analyzed', ' 4087884)']","[' 9022     (Average', ' 453.10 Last', ' 21582)']",[' 8255.9  '],"[' 2746     (Average Length', ' 1286.64 Splits', ' 0)']","[' 4087884  (Deleted', ' 4011790)']","[' 40       (Ratio', '   0.00%)']","[' 18124    (Ratio', '   0.44%)']","[' 4087884  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4087884  (Average', ' 28.18 Max', ' 11056 Sum', ' 115179766)']","[' 4084760  (Average', ' 27.27 Max', ' 11056 Sum', ' 111459210 Ratio', '  96.77%)']","[' 3124     (Average', ' 1190.96 Max', ' 2007 Sum', ' 3720556 Ratio', '   3.23%)']", ,[' 382767  '],[' 18519   '],[' 383300  '],[' 222753  '],"[' 668255   (Atom=Atom', ' 206232 Body=Body', ' 119419 Other', ' 342604)']",[' Yes'],"[' 21052    (Eliminated', '    0 Frozen', ' 21052)']","[' 3884     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.96'],[' 0'], ,[' 394.735'],[' 0'],[' 11.6085'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74818e+08'],[' 4.43118e+08'],[' 0'],[' 3.66081e+10'],[' 0'],[' 0'],[' 1287 '],[' 2466 '],[' 3472 '],[' 4785 '],[' 5901 '],[' 7163 ']
Solving...,TA77, ,[' 1'],[' 5539+'],[' 2776'],"[' 583.607s (Solving', ' 529.18s 1st Model', ' 75.03s Unsat', ' 0.00s)']",[' 581.563s'], ,[' 128348233'],"[' 5407131  (Analyzed', ' 4248848)']","[' 9296     (Average', ' 457.06 Last', ' 18070)']",[' 8444.6  '],"[' 2776     (Average Length', ' 1288.35 Splits', ' 0)']","[' 4248848  (Deleted', ' 4175293)']","[' 35       (Ratio', '   0.00%)']","[' 15040    (Ratio', '   0.35%)']","[' 4248848  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4248848  (Average', ' 26.02 Max', ' 11921 Sum', ' 110570640)']","[' 4246170  (Average', ' 25.20 Max', ' 11921 Sum', ' 107058381 Ratio', '  96.82%)']","[' 2678     (Average', ' 1311.52 Max', ' 2104 Sum', ' 3512259 Ratio', '   3.18%)']", ,[' 382477  '],[' 18440   '],[' 382997  '],[' 224894  '],"[' 674678   (Atom=Atom', ' 208452 Body=Body', ' 119340 Other', ' 346886)']",[' Yes'],"[' 20960    (Eliminated', '    0 Frozen', ' 20960)']","[' 2822     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3315'],[' 0'], ,[' 403.028'],[' 0'],[' 11.9859'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.49403e+08'],[' 4.2089e+08'],[' 0'],[' 3.84237e+10'],[' 0'],[' 0'],[' 1332 '],[' 2412 '],[' 3583 '],[' 4782 '],[' 5983 '],[' 7107 ']
Solving...,TA78, ,[' 1'],[' 5539+'],[' 2776'],"[' 583.531s (Solving', ' 526.90s 1st Model', ' 66.64s Unsat', ' 0.00s)']",[' 581.422s'], ,[' 123610900'],"[' 6899338  (Analyzed', ' 5853607)']","[' 12785    (Average', ' 457.85 Last', ' 4094)']",[' 8943.9  '],"[' 2776     (Average Length', ' 1289.39 Splits', ' 0)']","[' 5853607  (Deleted', ' 5756014)']","[' 34       (Ratio', '   0.00%)']","[' 10836    (Ratio', '   0.19%)']","[' 5853607  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5853607  (Average', ' 17.85 Max', ' 12191 Sum', ' 104500718)']","[' 5850709  (Average', ' 17.25 Max', ' 12191 Sum', ' 100973361 Ratio', '  96.62%)']","[' 2898     (Average', ' 1217.17 Max', ' 2053 Sum', ' 3527357 Ratio', '   3.38%)']", ,[' 383144  '],[' 18577   '],[' 383673  '],[' 224859  '],"[' 674573   (Atom=Atom', ' 208280 Body=Body', ' 119477 Other', ' 346816)']",[' Yes'],"[' 21106    (Eliminated', '    0 Frozen', ' 21106)']","[' 2131     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.941'],[' 0'], ,[' 400.213'],[' 0'],[' 11.1864'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32844e+08'],[' 4.02125e+08'],[' 0'],[' 3.93178e+10'],[' 0'],[' 0'],[' 1324 '],[' 2552 '],[' 3720 '],[' 4954 '],[' 6330 '],[' 7582 ']
Solving...,TA79, ,[' 1'],[' 5751+'],[' 2882'],"[' 584.403s (Solving', ' 525.03s 1st Model', ' 92.41s Unsat', ' 0.00s)']",[' 581.063s'], ,[' 152780923'],"[' 3498534  (Analyzed', ' 3017116)']","[' 7448     (Average', ' 405.09 Last', ' 9084)']",[' 7789.9  '],"[' 2882     (Average Length', ' 1336.57 Splits', ' 0)']","[' 3017116  (Deleted', ' 2936928)']","[' 40       (Ratio', '   0.00%)']","[' 28691    (Ratio', '   0.95%)']","[' 3017116  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3017116  (Average', ' 45.37 Max', ' 10680 Sum', ' 136876645)']","[' 3014510  (Average', ' 44.23 Max', ' 10680 Sum', ' 133457381 Ratio', '  97.50%)']","[' 2606     (Average', ' 1312.07 Max', ' 2094 Sum', ' 3419264 Ratio', '   2.50%)']", ,[' 383443  '],[' 18536   '],[' 384064  '],[' 223970  '],"[' 671906   (Atom=Atom', ' 207432 Body=Body', ' 119436 Other', ' 345038)']",[' Yes'],"[' 21157    (Eliminated', '    0 Frozen', ' 21157)']","[' 5763     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.235'],[' 0'], ,[' 372.055'],[' 0'],[' 12.5596'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.83206e+08'],[' 5.42369e+08'],[' 0'],[' 3.43767e+10'],[' 0'],[' 0'],[' 1089 '],[' 2203 '],[' 3285 '],[' 4481 '],[' 5726 '],[' 6821 ']
Solving...,TA80, ,[' 1'],[' 5867+'],[' 2940'],"[' 584.585s (Solving', ' 520.39s 1st Model', ' 83.13s Unsat', ' 0.00s)']",[' 581.797s'], ,[' 149178685'],"[' 4190128  (Analyzed', ' 3465890)']","[' 8307     (Average', ' 417.23 Last', ' 118647)']",[' 8827.8  '],"[' 2940     (Average Length', ' 1358.95 Splits', ' 0)']","[' 3465890  (Deleted', ' 3388406)']","[' 48       (Ratio', '   0.00%)']","[' 22285    (Ratio', '   0.64%)']","[' 3465890  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3465890  (Average', ' 37.36 Max', ' 11527 Sum', ' 129469481)']","[' 3462946  (Average', ' 36.39 Max', ' 11527 Sum', ' 126127393 Ratio', '  97.42%)']","[' 2944     (Average', ' 1135.22 Max', ' 1999 Sum', ' 3342088 Ratio', '   2.58%)']", ,[' 384919  '],[' 18876   '],[' 385585  '],[' 225834  '],"[' 677498   (Atom=Atom', ' 208956 Body=Body', ' 119776 Other', ' 348766)']",[' Yes'],"[' 21542    (Eliminated', '    0 Frozen', ' 21542)']","[' 4020     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3028'],[' 0'], ,[' 378.46'],[' 0'],[' 12.2539'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37009e+08'],[' 5.02128e+08'],[' 0'],[' 3.46534e+10'],[' 0'],[' 0'],[' 1440 '],[' 2619 '],[' 3656 '],[' 5042 '],[' 6122 '],[' 7143 ']
