Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,TA41, , ,[' 881'],[' 447'],"[' 25.234s (Solving', ' 23.74s 1st Model', ' 0.58s Unsat', ' 9.16s)']",[' 25.172s'], ,[' 1546603 '],"[' 793382   (Analyzed', ' 645980)']","[' 2096     (Average', ' 308.20 Last', ' 766)']",[' 1002.2  '],"[' 447      (Average Length', ' 213.79 Splits', ' 0)']","[' 645980   (Deleted', ' 625884)']","[' 45       (Ratio', '   0.01%)']","[' 1061     (Ratio', '   0.16%)']","[' 645980   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 645980   (Average', '  1.61 Max', ' 1356 Sum', ' 1040202)']","[' 645916   (Average', '  1.60 Max', ' 1356 Sum', ' 1034761 Ratio', '  99.48%)']","[' 64       (Average', ' 85.02 Max', ' 365 Sum', '   5441 Ratio', '   0.52%)']", ,[' 40855   '],[' 2080    '],[' 40679   '],[' 22133   '],"[' 66395    (Atom=Atom', ' 20651 Body=Body', ' 11350 Other', ' 34394)']",[' Yes'],"[' 2504     (Eliminated', '    0 Frozen', ' 2504)']","[' 53       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.346443'],[' 0'], ,[' 17.6241'],[' 0'],[' 0.362208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.5378e+06'],[' 4.65183e+06'],[' 0'],[' 2.11669e+09'],[' 0'],[' 0'],[' 491 '],[' 942 '],[' 1424 '],[' 2031 '],[' 2471 '],[' 3046 ']
Solving...,TA42, ,[' 1'],[' 797+'],[' 405'],"[' 18.550s (Solving', ' 17.24s 1st Model', ' 0.78s Unsat', ' 3.19s)']",[' 18.484s'], ,[' 1010603 '],"[' 301816   (Analyzed', ' 233309)']","[' 989      (Average', ' 235.90 Last', ' 2914)']",[' 1009.3  '],"[' 405      (Average Length', ' 195.83 Splits', ' 0)']","[' 233309   (Deleted', ' 222785)']","[' 55       (Ratio', '   0.02%)']","[' 854      (Ratio', '   0.37%)']","[' 233309   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 233309   (Average', '  2.65 Max', ' 1319 Sum', ' 618374)']","[' 233228   (Average', '  2.62 Max', ' 1319 Sum', ' 611330 Ratio', '  98.86%)']","[' 81       (Average', ' 86.96 Max', ' 331 Sum', '   7044 Ratio', '   1.14%)']", ,[' 40072   '],[' 2023    '],[' 39858   '],[' 21448   '],"[' 64340    (Atom=Atom', ' 20023 Body=Body', ' 11293 Other', ' 33024)']",[' Yes'],"[' 2409     (Eliminated', '    0 Frozen', ' 2409)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.348043'],[' 0'], ,[' 13.5065'],[' 0'],[' 0.281066'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98607e+06'],[' 4.12475e+06'],[' 0'],[' 1.93089e+09'],[' 0'],[' 0'],[' 585 '],[' 1039 '],[' 1505 '],[' 2019 '],[' 2439 '],[' 3046 ']
Solving...,TA43, , ,[' 1027'],[' 520'],"[' 20.930s (Solving', ' 19.18s 1st Model', ' 0.68s Unsat', ' 4.57s)']",[' 20.734s'], ,[' 2088808 '],"[' 1030828  (Analyzed', ' 971151)']","[' 2627     (Average', ' 369.68 Last', ' 27278)']",[' 1084.5  '],"[' 520      (Average Length', ' 250.51 Splits', ' 0)']","[' 971151   (Deleted', ' 947076)']","[' 47       (Ratio', '   0.00%)']","[' 834      (Ratio', '   0.09%)']","[' 971151   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 971151   (Average', '  1.64 Max', ' 1283 Sum', ' 1593354)']","[' 971052   (Average', '  1.62 Max', ' 1283 Sum', ' 1576385 Ratio', '  98.94%)']","[' 99       (Average', ' 171.40 Max', ' 373 Sum', '  16969 Ratio', '   1.06%)']", ,[' 40874   '],[' 2054    '],[' 40766   '],[' 21960   '],"[' 65876    (Atom=Atom', ' 20504 Body=Body', ' 11324 Other', ' 34048)']",[' Yes'],"[' 2546     (Eliminated', '    0 Frozen', ' 2546)']","[' 62       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.429108'],[' 0'], ,[' 11.4354'],[' 0'],[' 0.231403'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.84595e+06'],[' 6.26556e+06'],[' 0'],[' 1.02171e+09'],[' 0'],[' 0'],[' 535 '],[' 896 '],[' 1253 '],[' 1803 '],[' 2170 '],[' 2588 ']
Solving...,TA44, ,[' 1'],[' 951+'],[' 482'],"[' 27.793s (Solving', ' 26.31s 1st Model', ' 0.63s Unsat', ' 0.67s)']",[' 27.516s'], ,[' 1742395 '],"[' 704034   (Analyzed', ' 612354)']","[' 1831     (Average', ' 334.44 Last', ' 21327)']",[' 1051.3  '],"[' 482      (Average Length', ' 232.15 Splits', ' 0)']","[' 612354   (Deleted', ' 595981)']","[' 33       (Ratio', '   0.01%)']","[' 1010     (Ratio', '   0.16%)']","[' 612354   (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 612354   (Average', '  2.03 Max', ' 1303 Sum', ' 1242709)']","[' 612307   (Average', '  2.02 Max', ' 1303 Sum', ' 1239103 Ratio', '  99.71%)']","[' 47       (Average', ' 76.72 Max', ' 280 Sum', '   3606 Ratio', '   0.29%)']", ,[' 40581   '],[' 2035    '],[' 40435   '],[' 21749   '],"[' 65243    (Atom=Atom', ' 20312 Body=Body', ' 11305 Other', ' 33626)']",[' Yes'],"[' 2489     (Eliminated', '    0 Frozen', ' 2489)']","[' 88       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.399791'],[' 0'], ,[' 20.0358'],[' 0'],[' 0.409028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.63738e+06'],[' 5.79248e+06'],[' 0'],[' 2.54942e+09'],[' 0'],[' 0'],[' 524 '],[' 1014 '],[' 1613 '],[' 2056 '],[' 2441 '],[' 2881 ']
Solving...,TA45, , ,[' 809'],[' 411'],"[' 19.771s (Solving', ' 18.37s 1st Model', ' 0.53s Unsat', ' 3.78s)']",[' 19.625s'], ,[' 1254524 '],"[' 545788   (Analyzed', ' 393286)']","[' 1552     (Average', ' 253.41 Last', ' 348)']",[' 1042.0  '],"[' 411      (Average Length', ' 199.67 Splits', ' 0)']","[' 393286   (Deleted', ' 377913)']","[' 57       (Ratio', '   0.01%)']","[' 964      (Ratio', '   0.25%)']","[' 393286   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 393286   (Average', '  1.91 Max', ' 1298 Sum', ' 751458)']","[' 393211   (Average', '  1.90 Max', ' 1298 Sum', ' 746339 Ratio', '  99.32%)']","[' 75       (Average', ' 68.25 Max', ' 316 Sum', '   5119 Ratio', '   0.68%)']", ,[' 40494   '],[' 2036    '],[' 40290   '],[' 21817   '],"[' 65447    (Atom=Atom', ' 20379 Body=Body', ' 11306 Other', ' 33762)']",[' Yes'],"[' 2432     (Eliminated', '    0 Frozen', ' 2432)']","[' 53       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.376366'],[' 0'], ,[' 13.4652'],[' 0'],[' 0.281264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.0268e+06'],[' 4.72644e+06'],[' 0'],[' 1.66661e+09'],[' 0'],[' 0'],[' 571 '],[' 1082 '],[' 1534 '],[' 1991 '],[' 2514 '],[' 2930 ']
Solving...,TA46, , ,[' 905'],[' 459'],"[' 26.176s (Solving', ' 24.47s 1st Model', ' 0.82s Unsat', ' 9.48s)']",[' 25.984s'], ,[' 2187144 '],"[' 831055   (Analyzed', ' 737846)']","[' 2374     (Average', ' 310.80 Last', ' 3820)']",[' 1119.5  '],"[' 459      (Average Length', ' 222.91 Splits', ' 0)']","[' 737846   (Deleted', ' 715231)']","[' 49       (Ratio', '   0.01%)']","[' 1520     (Ratio', '   0.21%)']","[' 737846   (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 737846   (Average', '  2.27 Max', ' 1311 Sum', ' 1673891)']","[' 737747   (Average', '  2.25 Max', ' 1311 Sum', ' 1658419 Ratio', '  99.08%)']","[' 99       (Average', ' 156.28 Max', ' 337 Sum', '  15472 Ratio', '   0.92%)']", ,[' 41304   '],[' 2127    '],[' 41147   '],[' 22416   '],"[' 67244    (Atom=Atom', ' 20887 Body=Body', ' 11397 Other', ' 34960)']",[' Yes'],"[' 2570     (Eliminated', '    0 Frozen', ' 2570)']","[' 99       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.438116'],[' 0'], ,[' 17.6118'],[' 0'],[' 0.397223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.30987e+06'],[' 7.02508e+06'],[' 0'],[' 2.00289e+09'],[' 0'],[' 0'],[' 581 '],[' 1110 '],[' 1809 '],[' 2120 '],[' 2594 '],[' 3097 ']
Solving...,TA47, , ,[' 987'],[' 500'],"[' 16.927s (Solving', ' 15.17s 1st Model', ' 0.79s Unsat', ' 0.44s)']",[' 16.813s'], ,[' 1529613 '],"[' 569360   (Analyzed', ' 554792)']","[' 1474     (Average', ' 376.39 Last', ' 2450)']",[' 1016.6  '],"[' 500      (Average Length', ' 239.88 Splits', ' 0)']","[' 554792   (Deleted', ' 537716)']","[' 58       (Ratio', '   0.01%)']","[' 714      (Ratio', '   0.13%)']","[' 554792   (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 554792   (Average', '  2.02 Max', ' 1300 Sum', ' 1118007)']","[' 554685   (Average', '  2.00 Max', ' 1300 Sum', ' 1109551 Ratio', '  99.24%)']","[' 107      (Average', ' 79.03 Max', ' 132 Sum', '   8456 Ratio', '   0.76%)']", ,[' 40552   '],[' 2068    '],[' 40426   '],[' 21676   '],"[' 65024    (Atom=Atom', ' 20206 Body=Body', ' 11338 Other', ' 33480)']",[' Yes'],"[' 2542     (Eliminated', '    0 Frozen', ' 2542)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.412941'],[' 0'], ,[' 9.96648'],[' 0'],[' 0.259408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.70546e+06'],[' 5.11707e+06'],[' 0'],[' 8.48319e+08'],[' 0'],[' 0'],[' 436 '],[' 1103 '],[' 1428 '],[' 1804 '],[' 2274 '],[' 2814 ']
Solving...,TA48, , ,[' 891'],[' 452'],"[' 6.283s (Solving', ' 4.70s 1st Model', ' 0.72s Unsat', ' 0.91s)']",[' 6.141s'], ,[' 749823  '],"[' 191084   (Analyzed', ' 64495)']","[' 523      (Average', ' 123.32 Last', ' 201)']",[' 1028.0  '],"[' 452      (Average Length', ' 216.78 Splits', ' 0)']","[' 64495    (Deleted', ' 58171)']","[' 60       (Ratio', '   0.09%)']","[' 536      (Ratio', '   0.83%)']","[' 64495    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 64495    (Average', '  4.10 Max', ' 1296 Sum', ' 264222)']","[' 64421    (Average', '  4.03 Max', ' 1296 Sum', ' 260217 Ratio', '  98.48%)']","[' 74       (Average', ' 54.12 Max', ' 260 Sum', '   4005 Ratio', '   1.52%)']", ,[' 40115   '],[' 1981    '],[' 39947   '],[' 21311   '],"[' 63929    (Atom=Atom', ' 19928 Body=Body', ' 11251 Other', ' 32750)']",[' Yes'],"[' 2413     (Eliminated', '    0 Frozen', ' 2413)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.395829'],[' 0'], ,[' 2.07336'],[' 0'],[' 0.0572216'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70284e+06'],[' 4.17275e+06'],[' 0'],[' 1.47565e+08'],[' 0'],[' 0'],[' 597 '],[' 1006 '],[' 1407 '],[' 1815 '],[' 2245 '],[' 2714 ']
Solving...,TA49, , ,[' 1051'],[' 532'],"[' 12.180s (Solving', ' 10.20s 1st Model', ' 0.81s Unsat', ' 6.98s)']",[' 11.984s'], ,[' 990935  '],"[' 146724   (Analyzed', ' 123616)']","[' 517      (Average', ' 239.10 Last', ' 4807)']",[' 1098.0  '],"[' 532      (Average Length', ' 256.50 Splits', ' 0)']","[' 123616   (Deleted', ' 115184)']","[' 62       (Ratio', '   0.05%)']","[' 736      (Ratio', '   0.60%)']","[' 123616   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 123616   (Average', '  4.27 Max', ' 1353 Sum', ' 527700)']","[' 123531   (Average', '  4.23 Max', ' 1353 Sum', ' 522451 Ratio', '  99.01%)']","[' 85       (Average', ' 61.75 Max', ' 412 Sum', '   5249 Ratio', '   0.99%)']", ,[' 41022   '],[' 2060    '],[' 40931   '],[' 21946   '],"[' 65834    (Atom=Atom', ' 20484 Body=Body', ' 11330 Other', ' 34020)']",[' Yes'],"[' 2569     (Eliminated', '    0 Frozen', ' 2569)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.453097'],[' 0'], ,[' 7.04674'],[' 0'],[' 0.152379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.60652e+06'],[' 4.99151e+06'],[' 0'],[' 9.07522e+08'],[' 0'],[' 0'],[' 563 '],[' 978 '],[' 1403 '],[' 1830 '],[' 2298 '],[' 2789 ']
Solving...,TA50, ,[' 1'],[' 869+'],[' 441'],"[' 15.940s (Solving', ' 14.59s 1st Model', ' 0.53s Unsat', ' 0.75s)']",[' 15.734s'], ,[' 881368  '],"[' 214833   (Analyzed', ' 173915)']","[' 670      (Average', ' 259.57 Last', ' 2538)']",[' 938.8   '],"[' 441      (Average Length', ' 214.20 Splits', ' 0)']","[' 173915   (Deleted', ' 165124)']","[' 49       (Ratio', '   0.03%)']","[' 715      (Ratio', '   0.41%)']","[' 173915   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 173915   (Average', '  3.10 Max', ' 1254 Sum', ' 538401)']","[' 173806   (Average', '  2.99 Max', ' 1254 Sum', ' 520027 Ratio', '  96.59%)']","[' 109      (Average', ' 168.57 Max', ' 363 Sum', '  18374 Ratio', '   3.41%)']", ,[' 40156   '],[' 1999    '],[' 39979   '],[' 21332   '],"[' 63992    (Atom=Atom', ' 19931 Body=Body', ' 11269 Other', ' 32792)']",[' Yes'],"[' 2422     (Eliminated', '    0 Frozen', ' 2422)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.343094'],[' 0'], ,[' 11.2202'],[' 0'],[' 0.207381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.46513e+06'],[' 3.79034e+06'],[' 0'],[' 1.60845e+09'],[' 0'],[' 0'],[' 464 '],[' 894 '],[' 1293 '],[' 1719 '],[' 2022 '],[' 2717 ']
