Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA71, ,[' 1'],[' 3615+'],[' 1816'],"[' 583.067s (Solving', ' 551.19s 1st Model', ' 30.79s Unsat', ' 0.00s)']",[' 583.563s'], ,[' 70842961'],"[' 7895070  (Analyzed', ' 7588334)']","[' 16019    (Average', ' 473.71 Last', ' 20330)']",[' 7193.6  '],"[' 1816     (Average Length', ' 881.49 Splits', ' 0)']","[' 7588334  (Deleted', ' 7473410)']","[' 24       (Ratio', '   0.00%)']","[' 9388     (Ratio', '   0.12%)']","[' 7588334  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7588334  (Average', '  7.89 Max', ' 10037 Sum', ' 59867676)']","[' 7586953  (Average', '  7.74 Max', ' 10037 Sum', ' 58706708 Ratio', '  98.06%)']","[' 1381     (Average', ' 840.67 Max', ' 1390 Sum', ' 1160968 Ratio', '   1.94%)']", ,[' 373591  '],[' 14450   '],[' 373338  '],[' 220746  '],"[' 662234   (Atom=Atom', ' 208294 Body=Body', ' 115350 Other', ' 338590)']",[' Yes'],"[' 16197    (Eliminated', '    0 Frozen', ' 16197)']","[' 1722     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.70541'],[' 0'], ,[' 470.111'],[' 0'],[' 8.21875'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13341e+08'],[' 2.85207e+08'],[' 0'],[' 6.4844e+10'],[' 0'],[' 0'],[' 1067 '],[' 2270 '],[' 3375 '],[' 4121 '],[' 5155 '],[' 6418 '],[' 7228 '],[' 8110 ']
Solving...,TA72, ,[' 1'],[' 3475+'],[' 1746'],"[' 585.444s (Solving', ' 522.29s 1st Model', ' 59.04s Unsat', ' 0.00s)']",[' 580.484s'], ,[' 54633421'],"[' 6540978  (Analyzed', ' 6264436)']","[' 13196    (Average', ' 474.72 Last', ' 27841)']",[' 6927.7  '],"[' 1746     (Average Length', ' 851.74 Splits', ' 0)']","[' 6264436  (Deleted', ' 6164126)']","[' 18       (Ratio', '   0.00%)']","[' 6214     (Ratio', '   0.10%)']","[' 6264436  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6264436  (Average', '  7.09 Max', ' 10135 Sum', ' 44419579)']","[' 6263100  (Average', '  6.94 Max', ' 10135 Sum', ' 43479914 Ratio', '  97.88%)']","[' 1336     (Average', ' 703.34 Max', ' 1397 Sum', ' 939665 Ratio', '   2.12%)']", ,[' 369168  '],[' 14400   '],[' 368864  '],[' 218648  '],"[' 655940   (Atom=Atom', ' 206246 Body=Body', ' 115300 Other', ' 334394)']",[' Yes'],"[' 16096    (Eliminated', '    0 Frozen', ' 16096)']","[' 1162     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8777'],[' 0'], ,[' 407.714'],[' 0'],[' 9.37835'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46127e+08'],[' 2.24021e+08'],[' 0'],[' 2.85925e+10'],[' 0'],[' 0'],[' 883 '],[' 1854 '],[' 2747 '],[' 3762 '],[' 4757 '],[' 5881 '],[' 6748 '],[' 7771 ']
Solving...,TA73, ,[' 1'],[' 3747+'],[' 1882'],"[' 576.295s (Solving', ' 541.29s 1st Model', ' 30.65s Unsat', ' 0.00s)']",[' 582.031s'], ,[' 51668578'],"[' 3718468  (Analyzed', ' 3402693)']","[' 8378     (Average', ' 406.15 Last', ' 20367)']",[' 6705.5  '],"[' 1882     (Average Length', ' 891.38 Splits', ' 0)']","[' 3402693  (Deleted', ' 3330315)']","[' 18       (Ratio', '   0.00%)']","[' 7637     (Ratio', '   0.22%)']","[' 3402693  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3402693  (Average', ' 12.21 Max', ' 9792 Sum', ' 41556782)']","[' 3401025  (Average', ' 11.82 Max', ' 9792 Sum', ' 40231186 Ratio', '  96.81%)']","[' 1668     (Average', ' 794.72 Max', ' 1457 Sum', ' 1325596 Ratio', '   3.19%)']", ,[' 369835  '],[' 14487   '],[' 369592  '],[' 217025  '],"[' 651071   (Atom=Atom', ' 204536 Body=Body', ' 115387 Other', ' 331148)']",[' Yes'],"[' 16244    (Eliminated', '    0 Frozen', ' 16244)']","[' 1252     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.02214'],[' 0'], ,[' 471.896'],[' 0'],[' 8.18155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5991e+08'],[' 2.45318e+08'],[' 0'],[' 6.06514e+10'],[' 0'],[' 0'],[' 1084 '],[' 2149 '],[' 3098 '],[' 3930 '],[' 4847 '],[' 5896 '],[' 6861 '],[' 7755 ']
Solving...,TA74, ,[' 1'],[' 4045+'],[' 2031'],"[' 583.771s (Solving', ' 550.62s 1st Model', ' 30.57s Unsat', ' 0.00s)']",[' 583.047s'], ,[' 67219927'],"[' 8286781  (Analyzed', ' 7898421)']","[' 16970    (Average', ' 465.43 Last', ' 7217)']",[' 6871.0  '],"[' 2031     (Average Length', ' 977.91 Splits', ' 0)']","[' 7898421  (Deleted', ' 7780233)']","[' 15       (Ratio', '   0.00%)']","[' 7557     (Ratio', '   0.10%)']","[' 7898421  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7898421  (Average', '  7.08 Max', ' 9524 Sum', ' 55897602)']","[' 7896703  (Average', '  6.90 Max', ' 9524 Sum', ' 54503179 Ratio', '  97.51%)']","[' 1718     (Average', ' 811.65 Max', ' 1607 Sum', ' 1394423 Ratio', '   2.49%)']", ,[' 367784  '],[' 14315   '],[' 367709  '],[' 216260  '],"[' 648776   (Atom=Atom', ' 203943 Body=Body', ' 115215 Other', ' 329618)']",[' Yes'],"[' 16240    (Eliminated', '    0 Frozen', ' 16240)']","[' 1415     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.00424'],[' 0'], ,[' 469.989'],[' 0'],[' 7.83749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11053e+08'],[' 2.84441e+08'],[' 0'],[' 6.35825e+10'],[' 0'],[' 0'],[' 957 '],[' 1933 '],[' 2991 '],[' 4078 '],[' 4991 '],[' 5913 '],[' 6717 '],[' 7568 ']
Solving...,TA75, ,[' 1'],[' 3775+'],[' 1896'],"[' 583.684s (Solving', ' 552.96s 1st Model', ' 31.30s Unsat', ' 0.00s)']",[' 582.813s'], ,[' 73850397'],"[' 8651679  (Analyzed', ' 8337503)']","[' 17055    (Average', ' 488.86 Last', ' 24405)']",[' 6783.5  '],"[' 1896     (Average Length', ' 907.40 Splits', ' 0)']","[' 8337503  (Deleted', ' 8225733)']","[' 19       (Ratio', '   0.00%)']","[' 9236     (Ratio', '   0.11%)']","[' 8337503  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8337503  (Average', '  7.54 Max', ' 10209 Sum', ' 62840044)']","[' 8336195  (Average', '  7.43 Max', ' 10209 Sum', ' 61974422 Ratio', '  98.62%)']","[' 1308     (Average', ' 661.79 Max', ' 1475 Sum', ' 865622 Ratio', '   1.38%)']", ,[' 371656  '],[' 14569   '],[' 371466  '],[' 219211  '],"[' 657629   (Atom=Atom', ' 206640 Body=Body', ' 115469 Other', ' 335520)']",[' Yes'],"[' 16379    (Eliminated', '    0 Frozen', ' 16379)']","[' 1602     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.26031'],[' 0'], ,[' 471.009'],[' 0'],[' 7.80813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95551e+08'],[' 2.65326e+08'],[' 0'],[' 6.65795e+10'],[' 0'],[' 0'],[' 1175 '],[' 1941 '],[' 3144 '],[' 3870 '],[' 4883 '],[' 5773 '],[' 6672 '],[' 7599 ']
Solving...,TA76, ,[' 1'],[' 3461+'],[' 1739'],"[' 583.024s (Solving', ' 552.85s 1st Model', ' 27.41s Unsat', ' 0.00s)']",[' 581.766s'], ,[' 60032365'],"[' 6825279  (Analyzed', ' 6530580)']","[' 14348    (Average', ' 455.16 Last', ' 1841)']",[' 6456.2  '],"[' 1739     (Average Length', ' 831.22 Splits', ' 0)']","[' 6530580  (Deleted', ' 6412915)']","[' 16       (Ratio', '   0.00%)']","[' 7854     (Ratio', '   0.12%)']","[' 6530580  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6530580  (Average', '  7.81 Max', ' 9404 Sum', ' 51036010)']","[' 6528794  (Average', '  7.60 Max', ' 9404 Sum', ' 49624952 Ratio', '  97.24%)']","[' 1786     (Average', ' 790.07 Max', ' 1325 Sum', ' 1411058 Ratio', '   2.76%)']", ,[' 367221  '],[' 14171   '],[' 366882  '],[' 214498  '],"[' 643490   (Atom=Atom', ' 202325 Body=Body', ' 115071 Other', ' 326094)']",[' Yes'],"[' 15832    (Eliminated', '    0 Frozen', ' 15832)']","[' 1542     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.27962'],[' 0'], ,[' 480.9'],[' 0'],[' 8.0374'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57056e+08'],[' 2.34016e+08'],[' 0'],[' 6.45738e+10'],[' 0'],[' 0'],[' 1151 '],[' 2104 '],[' 3007 '],[' 3871 '],[' 4759 '],[' 5652 '],[' 6705 '],[' 7600 ']
Solving...,TA77, ,[' 1'],[' 3293+'],[' 1655'],"[' 584.045s (Solving', ' 552.80s 1st Model', ' 32.84s Unsat', ' 0.00s)']",[' 582.969s'], ,[' 57337817'],"[' 7097685  (Analyzed', ' 6772480)']","[' 14386    (Average', ' 470.77 Last', ' 5175)']",[' 6802.0  '],"[' 1655     (Average Length', ' 802.29 Splits', ' 0)']","[' 6772480  (Deleted', ' 6667838)']","[' 8        (Ratio', '   0.00%)']","[' 7268     (Ratio', '   0.11%)']","[' 6772480  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6772480  (Average', '  7.03 Max', ' 10261 Sum', ' 47586702)']","[' 6771328  (Average', '  6.91 Max', ' 10261 Sum', ' 46770779 Ratio', '  98.29%)']","[' 1152     (Average', ' 708.27 Max', ' 1370 Sum', ' 815923 Ratio', '   1.71%)']", ,[' 369073  '],[' 14335   '],[' 368667  '],[' 219224  '],"[' 657668   (Atom=Atom', ' 206887 Body=Body', ' 115235 Other', ' 335546)']",[' Yes'],"[' 15929    (Eliminated', '    0 Frozen', ' 15929)']","[' 1363     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.33427'],[' 0'], ,[' 472.768'],[' 0'],[' 8.24234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53896e+08'],[' 2.30967e+08'],[' 0'],[' 5.91321e+10'],[' 0'],[' 0'],[' 1116 '],[' 1950 '],[' 2970 '],[' 3958 '],[' 4932 '],[' 5788 '],[' 6772 '],[' 7852 ']
Solving...,TA78, ,[' 1'],[' 4023+'],[' 2020'],"[' 599.469s (Solving', ' 558.33s 1st Model', ' 40.42s Unsat', ' 0.00s)']",[' 578.781s'], ,[' 59633263'],"[' 6831426  (Analyzed', ' 6528913)']","[' 14112    (Average', ' 462.65 Last', ' 18887)']",[' 7369.7  '],"[' 2020     (Average Length', ' 965.22 Splits', ' 0)']","[' 6528913  (Deleted', ' 6421709)']","[' 12       (Ratio', '   0.00%)']","[' 6391     (Ratio', '   0.10%)']","[' 6528913  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6528913  (Average', '  7.22 Max', ' 10188 Sum', ' 47147317)']","[' 6527586  (Average', '  7.06 Max', ' 10188 Sum', ' 46073266 Ratio', '  97.72%)']","[' 1327     (Average', ' 809.38 Max', ' 1552 Sum', ' 1074051 Ratio', '   2.28%)']", ,[' 369401  '],[' 14376   '],[' 369299  '],[' 219354  '],"[' 658058   (Atom=Atom', ' 206976 Body=Body', ' 115276 Other', ' 335806)']",[' Yes'],"[' 16274    (Eliminated', '    0 Frozen', ' 16274)']","[' 1178     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.11007'],[' 0'], ,[' 456.702'],[' 0'],[' 8.26795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80218e+08'],[' 2.56163e+08'],[' 0'],[' 5.6871e+10'],[' 0'],[' 0'],[' 1090 '],[' 1985 '],[' 2872 '],[' 3885 '],[' 4741 '],[' 5532 '],[' 6580 '],[' 7354 ']
Solving...,TA79, ,[' 1'],[' 3687+'],[' 1852'],"[' 585.081s (Solving', ' 550.40s 1st Model', ' 39.96s Unsat', ' 0.00s)']",[' 583.781s'], ,[' 61421518'],"[' 6840232  (Analyzed', ' 6533046)']","[' 14313    (Average', ' 456.44 Last', ' 43311)']",[' 6877.0  '],"[' 1852     (Average Length', ' 887.29 Splits', ' 0)']","[' 6533046  (Deleted', ' 6428838)']","[' 8        (Ratio', '   0.00%)']","[' 8559     (Ratio', '   0.13%)']","[' 6533046  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6533046  (Average', '  7.72 Max', ' 10248 Sum', ' 50466788)']","[' 6531984  (Average', '  7.61 Max', ' 10248 Sum', ' 49733440 Ratio', '  98.55%)']","[' 1062     (Average', ' 690.53 Max', ' 1466 Sum', ' 733348 Ratio', '   1.45%)']", ,[' 369359  '],[' 14382   '],[' 369116  '],[' 219728  '],"[' 659180   (Atom=Atom', ' 207344 Body=Body', ' 115282 Other', ' 336554)']",[' Yes'],"[' 16139    (Eliminated', '    0 Frozen', ' 16139)']","[' 1571     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.06067'],[' 0'], ,[' 465.576'],[' 0'],[' 8.3616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74361e+08'],[' 2.50288e+08'],[' 0'],[' 5.92395e+10'],[' 0'],[' 0'],[' 906 '],[' 1814 '],[' 2677 '],[' 3522 '],[' 4295 '],[' 5221 '],[' 6172 '],[' 7011 ']
Solving...,TA80, ,[' 1'],[' 3591+'],[' 1804'],"[' 584.305s (Solving', ' 551.45s 1st Model', ' 39.27s Unsat', ' 0.00s)']",[' 582.719s'], ,[' 60839018'],"[' 6534622  (Analyzed', ' 6223060)']","[' 13381    (Average', ' 465.07 Last', ' 29469)']",[' 6334.1  '],"[' 1804     (Average Length', ' 857.26 Splits', ' 0)']","[' 6223060  (Deleted', ' 6123667)']","[' 29       (Ratio', '   0.00%)']","[' 8441     (Ratio', '   0.14%)']","[' 6223060  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6223060  (Average', '  8.31 Max', ' 9483 Sum', ' 51705318)']","[' 6221235  (Average', '  8.09 Max', ' 9483 Sum', ' 50318008 Ratio', '  97.32%)']","[' 1825     (Average', ' 760.17 Max', ' 1408 Sum', ' 1387310 Ratio', '   2.68%)']", ,[' 369305  '],[' 14579   '],[' 369014  '],[' 216883  '],"[' 650645   (Atom=Atom', ' 204302 Body=Body', ' 115479 Other', ' 330864)']",[' Yes'],"[' 16288    (Eliminated', '    0 Frozen', ' 16288)']","[' 1626     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.59628'],[' 0'], ,[' 470.997'],[' 0'],[' 7.85685'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5582e+08'],[' 2.31943e+08'],[' 0'],[' 5.89346e+10'],[' 0'],[' 0'],[' 1189 '],[' 2012 '],[' 3035 '],[' 3840 '],[' 4766 '],[' 5569 '],[' 6778 '],[' 7722 ']
