Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA61, , ,[' 1069'],[' 543'],"[' 258.635s (Solving', ' 254.82s 1st Model', ' 1.99s Unsat', ' 67.12s)']",[' 257.797s'], ,[' 11146690'],"[' 6794594  (Analyzed', ' 6759927)']","[' 15184    (Average', ' 445.20 Last', ' 51185)']",[' 1867.0  '],"[' 543      (Average Length', ' 264.55 Splits', ' 0)']","[' 6759927  (Deleted', ' 6639279)']","[' 57       (Ratio', '   0.00%)']","[' 2203     (Ratio', '   0.03%)']","[' 6759927  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6759927  (Average', '  1.50 Max', ' 2621 Sum', ' 10115945)']","[' 6759711  (Average', '  1.49 Max', ' 2621 Sum', ' 10078247 Ratio', '  99.63%)']","[' 216      (Average', ' 174.53 Max', ' 404 Sum', '  37698 Ratio', '   0.37%)']", ,[' 99059   '],[' 4014    '],[' 98588   '],[' 56047   '],"[' 168137   (Atom=Atom', ' 53031 Body=Body', ' 29464 Other', ' 85642)']",[' Yes'],"[' 4543     (Eliminated', '    0 Frozen', ' 4543)']","[' 202      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.894339'],[' 0'], ,[' 206.028'],[' 0'],[' 3.64498'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02062e+07'],[' 2.4403e+07'],[' 0'],[' 2.73208e+10'],[' 0'],[' 0'],[' 527 '],[' 1127 '],[' 1693 '],[' 2164 '],[' 2664 '],[' 3437 '],[' 3960 '],[' 4365 ']
Solving...,TA62, , ,[' 1479'],[' 748'],"[' 163.207s (Solving', ' 158.31s 1st Model', ' 2.87s Unsat', ' 13.96s)']",[' 162.875s'], ,[' 12926227'],"[' 6469180  (Analyzed', ' 6429311)']","[' 13928    (Average', ' 461.61 Last', ' 70708)']",[' 2003.9  '],"[' 748      (Average Length', ' 360.60 Splits', ' 0)']","[' 6429311  (Deleted', ' 6326676)']","[' 54       (Ratio', '   0.00%)']","[' 2514     (Ratio', '   0.04%)']","[' 6429311  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6429311  (Average', '  1.79 Max', ' 2678 Sum', ' 11497718)']","[' 6429103  (Average', '  1.78 Max', ' 2678 Sum', ' 11465681 Ratio', '  99.72%)']","[' 208      (Average', ' 154.02 Max', ' 513 Sum', '  32037 Ratio', '   0.28%)']", ,[' 100867  '],[' 4100    '],[' 100582  '],[' 57016   '],"[' 171044   (Atom=Atom', ' 53914 Body=Body', ' 29550 Other', ' 87580)']",[' Yes'],"[' 4815     (Eliminated', '    0 Frozen', ' 4815)']","[' 342      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20629'],[' 0'], ,[' 114.105'],[' 0'],[' 2.39669'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70705e+07'],[' 3.16637e+07'],[' 0'],[' 1.28822e+10'],[' 0'],[' 0'],[' 662 '],[' 1111 '],[' 1605 '],[' 1990 '],[' 2539 '],[' 2919 '],[' 3518 '],[' 4094 ']
Solving...,TA63, , ,[' 1151'],[' 584'],"[' 114.394s (Solving', ' 110.14s 1st Model', ' 1.72s Unsat', ' 12.23s)']",[' 113.906s'], ,[' 9028275 '],"[' 5129649  (Analyzed', ' 5109875)']","[' 11654    (Average', ' 438.47 Last', ' 19523)']",[' 2002.8  '],"[' 584      (Average Length', ' 281.31 Splits', ' 0)']","[' 5109875  (Deleted', ' 5022854)']","[' 73       (Ratio', '   0.00%)']","[' 1707     (Ratio', '   0.03%)']","[' 5109875  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5109875  (Average', '  1.54 Max', ' 2717 Sum', ' 7880263)']","[' 5109692  (Average', '  1.54 Max', ' 2717 Sum', ' 7856941 Ratio', '  99.70%)']","[' 183      (Average', ' 127.44 Max', ' 461 Sum', '  23322 Ratio', '   0.30%)']", ,[' 99208   '],[' 4010    '],[' 98767   '],[' 56286   '],"[' 168854   (Atom=Atom', ' 53274 Body=Body', ' 29460 Other', ' 86120)']",[' Yes'],"[' 4569     (Eliminated', '    0 Frozen', ' 4569)']","[' 129      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00304'],[' 0'], ,[' 75.6432'],[' 0'],[' 1.86439'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42993e+07'],[' 2.20904e+07'],[' 0'],[' 7.46804e+09'],[' 0'],[' 0'],[' 678 '],[' 1233 '],[' 1775 '],[' 2280 '],[' 2653 '],[' 3161 '],[' 3632 '],[' 4175 ']
Solving...,TA64, , ,[' 1405'],[' 711'],"[' 153.213s (Solving', ' 148.39s 1st Model', ' 2.67s Unsat', ' 3.94s)']",[' 152.781s'], ,[' 10765992'],"[' 6245190  (Analyzed', ' 6209586)']","[' 13799    (Average', ' 450.00 Last', ' 26319)']",[' 2101.0  '],"[' 711      (Average Length', ' 346.08 Splits', ' 0)']","[' 6209586  (Deleted', ' 6113677)']","[' 50       (Ratio', '   0.00%)']","[' 1535     (Ratio', '   0.02%)']","[' 6209586  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6209586  (Average', '  1.50 Max', ' 2700 Sum', ' 9332182)']","[' 6209436  (Average', '  1.50 Max', ' 2700 Sum', ' 9317398 Ratio', '  99.84%)']","[' 150      (Average', ' 98.56 Max', ' 560 Sum', '  14784 Ratio', '   0.16%)']", ,[' 99531   '],[' 4024    '],[' 99216   '],[' 56711   '],"[' 170129   (Atom=Atom', ' 53685 Body=Body', ' 29474 Other', ' 86970)']",[' Yes'],"[' 4709     (Eliminated', '    0 Frozen', ' 4709)']","[' 150      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19227'],[' 0'], ,[' 106.124'],[' 0'],[' 2.43061'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.11374e+07'],[' 2.61059e+07'],[' 0'],[' 1.11597e+10'],[' 0'],[' 0'],[' 718 '],[' 1244 '],[' 1615 '],[' 2106 '],[' 2625 '],[' 3129 '],[' 3607 '],[' 3998 ']
Solving...,TA65, , ,[' 1227'],[' 622'],"[' 209.042s (Solving', ' 205.34s 1st Model', ' 1.86s Unsat', ' 17.55s)']",[' 208.453s'], ,[' 6512709 '],"[' 3372649  (Analyzed', ' 3220230)']","[' 8251     (Average', ' 390.28 Last', ' 13595)']",[' 1848.8  '],"[' 622      (Average Length', ' 297.69 Splits', ' 0)']","[' 3220230  (Deleted', ' 3148052)']","[' 53       (Ratio', '   0.00%)']","[' 1847     (Ratio', '   0.06%)']","[' 3220230  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3220230  (Average', '  1.67 Max', ' 2685 Sum', ' 5387900)']","[' 3219948  (Average', '  1.65 Max', ' 2685 Sum', ' 5309825 Ratio', '  98.55%)']","[' 282      (Average', ' 276.86 Max', ' 468 Sum', '  78075 Ratio', '   1.45%)']", ,[' 98900   '],[' 4104    '],[' 98495   '],[' 56584   '],"[' 169748   (Atom=Atom', ' 53478 Body=Body', ' 29554 Other', ' 86716)']",[' Yes'],"[' 4699     (Eliminated', '    0 Frozen', ' 4699)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.942417'],[' 0'], ,[' 178.483'],[' 0'],[' 3.03762'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.69316e+07'],[' 1.89635e+07'],[' 0'],[' 2.52359e+10'],[' 0'],[' 0'],[' 499 '],[' 1075 '],[' 1475 '],[' 2157 '],[' 2878 '],[' 3458 '],[' 3917 '],[' 4387 ']
Solving...,TA66, , ,[' 1303'],[' 660'],"[' 242.341s (Solving', ' 238.24s 1st Model', ' 1.98s Unsat', ' 50.60s)']",[' 241.219s'], ,[' 13670762'],"[' 8180894  (Analyzed', ' 8097501)']","[' 17917    (Average', ' 451.95 Last', ' 88393)']",[' 1902.3  '],"[' 660      (Average Length', ' 319.84 Splits', ' 0)']","[' 8097501  (Deleted', ' 7970931)']","[' 61       (Ratio', '   0.00%)']","[' 2529     (Ratio', '   0.03%)']","[' 8097501  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8097501  (Average', '  1.53 Max', ' 2629 Sum', ' 12363066)']","[' 8097261  (Average', '  1.52 Max', ' 2629 Sum', ' 12314010 Ratio', '  99.60%)']","[' 240      (Average', ' 204.40 Max', ' 554 Sum', '  49056 Ratio', '   0.40%)']", ,[' 99883   '],[' 4064    '],[' 99519   '],[' 56474   '],"[' 169418   (Atom=Atom', ' 53408 Body=Body', ' 29514 Other', ' 86496)']",[' Yes'],"[' 4700     (Eliminated', '    0 Frozen', ' 4700)']","[' 292      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06125'],[' 0'], ,[' 184.383'],[' 0'],[' 3.02454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.68426e+07'],[' 2.78172e+07'],[' 0'],[' 2.2149e+10'],[' 0'],[' 0'],[' 588 '],[' 1179 '],[' 1618 '],[' 2159 '],[' 2590 '],[' 3099 '],[' 3499 '],[' 4151 ']
Solving...,TA67, ,[' 1'],[' 1205+'],[' 611'],"[' 215.486s (Solving', ' 211.26s 1st Model', ' 2.29s Unsat', ' 25.82s)']",[' 214.641s'], ,[' 11255596'],"[' 6611868  (Analyzed', ' 6583114)']","[' 14780    (Average', ' 445.41 Last', ' 33845)']",[' 2045.9  '],"[' 611      (Average Length', ' 295.25 Splits', ' 0)']","[' 6583114  (Deleted', ' 6473903)']","[' 56       (Ratio', '   0.00%)']","[' 2331     (Ratio', '   0.04%)']","[' 6583114  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6583114  (Average', '  1.52 Max', ' 2729 Sum', ' 9974232)']","[' 6582945  (Average', '  1.51 Max', ' 2729 Sum', ' 9957701 Ratio', '  99.83%)']","[' 169      (Average', ' 97.82 Max', ' 376 Sum', '  16531 Ratio', '   0.17%)']", ,[' 99771   '],[' 4071    '],[' 99360   '],[' 56820   '],"[' 170456   (Atom=Atom', ' 53747 Body=Body', ' 29521 Other', ' 87188)']",[' Yes'],"[' 4660     (Eliminated', '    0 Frozen', ' 4660)']","[' 204      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07811'],[' 0'], ,[' 166.71'],[' 0'],[' 3.08221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.05165e+07'],[' 2.51763e+07'],[' 0'],[' 2.15699e+10'],[' 0'],[' 0'],[' 683 '],[' 1237 '],[' 1890 '],[' 2414 '],[' 2987 '],[' 3496 '],[' 3958 '],[' 4501 ']
Solving...,TA68, ,[' 1'],[' 1349+'],[' 683'],"[' 181.102s (Solving', ' 176.62s 1st Model', ' 2.36s Unsat', ' 35.39s)']",[' 180.469s'], ,[' 8229014 '],"[' 4310500  (Analyzed', ' 4297637)']","[' 10044    (Average', ' 427.88 Last', ' 12719)']",[' 2070.0  '],"[' 683      (Average Length', ' 330.14 Splits', ' 0)']","[' 4297637  (Deleted', ' 4222962)']","[' 70       (Ratio', '   0.00%)']","[' 1690     (Ratio', '   0.04%)']","[' 4297637  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4297637  (Average', '  1.62 Max', ' 2678 Sum', ' 6963569)']","[' 4297445  (Average', '  1.61 Max', ' 2678 Sum', ' 6926419 Ratio', '  99.47%)']","[' 192      (Average', ' 193.49 Max', ' 412 Sum', '  37150 Ratio', '   0.53%)']", ,[' 98980   '],[' 4021    '],[' 98634   '],[' 56428   '],"[' 169280   (Atom=Atom', ' 53405 Body=Body', ' 29471 Other', ' 86404)']",[' Yes'],"[' 4675     (Eliminated', '    0 Frozen', ' 4675)']","[' 55       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12006'],[' 0'], ,[' 143.114'],[' 0'],[' 2.46653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45691e+07'],[' 2.41814e+07'],[' 0'],[' 1.90495e+10'],[' 0'],[' 0'],[' 432 '],[' 1071 '],[' 1650 '],[' 2122 '],[' 2553 '],[' 3048 '],[' 3467 '],[' 3967 ']
Solving...,TA69, , ,[' 1421'],[' 719'],"[' 281.289s (Solving', ' 276.50s 1st Model', ' 2.19s Unsat', ' 43.65s)']",[' 280.672s'], ,[' 12757993'],"[' 7788376  (Analyzed', ' 7762801)']","[' 17690    (Average', ' 438.82 Last', ' 38279)']",[' 1927.0  '],"[' 719      (Average Length', ' 345.73 Splits', ' 0)']","[' 7762801  (Deleted', ' 7625948)']","[' 35       (Ratio', '   0.00%)']","[' 2084     (Ratio', '   0.03%)']","[' 7762801  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7762801  (Average', '  1.47 Max', ' 2601 Sum', ' 11436385)']","[' 7762589  (Average', '  1.47 Max', ' 2601 Sum', ' 11385659 Ratio', '  99.56%)']","[' 212      (Average', ' 239.27 Max', ' 584 Sum', '  50726 Ratio', '   0.44%)']", ,[' 99496   '],[' 4023    '],[' 99184   '],[' 55832   '],"[' 167492   (Atom=Atom', ' 52807 Body=Body', ' 29473 Other', ' 85212)']",[' Yes'],"[' 4711     (Eliminated', '    0 Frozen', ' 4711)']","[' 263      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13841'],[' 0'], ,[' 218.734'],[' 0'],[' 3.934'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67454e+07'],[' 2.84581e+07'],[' 0'],[' 2.82772e+10'],[' 0'],[' 0'],[' 622 '],[' 1214 '],[' 1633 '],[' 2103 '],[' 2718 '],[' 3106 '],[' 3638 '],[' 4210 ']
Solving...,TA70, ,[' 1'],[' 1333+'],[' 675'],"[' 187.142s (Solving', ' 182.86s 1st Model', ' 1.86s Unsat', ' 43.89s)']",[' 186.766s'], ,[' 5194097 '],"[' 2218852  (Analyzed', ' 2066595)']","[' 5727     (Average', ' 360.85 Last', ' 16656)']",[' 1912.4  '],"[' 675      (Average Length', ' 324.75 Splits', ' 0)']","[' 2066595  (Deleted', ' 2019293)']","[' 55       (Ratio', '   0.00%)']","[' 1940     (Ratio', '   0.09%)']","[' 2066595  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2066595  (Average', '  1.91 Max', ' 2731 Sum', ' 3951845)']","[' 2066439  (Average', '  1.89 Max', ' 2731 Sum', ' 3914008 Ratio', '  99.04%)']","[' 156      (Average', ' 242.54 Max', ' 520 Sum', '  37837 Ratio', '   0.96%)']", ,[' 100125  '],[' 4070    '],[' 99775   '],[' 56971   '],"[' 170909   (Atom=Atom', ' 53899 Body=Body', ' 29520 Other', ' 87490)']",[' Yes'],"[' 4720     (Eliminated', '    0 Frozen', ' 4720)']","[' 163      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01796'],[' 0'], ,[' 162.658'],[' 0'],[' 2.41137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.48748e+07'],[' 1.941e+07'],[' 0'],[' 2.51568e+10'],[' 0'],[' 0'],[' 523 '],[' 983 '],[' 1562 '],[' 2232 '],[' 2618 '],[' 3160 '],[' 3592 '],[' 4239 ']
