Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA51, , ,[' 433'],[' 226'],"[' 105.121s (Solving', ' 103.73s 1st Model', ' 0.51s Unsat', ' 15.26s)']",[' 104.875s'], ,[' 3495811 '],"[' 1839547  (Analyzed', ' 1782112)']","[' 4797     (Average', ' 371.51 Last', ' 17203)']",[' 1267.7  '],"[' 226      (Average Length', ' 107.74 Splits', ' 0)']","[' 1782112  (Deleted', ' 1745517)']","[' 74       (Ratio', '   0.00%)']","[' 1814     (Ratio', '   0.10%)']","[' 1782112  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1782112  (Average', '  1.76 Max', ' 1839 Sum', ' 3133523)']","[' 1781955  (Average', '  1.75 Max', ' 1839 Sum', ' 3122115 Ratio', '  99.64%)']","[' 157      (Average', ' 72.66 Max', ' 156 Sum', '  11408 Ratio', '   0.36%)']", ,[' 74154   '],[' 2827    '],[' 73619   '],[' 42661   '],"[' 127979   (Atom=Atom', ' 40582 Body=Body', ' 21902 Other', ' 65495)']",[' Yes'],"[' 3042     (Eliminated', '    0 Frozen', ' 3042)']","[' 128      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.345009'],[' 0'], ,[' 90.8724'],[' 0'],[' 1.38271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30636e+07'],[' 8.80702e+06'],[' 0'],[' 1.51943e+10'],[' 0'],[' 0'],[' 494 '],[' 956 '],[' 1453 '],[' 1761 '],[' 2414 '],[' 2866 '],[' 3275 '],[' 3777 '],[' 4243 ']
Solving...,TA52, , ,[' 353'],[' 186'],"[' 131.379s (Solving', ' 129.86s 1st Model', ' 0.53s Unsat', ' 13.02s)']",[' 131.047s'], ,[' 6116971 '],"[' 4051508  (Analyzed', ' 4047107)']","[' 9675     (Average', ' 418.31 Last', ' 45762)']",[' 1334.2  '],"[' 186      (Average Length', ' 87.58 Splits', ' 0)']","[' 4047107  (Deleted', ' 3988670)']","[' 65       (Ratio', '   0.00%)']","[' 1987     (Ratio', '   0.05%)']","[' 4047107  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4047107  (Average', '  1.42 Max', ' 1769 Sum', ' 5766299)']","[' 4046966  (Average', '  1.42 Max', ' 1769 Sum', ' 5759290 Ratio', '  99.88%)']","[' 141      (Average', ' 49.71 Max', ' 124 Sum', '   7009 Ratio', '   0.12%)']", ,[' 74913   '],[' 2790    '],[' 74339   '],[' 42518   '],"[' 127550   (Atom=Atom', ' 40476 Body=Body', ' 21865 Other', ' 65209)']",[' Yes'],"[' 2966     (Eliminated', '    0 Frozen', ' 2966)']","[' 25       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.356164'],[' 0'], ,[' 105.434'],[' 0'],[' 1.87697'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96355e+07'],[' 1.03331e+07'],[' 0'],[' 1.64314e+10'],[' 0'],[' 0'],[' 557 '],[' 1093 '],[' 1406 '],[' 1871 '],[' 2256 '],[' 2686 '],[' 3179 '],[' 3898 '],[' 4117 ']
Solving...,TA53, , ,[' 423'],[' 221'],"[' 93.839s (Solving', ' 92.36s 1st Model', ' 0.40s Unsat', ' 4.05s)']",[' 93.688s'], ,[' 4517268 '],"[' 2917325  (Analyzed', ' 2903379)']","[' 6788     (Average', ' 427.72 Last', ' 86876)']",[' 1099.5  '],"[' 221      (Average Length', ' 105.97 Splits', ' 0)']","[' 2903379  (Deleted', ' 2853317)']","[' 92       (Ratio', '   0.00%)']","[' 1679     (Ratio', '   0.06%)']","[' 2903379  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2903379  (Average', '  1.45 Max', ' 1709 Sum', ' 4206635)']","[' 2903229  (Average', '  1.45 Max', ' 1709 Sum', ' 4200852 Ratio', '  99.86%)']","[' 150      (Average', ' 38.55 Max', ' 178 Sum', '   5783 Ratio', '   0.14%)']", ,[' 73118   '],[' 2699    '],[' 72579   '],[' 41016   '],"[' 123044   (Atom=Atom', ' 39065 Body=Body', ' 21774 Other', ' 62205)']",[' Yes'],"[' 2910     (Eliminated', '    0 Frozen', ' 2910)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.341193'],[' 0'], ,[' 73.54'],[' 0'],[' 1.39858'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46139e+07'],[' 8.04125e+06'],[' 0'],[' 1.06511e+10'],[' 0'],[' 0'],[' 423 '],[' 1030 '],[' 1377 '],[' 1685 '],[' 2084 '],[' 2489 '],[' 3069 '],[' 3549 '],[' 4084 ']
Solving...,TA54, , ,[' 423'],[' 221'],"[' 87.563s (Solving', ' 86.14s 1st Model', ' 0.36s Unsat', ' 26.78s)']",[' 87.344s'], ,[' 4035794 '],"[' 2772013  (Analyzed', ' 2713236)']","[' 7279     (Average', ' 372.75 Last', ' 9152)']",[' 1102.3  '],"[' 221      (Average Length', ' 106.30 Splits', ' 0)']","[' 2713236  (Deleted', ' 2663491)']","[' 88       (Ratio', '   0.00%)']","[' 1613     (Ratio', '   0.06%)']","[' 2713236  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2713236  (Average', '  1.36 Max', ' 1768 Sum', ' 3697507)']","[' 2713084  (Average', '  1.36 Max', ' 1768 Sum', ' 3689471 Ratio', '  99.78%)']","[' 152      (Average', ' 52.87 Max', ' 168 Sum', '   8036 Ratio', '   0.22%)']", ,[' 75122   '],[' 2812    '],[' 74583   '],[' 42433   '],"[' 127295   (Atom=Atom', ' 40369 Body=Body', ' 21887 Other', ' 65039)']",[' Yes'],"[' 3023     (Eliminated', '    0 Frozen', ' 3023)']","[' 89       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.31367'],[' 0'], ,[' 68.5788'],[' 0'],[' 1.33074'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33457e+07'],[' 7.08748e+06'],[' 0'],[' 1.00048e+10'],[' 0'],[' 0'],[' 485 '],[' 879 '],[' 1252 '],[' 1743 '],[' 2102 '],[' 2520 '],[' 3163 '],[' 3570 '],[' 4026 ']
Solving...,TA55, , ,[' 485'],[' 252'],"[' 106.090s (Solving', ' 104.53s 1st Model', ' 0.48s Unsat', ' 44.78s)']",[' 105.953s'], ,[' 6541691 '],"[' 4567182  (Analyzed', ' 4544384)']","[' 10435    (Average', ' 435.49 Last', ' 61264)']",[' 1221.0  '],"[' 252      (Average Length', ' 121.05 Splits', ' 0)']","[' 4544384  (Deleted', ' 4475412)']","[' 86       (Ratio', '   0.00%)']","[' 1889     (Ratio', '   0.04%)']","[' 4544384  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4544384  (Average', '  1.35 Max', ' 1823 Sum', ' 6124374)']","[' 4544250  (Average', '  1.35 Max', ' 1823 Sum', ' 6116248 Ratio', '  99.87%)']","[' 134      (Average', ' 60.64 Max', ' 198 Sum', '   8126 Ratio', '   0.13%)']", ,[' 74738   '],[' 2835    '],[' 74229   '],[' 43161   '],"[' 129479   (Atom=Atom', ' 41074 Body=Body', ' 21910 Other', ' 66495)']",[' Yes'],"[' 3076     (Eliminated', '    0 Frozen', ' 3076)']","[' 73       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.356805'],[' 0'], ,[' 78.41'],[' 0'],[' 1.67861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08816e+07'],[' 1.06364e+07'],[' 0'],[' 1.10813e+10'],[' 0'],[' 0'],[' 682 '],[' 920 '],[' 1446 '],[' 2046 '],[' 2414 '],[' 2763 '],[' 3209 '],[' 3884 '],[' 4235 ']
Solving...,TA56, ,[' 1'],[' 479+'],[' 249'],"[' 123.550s (Solving', ' 121.94s 1st Model', ' 0.50s Unsat', ' 33.73s)']",[' 123.281s'], ,[' 7601824 '],"[' 5470424  (Analyzed', ' 5457975)']","[' 12498    (Average', ' 436.71 Last', ' 58678)']",[' 1242.2  '],"[' 249      (Average Length', ' 119.31 Splits', ' 0)']","[' 5457975  (Deleted', ' 5369584)']","[' 70       (Ratio', '   0.00%)']","[' 2014     (Ratio', '   0.04%)']","[' 5457975  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5457975  (Average', '  1.32 Max', ' 1812 Sum', ' 7180766)']","[' 5457837  (Average', '  1.31 Max', ' 1812 Sum', ' 7174133 Ratio', '  99.91%)']","[' 138      (Average', ' 48.07 Max', ' 210 Sum', '   6633 Ratio', '   0.09%)']", ,[' 74366   '],[' 2787    '],[' 73853   '],[' 42286   '],"[' 126854   (Atom=Atom', ' 40247 Body=Body', ' 21862 Other', ' 64745)']",[' Yes'],"[' 3024     (Eliminated', '    0 Frozen', ' 3024)']","[' 36       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.376105'],[' 0'], ,[' 90.0383'],[' 0'],[' 1.73011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36154e+07'],[' 1.12211e+07'],[' 0'],[' 1.27313e+10'],[' 0'],[' 0'],[' 748 '],[' 1157 '],[' 1584 '],[' 2241 '],[' 2619 '],[' 3081 '],[' 3492 '],[' 3858 '],[' 4431 ']
Solving...,TA57, , ,[' 473'],[' 246'],"[' 115.168s (Solving', ' 113.45s 1st Model', ' 0.69s Unsat', ' 24.88s)']",[' 114.891s'], ,[' 5405956 '],"[' 3397905  (Analyzed', ' 3377906)']","[' 8361     (Average', ' 404.01 Last', ' 3928)']",[' 1292.2  '],"[' 246      (Average Length', ' 117.20 Splits', ' 0)']","[' 3377906  (Deleted', ' 3314820)']","[' 71       (Ratio', '   0.00%)']","[' 1670     (Ratio', '   0.05%)']","[' 3377906  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3377906  (Average', '  1.49 Max', ' 1751 Sum', ' 5018877)']","[' 3377769  (Average', '  1.48 Max', ' 1751 Sum', ' 5009211 Ratio', '  99.81%)']","[' 137      (Average', ' 70.55 Max', ' 183 Sum', '   9666 Ratio', '   0.19%)']", ,[' 74417   '],[' 2791    '],[' 73902   '],[' 42217   '],"[' 126647   (Atom=Atom', ' 40174 Body=Body', ' 21866 Other', ' 64607)']",[' Yes'],"[' 3026     (Eliminated', '    0 Frozen', ' 3026)']","[' 134      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.388347'],[' 0'], ,[' 91.9058'],[' 0'],[' 1.66972'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81505e+07'],[' 1.01491e+07'],[' 0'],[' 1.39506e+10'],[' 0'],[' 0'],[' 522 '],[' 1097 '],[' 1408 '],[' 1820 '],[' 2231 '],[' 2557 '],[' 3112 '],[' 3724 '],[' 4096 ']
Solving...,TA58, , ,[' 517'],[' 268'],"[' 45.275s (Solving', ' 43.49s 1st Model', ' 0.72s Unsat', ' 12.35s)']",[' 45.125s'], ,[' 2339096 '],"[' 1342357  (Analyzed', ' 1332448)']","[' 3466     (Average', ' 384.43 Last', ' 10643)']",[' 1362.8  '],"[' 268      (Average Length', ' 128.01 Splits', ' 0)']","[' 1332448  (Deleted', ' 1301336)']","[' 103      (Ratio', '   0.01%)']","[' 1241     (Ratio', '   0.09%)']","[' 1332448  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1332448  (Average', '  1.49 Max', ' 1927 Sum', ' 1984609)']","[' 1332308  (Average', '  1.49 Max', ' 1927 Sum', ' 1979123 Ratio', '  99.72%)']","[' 140      (Average', ' 39.19 Max', ' 217 Sum', '   5486 Ratio', '   0.28%)']", ,[' 74410   '],[' 2836    '],[' 73916   '],[' 42490   '],"[' 127466   (Atom=Atom', ' 40402 Body=Body', ' 21911 Other', ' 65153)']",[' Yes'],"[' 3092     (Eliminated', '    0 Frozen', ' 3092)']","[' 47       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.425413'],[' 0'], ,[' 33.5547'],[' 0'],[' 0.620274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00828e+07'],[' 6.83657e+06'],[' 0'],[' 5.16514e+09'],[' 0'],[' 0'],[' 555 '],[' 1040 '],[' 1494 '],[' 1854 '],[' 2274 '],[' 2664 '],[' 3252 '],[' 3656 '],[' 4194 ']
Solving...,TA59, ,[' 1'],[' 433+'],[' 226'],"[' 176.233s (Solving', ' 174.66s 1st Model', ' 0.58s Unsat', ' 1.08s)']",[' 175.516s'], ,[' 6072713 '],"[' 4098429  (Analyzed', ' 4087220)']","[' 10383    (Average', ' 393.65 Last', ' 2675)']",[' 1276.2  '],"[' 226      (Average Length', ' 107.75 Splits', ' 0)']","[' 4087220  (Deleted', ' 4015724)']","[' 32       (Ratio', '   0.00%)']","[' 2233     (Ratio', '   0.05%)']","[' 4087220  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4087220  (Average', '  1.39 Max', ' 1753 Sum', ' 5672188)']","[' 4087146  (Average', '  1.39 Max', ' 1753 Sum', ' 5667537 Ratio', '  99.92%)']","[' 74       (Average', ' 62.85 Max', ' 166 Sum', '   4651 Ratio', '   0.08%)']", ,[' 73941   '],[' 2751    '],[' 73407   '],[' 41819   '],"[' 125453   (Atom=Atom', ' 39816 Body=Body', ' 21826 Other', ' 63811)']",[' Yes'],"[' 2967     (Eliminated', '    0 Frozen', ' 2967)']","[' 66       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.371522'],[' 0'], ,[' 148.355'],[' 0'],[' 2.51328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04687e+07'],[' 1.11149e+07'],[' 0'],[' 2.33654e+10'],[' 0'],[' 0'],[' 470 '],[' 998 '],[' 1346 '],[' 1704 '],[' 2217 '],[' 2732 '],[' 3198 '],[' 3590 '],[' 4128 ']
Solving...,TA60, , ,[' 639'],[' 329'],"[' 106.055s (Solving', ' 104.09s 1st Model', ' 1.59s Unsat', ' 14.32s)']",[' 105.609s'], ,[' 4827283 '],"[' 2809279  (Analyzed', ' 2787540)']","[' 7431     (Average', ' 375.12 Last', ' 52776)']",[' 1327.5  '],"[' 329      (Average Length', ' 159.00 Splits', ' 0)']","[' 2787540  (Deleted', ' 2728978)']","[' 87       (Ratio', '   0.00%)']","[' 1871     (Ratio', '   0.07%)']","[' 2787540  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2787540  (Average', '  1.56 Max', ' 1825 Sum', ' 4357665)']","[' 2787416  (Average', '  1.56 Max', ' 1825 Sum', ' 4351635 Ratio', '  99.86%)']","[' 124      (Average', ' 48.63 Max', ' 258 Sum', '   6030 Ratio', '   0.14%)']", ,[' 74989   '],[' 2813    '],[' 74556   '],[' 43106   '],"[' 129314   (Atom=Atom', ' 41041 Body=Body', ' 21888 Other', ' 66385)']",[' Yes'],"[' 3130     (Eliminated', '    0 Frozen', ' 3130)']","[' 125      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.462683'],[' 0'], ,[' 84.1501'],[' 0'],[' 1.58316'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73804e+07'],[' 1.08924e+07'],[' 0'],[' 1.28823e+10'],[' 0'],[' 0'],[' 452 '],[' 808 '],[' 1244 '],[' 1704 '],[' 2161 '],[' 2561 '],[' 2899 '],[' 3356 '],[' 3690 ']
