Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Total Completion Time
,swv11,[' 2415+'],[' 1210'],"[' 1802.067s (Solving', ' 1793.65s 1st Model', ' 847.01s Unsat', ' 0.00s)']",[' 1796.125s'], ,[' 480236854'],"[' 4340243  (Analyzed', ' 3905035)']","[' 9591     (Average', ' 407.16 Last', ' 280959)']",[' 5622.9  '],"[' 1210     (Average Length', ' 597.48 Splits', ' 0)']","[' 3905035  (Deleted', ' 3736735)']","[' 590      (Ratio', '   0.02%)']","[' 148499   (Ratio', '   3.80%)']","[' 3905035  (Average Length', '   39.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3905035  (Average', ' 121.23 Max', ' 6268 Sum', ' 473420536)']","[' 3904525  (Average', ' 121.15 Max', ' 5662 Sum', ' 473107876 Ratio', '  99.93%)']","[' 510      (Average', ' 613.06 Max', ' 4206 Sum', ' 312660 Ratio', '   0.07%)']", ,[' 75026   '],[' 10616   '],[' 75690   '],[' 54872   '],"[' 164612   (Atom=Atom', ' 44754 Body=Body', ' 23316 Other', ' 96542)']",[' Yes'],"[' 11780    (Eliminated', '    0 Frozen', ' 11780)']","[' 14012    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45048'],[' 0'], ,[' 536.124'],[' 0'],[' 37.7312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.30065e+09'],[' 3.12176e+09'],[' 0'],[' 2.23909e+10'],[' 0'],[' 0'],[' 4799']
,swv12,[' 1977+'],[' 991'],"[' 1801.706s (Solving', ' 1794.94s 1st Model', ' 154.30s Unsat', ' 0.00s)']",[' 1789.969s'], ,[' 482149214'],"[' 5868398  (Analyzed', ' 5567875)']","[' 10659    (Average', ' 522.36 Last', ' 61905)']",[' 5640.9  '],"[' 991      (Average Length', ' 491.65 Splits', ' 0)']","[' 5567875  (Deleted', ' 5401746)']","[' 586      (Ratio', '   0.01%)']","[' 136660   (Ratio', '   2.45%)']","[' 5567875  (Average Length', '   41.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5567875  (Average', ' 85.54 Max', ' 6102 Sum', ' 476252178)']","[' 5567436  (Average', ' 85.50 Max', ' 5612 Sum', ' 476037068 Ratio', '  99.95%)']","[' 439      (Average', ' 490.00 Max', ' 490 Sum', ' 215110 Ratio', '   0.05%)']", ,[' 74303   '],[' 10448   '],[' 74769   '],[' 53981   '],"[' 161939   (Atom=Atom', ' 44031 Body=Body', ' 23148 Other', ' 94760)']",[' Yes'],"[' 11414    (Eliminated', '    0 Frozen', ' 11414)']","[' 12817    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24112'],[' 0'], ,[' 595.952'],[' 0'],[' 38.8713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.07229e+09'],[' 2.88135e+09'],[' 0'],[' 2.619e+10'],[' 0'],[' 0'],[' 5125']
,swv13,[' 1847+'],[' 926'],"[' 1801.466s (Solving', ' 1795.32s 1st Model', ' 268.63s Unsat', ' 0.00s)']",[' 1795.906s'], ,[' 492077729'],"[' 6479460  (Analyzed', ' 6166006)']","[' 11376    (Average', ' 542.02 Last', ' 393266)']",[' 5588.4  '],"[' 926      (Average Length', ' 459.12 Splits', ' 0)']","[' 6166006  (Deleted', ' 5994422)']","[' 827      (Ratio', '   0.01%)']","[' 138735   (Ratio', '   2.25%)']","[' 6166006  (Average Length', '   43.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6166006  (Average', ' 78.90 Max', ' 6163 Sum', ' 486477356)']","[' 6165527  (Average', ' 78.86 Max', ' 5702 Sum', ' 486256537 Ratio', '  99.95%)']","[' 479      (Average', ' 461.00 Max', ' 461 Sum', ' 220819 Ratio', '   0.05%)']", ,[' 74250   '],[' 10452   '],[' 74646   '],[' 53932   '],"[' 161792   (Atom=Atom', ' 43978 Body=Body', ' 23152 Other', ' 94662)']",[' Yes'],"[' 11348    (Eliminated', '    0 Frozen', ' 11348)']","[' 12892    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.17183'],[' 0'], ,[' 624.498'],[' 0'],[' 39.2261'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.12883e+09'],[' 2.93665e+09'],[' 0'],[' 3.15971e+10'],[' 0'],[' 0'],[' 5402']
,swv14,[' 2281+'],[' 1143'],"[' 1801.736s (Solving', ' 1794.22s 1st Model', ' 931.14s Unsat', ' 0.00s)']",[' 1795.594s'], ,[' 485557081'],"[' 4935967  (Analyzed', ' 4661609)']","[' 9417     (Average', ' 495.02 Last', ' 1384045)']",[' 5570.4  '],"[' 1143     (Average Length', ' 564.38 Splits', ' 0)']","[' 4661609  (Deleted', ' 4487843)']","[' 597      (Ratio', '   0.01%)']","[' 148802   (Ratio', '   3.19%)']","[' 4661609  (Average Length', '   39.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4661609  (Average', ' 102.79 Max', ' 5976 Sum', ' 479151456)']","[' 4661157  (Average', ' 102.73 Max', ' 5852 Sum', ' 478886132 Ratio', '  99.94%)']","[' 452      (Average', ' 587.00 Max', ' 587 Sum', ' 265324 Ratio', '   0.06%)']", ,[' 74287   '],[' 10392   '],[' 74892   '],[' 53909   '],"[' 161723   (Atom=Atom', ' 44015 Body=Body', ' 23092 Other', ' 94616)']",[' Yes'],"[' 11497    (Eliminated', '    0 Frozen', ' 11497)']","[' 14559    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39083'],[' 0'], ,[' 554.706'],[' 0'],[' 38.4312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47305e+09'],[' 3.2807e+09'],[' 0'],[' 2.59447e+10'],[' 0'],[' 0'],[' 4776']
,swv15,[' 2099+'],[' 1052'],"[' 1802.636s (Solving', ' 1796.43s 1st Model', ' 274.02s Unsat', ' 0.00s)']",[' 1798.953s'], ,[' 522462304'],"[' 5482996  (Analyzed', ' 5180433)']","[' 10080    (Average', ' 513.93 Last', ' 98969)']",[' 5587.6  '],"[' 1052     (Average Length', ' 520.99 Splits', ' 0)']","[' 5180433  (Deleted', ' 4999161)']","[' 701      (Ratio', '   0.01%)']","[' 151619   (Ratio', '   2.93%)']","[' 5180433  (Average Length', '   41.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5180433  (Average', ' 99.69 Max', ' 6183 Sum', ' 516427964)']","[' 5179961  (Average', ' 99.64 Max', ' 5649 Sum', ' 516175916 Ratio', '  99.95%)']","[' 472      (Average', ' 534.00 Max', ' 534 Sum', ' 252048 Ratio', '   0.05%)']", ,[' 74868   '],[' 10616   '],[' 75390   '],[' 54714   '],"[' 164138   (Atom=Atom', ' 44596 Body=Body', ' 23316 Other', ' 96226)']",[' Yes'],"[' 11638    (Eliminated', '    0 Frozen', ' 11638)']","[' 15263    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12862'],[' 0'], ,[' 558.764'],[' 0'],[' 38.1091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64412e+09'],[' 3.44484e+09'],[' 0'],[' 2.80597e+10'],[' 0'],[' 0'],[' 4905']
,swv16,[' 2509+'],[' 1257'],"[' 1801.943s (Solving', ' 1790.58s 1st Model', ' 321.63s Unsat', ' 0.00s)']",[' 1790.734s'], ,[' 413838722'],"[' 11576848 (Analyzed', ' 11201051)']","[' 20167    (Average', ' 555.41 Last', ' 221563)']",[' 3827.4  '],"[' 1257     (Average Length', ' 621.86 Splits', ' 0)']","[' 11201051 (Deleted', ' 11082273)']","[' 566      (Ratio', '   0.01%)']","[' 64063    (Ratio', '   0.57%)']","[' 11201051 (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11201051 (Average', ' 36.48 Max', ' 4105 Sum', ' 408640022)']","[' 11200715 (Average', ' 36.47 Max', ' 3544 Sum', ' 408450476 Ratio', '  99.95%)']","[' 336      (Average', ' 564.13 Max', ' 1611 Sum', ' 189546 Ratio', '   0.05%)']", ,[' 62881   '],[' 6552    '],[' 63597   '],[' 38663   '],"[' 115985   (Atom=Atom', ' 32609 Body=Body', ' 19252 Other', ' 64124)']",[' Yes'],"[' 7768     (Eliminated', '    0 Frozen', ' 7768)']","[' 5995     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.65799'],[' 0'], ,[' 818.997'],[' 0'],[' 40.6167'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.21921e+09'],[' 1.98204e+09'],[' 0'],[' 4.41474e+10'],[' 0'],[' 0'],[' 2996']
,swv17,[' 1977+'],[' 991'],"[' 1800.591s (Solving', ' 1795.10s 1st Model', ' 18.94s Unsat', ' 0.00s)']",[' 1794.281s'], ,[' 466400058'],"[' 19156547 (Analyzed', ' 18816898)']","[' 29045    (Average', ' 647.85 Last', ' 17590)']",[' 3845.1  '],"[' 991      (Average Length', ' 491.15 Splits', ' 0)']","[' 18816898 (Deleted', ' 18663529)']","[' 604      (Ratio', '   0.00%)']","[' 64463    (Ratio', '   0.34%)']","[' 18816898 (Average Length', '   28.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18816898 (Average', ' 24.52 Max', ' 4205 Sum', ' 461442997)']","[' 18816549 (Average', ' 24.51 Max', ' 3732 Sum', ' 461277920 Ratio', '  99.96%)']","[' 349      (Average', ' 473.00 Max', ' 473 Sum', ' 165077 Ratio', '   0.04%)']", ,[' 62909   '],[' 6650    '],[' 63369   '],[' 38789   '],"[' 116363   (Atom=Atom', ' 32637 Body=Body', ' 19350 Other', ' 64376)']",[' Yes'],"[' 7610     (Eliminated', '    0 Frozen', ' 7610)']","[' 6603     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02996'],[' 0'], ,[' 920.015'],[' 0'],[' 37.1967'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12967e+09'],[' 1.87695e+09'],[' 0'],[' 5.49619e+10'],[' 0'],[' 0'],[' 3384']
,swv18,[' 2155+'],[' 1080'],"[' 1801.227s (Solving', ' 1794.86s 1st Model', ' 29.49s Unsat', ' 0.00s)']",[' 1795.844s'], ,[' 414070978'],"[' 10585557 (Analyzed', ' 10205844)']","[' 16961    (Average', ' 601.72 Last', ' 28369)']",[' 3928.3  '],"[' 1080     (Average Length', ' 529.14 Splits', ' 0)']","[' 10205844 (Deleted', ' 10082186)']","[' 556      (Ratio', '   0.01%)']","[' 69169    (Ratio', '   0.68%)']","[' 10205844 (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10205844 (Average', ' 40.10 Max', ' 4200 Sum', ' 409206856)']","[' 10205502 (Average', ' 40.08 Max', ' 3664 Sum', ' 409023544 Ratio', '  99.96%)']","[' 342      (Average', ' 536.00 Max', ' 536 Sum', ' 183312 Ratio', '   0.04%)']", ,[' 63064   '],[' 6672    '],[' 63592   '],[' 38966   '],"[' 116894   (Atom=Atom', ' 32792 Body=Body', ' 19372 Other', ' 64730)']",[' Yes'],"[' 7700     (Eliminated', '    0 Frozen', ' 7700)']","[' 7356     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42278'],[' 0'], ,[' 806.658'],[' 0'],[' 35.6212'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26101e+09'],[' 2.02623e+09'],[' 0'],[' 4.41602e+10'],[' 0'],[' 0'],[' 3070']
,swv19,[' 2297+'],[' 1151'],"[' 1801.434s (Solving', ' 1794.65s 1st Model', ' 28.01s Unsat', ' 0.00s)']",[' 1793.234s'], ,[' 386258116'],"[' 9833123  (Analyzed', ' 9610852)']","[' 16012    (Average', ' 600.23 Last', ' 31471)']",[' 3758.5  '],"[' 1151     (Average Length', ' 568.18 Splits', ' 0)']","[' 9610852  (Deleted', ' 9497569)']","[' 560      (Ratio', '   0.01%)']","[' 64303    (Ratio', '   0.67%)']","[' 9610852  (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9610852  (Average', ' 39.72 Max', ' 4202 Sum', ' 381761402)']","[' 9610505  (Average', ' 39.70 Max', ' 4057 Sum', ' 381545642 Ratio', '  99.94%)']","[' 347      (Average', ' 621.79 Max', ' 2278 Sum', ' 215760 Ratio', '   0.06%)']", ,[' 62913   '],[' 6598    '],[' 63522   '],[' 38741   '],"[' 116219   (Atom=Atom', ' 32641 Body=Body', ' 19298 Other', ' 64280)']",[' Yes'],"[' 7707     (Eliminated', '    0 Frozen', ' 7707)']","[' 6670     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.49934'],[' 0'], ,[' 852.371'],[' 0'],[' 35.3779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96234e+09'],[' 1.75676e+09'],[' 0'],[' 4.52561e+10'],[' 0'],[' 0'],[' 3289']
,swv20,[' 2203+'],[' 1104'],"[' 1801.326s (Solving', ' 1795.10s 1st Model', ' 22.77s Unsat', ' 0.00s)']",[' 1792.422s'], ,[' 400062738'],"[' 10182666 (Analyzed', ' 9966489)']","[' 16980    (Average', ' 586.95 Last', ' 10694)']",[' 3740.9  '],"[' 1104     (Average Length', ' 545.86 Splits', ' 0)']","[' 9966489  (Deleted', ' 9845731)']","[' 533      (Ratio', '   0.01%)']","[' 63931    (Ratio', '   0.64%)']","[' 9966489  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9966489  (Average', ' 39.70 Max', ' 4105 Sum', ' 395652599)']","[' 9966164  (Average', ' 39.68 Max', ' 3534 Sum', ' 395467024 Ratio', '  99.95%)']","[' 325      (Average', ' 571.00 Max', ' 571 Sum', ' 185575 Ratio', '   0.05%)']", ,[' 62722   '],[' 6550    '],[' 63282   '],[' 38502   '],"[' 115502   (Atom=Atom', ' 32450 Body=Body', ' 19250 Other', ' 63802)']",[' Yes'],"[' 7610     (Eliminated', '    0 Frozen', ' 7610)']","[' 6984     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43832'],[' 0'], ,[' 853.266'],[' 0'],[' 35.6597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13188e+09'],[' 1.91916e+09'],[' 0'],[' 4.68838e+10'],[' 0'],[' 0'],[' 3100']
