Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA61, ,[' 1'],[' 6741+'],[' 3373'],"[' 1242.181s (Solving', ' 1213.48s 1st Model', ' 990.46s Unsat', ' 0.00s)']",[' 1237.500s'], ,[' 623515451'],"[' 3098650  (Analyzed', ' 2845962)']","[' 9673     (Average', ' 294.22 Last', ' 189277)']",[' 9022.6  '],"[' 3373     (Average Length', ' 1648.08 Splits', ' 0)']","[' 2845962  (Deleted', ' 2762832)']","[' 771      (Ratio', '   0.03%)']","[' 68745    (Ratio', '   2.42%)']","[' 2845962  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2845962  (Average', ' 210.45 Max', ' 10468 Sum', ' 598925251)']","[' 2845400  (Average', ' 210.10 Max', ' 9838 Sum', ' 597930483 Ratio', '  99.83%)']","[' 562      (Average', ' 1770.05 Max', ' 3183 Sum', ' 994768 Ratio', '   0.17%)']", ,[' 119458  '],[' 14900   '],[' 120870  '],[' 81364   '],"[' 244088   (Atom=Atom', ' 68233 Body=Body', ' 39579 Other', ' 136276)']",[' Yes'],"[' 17312    (Eliminated', '    0 Frozen', ' 17312)']","[' 6961     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.97504'],[' 0'], ,[' 470.96'],[' 0'],[' 40.5851'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11511e+09'],[' 1.90344e+09'],[' 0'],[' 1.84969e+10'],[' 0'],[' 0'],[' 1831 '],[' 3510 ']
Solving...,TA62, ,[' 1'],[' 7713+'],[' 3859'],"[' 1242.963s (Solving', ' 1210.90s 1st Model', ' 1148.88s Unsat', ' 0.00s)']",[' 1240.328s'], ,[' 634002375'],"[' 2837784  (Analyzed', ' 2423859)']","[' 8943     (Average', ' 271.03 Last', ' 438252)']",[' 9156.0  '],"[' 3859     (Average Length', ' 1882.48 Splits', ' 0)']","[' 2423859  (Deleted', ' 2339089)']","[' 589      (Ratio', '   0.02%)']","[' 72712    (Ratio', '   3.00%)']","[' 2423859  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2423859  (Average', ' 250.10 Max', ' 10694 Sum', ' 606195753)']","[' 2423317  (Average', ' 249.63 Max', ' 9731 Sum', ' 605074055 Ratio', '  99.81%)']","[' 542      (Average', ' 2069.55 Max', ' 3558 Sum', ' 1121698 Ratio', '   0.19%)']", ,[' 120532  '],[' 15060   '],[' 122217  '],[' 82106   '],"[' 246314   (Atom=Atom', ' 68939 Body=Body', ' 39615 Other', ' 137760)']",[' Yes'],"[' 17745    (Eliminated', '    0 Frozen', ' 17745)']","[' 7689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.86346'],[' 0'], ,[' 449.056'],[' 0'],[' 39.7991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3187e+09'],[' 2.1132e+09'],[' 0'],[' 1.73924e+10'],[' 0'],[' 0'],[' 1800 '],[' 3587 ']
Solving...,TA63, ,[' 1'],[' 7005+'],[' 3505'],"[' 1242.403s (Solving', ' 1213.05s 1st Model', ' 1066.53s Unsat', ' 0.00s)']",[' 1225.297s'], ,[' 547885488'],"[' 2695314  (Analyzed', ' 2239722)']","[' 8364     (Average', ' 267.78 Last', ' 408820)']",[' 8939.2  '],"[' 3505     (Average Length', ' 1710.20 Splits', ' 0)']","[' 2239722  (Deleted', ' 2163122)']","[' 651      (Ratio', '   0.03%)']","[' 62379    (Ratio', '   2.79%)']","[' 2239722  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2239722  (Average', ' 233.42 Max', ' 10173 Sum', ' 522793511)']","[' 2239148  (Average', ' 232.93 Max', ' 10047 Sum', ' 521694247 Ratio', '  99.79%)']","[' 574      (Average', ' 1915.09 Max', ' 3243 Sum', ' 1099264 Ratio', '   0.21%)']", ,[' 119470  '],[' 14853   '],[' 120837  '],[' 80899   '],"[' 242693   (Atom=Atom', ' 67947 Body=Body', ' 39400 Other', ' 135346)']",[' Yes'],"[' 17220    (Eliminated', '    0 Frozen', ' 17220)']","[' 7452     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.18359'],[' 0'], ,[' 464.465'],[' 0'],[' 40.7952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91124e+09'],[' 1.72972e+09'],[' 0'],[' 1.32629e+10'],[' 0'],[' 0'],[' 1668 '],[' 3335 ']
Solving...,TA64, ,[' 1'],[' 6333+'],[' 3169'],"[' 1243.358s (Solving', ' 1209.45s 1st Model', ' 1082.93s Unsat', ' 0.00s)']",[' 1236.328s'], ,[' 617200093'],"[' 3147448  (Analyzed', ' 2584309)']","[' 9388     (Average', ' 275.28 Last', ' 231434)']",[' 9068.6  '],"[' 3169     (Average Length', ' 1554.20 Splits', ' 0)']","[' 2584309  (Deleted', ' 2499207)']","[' 785      (Ratio', '   0.03%)']","[' 69708    (Ratio', '   2.70%)']","[' 2584309  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2584309  (Average', ' 229.55 Max', ' 10748 Sum', ' 593215492)']","[' 2583730  (Average', ' 229.22 Max', ' 10748 Sum', ' 592374787 Ratio', '  99.86%)']","[' 579      (Average', ' 1451.99 Max', ' 3020 Sum', ' 840705 Ratio', '   0.14%)']", ,[' 119297  '],[' 14918   '],[' 120500  '],[' 81117   '],"[' 243347   (Atom=Atom', ' 68013 Body=Body', ' 39552 Other', ' 135782)']",[' Yes'],"[' 17121    (Eliminated', '    0 Frozen', ' 17121)']","[' 7368     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.87793'],[' 0'], ,[' 466.218'],[' 0'],[' 41.8133'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20763e+09'],[' 2.00362e+09'],[' 0'],[' 1.93035e+10'],[' 0'],[' 0'],[' 1744 '],[' 3313 ']
Solving...,TA65, ,[' 1'],[' 6957+'],[' 3481'],"[' 1241.802s (Solving', ' 1214.27s 1st Model', ' 949.77s Unsat', ' 0.00s)']",[' 1247.219s'], ,[' 660343796'],"[' 3293162  (Analyzed', ' 2659836)']","[' 9224     (Average', ' 288.36 Last', ' 197678)']",[' 8902.6  '],"[' 3481     (Average Length', ' 1703.51 Splits', ' 0)']","[' 2659836  (Deleted', ' 2570280)']","[' 746      (Ratio', '   0.03%)']","[' 76254    (Ratio', '   2.87%)']","[' 2659836  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2659836  (Average', ' 238.83 Max', ' 11311 Sum', ' 635256875)']","[' 2659245  (Average', ' 238.41 Max', ' 11311 Sum', ' 634132282 Ratio', '  99.82%)']","[' 591      (Average', ' 1902.86 Max', ' 3246 Sum', ' 1124593 Ratio', '   0.18%)']", ,[' 119898  '],[' 14969   '],[' 121249  '],[' 81373   '],"[' 244115   (Atom=Atom', ' 68303 Body=Body', ' 39518 Other', ' 136294)']",[' Yes'],"[' 17320    (Eliminated', '    0 Frozen', ' 17320)']","[' 8019     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.61424'],[' 0'], ,[' 459.226'],[' 0'],[' 39.3952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51065e+09'],[' 2.29038e+09'],[' 0'],[' 1.95535e+10'],[' 0'],[' 0'],[' 1695 '],[' 3396 ']
Solving...,TA66, ,[' 1'],[' 6487+'],[' 3246'],"[' 1241.161s (Solving', ' 1216.08s 1st Model', ' 1123.63s Unsat', ' 0.00s)']",[' 1242.891s'], ,[' 656374445'],"[' 3023502  (Analyzed', ' 2727944)']","[' 9010     (Average', ' 302.77 Last', ' 256417)']",[' 8817.0  '],"[' 3246     (Average Length', ' 1591.66 Splits', ' 0)']","[' 2727944  (Deleted', ' 2636291)']","[' 780      (Ratio', '   0.03%)']","[' 75829    (Ratio', '   2.78%)']","[' 2727944  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2727944  (Average', ' 232.13 Max', ' 10393 Sum', ' 633236384)']","[' 2727346  (Average', ' 231.73 Max', ' 10108 Sum', ' 632153513 Ratio', '  99.83%)']","[' 598      (Average', ' 1810.82 Max', ' 3027 Sum', ' 1082871 Ratio', '   0.17%)']", ,[' 119996  '],[' 15080   '],[' 121190  '],[' 81688   '],"[' 245060   (Atom=Atom', ' 68458 Body=Body', ' 39678 Other', ' 136924)']",[' Yes'],"[' 17274    (Eliminated', '    0 Frozen', ' 17274)']","[' 8326     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.28156'],[' 0'], ,[' 463.983'],[' 0'],[' 39.3561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.48096e+09'],[' 2.26046e+09'],[' 0'],[' 2.02817e+10'],[' 0'],[' 0'],[' 1703 '],[' 3526 ']
Solving...,TA67, ,[' 1'],[' 6731+'],[' 3368'],"[' 1241.713s (Solving', ' 1215.08s 1st Model', ' 1091.29s Unsat', ' 0.00s)']",[' 1239.125s'], ,[' 658002878'],"[' 3259564  (Analyzed', ' 2822090)']","[' 9621     (Average', ' 293.33 Last', ' 223223)']",[' 8926.4  '],"[' 3368     (Average Length', ' 1650.66 Splits', ' 0)']","[' 2822090  (Deleted', ' 2734221)']","[' 870      (Ratio', '   0.03%)']","[' 72915    (Ratio', '   2.58%)']","[' 2822090  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2822090  (Average', ' 224.54 Max', ' 10276 Sum', ' 633665880)']","[' 2821483  (Average', ' 224.15 Max', ' 10057 Sum', ' 632580835 Ratio', '  99.83%)']","[' 607      (Average', ' 1787.55 Max', ' 3152 Sum', ' 1085045 Ratio', '   0.17%)']", ,[' 119414  '],[' 14912   '],[' 120682  '],[' 81052   '],"[' 243152   (Atom=Atom', ' 68024 Body=Body', ' 39476 Other', ' 135652)']",[' Yes'],"[' 17180    (Eliminated', '    0 Frozen', ' 17180)']","[' 8088     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.54666'],[' 0'], ,[' 468.139'],[' 0'],[' 39.2801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43893e+09'],[' 2.21535e+09'],[' 0'],[' 2.06188e+10'],[' 0'],[' 0'],[' 1811 '],[' 3466 ']
Solving...,TA68, ,[' 1'],[' 6035+'],[' 3020'],"[' 1241.223s (Solving', ' 1217.12s 1st Model', ' 1148.94s Unsat', ' 0.00s)']",[' 1238.703s'], ,[' 663084827'],"[' 3064078  (Analyzed', ' 2791970)']","[' 9229     (Average', ' 302.52 Last', ' 199934)']",[' 8879.3  '],"[' 3020     (Average Length', ' 1476.35 Splits', ' 0)']","[' 2791970  (Deleted', ' 2701559)']","[' 813      (Ratio', '   0.03%)']","[' 71464    (Ratio', '   2.56%)']","[' 2791970  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2791970  (Average', ' 229.52 Max', ' 10504 Sum', ' 640811558)']","[' 2791425  (Average', ' 229.22 Max', ' 10187 Sum', ' 639988844 Ratio', '  99.87%)']","[' 545      (Average', ' 1509.57 Max', ' 2866 Sum', ' 822714 Ratio', '   0.13%)']", ,[' 119623  '],[' 14939   '],[' 120713  '],[' 81106   '],"[' 243314   (Atom=Atom', ' 67966 Body=Body', ' 39588 Other', ' 135760)']",[' Yes'],"[' 17029    (Eliminated', '    0 Frozen', ' 17029)']","[' 7939     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.19785'],[' 0'], ,[' 468.37'],[' 0'],[' 39.7735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.49881e+09'],[' 2.27584e+09'],[' 0'],[' 2.02144e+10'],[' 0'],[' 0'],[' 1789 '],[' 3342 ']
Solving...,TA69, ,[' 1'],[' 6279+'],[' 3142'],"[' 1241.573s (Solving', ' 1215.52s 1st Model', ' 481.70s Unsat', ' 0.00s)']",[' 1238.766s'], ,[' 651371333'],"[' 3413049  (Analyzed', ' 3045375)']","[' 8758     (Average', ' 347.72 Last', ' 203026)']",[' 9018.6  '],"[' 3142     (Average Length', ' 1534.76 Splits', ' 0)']","[' 3045375  (Deleted', ' 2950124)']","[' 887      (Ratio', '   0.03%)']","[' 77012    (Ratio', '   2.53%)']","[' 3045375  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3045375  (Average', ' 206.23 Max', ' 9846 Sum', ' 628035193)']","[' 3044723  (Average', ' 205.91 Max', ' 9278 Sum', ' 627074136 Ratio', '  99.85%)']","[' 652      (Average', ' 1474.01 Max', ' 2921 Sum', ' 961057 Ratio', '   0.15%)']", ,[' 119901  '],[' 15048   '],[' 121042  '],[' 81559   '],"[' 244673   (Atom=Atom', ' 68328 Body=Body', ' 39679 Other', ' 136666)']",[' Yes'],"[' 17189    (Eliminated', '    0 Frozen', ' 17189)']","[' 8375     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.48098'],[' 0'], ,[' 473.768'],[' 0'],[' 39.2601'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39272e+09'],[' 2.18223e+09'],[' 0'],[' 2.08627e+10'],[' 0'],[' 0'],[' 1977 '],[' 3712 ']
Solving...,TA70, ,[' 1'],[' 6895+'],[' 3450'],"[' 1242.401s (Solving', ' 1214.49s 1st Model', ' 646.43s Unsat', ' 0.00s)']",[' 1239.078s'], ,[' 651528685'],"[' 3788051  (Analyzed', ' 3108875)']","[' 9153     (Average', ' 339.66 Last', ' 195738)']",[' 9033.3  '],"[' 3450     (Average Length', ' 1683.48 Splits', ' 0)']","[' 3108875  (Deleted', ' 3012188)']","[' 953      (Ratio', '   0.03%)']","[' 78562    (Ratio', '   2.53%)']","[' 3108875  (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3108875  (Average', ' 201.38 Max', ' 10021 Sum', ' 626079467)']","[' 3108305  (Average', ' 201.05 Max', ' 10021 Sum', ' 625051486 Ratio', '  99.84%)']","[' 570      (Average', ' 1803.48 Max', ' 3173 Sum', ' 1027981 Ratio', '   0.16%)']", ,[' 120565  '],[' 15077   '],[' 121988  '],[' 82078   '],"[' 246230   (Atom=Atom', ' 68796 Body=Body', ' 39730 Other', ' 137704)']",[' Yes'],"[' 17500    (Eliminated', '    0 Frozen', ' 17500)']","[' 8979     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.72293'],[' 0'], ,[' 471.18'],[' 0'],[' 38.958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.38038e+09'],[' 2.16491e+09'],[' 0'],[' 2.12353e+10'],[' 0'],[' 0'],[' 1975 '],[' 3824 ']
