Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA61, ,[' 1'],[' 6899+'],[' 3452'],"[' 902.687s (Solving', ' 868.90s 1st Model', ' 700.71s Unsat', ' 0.00s)']",[' 899.969s'], ,[' 438960043'],"[' 2213235  (Analyzed', ' 1685032)']","[' 6908     (Average', ' 243.92 Last', ' 159926)']",[' 9266.8  '],"[' 3452     (Average Length', ' 1679.79 Splits', ' 0)']","[' 1685032  (Deleted', ' 1614222)']","[' 629      (Ratio', '   0.04%)']","[' 56330    (Ratio', '   3.34%)']","[' 1685032  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1685032  (Average', ' 245.21 Max', ' 11148 Sum', ' 413190446)']","[' 1684323  (Average', ' 244.47 Max', ' 9905 Sum', ' 411946775 Ratio', '  99.70%)']","[' 709      (Average', ' 1754.12 Max', ' 3229 Sum', ' 1243671 Ratio', '   0.30%)']", ,[' 120000  '],[' 15195   '],[' 121232  '],[' 81623   '],"[' 244865   (Atom=Atom', ' 68432 Body=Body', ' 39639 Other', ' 136794)']",[' Yes'],"[' 17427    (Eliminated', '    0 Frozen', ' 17427)']","[' 6317     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.08726'],[' 0'], ,[' 332.505'],[' 0'],[' 30.373'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27961e+09'],[' 1.14853e+09'],[' 0'],[' 1.07467e+10'],[' 0'],[' 0'],[' 1839 '],[' 3564 ']
Solving...,TA62, ,[' 1'],[' 7993+'],[' 3999'],"[' 673.987s (Solving', ' 637.74s 1st Model', ' 466.47s Unsat', ' 0.00s)']",[' 672.188s'], ,[' 375813109'],"[' 1700840  (Analyzed', ' 1116849)']","[' 5959     (Average', ' 187.42 Last', ' 74774)']",[' 9506.5  '],"[' 3999     (Average Length', ' 1945.99 Splits', ' 0)']","[' 1116849  (Deleted', ' 1056092)']","[' 397      (Ratio', '   0.04%)']","[' 50815    (Ratio', '   4.55%)']","[' 1116849  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1116849  (Average', ' 309.83 Max', ' 10447 Sum', ' 346027959)']","[' 1116234  (Average', ' 308.69 Max', ' 10447 Sum', ' 344764064 Ratio', '  99.63%)']","[' 615      (Average', ' 2055.11 Max', ' 3674 Sum', ' 1263895 Ratio', '   0.37%)']", ,[' 121132  '],[' 15370   '],[' 122682  '],[' 82408   '],"[' 247220   (Atom=Atom', ' 69187 Body=Body', ' 39669 Other', ' 138364)']",[' Yes'],"[' 17920    (Eliminated', '    0 Frozen', ' 17920)']","[' 6386     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.4513'],[' 0'], ,[' 225.46'],[' 0'],[' 23.1746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07311e+09'],[' 9.73678e+08'],[' 0'],[' 6.93948e+09'],[' 0'],[' 0'],[' 1810 '],[' 3677 ']
Solving...,TA63, ,[' 1'],[' 7555+'],[' 3780'],"[' 720.756s (Solving', ' 687.10s 1st Model', ' 522.19s Unsat', ' 0.00s)']",[' 719.063s'], ,[' 390547747'],"[' 1659131  (Analyzed', ' 1285297)']","[' 5756     (Average', ' 223.30 Last', ' 156959)']",[' 9409.5  '],"[' 3780     (Average Length', ' 1825.56 Splits', ' 0)']","[' 1285297  (Deleted', ' 1218461)']","[' 542      (Ratio', '   0.04%)']","[' 52454    (Ratio', '   4.08%)']","[' 1285297  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1285297  (Average', ' 281.97 Max', ' 11150 Sum', ' 362420334)']","[' 1284696  (Average', ' 281.09 Max', ' 10052 Sum', ' 361279309 Ratio', '  99.69%)']","[' 601      (Average', ' 1898.54 Max', ' 3384 Sum', ' 1141025 Ratio', '   0.31%)']", ,[' 120275  '],[' 15146   '],[' 121625  '],[' 81423   '],"[' 244265   (Atom=Atom', ' 68388 Body=Body', ' 39483 Other', ' 136394)']",[' Yes'],"[' 17496    (Eliminated', '    0 Frozen', ' 17496)']","[' 5594     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.00611'],[' 0'], ,[' 264.975'],[' 0'],[' 24.5552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.116e+09'],[' 1.00843e+09'],[' 0'],[' 9.30962e+09'],[' 0'],[' 0'],[' 1678 '],[' 3288 ']
Solving...,TA64, ,[' 1'],[' 6265+'],[' 3135'],"[' 885.268s (Solving', ' 855.78s 1st Model', ' 694.42s Unsat', ' 0.00s)']",[' 883.297s'], ,[' 462131175'],"[' 2012079  (Analyzed', ' 1576800)']","[' 6720     (Average', ' 234.64 Last', ' 93705)']",[' 9400.9  '],"[' 3135     (Average Length', ' 1537.01 Splits', ' 0)']","[' 1576800  (Deleted', ' 1504103)']","[' 712      (Ratio', '   0.05%)']","[' 59653    (Ratio', '   3.78%)']","[' 1576800  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1576800  (Average', ' 277.55 Max', ' 10859 Sum', ' 437635259)']","[' 1576174  (Average', ' 276.99 Max', ' 10068 Sum', ' 436751100 Ratio', '  99.80%)']","[' 626      (Average', ' 1412.39 Max', ' 2911 Sum', ' 884159 Ratio', '   0.20%)']", ,[' 120413  '],[' 15258   '],[' 121512  '],[' 81905   '],"[' 245711   (Atom=Atom', ' 68527 Body=Body', ' 39826 Other', ' 137358)']",[' Yes'],"[' 17357    (Eliminated', '    0 Frozen', ' 17357)']","[' 6497     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.19773'],[' 0'], ,[' 326.636'],[' 0'],[' 30.1212'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42436e+09'],[' 1.29315e+09'],[' 0'],[' 1.14222e+10'],[' 0'],[' 0'],[' 1768 '],[' 3349 ']
Solving...,TA65, ,[' 1'],[' 6893+'],[' 3449'],"[' 781.228s (Solving', ' 750.75s 1st Model', ' 587.92s Unsat', ' 0.00s)']",[' 779.375s'], ,[' 424509417'],"[' 1805537  (Analyzed', ' 1254596)']","[' 5997     (Average', ' 209.20 Last', ' 97974)']",[' 9231.0  '],"[' 3449     (Average Length', ' 1686.17 Splits', ' 0)']","[' 1254596  (Deleted', ' 1185832)']","[' 543      (Ratio', '   0.04%)']","[' 58197    (Ratio', '   4.64%)']","[' 1254596  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1254596  (Average', ' 318.03 Max', ' 11076 Sum', ' 398997470)']","[' 1253905  (Average', ' 316.99 Max', ' 10330 Sum', ' 397699579 Ratio', '  99.67%)']","[' 691      (Average', ' 1878.28 Max', ' 3182 Sum', ' 1297891 Ratio', '   0.33%)']", ,[' 120596  '],[' 15264   '],[' 121772  '],[' 81788   '],"[' 245360   (Atom=Atom', ' 68569 Body=Body', ' 39667 Other', ' 137124)']",[' Yes'],"[' 17440    (Eliminated', '    0 Frozen', ' 17440)']","[' 5469     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.34307'],[' 0'], ,[' 297.538'],[' 0'],[' 26.7487'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25786e+09'],[' 1.14739e+09'],[' 0'],[' 1.16186e+10'],[' 0'],[' 0'],[' 1719 '],[' 3436 ']
Solving...,TA66, ,[' 1'],[' 6811+'],[' 3408'],"[' 1239.973s (Solving', ' 1210.20s 1st Model', ' 1049.50s Unsat', ' 0.00s)']",[' 1236.453s'], ,[' 594022801'],"[' 2669456  (Analyzed', ' 2260292)']","[' 8131     (Average', ' 277.98 Last', ' 107751)']",[' 9060.4  '],"[' 3408     (Average Length', ' 1669.33 Splits', ' 0)']","[' 2260292  (Deleted', ' 2176631)']","[' 747      (Ratio', '   0.03%)']","[' 71601    (Ratio', '   3.17%)']","[' 2260292  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2260292  (Average', ' 251.79 Max', ' 10958 Sum', ' 569111066)']","[' 2259681  (Average', ' 251.30 Max', ' 9956 Sum', ' 568007835 Ratio', '  99.81%)']","[' 611      (Average', ' 1805.62 Max', ' 3151 Sum', ' 1103231 Ratio', '   0.19%)']", ,[' 120777  '],[' 15345   '],[' 121969  '],[' 82216   '],"[' 246644   (Atom=Atom', ' 68864 Body=Body', ' 39800 Other', ' 137980)']",[' Yes'],"[' 17537    (Eliminated', '    0 Frozen', ' 17537)']","[' 7551     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.20947'],[' 0'], ,[' 451.491'],[' 0'],[' 39.6349'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13786e+09'],[' 1.9476e+09'],[' 0'],[' 1.60529e+10'],[' 0'],[' 0'],[' 1710 '],[' 3480 ']
Solving...,TA67, ,[' 1'],[' 7095+'],[' 3550'],"[' 882.314s (Solving', ' 847.84s 1st Model', ' 681.10s Unsat', ' 0.00s)']",[' 879.250s'], ,[' 427166143'],"[' 1850662  (Analyzed', ' 1393888)']","[' 6338     (Average', ' 219.93 Last', ' 115956)']",[' 9227.2  '],"[' 3550     (Average Length', ' 1734.40 Splits', ' 0)']","[' 1393888  (Deleted', ' 1326194)']","[' 573      (Ratio', '   0.04%)']","[' 57475    (Ratio', '   4.12%)']","[' 1393888  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1393888  (Average', ' 287.65 Max', ' 10173 Sum', ' 400951954)']","[' 1393262  (Average', ' 286.85 Max', ' 9837 Sum', ' 399837818 Ratio', '  99.72%)']","[' 626      (Average', ' 1779.77 Max', ' 3231 Sum', ' 1114136 Ratio', '   0.28%)']", ,[' 120094  '],[' 15224   '],[' 121279  '],[' 81432   '],"[' 244292   (Atom=Atom', ' 68338 Body=Body', ' 39542 Other', ' 136412)']",[' Yes'],"[' 17409    (Eliminated', '    0 Frozen', ' 17409)']","[' 6718     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.13456'],[' 0'], ,[' 316.554'],[' 0'],[' 29.1729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28748e+09'],[' 1.16813e+09'],[' 0'],[' 9.77538e+09'],[' 0'],[' 0'],[' 1833 '],[' 3480 ']
Solving...,TA68, ,[' 1'],[' 6291+'],[' 3148'],"[' 762.988s (Solving', ' 731.92s 1st Model', ' 564.98s Unsat', ' 0.00s)']",[' 760.828s'], ,[' 388270411'],"[' 1870092  (Analyzed', ' 1223765)']","[' 5764     (Average', ' 212.31 Last', ' 103298)']",[' 9197.8  '],"[' 3148     (Average Length', ' 1533.36 Splits', ' 0)']","[' 1223765  (Deleted', ' 1159437)']","[' 472      (Ratio', '   0.04%)']","[' 53151    (Ratio', '   4.34%)']","[' 1223765  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1223765  (Average', ' 297.64 Max', ' 10667 Sum', ' 364235463)']","[' 1223089  (Average', ' 296.83 Max', ' 9554 Sum', ' 363245575 Ratio', '  99.73%)']","[' 676      (Average', ' 1464.33 Max', ' 2974 Sum', ' 989888 Ratio', '   0.27%)']", ,[' 120228  '],[' 15251   '],[' 121157  '],[' 81411   '],"[' 244229   (Atom=Atom', ' 68212 Body=Body', ' 39647 Other', ' 136370)']",[' Yes'],"[' 17180    (Eliminated', '    0 Frozen', ' 17180)']","[' 6488     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.40186'],[' 0'], ,[' 273.652'],[' 0'],[' 26.1065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12232e+09'],[' 1.01872e+09'],[' 0'],[' 8.29725e+09'],[' 0'],[' 0'],[' 1807 '],[' 3457 ']
Solving...,TA69, ,[' 1'],[' 6079+'],[' 3042'],"[' 749.764s (Solving', ' 717.31s 1st Model', ' 540.09s Unsat', ' 0.00s)']",[' 746.219s'], ,[' 348730893'],"[' 1882090  (Analyzed', ' 957976)']","[' 4813     (Average', ' 199.04 Last', ' 90370)']",[' 9424.7  '],"[' 3042     (Average Length', ' 1490.82 Splits', ' 0)']","[' 957976   (Deleted', ' 898359)']","[' 526      (Ratio', '   0.05%)']","[' 50731    (Ratio', '   5.30%)']","[' 957976   (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 957976   (Average', ' 338.62 Max', ' 10855 Sum', ' 324392589)']","[' 957308   (Average', ' 337.61 Max', ' 10855 Sum', ' 323422370 Ratio', '  99.70%)']","[' 668      (Average', ' 1452.42 Max', ' 2832 Sum', ' 970219 Ratio', '   0.30%)']", ,[' 120685  '],[' 15320   '],[' 121676  '],[' 82083   '],"[' 246245   (Atom=Atom', ' 68644 Body=Body', ' 39887 Other', ' 137714)']",[' Yes'],"[' 17311    (Eliminated', '    0 Frozen', ' 17311)']","[' 5474     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.70392'],[' 0'], ,[' 285.837'],[' 0'],[' 25.5171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.22154e+08'],[' 8.39334e+08'],[' 0'],[' 8.57035e+09'],[' 0'],[' 0'],[' 1979 '],[' 3700 ']
Solving...,TA70, ,[' 1'],[' 6541+'],[' 3273'],"[' 481.783s (Solving', ' 447.61s 1st Model', ' 282.94s Unsat', ' 0.00s)']",[' 480.469s'], ,[' 250654609'],"[' 873935   (Analyzed', ' 581044)']","[' 3506     (Average', ' 165.73 Last', ' 63701)']",[' 9454.9  '],"[' 3273     (Average Length', ' 1602.96 Splits', ' 0)']","[' 581044   (Deleted', ' 533636)']","[' 452      (Ratio', '   0.08%)']","[' 38109    (Ratio', '   6.56%)']","[' 581044   (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 581044   (Average', ' 388.77 Max', ' 10616 Sum', ' 225890730)']","[' 580306   (Average', ' 386.48 Max', ' 10430 Sum', ' 224560206 Ratio', '  99.41%)']","[' 738      (Average', ' 1802.88 Max', ' 3056 Sum', ' 1330524 Ratio', '   0.59%)']", ,[' 120789  '],[' 15364   '],[' 121816  '],[' 82027   '],"[' 246077   (Atom=Atom', ' 68703 Body=Body', ' 39772 Other', ' 137602)']",[' Yes'],"[' 17391    (Eliminated', '    0 Frozen', ' 17391)']","[' 3915     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.02142'],[' 0'], ,[' 177.539'],[' 0'],[' 17.5348'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.39353e+08'],[' 4.89102e+08'],[' 0'],[' 5.12175e+09'],[' 0'],[' 0'],[' 1985 '],[' 3861 ']
