Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA51, ,[' 1'],[' 4563+'],[' 2284'],"[' 496.337s (Solving', ' 477.93s 1st Model', ' 430.73s Unsat', ' 0.00s)']",[' 494.656s'], ,[' 255305283'],"[' 1715556  (Analyzed', ' 1236675)']","[' 4989     (Average', ' 247.88 Last', ' 250612)']",[' 6665.6  '],"[' 2284     (Average Length', ' 1125.54 Splits', ' 0)']","[' 1236675  (Deleted', ' 1168976)']","[' 495      (Ratio', '   0.04%)']","[' 51113    (Ratio', '   4.13%)']","[' 1236675  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1236675  (Average', ' 196.17 Max', ' 7593 Sum', ' 242593493)']","[' 1236129  (Average', ' 195.64 Max', ' 7415 Sum', ' 241944298 Ratio', '  99.73%)']","[' 546      (Average', ' 1189.00 Max', ' 2193 Sum', ' 649195 Ratio', '   0.27%)']", ,[' 91397   '],[' 11886   '],[' 91809   '],[' 61683   '],"[' 185045   (Atom=Atom', ' 51593 Body=Body', ' 29913 Other', ' 103539)']",[' Yes'],"[' 13048    (Eliminated', '    0 Frozen', ' 13048)']","[' 5775     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.37426'],[' 0'], ,[' 188.948'],[' 0'],[' 15.711'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.13429e+08'],[' 7.3977e+08'],[' 0'],[' 7.65565e+09'],[' 0'],[' 0'],[' 1687 '],[' 3461 ']
Solving...,TA52, ,[' 1'],[' 4001+'],[' 2003'],"[' 495.650s (Solving', ' 479.68s 1st Model', ' 197.40s Unsat', ' 0.00s)']",[' 493.594s'], ,[' 259105461'],"[' 1917815  (Analyzed', ' 1603865)']","[' 5081     (Average', ' 315.66 Last', ' 120213)']",[' 6879.1  '],"[' 2003     (Average Length', ' 981.73 Splits', ' 0)']","[' 1603865  (Deleted', ' 1538342)']","[' 725      (Ratio', '   0.05%)']","[' 51980    (Ratio', '   3.24%)']","[' 1603865  (Average Length', '   27.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1603865  (Average', ' 154.12 Max', ' 8009 Sum', ' 247183849)']","[' 1603416  (Average', ' 153.86 Max', ' 7231 Sum', ' 246763884 Ratio', '  99.83%)']","[' 449      (Average', ' 935.33 Max', ' 1897 Sum', ' 419965 Ratio', '   0.17%)']", ,[' 91176   '],[' 11940   '],[' 91432   '],[' 62040   '],"[' 186116   (Atom=Atom', ' 51758 Body=Body', ' 30105 Other', ' 104253)']",[' Yes'],"[' 12946    (Eliminated', '    0 Frozen', ' 12946)']","[' 5475     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03683'],[' 0'], ,[' 190.665'],[' 0'],[' 15.9823'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.77777e+08'],[' 6.98604e+08'],[' 0'],[' 7.51152e+09'],[' 0'],[' 0'],[' 1867 '],[' 3435 ']
Solving...,TA53, ,[' 1'],[' 4891+'],[' 2448'],"[' 495.948s (Solving', ' 476.65s 1st Model', ' 430.25s Unsat', ' 0.00s)']",[' 502.641s'], ,[' 260218281'],"[' 2166794  (Analyzed', ' 1197724)']","[' 5248     (Average', ' 228.22 Last', ' 188183)']",[' 6883.2  '],"[' 2448     (Average Length', ' 1206.80 Splits', ' 0)']","[' 1197724  (Deleted', ' 1135646)']","[' 594      (Ratio', '   0.05%)']","[' 48571    (Ratio', '   4.06%)']","[' 1197724  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1197724  (Average', ' 205.16 Max', ' 8115 Sum', ' 245726367)']","[' 1197201  (Average', ' 204.63 Max', ' 7568 Sum', ' 245087895 Ratio', '  99.74%)']","[' 523      (Average', ' 1220.79 Max', ' 2344 Sum', ' 638472 Ratio', '   0.26%)']", ,[' 91000   '],[' 11700   '],[' 91784   '],[' 61812   '],"[' 185432   (Atom=Atom', ' 51673 Body=Body', ' 29962 Other', ' 103797)']",[' Yes'],"[' 13234    (Eliminated', '    0 Frozen', ' 13234)']","[' 5375     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.61313'],[' 0'], ,[' 186.553'],[' 0'],[' 16.0409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36855e+08'],[' 7.57024e+08'],[' 0'],[' 7.13647e+09'],[' 0'],[' 0'],[' 1509 '],[' 3215 ']
Solving...,TA54, ,[' 1'],[' 4499+'],[' 2252'],"[' 496.030s (Solving', ' 478.78s 1st Model', ' 437.95s Unsat', ' 0.00s)']",[' 494.516s'], ,[' 260384552'],"[' 1378751  (Analyzed', ' 1195236)']","[' 4536     (Average', ' 263.50 Last', ' 210501)']",[' 6595.1  '],"[' 2252     (Average Length', ' 1099.01 Splits', ' 0)']","[' 1195236  (Deleted', ' 1130898)']","[' 526      (Ratio', '   0.04%)']","[' 53039    (Ratio', '   4.44%)']","[' 1195236  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1195236  (Average', ' 207.69 Max', ' 7724 Sum', ' 248243809)']","[' 1194720  (Average', ' 207.18 Max', ' 7538 Sum', ' 247632545 Ratio', '  99.75%)']","[' 516      (Average', ' 1184.62 Max', ' 2125 Sum', ' 611264 Ratio', '   0.25%)']", ,[' 90836   '],[' 11863   '],[' 91171   '],[' 61541   '],"[' 184619   (Atom=Atom', ' 51471 Body=Body', ' 29893 Other', ' 103255)']",[' Yes'],"[' 12948    (Eliminated', '    0 Frozen', ' 12948)']","[' 5887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.27795'],[' 0'], ,[' 180.523'],[' 0'],[' 16.1784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.33646e+08'],[' 7.57686e+08'],[' 0'],[' 6.67869e+09'],[' 0'],[' 0'],[' 1617 '],[' 3441 ']
Solving...,TA55, ,[' 1'],[' 4117+'],[' 2061'],"[' 495.856s (Solving', ' 480.03s 1st Model', ' 250.76s Unsat', ' 0.01s)']",[' 493.891s'], ,[' 254412123'],"[' 1573126  (Analyzed', ' 1299299)']","[' 4530     (Average', ' 286.82 Last', ' 85471)']",[' 6622.3  '],"[' 2061     (Average Length', ' 1016.09 Splits', ' 0)']","[' 1299299  (Deleted', ' 1232062)']","[' 631      (Ratio', '   0.05%)']","[' 53534    (Ratio', '   4.12%)']","[' 1299299  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1299299  (Average', ' 187.01 Max', ' 7558 Sum', ' 242988198)']","[' 1298766  (Average', ' 186.56 Max', ' 7558 Sum', ' 242391448 Ratio', '  99.75%)']","[' 533      (Average', ' 1119.61 Max', ' 5027 Sum', ' 596750 Ratio', '   0.25%)']", ,[' 90644   '],[' 11873   '],[' 90917   '],[' 61691   '],"[' 185069   (Atom=Atom', ' 51512 Body=Body', ' 30002 Other', ' 103555)']",[' Yes'],"[' 12896    (Eliminated', '    0 Frozen', ' 12896)']","[' 5783     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.94986'],[' 0'], ,[' 181.061'],[' 0'],[' 15.7522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.24067e+08'],[' 7.45649e+08'],[' 0'],[' 6.66817e+09'],[' 0'],[' 0'],[' 1762 '],[' 3366 ']
Solving...,TA56, ,[' 1'],[' 4611+'],[' 2308'],"[' 496.289s (Solving', ' 477.57s 1st Model', ' 224.23s Unsat', ' 0.00s)']",[' 494.203s'], ,[' 258644879'],"[' 2328156  (Analyzed', ' 2072154)']","[' 5654     (Average', ' 366.49 Last', ' 95162)']",[' 6750.8  '],"[' 2308     (Average Length', ' 1129.09 Splits', ' 0)']","[' 2072154  (Deleted', ' 2000410)']","[' 604      (Ratio', '   0.03%)']","[' 49644    (Ratio', '   2.40%)']","[' 2072154  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2072154  (Average', ' 118.58 Max', ' 7752 Sum', ' 245721018)']","[' 2071661  (Average', ' 118.32 Max', ' 7335 Sum', ' 245175196 Ratio', '  99.78%)']","[' 493      (Average', ' 1107.14 Max', ' 2019 Sum', ' 545822 Ratio', '   0.22%)']", ,[' 90587   '],[' 11783   '],[' 90934   '],[' 61178   '],"[' 183530   (Atom=Atom', ' 51211 Body=Body', ' 29790 Other', ' 102529)']",[' Yes'],"[' 12880    (Eliminated', '    0 Frozen', ' 12880)']","[' 5420     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55003'],[' 0'], ,[' 193.912'],[' 0'],[' 16.297'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.46395e+08'],[' 6.67094e+08'],[' 0'],[' 7.51979e+09'],[' 0'],[' 0'],[' 1903 '],[' 3419 ']
Solving...,TA57, ,[' 1'],[' 4131+'],[' 2068'],"[' 495.881s (Solving', ' 479.68s 1st Model', ' 169.56s Unsat', ' 0.00s)']",[' 493.656s'], ,[' 257217257'],"[' 1923035  (Analyzed', ' 1541952)']","[' 4934     (Average', ' 312.52 Last', ' 86087)']",[' 6812.7  '],"[' 2068     (Average Length', ' 1019.58 Splits', ' 0)']","[' 1541952  (Deleted', ' 1476322)']","[' 808      (Ratio', '   0.05%)']","[' 51185    (Ratio', '   3.32%)']","[' 1541952  (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1541952  (Average', ' 158.98 Max', ' 7745 Sum', ' 245135006)']","[' 1541436  (Average', ' 158.66 Max', ' 7058 Sum', ' 244646009 Ratio', '  99.80%)']","[' 516      (Average', ' 947.67 Max', ' 2001 Sum', ' 488997 Ratio', '   0.20%)']", ,[' 90859   '],[' 11842   '],[' 91151   '],[' 61535   '],"[' 184601   (Atom=Atom', ' 51401 Body=Body', ' 29957 Other', ' 103243)']",[' Yes'],"[' 12884    (Eliminated', '    0 Frozen', ' 12884)']","[' 5982     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.12887'],[' 0'], ,[' 192.906'],[' 0'],[' 16.1025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.97659e+08'],[' 7.24916e+08'],[' 0'],[' 7.82456e+09'],[' 0'],[' 0'],[' 1981 '],[' 3678 ']
Solving...,TA58, ,[' 1'],[' 4857+'],[' 2431'],"[' 496.638s (Solving', ' 477.83s 1st Model', ' 255.33s Unsat', ' 0.00s)']",[' 494.656s'], ,[' 263894633'],"[' 1657168  (Analyzed', ' 1235681)']","[' 4592     (Average', ' 269.09 Last', ' 211914)']",[' 6885.7  '],"[' 2431     (Average Length', ' 1183.81 Splits', ' 0)']","[' 1235681  (Deleted', ' 1170070)']","[' 647      (Ratio', '   0.05%)']","[' 52341    (Ratio', '   4.24%)']","[' 1235681  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1235681  (Average', ' 202.36 Max', ' 8106 Sum', ' 250046677)']","[' 1235168  (Average', ' 201.85 Max', ' 7813 Sum', ' 249416503 Ratio', '  99.75%)']","[' 513      (Average', ' 1228.41 Max', ' 2265 Sum', ' 630174 Ratio', '   0.25%)']", ,[' 91705   '],[' 11906   '],[' 92386   '],[' 62559   '],"[' 187673   (Atom=Atom', ' 52234 Body=Body', ' 30148 Other', ' 105291)']",[' Yes'],"[' 13337    (Eliminated', '    0 Frozen', ' 13337)']","[' 5987     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.53377'],[' 0'], ,[' 177.252'],[' 0'],[' 16.1776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.33847e+08'],[' 7.58678e+08'],[' 0'],[' 6.25272e+09'],[' 0'],[' 0'],[' 1830 '],[' 3509 ']
Solving...,TA59, ,[' 1'],[' 4313+'],[' 2159'],"[' 495.830s (Solving', ' 478.33s 1st Model', ' 349.56s Unsat', ' 0.00s)']",[' 493.313s'], ,[' 252320143'],"[' 1676988  (Analyzed', ' 1192661)']","[' 4492     (Average', ' 265.51 Last', ' 104712)']",[' 6718.2  '],"[' 2159     (Average Length', ' 1061.96 Splits', ' 0)']","[' 1192661  (Deleted', ' 1125525)']","[' 575      (Ratio', '   0.05%)']","[' 52342    (Ratio', '   4.39%)']","[' 1192661  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1192661  (Average', ' 201.14 Max', ' 7947 Sum', ' 239886803)']","[' 1192227  (Average', ' 200.74 Max', ' 7673 Sum', ' 239419112 Ratio', '  99.81%)']","[' 434      (Average', ' 1077.63 Max', ' 2020 Sum', ' 467691 Ratio', '   0.19%)']", ,[' 90409   '],[' 11812   '],[' 90786   '],[' 61587   '],"[' 184757   (Atom=Atom', ' 51446 Body=Body', ' 29964 Other', ' 103347)']",[' Yes'],"[' 12939    (Eliminated', '    0 Frozen', ' 12939)']","[' 5651     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.35532'],[' 0'], ,[' 178.801'],[' 0'],[' 15.9138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.02576e+08'],[' 7.28413e+08'],[' 0'],[' 6.24287e+09'],[' 0'],[' 0'],[' 1642 '],[' 3352 ']
Solving...,TA60, ,[' 1'],[' 4397+'],[' 2201'],"[' 496.000s (Solving', ' 479.79s 1st Model', ' 365.15s Unsat', ' 0.00s)']",[' 494.000s'], ,[' 259532434'],"[' 1332441  (Analyzed', ' 1153899)']","[' 4366     (Average', ' 264.29 Last', ' 149600)']",[' 6606.4  '],"[' 2201     (Average Length', ' 1082.43 Splits', ' 0)']","[' 1153899  (Deleted', ' 1091796)']","[' 587      (Ratio', '   0.05%)']","[' 50436    (Ratio', '   4.37%)']","[' 1153899  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1153899  (Average', ' 214.57 Max', ' 8091 Sum', ' 247590745)']","[' 1153419  (Average', ' 214.05 Max', ' 8091 Sum', ' 246996533 Ratio', '  99.76%)']","[' 480      (Average', ' 1237.94 Max', ' 2029 Sum', ' 594212 Ratio', '   0.24%)']", ,[' 90541   '],[' 11790   '],[' 90970   '],[' 61601   '],"[' 184799   (Atom=Atom', ' 51464 Body=Body', ' 29960 Other', ' 103375)']",[' Yes'],"[' 12969    (Eliminated', '    0 Frozen', ' 12969)']","[' 5599     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.12253'],[' 0'], ,[' 177.478'],[' 0'],[' 16.1735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38543e+08'],[' 7.60551e+08'],[' 0'],[' 6.13583e+09'],[' 0'],[' 0'],[' 1619 '],[' 3251 ']
