Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA41, ,[' 1'],[' 3269+'],[' 1637'],"[' 539.404s (Solving', ' 532.53s 1st Model', ' 400.02s Unsat', ' 0.00s)']",[' 536.219s'], ,[' 207399798'],"[' 4525654  (Analyzed', ' 4322450)']","[' 12275    (Average', ' 352.13 Last', ' 304034)']",[' 3850.7  '],"[' 1637     (Average Length', ' 806.35 Splits', ' 0)']","[' 4322450  (Deleted', ' 4284105)']","[' 600      (Ratio', '   0.01%)']","[' 19088    (Ratio', '   0.44%)']","[' 4322450  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4322450  (Average', ' 46.73 Max', ' 4453 Sum', ' 201985336)']","[' 4322230  (Average', ' 46.69 Max', ' 4453 Sum', ' 201827838 Ratio', '  99.92%)']","[' 220      (Average', ' 715.90 Max', ' 1578 Sum', ' 157498 Ratio', '   0.08%)']", ,[' 48442   '],[' 6324    '],[' 48705   '],[' 30945   '],"[' 92831    (Atom=Atom', ' 25935 Body=Body', ' 14878 Other', ' 52018)']",[' Yes'],"[' 7187     (Eliminated', '    0 Frozen', ' 7187)']","[' 1675     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65367'],[' 0'], ,[' 285.172'],[' 0'],[' 15.6239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.44512e+08'],[' 6.3498e+08'],[' 0'],[' 1.46644e+10'],[' 0'],[' 0'],[' 1162 '],[' 2365 ']
Solving...,TA42, ,[' 1'],[' 3401+'],[' 1703'],"[' 426.551s (Solving', ' 420.34s 1st Model', ' 288.73s Unsat', ' 0.00s)']",[' 424.813s'], ,[' 158137799'],"[' 4401461  (Analyzed', ' 4264247)']","[' 11171    (Average', ' 381.72 Last', ' 210246)']",[' 3804.6  '],"[' 1703     (Average Length', ' 835.09 Splits', ' 0)']","[' 4264247  (Deleted', ' 4221347)']","[' 550      (Ratio', '   0.01%)']","[' 15216    (Ratio', '   0.36%)']","[' 4264247  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4264247  (Average', ' 35.84 Max', ' 4480 Sum', ' 152815286)']","[' 4264044  (Average', ' 35.79 Max', ' 4332 Sum', ' 152637017 Ratio', '  99.88%)']","[' 203      (Average', ' 878.17 Max', ' 1599 Sum', ' 178269 Ratio', '   0.12%)']", ,[' 48162   '],[' 6240    '],[' 48506   '],[' 30791   '],"[' 92369    (Atom=Atom', ' 25817 Body=Body', ' 14842 Other', ' 51710)']",[' Yes'],"[' 7184     (Eliminated', '    0 Frozen', ' 7184)']","[' 1378     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5942'],[' 0'], ,[' 249.404'],[' 0'],[' 12.0435'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97506e+08'],[' 4.16735e+08'],[' 0'],[' 1.49116e+10'],[' 0'],[' 0'],[' 1319 '],[' 2333 ']
Solving...,TA43, ,[' 1'],[' 4161+'],[' 2083'],"[' 616.056s (Solving', ' 607.13s 1st Model', ' 465.92s Unsat', ' 0.00s)']",[' 614.250s'], ,[' 241244941'],"[' 6481621  (Analyzed', ' 5679293)']","[' 16277    (Average', ' 348.92 Last', ' 587709)']",[' 4088.8  '],"[' 2083     (Average Length', ' 1019.89 Splits', ' 0)']","[' 5679293  (Deleted', ' 5635503)']","[' 710      (Ratio', '   0.01%)']","[' 18421    (Ratio', '   0.32%)']","[' 5679293  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5679293  (Average', ' 41.15 Max', ' 4338 Sum', ' 233688856)']","[' 5679095  (Average', ' 41.12 Max', ' 4095 Sum', ' 233518954 Ratio', '  99.93%)']","[' 198      (Average', ' 858.09 Max', ' 1957 Sum', ' 169902 Ratio', '   0.07%)']", ,[' 48640   '],[' 6277    '],[' 49360   '],[' 31416   '],"[' 94244    (Atom=Atom', ' 26373 Body=Body', ' 14911 Other', ' 52960)']",[' Yes'],"[' 7597     (Eliminated', '    0 Frozen', ' 7597)']","[' 1867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.05295'],[' 0'], ,[' 335.256'],[' 0'],[' 17.3856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.58989e+08'],[' 7.27256e+08'],[' 0'],[' 1.89983e+10'],[' 0'],[' 0'],[' 1069 '],[' 2175 ']
Solving...,TA44, ,[' 1'],[' 3555+'],[' 1780'],"[' 578.701s (Solving', ' 572.02s 1st Model', ' 438.90s Unsat', ' 0.00s)']",[' 577.453s'], ,[' 227229067'],"[' 4989141  (Analyzed', ' 4677550)']","[' 12509    (Average', ' 373.93 Last', ' 421893)']",[' 3927.7  '],"[' 1780     (Average Length', ' 872.66 Splits', ' 0)']","[' 4677550  (Deleted', ' 4635069)']","[' 746      (Ratio', '   0.02%)']","[' 19015    (Ratio', '   0.41%)']","[' 4677550  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4677550  (Average', ' 47.30 Max', ' 4757 Sum', ' 221242329)']","[' 4677331  (Average', ' 47.26 Max', ' 4217 Sum', ' 221068847 Ratio', '  99.92%)']","[' 219      (Average', ' 792.16 Max', ' 1523 Sum', ' 173482 Ratio', '   0.08%)']", ,[' 48201   '],[' 6242    '],[' 48738   '],[' 31258   '],"[' 93770    (Atom=Atom', ' 26160 Body=Body', ' 14966 Other', ' 52644)']",[' Yes'],"[' 7379     (Eliminated', '    0 Frozen', ' 7379)']","[' 1500     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54809'],[' 0'], ,[' 325.471'],[' 0'],[' 16.2417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.22863e+08'],[' 7.02314e+08'],[' 0'],[' 1.97654e+10'],[' 0'],[' 0'],[' 1266 '],[' 2345 ']
Solving...,TA45, ,[' 1'],[' 3815+'],[' 1910'],"[' 481.167s (Solving', ' 474.30s 1st Model', ' 342.27s Unsat', ' 0.00s)']",[' 480.000s'], ,[' 193277481'],"[' 4226575  (Analyzed', ' 4010086)']","[' 10270    (Average', ' 390.47 Last', ' 326658)']",[' 3910.1  '],"[' 1910     (Average Length', ' 935.16 Splits', ' 0)']","[' 4010086  (Deleted', ' 3963815)']","[' 650      (Ratio', '   0.02%)']","[' 17071    (Ratio', '   0.43%)']","[' 4010086  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4010086  (Average', ' 46.70 Max', ' 4512 Sum', ' 187290169)']","[' 4009819  (Average', ' 46.64 Max', ' 4102 Sum', ' 187036919 Ratio', '  99.86%)']","[' 267      (Average', ' 948.50 Max', ' 1775 Sum', ' 253250 Ratio', '   0.14%)']", ,[' 48152   '],[' 6284    '],[' 48693   '],[' 31235   '],"[' 93701    (Atom=Atom', ' 26206 Body=Body', ' 14897 Other', ' 52598)']",[' Yes'],"[' 7425     (Eliminated', '    0 Frozen', ' 7425)']","[' 1504     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6069'],[' 0'], ,[' 271.63'],[' 0'],[' 14.0983'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.89599e+08'],[' 5.90528e+08'],[' 0'],[' 1.65567e+10'],[' 0'],[' 0'],[' 1268 '],[' 2339 ']
Solving...,TA46, ,[' 1'],[' 3739+'],[' 1872'],"[' 1036.957s (Solving', ' 1029.54s 1st Model', ' 896.65s Unsat', ' 0.00s)']",[' 1034.938s'], ,[' 385154745'],"[' 10556746 (Analyzed', ' 10365462)']","[' 25502    (Average', ' 406.46 Last', ' 458597)']",[' 3875.5  '],"[' 1872     (Average Length', ' 918.12 Splits', ' 0)']","[' 10365462 (Deleted', ' 10286090)']","[' 789      (Ratio', '   0.01%)']","[' 21143    (Ratio', '   0.20%)']","[' 10365462 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10365462 (Average', ' 36.54 Max', ' 4196 Sum', ' 378803652)']","[' 10365273 (Average', ' 36.53 Max', ' 3944 Sum', ' 378653005 Ratio', '  99.96%)']","[' 189      (Average', ' 797.07 Max', ' 1716 Sum', ' 150647 Ratio', '   0.04%)']", ,[' 48355   '],[' 6311    '],[' 48817   '],[' 31125   '],"[' 93371    (Atom=Atom', ' 26128 Body=Body', ' 14865 Other', ' 52378)']",[' Yes'],"[' 7373     (Eliminated', '    0 Frozen', ' 7373)']","[' 2029     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69664'],[' 0'], ,[' 590.341'],[' 0'],[' 28.9421'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46646e+09'],[' 1.24791e+09'],[' 0'],[' 3.64623e+10'],[' 0'],[' 0'],[' 1370 '],[' 2370 ']
Solving...,TA47, ,[' 1'],[' 3853+'],[' 1929'],"[' 667.817s (Solving', ' 660.65s 1st Model', ' 523.93s Unsat', ' 0.00s)']",[' 666.672s'], ,[' 251736136'],"[' 6460339  (Analyzed', ' 5926072)']","[' 15682    (Average', ' 377.89 Last', ' 328916)']",[' 4001.4  '],"[' 1929     (Average Length', ' 942.51 Splits', ' 0)']","[' 5926072  (Deleted', ' 5874929)']","[' 633      (Ratio', '   0.01%)']","[' 16557    (Ratio', '   0.28%)']","[' 5926072  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5926072  (Average', ' 41.34 Max', ' 4619 Sum', ' 244961080)']","[' 5925891  (Average', ' 41.31 Max', ' 3991 Sum', ' 244805930 Ratio', '  99.94%)']","[' 181      (Average', ' 857.18 Max', ' 1810 Sum', ' 155150 Ratio', '   0.06%)']", ,[' 48374   '],[' 6257    '],[' 48920   '],[' 31082   '],"[' 93242    (Atom=Atom', ' 26117 Body=Body', ' 14833 Other', ' 52292)']",[' Yes'],"[' 7403     (Eliminated', '    0 Frozen', ' 7403)']","[' 1478     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7372'],[' 0'], ,[' 396.563'],[' 0'],[' 18.8656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.93859e+08'],[' 7.59892e+08'],[' 0'],[' 2.45691e+10'],[' 0'],[' 0'],[' 1222 '],[' 2271 ']
Solving...,TA48, ,[' 1'],[' 3293+'],[' 1649'],"[' 394.584s (Solving', ' 388.51s 1st Model', ' 257.45s Unsat', ' 0.00s)']",[' 393.672s'], ,[' 148825814'],"[' 4225056  (Analyzed', ' 4032256)']","[' 10568    (Average', ' 381.55 Last', ' 368993)']",[' 3867.4  '],"[' 1649     (Average Length', ' 809.35 Splits', ' 0)']","[' 4032256  (Deleted', ' 3982119)']","[' 536      (Ratio', '   0.01%)']","[' 16694    (Ratio', '   0.41%)']","[' 4032256  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4032256  (Average', ' 35.58 Max', ' 4406 Sum', ' 143454270)']","[' 4032032  (Average', ' 35.54 Max', ' 3837 Sum', ' 143290909 Ratio', '  99.89%)']","[' 224      (Average', ' 729.29 Max', ' 1575 Sum', ' 163361 Ratio', '   0.11%)']", ,[' 48072   '],[' 6286    '],[' 48377   '],[' 30913   '],"[' 92735    (Atom=Atom', ' 25899 Body=Body', ' 14882 Other', ' 51954)']",[' Yes'],"[' 7191     (Eliminated', '    0 Frozen', ' 7191)']","[' 1641     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48061'],[' 0'], ,[' 238.373'],[' 0'],[' 10.8749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.53053e+08'],[' 3.78719e+08'],[' 0'],[' 1.51313e+10'],[' 0'],[' 0'],[' 1407 '],[' 2406 ']
Solving...,TA49, ,[' 1'],[' 3193+'],[' 1599'],"[' 289.209s (Solving', ' 283.01s 1st Model', ' 153.55s Unsat', ' 0.00s)']",[' 288.625s'], ,[' 130310111'],"[' 2466527  (Analyzed', ' 2335473)']","[' 6617     (Average', ' 352.95 Last', ' 131054)']",[' 3776.1  '],"[' 1599     (Average Length', ' 785.92 Splits', ' 0)']","[' 2335473  (Deleted', ' 2300358)']","[' 674      (Ratio', '   0.03%)']","[' 18698    (Ratio', '   0.80%)']","[' 2335473  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2335473  (Average', ' 53.68 Max', ' 4758 Sum', ' 125365201)']","[' 2335247  (Average', ' 53.60 Max', ' 4032 Sum', ' 125186032 Ratio', '  99.86%)']","[' 226      (Average', ' 792.78 Max', ' 1511 Sum', ' 179169 Ratio', '   0.14%)']", ,[' 48318   '],[' 6306    '],[' 48621   '],[' 31093   '],"[' 93275    (Atom=Atom', ' 26017 Body=Body', ' 14944 Other', ' 52314)']",[' Yes'],"[' 7209     (Eliminated', '    0 Frozen', ' 7209)']","[' 1691     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38043'],[' 0'], ,[' 151.202'],[' 0'],[' 8.59171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35996e+08'],[' 3.75432e+08'],[' 0'],[' 8.66912e+09'],[' 0'],[' 0'],[' 1314 '],[' 2400 ']
Solving...,TA50, ,[' 1'],[' 4025+'],[' 2015'],"[' 395.950s (Solving', ' 388.40s 1st Model', ' 251.89s Unsat', ' 0.00s)']",[' 394.969s'], ,[' 166590900'],"[' 5180830  (Analyzed', ' 4693411)']","[' 12506    (Average', ' 375.29 Last', ' 467682)']",[' 3926.4  '],"[' 2015     (Average Length', ' 986.63 Splits', ' 0)']","[' 4693411  (Deleted', ' 4656416)']","[' 530      (Ratio', '   0.01%)']","[' 14868    (Ratio', '   0.32%)']","[' 4693411  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4693411  (Average', ' 34.09 Max', ' 4752 Sum', ' 159991874)']","[' 4693227  (Average', ' 34.05 Max', ' 4177 Sum', ' 159796775 Ratio', '  99.88%)']","[' 184      (Average', ' 1060.32 Max', ' 1911 Sum', ' 195099 Ratio', '   0.12%)']", ,[' 48394   '],[' 6248    '],[' 49076   '],[' 31267   '],"[' 93797    (Atom=Atom', ' 26245 Body=Body', ' 14890 Other', ' 52662)']",[' Yes'],"[' 7530     (Eliminated', '    0 Frozen', ' 7530)']","[' 1463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.71767'],[' 0'], ,[' 210.288'],[' 0'],[' 11.5984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.51458e+08'],[' 4.55038e+08'],[' 0'],[' 1.13151e+10'],[' 0'],[' 0'],[' 1079 '],[' 2215 ']
