Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA31, ,[' 1'],[' 1985+'],[' 995'],"[' 144.996s (Solving', ' 141.71s 1st Model', ' 16.84s Unsat', ' 0.00s)']",[' 144.281s'], ,[' 36796863'],"[' 2146662  (Analyzed', ' 2095571)']","[' 5136     (Average', ' 408.02 Last', ' 74102)']",[' 2712.4  '],"[' 995      (Average Length', ' 494.57 Splits', ' 0)']","[' 2095571  (Deleted', ' 2060581)']","[' 139      (Ratio', '   0.01%)']","[' 7346     (Ratio', '   0.35%)']","[' 2095571  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2095571  (Average', ' 16.44 Max', ' 3608 Sum', ' 34459239)']","[' 2095467  (Average', ' 16.41 Max', ' 3587 Sum', ' 34395628 Ratio', '  99.82%)']","[' 104      (Average', ' 611.64 Max', ' 694 Sum', '  63611 Ratio', '   0.18%)']", ,[' 37639   '],[' 5473    '],[' 37289   '],[' 24050   '],"[' 72146    (Atom=Atom', ' 19900 Body=Body', ' 11543 Other', ' 40703)']",[' Yes'],"[' 5573     (Eliminated', '    0 Frozen', ' 5573)']","[' 1059     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.73288'],[' 0'], ,[' 85.3609'],[' 0'],[' 3.19716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18685e+08'],[' 9.7071e+07'],[' 0'],[' 4.49406e+09'],[' 0'],[' 0'],[' 1054 '],[' 3458 ']
Solving...,TA32, ,[' 1'],[' 2707+'],[' 1356'],"[' 382.104s (Solving', ' 377.16s 1st Model', ' 250.05s Unsat', ' 0.00s)']",[' 380.203s'], ,[' 119836906'],"[' 4501923  (Analyzed', ' 4431897)']","[' 11346    (Average', ' 390.61 Last', ' 345811)']",[' 3157.7  '],"[' 1356     (Average Length', ' 662.91 Splits', ' 0)']","[' 4431897  (Deleted', ' 4377561)']","[' 851      (Ratio', '   0.02%)']","[' 18897    (Ratio', '   0.43%)']","[' 4431897  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4431897  (Average', ' 26.20 Max', ' 4015 Sum', ' 116108305)']","[' 4431769  (Average', ' 26.18 Max', ' 3486 Sum', ' 116022005 Ratio', '  99.93%)']","[' 128      (Average', ' 674.22 Max', ' 1250 Sum', '  86300 Ratio', '   0.07%)']", ,[' 38358   '],[' 5535    '],[' 38363   '],[' 24945   '],"[' 74831    (Atom=Atom', ' 20677 Body=Body', ' 11661 Other', ' 42493)']",[' Yes'],"[' 5990     (Eliminated', '    0 Frozen', ' 5990)']","[' 994      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09189'],[' 0'], ,[' 211.688'],[' 0'],[' 9.69549'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.60014e+08'],[' 3.95447e+08'],[' 0'],[' 1.16762e+10'],[' 0'],[' 0'],[' 1273 '],[' 2221 ']
Solving...,TA33, ,[' 1'],[' 2883+'],[' 1444'],"[' 820.917s (Solving', ' 814.67s 1st Model', ' 685.06s Unsat', ' 0.00s)']",[' 816.234s'], ,[' 240137409'],"[' 7242868  (Analyzed', ' 7114677)']","[' 17986    (Average', ' 395.57 Last', ' 511864)']",[' 3323.9  '],"[' 1444     (Average Length', ' 714.74 Splits', ' 0)']","[' 7114677  (Deleted', ' 7049028)']","[' 1078     (Ratio', '   0.02%)']","[' 18759    (Ratio', '   0.26%)']","[' 7114677  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7114677  (Average', ' 33.13 Max', ' 3529 Sum', ' 235690978)']","[' 7114540  (Average', ' 33.12 Max', ' 3523 Sum', ' 235618837 Ratio', '  99.97%)']","[' 137      (Average', ' 526.58 Max', ' 1392 Sum', '  72141 Ratio', '   0.03%)']", ,[' 37971   '],[' 5482    '],[' 38034   '],[' 24561   '],"[' 73679    (Atom=Atom', ' 20411 Body=Body', ' 11543 Other', ' 41725)']",[' Yes'],"[' 5995     (Eliminated', '    0 Frozen', ' 5995)']","[' 910      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36488'],[' 0'], ,[' 433.182'],[' 0'],[' 20.9629'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14957e+09'],[' 1.01158e+09'],[' 0'],[' 2.21005e+10'],[' 0'],[' 0'],[' 1211 '],[' 2105 ']
Solving...,TA34, ,[' 1'],[' 2615+'],[' 1310'],"[' 459.544s (Solving', ' 454.29s 1st Model', ' 326.34s Unsat', ' 0.00s)']",[' 457.031s'], ,[' 140779071'],"[' 3721802  (Analyzed', ' 3645413)']","[' 9447     (Average', ' 385.88 Last', ' 336321)']",[' 3093.5  '],"[' 1310     (Average Length', ' 641.76 Splits', ' 0)']","[' 3645413  (Deleted', ' 3600569)']","[' 1090     (Ratio', '   0.03%)']","[' 17437    (Ratio', '   0.48%)']","[' 3645413  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3645413  (Average', ' 37.64 Max', ' 3704 Sum', ' 137226500)']","[' 3645310  (Average', ' 37.63 Max', ' 3704 Sum', ' 137160331 Ratio', '  99.95%)']","[' 103      (Average', ' 642.42 Max', ' 2950 Sum', '  66169 Ratio', '   0.05%)']", ,[' 38150   '],[' 5483    '],[' 38060   '],[' 24389   '],"[' 73163    (Atom=Atom', ' 20241 Body=Body', ' 11541 Other', ' 41381)']",[' Yes'],"[' 5843     (Eliminated', '    0 Frozen', ' 5843)']","[' 1048     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16273'],[' 0'], ,[' 233.038'],[' 0'],[' 11.9427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11557e+08'],[' 5.35599e+08'],[' 0'],[' 1.06659e+10'],[' 0'],[' 0'],[' 1179 '],[' 2182 ']
Solving...,TA35, ,[' 1'],[' 2171+'],[' 1088'],"[' 270.955s (Solving', ' 266.65s 1st Model', ' 140.09s Unsat', ' 0.00s)']",[' 269.906s'], ,[' 82121093'],"[' 3122392  (Analyzed', ' 3058000)']","[' 7390     (Average', ' 413.80 Last', ' 189974)']",[' 3003.4  '],"[' 1088     (Average Length', ' 534.17 Splits', ' 0)']","[' 3058000  (Deleted', ' 3013517)']","[' 722      (Ratio', '   0.02%)']","[' 16459    (Ratio', '   0.54%)']","[' 3058000  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3058000  (Average', ' 25.91 Max', ' 3596 Sum', ' 79217794)']","[' 3057886  (Average', ' 25.88 Max', ' 3596 Sum', ' 79154317 Ratio', '  99.92%)']","[' 114      (Average', ' 556.82 Max', ' 1040 Sum', '  63477 Ratio', '   0.08%)']", ,[' 37671   '],[' 5502    '],[' 37306   '],[' 24055   '],"[' 72161    (Atom=Atom', ' 19955 Body=Body', ' 11493 Other', ' 40713)']",[' Yes'],"[' 5587     (Eliminated', '    0 Frozen', ' 5587)']","[' 956      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.957404'],[' 0'], ,[' 151.264'],[' 0'],[' 6.88656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.79266e+08'],[' 2.36729e+08'],[' 0'],[' 7.79549e+09'],[' 0'],[' 0'],[' 1185 '],[' 2164 ']
Solving...,TA36, ,[' 1'],[' 1331+'],[' 668'],"[' 134.167s (Solving', ' 132.22s 1st Model', ' 9.50s Unsat', ' 0.00s)']",[' 133.578s'], ,[' 32669148'],"[' 2388389  (Analyzed', ' 2365527)']","[' 5160     (Average', ' 458.44 Last', ' 33347)']",[' 2098.9  '],"[' 668      (Average Length', ' 333.39 Splits', ' 0)']","[' 2365527  (Deleted', ' 2324437)']","[' 177      (Ratio', '   0.01%)']","[' 7866     (Ratio', '   0.33%)']","[' 2365527  (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2365527  (Average', ' 13.27 Max', ' 3769 Sum', ' 31383159)']","[' 2365395  (Average', ' 13.23 Max', ' 3769 Sum', ' 31304007 Ratio', '  99.75%)']","[' 132      (Average', ' 599.64 Max', ' 666 Sum', '  79152 Ratio', '   0.25%)']", ,[' 37311   '],[' 5493    '],[' 36652   '],[' 23830   '],"[' 71486    (Atom=Atom', ' 19659 Body=Body', ' 11564 Other', ' 40263)']",[' Yes'],"[' 5284     (Eliminated', '    0 Frozen', ' 5284)']","[' 1084     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.414432'],[' 0'], ,[' 77.2406'],[' 0'],[' 3.10311'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01237e+08'],[' 8.18089e+07'],[' 0'],[' 3.98569e+09'],[' 0'],[' 0'],[' 1125 '],[' 8016 ']
Solving...,TA37, ,[' 1'],[' 2355+'],[' 1180'],"[' 424.075s (Solving', ' 419.54s 1st Model', ' 292.87s Unsat', ' 0.00s)']",[' 422.000s'], ,[' 128020007'],"[' 3860780  (Analyzed', ' 3788832)']","[' 9596     (Average', ' 394.83 Last', ' 398536)']",[' 2949.1  '],"[' 1180     (Average Length', ' 581.09 Splits', ' 0)']","[' 3788832  (Deleted', ' 3734383)']","[' 963      (Ratio', '   0.03%)']","[' 15747    (Ratio', '   0.42%)']","[' 3788832  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3788832  (Average', ' 32.98 Max', ' 3751 Sum', ' 124943570)']","[' 3788670  (Average', ' 32.95 Max', ' 3394 Sum', ' 124843383 Ratio', '  99.92%)']","[' 162      (Average', ' 618.44 Max', ' 1138 Sum', ' 100187 Ratio', '   0.08%)']", ,[' 37640   '],[' 5473    '],[' 37436   '],[' 24175   '],"[' 72521    (Atom=Atom', ' 20041 Body=Body', ' 11527 Other', ' 40953)']",[' Yes'],"[' 5719     (Eliminated', '    0 Frozen', ' 5719)']","[' 981      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.978692'],[' 0'], ,[' 229.206'],[' 0'],[' 11.0579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.93105e+08'],[' 4.24145e+08'],[' 0'],[' 1.041e+10'],[' 0'],[' 0'],[' 1095 '],[' 2128 ']
Solving...,TA38, ,[' 1'],[' 2841+'],[' 1423'],"[' 720.443s (Solving', ' 714.65s 1st Model', ' 586.00s Unsat', ' 0.00s)']",[' 716.844s'], ,[' 205578172'],"[' 4885395  (Analyzed', ' 4785826)']","[' 13071    (Average', ' 366.14 Last', ' 332047)']",[' 3054.2  '],"[' 1423     (Average Length', ' 694.91 Splits', ' 0)']","[' 4785826  (Deleted', ' 4735623)']","[' 1019     (Ratio', '   0.02%)']","[' 17539    (Ratio', '   0.37%)']","[' 4785826  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4785826  (Average', ' 42.16 Max', ' 3757 Sum', ' 201763284)']","[' 4785699  (Average', ' 42.14 Max', ' 3613 Sum', ' 201675854 Ratio', '  99.96%)']","[' 127      (Average', ' 688.43 Max', ' 1330 Sum', '  87430 Ratio', '   0.04%)']", ,[' 37851   '],[' 5466    '],[' 37790   '],[' 24185   '],"[' 72551    (Atom=Atom', ' 20128 Body=Body', ' 11450 Other', ' 40973)']",[' Yes'],"[' 5855     (Eliminated', '    0 Frozen', ' 5855)']","[' 1027     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22096'],[' 0'], ,[' 366.48'],[' 0'],[' 18.7138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88953e+08'],[' 8.73297e+08'],[' 0'],[' 1.6019e+10'],[' 0'],[' 0'],[' 1058 '],[' 1956 ']
Solving...,TA39, ,[' 1'],[' 2613+'],[' 1309'],"[' 236.393s (Solving', ' 230.75s 1st Model', ' 102.26s Unsat', ' 0.00s)']",[' 235.031s'], ,[' 71365004'],"[' 2948398  (Analyzed', ' 2867067)']","[' 7286     (Average', ' 393.50 Last', ' 305418)']",[' 3255.6  '],"[' 1309     (Average Length', ' 641.10 Splits', ' 0)']","[' 2867067  (Deleted', ' 2818344)']","[' 843      (Ratio', '   0.03%)']","[' 15505    (Ratio', '   0.54%)']","[' 2867067  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2867067  (Average', ' 23.62 Max', ' 3300 Sum', ' 67718299)']","[' 2866953  (Average', ' 23.60 Max', ' 3300 Sum', ' 67657962 Ratio', '  99.91%)']","[' 114      (Average', ' 529.27 Max', ' 1253 Sum', '  60337 Ratio', '   0.09%)']", ,[' 38379   '],[' 5527    '],[' 38292   '],[' 24572   '],"[' 73712    (Atom=Atom', ' 20382 Body=Body', ' 11583 Other', ' 41747)']",[' Yes'],"[' 5890     (Eliminated', '    0 Frozen', ' 5890)']","[' 925      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23454'],[' 0'], ,[' 132.588'],[' 0'],[' 6.01262'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1865e+08'],[' 1.84117e+08'],[' 0'],[' 7.13079e+09'],[' 0'],[' 0'],[' 1424 '],[' 2086 ']
Solving...,TA40, ,[' 1'],[' 3051+'],[' 1528'],"[' 376.671s (Solving', ' 370.79s 1st Model', ' 242.01s Unsat', ' 0.00s)']",[' 374.859s'], ,[' 128703277'],"[' 3629812  (Analyzed', ' 3502468)']","[' 9602     (Average', ' 364.76 Last', ' 257308)']",[' 3346.4  '],"[' 1528     (Average Length', ' 751.43 Splits', ' 0)']","[' 3502468  (Deleted', ' 3456535)']","[' 892      (Ratio', '   0.03%)']","[' 16850    (Ratio', '   0.48%)']","[' 3502468  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3502468  (Average', ' 35.51 Max', ' 3569 Sum', ' 124374599)']","[' 3502314  (Average', ' 35.49 Max', ' 3290 Sum', ' 124286672 Ratio', '  99.93%)']","[' 154      (Average', ' 570.95 Max', ' 1465 Sum', '  87927 Ratio', '   0.07%)']", ,[' 38271   '],[' 5509    '],[' 38409   '],[' 24738   '],"[' 74210    (Atom=Atom', ' 20553 Body=Body', ' 11578 Other', ' 42079)']",[' Yes'],"[' 6097     (Eliminated', '    0 Frozen', ' 6097)']","[' 1152     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29303'],[' 0'], ,[' 193.999'],[' 0'],[' 10.1031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66323e+08'],[' 4.96181e+08'],[' 0'],[' 9.84894e+09'],[' 0'],[' 0'],[' 1034 '],[' 1984 ']
