Optimal Found Or Timeout,Instances,Models,Calls,Time         ,CPU Time,,Choices ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules,  Choice,Atoms,Bodies,Equivalences ,Tight,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,abz5,[' 218'],[' 219'],"[' 1.446s (Solving', ' 1.32s 1st Model', ' 1.17s Unsat', ' 0.11s)']",[' 1.391s'], ,[' 410411  '],"[' 30436    (Analyzed', ' 30435)']","[' 136      (Average', ' 223.79 Last', ' 1906)']",[' 424.4   '],"[' 219      (Average Length', ' 1.00 Splits', ' 0)']","[' 69377    (Deleted', ' 58359)']","[' 140      (Ratio', '   0.20%)']","[' 938      (Ratio', '   1.35%)']","[' 30435    (Average Length', '   10.4 Ratio', '  43.87%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38942    (Average Length', '    7.8 Ratio', '  56.13%) ']","[' 30435    (Average', '  1.65 Max', ' 415 Sum', '  50111)']","[' 30423    (Average', '  1.65 Max', ' 415 Sum', '  50099 Ratio', '  99.98%)']","[' 12       (Average', '  1.00 Max', '   1 Sum', '     12 Ratio', '   0.02%)']", ,[' 3489    '],[' 550     '],[' 3389    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 768      (Eliminated', '    0 Frozen', '  550)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1234'],[' 0.0346934'],[' 0'], ,[' 0.585543'],[' 0'],[' 0.025785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06712e+06'],[' 722492'],[' 0'],[' 4.17007e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,abz6,[' 197'],[' 198'],"[' 0.420s (Solving', ' 0.30s 1st Model', ' 0.26s Unsat', ' 0.03s)']",[' 0.422s'], ,[' 226933  '],"[' 4724     (Analyzed', ' 4723)']","[' 28       (Average', ' 168.68 Last', ' 470)']",[' 422.6   '],"[' 198      (Average Length', ' 1.00 Splits', ' 0)']","[' 12326    (Deleted', ' 4009)']","[' 68       (Ratio', '   0.55%)']","[' 409      (Ratio', '   3.32%)']","[' 4723     (Average Length', '    9.7 Ratio', '  38.32%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7603     (Average Length', '    6.7 Ratio', '  61.68%) ']","[' 4723     (Average', '  2.21 Max', ' 207 Sum', '  10423)']","[' 4717     (Average', '  2.21 Max', ' 207 Sum', '  10417 Ratio', '  99.94%)']","[' 6        (Average', '  1.00 Max', '   1 Sum', '      6 Ratio', '   0.06%)']", ,[' 3468    '],[' 550     '],[' 3368    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 747      (Eliminated', '    0 Frozen', '  550)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 943'],[' 0.0312966'],[' 0'], ,[' 0.144403'],[' 0'],[' 0.0108863'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 406550'],[' 309071'],[' 0'],[' 7.10594e+06'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,ft10,[' 239'],[' 240'],"[' 16.749s (Solving', ' 16.60s 1st Model', ' 2.78s Unsat', ' 13.79s)']",[' 16.750s'], ,[' 2277323 '],"[' 244896   (Analyzed', ' 244895)']","[' 793      (Average', ' 308.82 Last', ' 275)']",[' 393.0   '],"[' 240      (Average Length', ' 1.00 Splits', ' 0)']","[' 595617   (Deleted', ' 566443)']","[' 135      (Ratio', '   0.02%)']","[' 1541     (Ratio', '   0.26%)']","[' 244895   (Average Length', '   13.4 Ratio', '  41.12%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 350722   (Average Length', '    8.6 Ratio', '  58.88%) ']","[' 244895   (Average', '  1.63 Max', ' 285 Sum', ' 400337)']","[' 244889   (Average', '  1.63 Max', ' 285 Sum', ' 400331 Ratio', ' 100.00%)']","[' 6        (Average', '  1.00 Max', '   1 Sum', '      6 Ratio', '   0.00%)']", ,[' 3510    '],[' 550     '],[' 3410    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 789      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 930'],[' 0.0387521'],[' 0'], ,[' 6.62977'],[' 0'],[' 0.216556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.64911e+06'],[' 6.68681e+06'],[' 0'],[' 3.99342e+08'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,la16,[' 187'],[' 188'],"[' 0.591s (Solving', ' 0.50s 1st Model', ' 0.28s Unsat', ' 0.19s)']",[' 0.594s'], ,[' 254722  '],"[' 7864     (Analyzed', ' 7863)']","[' 52       (Average', ' 151.21 Last', ' 126)']",[' 426.0   '],"[' 188      (Average Length', ' 1.00 Splits', ' 0)']","[' 22810    (Deleted', ' 15002)']","[' 60       (Ratio', '   0.26%)']","[' 501      (Ratio', '   2.20%)']","[' 7863     (Average Length', '    9.6 Ratio', '  34.47%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14947    (Average Length', '    7.7 Ratio', '  65.53%) ']","[' 7863     (Average', '  1.86 Max', ' 164 Sum', '  14601)']","[' 7856     (Average', '  1.86 Max', ' 164 Sum', '  14594 Ratio', '  99.95%)']","[' 7        (Average', '  1.00 Max', '   1 Sum', '      7 Ratio', '   0.05%)']", ,[' 3458    '],[' 550     '],[' 3358    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 737      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 945'],[' 0.0284285'],[' 0'], ,[' 0.210591'],[' 0'],[' 0.013373'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 474259'],[' 350991'],[' 0'],[' 1.25315e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,la17,[' 204'],[' 205'],"[' 0.384s (Solving', ' 0.25s 1st Model', ' 0.22s Unsat', ' 0.02s)']",[' 0.375s'], ,[' 218399  '],"[' 3295     (Analyzed', ' 3294)']","[' 25       (Average', ' 131.76 Last', ' 135)']",[' 426.6   '],"[' 205      (Average Length', ' 1.00 Splits', ' 0)']","[' 9824     (Deleted', ' 0)']","[' 90       (Ratio', '   0.92%)']","[' 382      (Ratio', '   3.89%)']","[' 3294     (Average Length', '    8.5 Ratio', '  33.53%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6530     (Average Length', '    6.8 Ratio', '  66.47%) ']","[' 3294     (Average', '  2.50 Max', ' 273 Sum', '   8246)']","[' 3287     (Average', '  2.50 Max', ' 273 Sum', '   8239 Ratio', '  99.92%)']","[' 7        (Average', '  1.00 Max', '   1 Sum', '      7 Ratio', '   0.08%)']", ,[' 3475    '],[' 550     '],[' 3375    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 754      (Eliminated', '    0 Frozen', '  550)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 784'],[' 0.0320797'],[' 0'], ,[' 0.131672'],[' 0'],[' 0.0099466'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 374102'],[' 291087'],[' 0'],[' 5.93754e+06'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
