Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,abz7,[' 969+'],[' 970'],"[' 12599.990s (Solving', ' 12598.08s 1st Model', ' 11179.58s Unsat', ' 0.00s)']",[' 12594.250s'], ,[' 2739435380'],"[' 32739390 (Analyzed', ' 32739390)']","[' 55490    (Average', ' 590.01 Last', ' 90390)']",[' 2645.5  '],"[' 970      (Average Length', ' 1.00 Splits', ' 0)']","[' 165567729 (Deleted', ' 165177033)']","[' 1174     (Ratio', '   0.00%)']","[' 20380    (Ratio', '   0.01%)']","[' 32739390 (Average Length', '   24.6 Ratio', '  19.77%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 132828339 (Average Length', '   13.3 Ratio', '  80.23%) ']","[' 32739390 (Average', '  3.51 Max', ' 2686 Sum', ' 114873487)']","[' 32739390 (Average', '  3.51 Max', ' 2686 Sum', ' 114873487 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18250   '],[' 3150    '],[' 17950   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4119     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 688'],[' 0.453957'],[' 0'], ,[' 5467.19'],[' 0'],[' 239.552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94709e+10'],[' 1.70564e+10'],[' 0'],[' 3.66792e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,abz8,[' 985+'],[' 986'],"[' 12599.953s (Solving', ' 12598.06s 1st Model', ' 12045.71s Unsat', ' 0.00s)']",[' 12594.844s'], ,[' 2664775957'],"[' 33194854 (Analyzed', ' 33194854)']","[' 57098    (Average', ' 581.37 Last', ' 192760)']",[' 2674.2  '],"[' 986      (Average Length', ' 1.00 Splits', ' 0)']","[' 167360617 (Deleted', ' 166964719)']","[' 1136     (Ratio', '   0.00%)']","[' 20148    (Ratio', '   0.01%)']","[' 33194854 (Average Length', '   25.5 Ratio', '  19.83%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 134165763 (Average Length', '   13.5 Ratio', '  80.17%) ']","[' 33194854 (Average', '  3.44 Max', ' 2791 Sum', ' 114307224)']","[' 33194854 (Average', '  3.44 Max', ' 2791 Sum', ' 114307224 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18266   '],[' 3150    '],[' 17966   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4135     (Eliminated', '    0 Frozen', ' 3150)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 703'],[' 0.454167'],[' 0'], ,[' 5557.95'],[' 0'],[' 237.383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9931e+10'],[' 1.74923e+10'],[' 0'],[' 3.76935e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,abz9,[' 842+'],[' 843'],"[' 12599.972s (Solving', ' 12598.22s 1st Model', ' 9941.66s Unsat', ' 0.00s)']",[' 12594.953s'], ,[' 2244549001'],"[' 34420682 (Analyzed', ' 34420682)']","[' 60078    (Average', ' 572.93 Last', ' 212983)']",[' 2631.3  '],"[' 843      (Average Length', ' 1.00 Splits', ' 0)']","[' 176964972 (Deleted', ' 176424411)']","[' 1337     (Ratio', '   0.00%)']","[' 26449    (Ratio', '   0.01%)']","[' 34420682 (Average Length', '   21.5 Ratio', '  19.45%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 142544290 (Average Length', '   12.6 Ratio', '  80.55%) ']","[' 34420682 (Average', '  2.93 Max', ' 2728 Sum', ' 100818608)']","[' 34420682 (Average', '  2.93 Max', ' 2728 Sum', ' 100818608 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18123   '],[' 3150    '],[' 17823   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3992     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 703'],[' 0.390765'],[' 0'], ,[' 5411.93'],[' 0'],[' 210.845'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66653e+10'],[' 1.43965e+10'],[' 0'],[' 3.66751e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv06,[' 723+'],[' 724'],"[' 12599.976s (Solving', ' 12597.75s 1st Model', ' 12503.75s Unsat', ' 0.00s)']",[' 12591.047s'], ,[' 2613400450'],"[' 20423767 (Analyzed', ' 20423767)']","[' 41048    (Average', ' 497.56 Last', ' 45104)']",[' 2167.1  '],"[' 724      (Average Length', ' 1.00 Splits', ' 0)']","[' 107640653 (Deleted', ' 107426328)']","[' 1660     (Ratio', '   0.00%)']","[' 32174    (Ratio', '   0.03%)']","[' 20423767 (Average Length', '   32.3 Ratio', '  18.97%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 87216886 (Average Length', '   19.1 Ratio', '  81.03%) ']","[' 20423767 (Average', '  4.35 Max', ' 2305 Sum', ' 88881754)']","[' 20423767 (Average', '  4.35 Max', ' 2305 Sum', ' 88881754 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18004   '],[' 3150    '],[' 17704   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3873     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1866'],[' 0.347187'],[' 0'], ,[' 4927.17'],[' 0'],[' 217.259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03713e+10'],[' 1.81987e+10'],[' 0'],[' 2.58945e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv07,[' 715+'],[' 716'],"[' 12599.965s (Solving', ' 12597.88s 1st Model', ' 11079.16s Unsat', ' 0.00s)']",[' 12591.109s'], ,[' 2685133376'],"[' 20528051 (Analyzed', ' 20528051)']","[' 40216    (Average', ' 510.44 Last', ' 34472)']",[' 2207.2  '],"[' 716      (Average Length', ' 1.00 Splits', ' 0)']","[' 109105278 (Deleted', ' 108887981)']","[' 1591     (Ratio', '   0.00%)']","[' 31463    (Ratio', '   0.03%)']","[' 20528051 (Average Length', '   32.7 Ratio', '  18.81%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 88577227 (Average Length', '   19.1 Ratio', '  81.19%) ']","[' 20528051 (Average', '  4.48 Max', ' 1676 Sum', ' 92059272)']","[' 20528051 (Average', '  4.48 Max', ' 1676 Sum', ' 92059272 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 17996   '],[' 3150    '],[' 17696   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3865     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1777'],[' 0.366342'],[' 0'], ,[' 4715.27'],[' 0'],[' 227.984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09216e+10'],[' 1.87409e+10'],[' 0'],[' 2.60135e+11'],[' 0'],[' 0']
