Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules,Choice,Atoms,Bodies,Equivalences,Tight,Variables,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,la31,[' 1079+'],[' 1080'],"[' 8999.935s (Solving', ' 8996.98s 1st Model', ' 1322.74s Unsat', ' 0.00s)']",[' 8994.688s'], ,[' 1782774386'],"[' 9534736  (Analyzed', ' 9534736)']","[' 15854    (Average', ' 601.41 Last', ' 5436)']",[' 3920.8  '],"[' 1080     (Average Length', ' 1.00 Splits', ' 0)']","[' 48409291 (Deleted', ' 48229464)']","[' 1590     (Ratio', '   0.00%)']","[' 55987    (Ratio', '   0.12%)']","[' 9534736  (Average Length', '   34.6 Ratio', '  19.70%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38874555 (Average Length', '   22.2 Ratio', '  80.30%) ']","[' 9534736  (Average', '  5.58 Max', ' 4153 Sum', ' 53192278)']","[' 9534736  (Average', '  5.58 Max', ' 4153 Sum', ' 53192278 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 25850   '],[' 4650    '],[' 25550   '],[' 22891   '],"[' 59969    (Atom=Atom', ' 14189 Body=Body', ' 14190 Other', ' 31590)']",[' Yes'],"[' 5729     (Eliminated', '    0 Frozen', ' 4650)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1784'],[' 0.600842'],[' 0'], ,[' 2819.17'],[' 0'],[' 149.895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61524e+10'],[' 1.48057e+10'],[' 0'],[' 1.57147e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,la32,[' 1052+'],[' 1053'],"[' 8999.952s (Solving', ' 8997.08s 1st Model', ' 6369.76s Unsat', ' 0.00s)']",[' 8988.766s'], ,[' 1606393760'],"[' 7343987  (Analyzed', ' 7343987)']","[' 14101    (Average', ' 520.81 Last', ' 15440)']",[' 3859.8  '],"[' 1053     (Average Length', ' 1.00 Splits', ' 0)']","[' 40083178 (Deleted', ' 39939719)']","[' 1452     (Ratio', '   0.00%)']","[' 54020    (Ratio', '   0.13%)']","[' 7343987  (Average Length', '   35.7 Ratio', '  18.32%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32739191 (Average Length', '   21.4 Ratio', '  81.68%) ']","[' 7343987  (Average', '  6.66 Max', ' 3093 Sum', ' 48937037)']","[' 7343987  (Average', '  6.66 Max', ' 3093 Sum', ' 48937037 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 25823   '],[' 4650    '],[' 25523   '],[' 22891   '],"[' 59969    (Atom=Atom', ' 14189 Body=Body', ' 14190 Other', ' 31590)']",[' Yes'],"[' 5702     (Eliminated', '    0 Frozen', ' 4650)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1850'],[' 0.589663'],[' 0'], ,[' 2738.55'],[' 0'],[' 142.84'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52753e+10'],[' 1.39919e+10'],[' 0'],[' 1.3301e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,la33,[' 1136+'],[' 1137'],"[' 8999.958s (Solving', ' 8996.83s 1st Model', ' 3169.76s Unsat', ' 0.00s)']",[' 8997.875s'], ,[' 1862130637'],"[' 10287798 (Analyzed', ' 10287798)']","[' 16497    (Average', ' 623.62 Last', ' 20526)']",[' 3998.4  '],"[' 1137     (Average Length', ' 1.00 Splits', ' 0)']","[' 52268144 (Deleted', ' 52063117)']","[' 1484     (Ratio', '   0.00%)']","[' 53601    (Ratio', '   0.10%)']","[' 10287798 (Average Length', '   34.4 Ratio', '  19.68%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 41980346 (Average Length', '   21.6 Ratio', '  80.32%) ']","[' 10287798 (Average', '  5.53 Max', ' 2883 Sum', ' 56938462)']","[' 10287798 (Average', '  5.53 Max', ' 2883 Sum', ' 56938462 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 25907   '],[' 4650    '],[' 25607   '],[' 22891   '],"[' 59969    (Atom=Atom', ' 14189 Body=Body', ' 14190 Other', ' 31590)']",[' Yes'],"[' 5786     (Eliminated', '    0 Frozen', ' 4650)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1719'],[' 0.624576'],[' 0'], ,[' 2929.04'],[' 0'],[' 155.352'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69842e+10'],[' 1.55442e+10'],[' 0'],[' 1.71896e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,la34,[' 1337+'],[' 1338'],"[' 8999.948s (Solving', ' 8996.00s 1st Model', ' 8856.61s Unsat', ' 0.00s)']",[' 8997.703s'], ,[' 1862430826'],"[' 8423144  (Analyzed', ' 8423144)']","[' 17300    (Average', ' 486.89 Last', ' 160564)']",[' 3845.9  '],"[' 1338     (Average Length', ' 1.00 Splits', ' 0)']","[' 46829953 (Deleted', ' 46673106)']","[' 1556     (Ratio', '   0.00%)']","[' 55087    (Ratio', '   0.12%)']","[' 8423144  (Average Length', '   34.1 Ratio', '  17.99%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38406809 (Average Length', '   21.0 Ratio', '  82.01%) ']","[' 8423144  (Average', '  6.52 Max', ' 4211 Sum', ' 54922230)']","[' 8423144  (Average', '  6.52 Max', ' 4211 Sum', ' 54922230 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 26108   '],[' 4650    '],[' 25808   '],[' 22891   '],"[' 59969    (Atom=Atom', ' 14189 Body=Body', ' 14190 Other', ' 31590)']",[' Yes'],"[' 5987     (Eliminated', '    0 Frozen', ' 4650)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1740'],[' 0.74512'],[' 0'], ,[' 2822.79'],[' 0'],[' 154.811'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73411e+10'],[' 1.58791e+10'],[' 0'],[' 1.66234e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,la35,[' 980+'],[' 981'],"[' 8999.986s (Solving', ' 8996.94s 1st Model', ' 2534.96s Unsat', ' 0.00s)']",[' 8997.719s'], ,[' 1877770828'],"[' 12094370 (Analyzed', ' 12094370)']","[' 20152    (Average', ' 600.16 Last', ' 21298)']",[' 3852.4  '],"[' 981      (Average Length', ' 1.00 Splits', ' 0)']","[' 59930513 (Deleted', ' 59704059)']","[' 1741     (Ratio', '   0.00%)']","[' 55033    (Ratio', '   0.09%)']","[' 12094370 (Average Length', '   32.5 Ratio', '  20.18%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47836143 (Average Length', '   22.0 Ratio', '  79.82%) ']","[' 12094370 (Average', '  4.56 Max', ' 4143 Sum', ' 55146886)']","[' 12094370 (Average', '  4.56 Max', ' 4143 Sum', ' 55146886 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 25751   '],[' 4650    '],[' 25451   '],[' 22891   '],"[' 59969    (Atom=Atom', ' 14189 Body=Body', ' 14190 Other', ' 31590)']",[' Yes'],"[' 5630     (Eliminated', '    0 Frozen', ' 4650)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1888'],[' 0.553407'],[' 0'], ,[' 2977.54'],[' 0'],[' 152.731'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62781e+10'],[' 1.48993e+10'],[' 0'],[' 1.79463e+11'],[' 0'],[' 0']
