Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
UNKNOWN,TA51,[' 3968+'],[' 3969'],"[' 53999.806s (Solving', ' 53937.06s 1st Model', ' 50369.85s Unsat', ' 0.00s)']",[' 53943.109s'], ,[' 6151605978'],"[' 2508641  (Analyzed', ' 2508641)']","[' 7416     (Average', ' 338.27 Last', ' 8158)']",[' 16640.7 '],"[' 3969     (Average Length', ' 1.00 Splits', ' 0)']","[' 25890680 (Deleted', ' 25539817)']","[' 2887     (Ratio', '   0.01%)']","[' 274773   (Ratio', '   1.06%)']","[' 2508641  (Average Length', '   65.9 Ratio', '   9.69%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23382039 (Average Length', '   39.6 Ratio', '  90.31%) ']","[' 2508641  (Average', ' 34.30 Max', ' 14418 Sum', ' 86057816)']","[' 2508641  (Average', ' 34.30 Max', ' 14418 Sum', ' 86057816 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103374  '],[' 19125   '],[' 102624  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23093    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3163'],[' 8.42363'],[' 0'], ,[' 11837.8'],[' 0'],[' 715.952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35613e+10'],[' 7.0134e+10'],[' 0'],[' 3.22519e+11'],[' 0'],[' 0']
UNKNOWN,TA52,[' 5031+'],[' 5032'],"[' 53999.779s (Solving', ' 53926.38s 1st Model', ' 53395.56s Unsat', ' 0.00s)']",[' 53938.156s'], ,[' 6018145060'],"[' 2443000  (Analyzed', ' 2443000)']","[' 7253     (Average', ' 336.83 Last', ' 9523)']",[' 16608.9 '],"[' 5032     (Average Length', ' 1.00 Splits', ' 0)']","[' 24889171 (Deleted', ' 24567667)']","[' 3085     (Ratio', '   0.01%)']","[' 281173   (Ratio', '   1.13%)']","[' 2443000  (Average Length', '   67.4 Ratio', '   9.82%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22446171 (Average Length', '   40.3 Ratio', '  90.18%) ']","[' 2443000  (Average', ' 34.02 Max', ' 18226 Sum', ' 83119463)']","[' 2443000  (Average', ' 34.02 Max', ' 18226 Sum', ' 83119463 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104437  '],[' 19125   '],[' 103687  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 24156    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3168'],[' 9.3418'],[' 0'], ,[' 11993.1'],[' 0'],[' 691.561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.97738e+10'],[' 6.64553e+10'],[' 0'],[' 3.39041e+11'],[' 0'],[' 0']
UNKNOWN,TA53,[' 4950+'],[' 4951'],"[' 53999.789s (Solving', ' 53922.46s 1st Model', ' 49544.15s Unsat', ' 0.00s)']",[' 53964.781s'], ,[' 6266870289'],"[' 2580637  (Analyzed', ' 2580637)']","[' 7453     (Average', ' 346.25 Last', ' 8121)']",[' 16530.9 '],"[' 4951     (Average Length', ' 1.00 Splits', ' 0)']","[' 26606858 (Deleted', ' 26283165)']","[' 2862     (Ratio', '   0.01%)']","[' 267771   (Ratio', '   1.01%)']","[' 2580637  (Average Length', '   65.6 Ratio', '   9.70%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24026221 (Average Length', '   38.4 Ratio', '  90.30%) ']","[' 2580637  (Average', ' 35.22 Max', ' 17685 Sum', ' 90880246)']","[' 2580637  (Average', ' 35.22 Max', ' 17685 Sum', ' 90880246 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104356  '],[' 19125   '],[' 103606  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 24075    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3046'],[' 9.07116'],[' 0'], ,[' 12151.6'],[' 0'],[' 680.741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.60214e+10'],[' 7.24378e+10'],[' 0'],[' 3.59344e+11'],[' 0'],[' 0']
UNKNOWN,TA54,[' 4386+'],[' 4387'],"[' 53999.770s (Solving', ' 53929.51s 1st Model', ' 51634.36s Unsat', ' 0.00s)']",[' 53938.281s'], ,[' 5982450394'],"[' 2400786  (Analyzed', ' 2400786)']","[' 7025     (Average', ' 341.75 Last', ' 9044)']",[' 16855.3 '],"[' 4387     (Average Length', ' 1.00 Splits', ' 0)']","[' 24763731 (Deleted', ' 24438094)']","[' 2860     (Ratio', '   0.01%)']","[' 278710   (Ratio', '   1.13%)']","[' 2400786  (Average Length', '   68.2 Ratio', '   9.69%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22362945 (Average Length', '   39.9 Ratio', '  90.31%) ']","[' 2400786  (Average', ' 35.89 Max', ' 15795 Sum', ' 86158189)']","[' 2400786  (Average', ' 35.89 Max', ' 15795 Sum', ' 86158189 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103792  '],[' 19125   '],[' 103042  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23511    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3099'],[' 8.90334'],[' 0'], ,[' 11873.4'],[' 0'],[' 697.312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21788e+10'],[' 6.88352e+10'],[' 0'],[' 3.25187e+11'],[' 0'],[' 0']
UNKNOWN,TA55,[' 4007+'],[' 4008'],"[' 53999.799s (Solving', ' 53943.60s 1st Model', ' 53445.97s Unsat', ' 0.00s)']",[' 53942.703s'], ,[' 5954603822'],"[' 2489513  (Analyzed', ' 2489513)']","[' 7167     (Average', ' 347.36 Last', ' 10324)']",[' 16817.3 '],"[' 4008     (Average Length', ' 1.00 Splits', ' 0)']","[' 25571024 (Deleted', ' 25238095)']","[' 3013     (Ratio', '   0.01%)']","[' 274841   (Ratio', '   1.07%)']","[' 2489513  (Average Length', '   68.0 Ratio', '   9.74%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23081511 (Average Length', '   40.3 Ratio', '  90.26%) ']","[' 2489513  (Average', ' 34.38 Max', ' 17913 Sum', ' 85587594)']","[' 2489513  (Average', ' 34.38 Max', ' 17913 Sum', ' 85587594 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103413  '],[' 19125   '],[' 102663  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23132    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3132'],[' 7.42823'],[' 0'], ,[' 11859'],[' 0'],[' 699.707'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.13369e+10'],[' 6.79074e+10'],[' 0'],[' 3.25467e+11'],[' 0'],[' 0']
UNKNOWN,TA56,[' 4505+'],[' 4506'],"[' 53999.755s (Solving', ' 53923.08s 1st Model', ' 52794.89s Unsat', ' 0.00s)']",[' 53907.125s'], ,[' 5687036425'],"[' 2324221  (Analyzed', ' 2324221)']","[' 6759     (Average', ' 343.87 Last', ' 10527)']",[' 16598.2 '],"[' 4506     (Average Length', ' 1.00 Splits', ' 0)']","[' 23539023 (Deleted', ' 23212170)']","[' 2873     (Ratio', '   0.01%)']","[' 273512   (Ratio', '   1.16%)']","[' 2324221  (Average Length', '   66.5 Ratio', '   9.87%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21214802 (Average Length', '   39.0 Ratio', '  90.13%) ']","[' 2324221  (Average', ' 35.66 Max', ' 18180 Sum', ' 82889903)']","[' 2324221  (Average', ' 35.66 Max', ' 18180 Sum', ' 82889903 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103911  '],[' 19125   '],[' 103161  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23630    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3154'],[' 9.62615'],[' 0'], ,[' 12155.9'],[' 0'],[' 701.977'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.81227e+10'],[' 6.50234e+10'],[' 0'],[' 3.10496e+11'],[' 0'],[' 0']
UNKNOWN,TA57,[' 4495+'],[' 4496'],"[' 53999.819s (Solving', ' 53937.69s 1st Model', ' 52305.01s Unsat', ' 0.00s)']",[' 53966.578s'], ,[' 6278173012'],"[' 2727665  (Analyzed', ' 2727665)']","[' 7489     (Average', ' 364.22 Last', ' 29489)']",[' 16810.4 '],"[' 4496     (Average Length', ' 1.00 Splits', ' 0)']","[' 26570127 (Deleted', ' 26228237)']","[' 3164     (Ratio', '   0.01%)']","[' 286265   (Ratio', '   1.08%)']","[' 2727665  (Average Length', '   65.7 Ratio', '  10.27%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23842462 (Average Length', '   39.9 Ratio', '  89.73%) ']","[' 2727665  (Average', ' 32.75 Max', ' 17794 Sum', ' 89318661)']","[' 2727665  (Average', ' 32.75 Max', ' 17794 Sum', ' 89318661 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103901  '],[' 19125   '],[' 103151  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23620    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3310'],[' 8.3066'],[' 0'], ,[' 11633.5'],[' 0'],[' 680.169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.47937e+10'],[' 7.1343e+10'],[' 0'],[' 3.50494e+11'],[' 0'],[' 0']
UNKNOWN,TA58,[' 4464+'],[' 4465'],"[' 53999.795s (Solving', ' 53937.40s 1st Model', ' 51171.72s Unsat', ' 0.00s)']",[' 53974.109s'], ,[' 6333844665'],"[' 2676309  (Analyzed', ' 2676309)']","[' 7513     (Average', ' 356.22 Last', ' 12126)']",[' 16910.0 '],"[' 4465     (Average Length', ' 1.00 Splits', ' 0)']","[' 26727293 (Deleted', ' 26407559)']","[' 2981     (Ratio', '   0.01%)']","[' 280067   (Ratio', '   1.05%)']","[' 2676309  (Average Length', '   68.8 Ratio', '  10.01%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24050984 (Average Length', '   40.4 Ratio', '  89.99%) ']","[' 2676309  (Average', ' 34.10 Max', ' 15858 Sum', ' 91274169)']","[' 2676309  (Average', ' 34.10 Max', ' 15858 Sum', ' 91274169 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103870  '],[' 19125   '],[' 103120  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23589    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3282'],[' 8.2706'],[' 0'], ,[' 11757.1'],[' 0'],[' 691.01'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.59896e+10'],[' 7.23967e+10'],[' 0'],[' 3.55437e+11'],[' 0'],[' 0']
UNKNOWN,TA59,[' 4358+'],[' 4359'],"[' 53999.743s (Solving', ' 53938.73s 1st Model', ' 53445.97s Unsat', ' 0.00s)']",[' 53991.344s'], ,[' 6343076811'],"[' 2698248  (Analyzed', ' 2698248)']","[' 7779     (Average', ' 346.86 Last', ' 10560)']",[' 16721.5 '],"[' 4359     (Average Length', ' 1.00 Splits', ' 0)']","[' 27238550 (Deleted', ' 26905516)']","[' 2934     (Ratio', '   0.01%)']","[' 277318   (Ratio', '   1.02%)']","[' 2698248  (Average Length', '   65.9 Ratio', '   9.91%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24540302 (Average Length', '   39.6 Ratio', '  90.09%) ']","[' 2698248  (Average', ' 33.87 Max', ' 16297 Sum', ' 91385443)']","[' 2698248  (Average', ' 33.87 Max', ' 16297 Sum', ' 91385443 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103764  '],[' 19125   '],[' 103014  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 23483    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3091'],[' 7.8678'],[' 0'], ,[' 11559.2'],[' 0'],[' 681.457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78692e+10'],[' 7.42684e+10'],[' 0'],[' 3.56928e+11'],[' 0'],[' 0']
UNKNOWN,TA60,[' 5095+'],[' 5096'],"[' 53999.808s (Solving', ' 53926.03s 1st Model', ' 51130.85s Unsat', ' 0.00s)']",[' 53990.938s'], ,[' 6358201305'],"[' 2627915  (Analyzed', ' 2627915)']","[' 7427     (Average', ' 353.83 Last', ' 13017)']",[' 16658.0 '],"[' 5096     (Average Length', ' 1.00 Splits', ' 0)']","[' 27243251 (Deleted', ' 26927821)']","[' 2813     (Ratio', '   0.01%)']","[' 268323   (Ratio', '   0.98%)']","[' 2627915  (Average Length', '   68.7 Ratio', '   9.65%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24615336 (Average Length', '   39.8 Ratio', '  90.35%) ']","[' 2627915  (Average', ' 35.74 Max', ' 17751 Sum', ' 93912870)']","[' 2627915  (Average', ' 35.74 Max', ' 17751 Sum', ' 93912870 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104501  '],[' 19125   '],[' 103751  '],[' 94776   '],"[' 247574   (Atom=Atom', ' 58024 Body=Body', ' 58025 Other', ' 131525)']",[' Yes'],"[' 24220    (Eliminated', '    0 Frozen', ' 19125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3107'],[' 9.18428'],[' 0'], ,[' 11814.5'],[' 0'],[' 682.59'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.84039e+10'],[' 7.46623e+10'],[' 0'],[' 3.7881e+11'],[' 0'],[' 0']
