Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules,Choice,Atoms,Bodies,Equivalences,Tight,Variables,Constraints,,DifferenceLogic,Optimization,Time init(s),Mutexes,[Thread 0],Propagation(s),Dijkstra(s),Undo(s),True edges,False edges,False edges (inverse),False edges (partial),False edges (partial+),Edges added,Edges skipped,Edges propagated,Cost consistency,Cost forward,Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv11,[' 574+'],[' 575'],"[' 1799.042s (Solving', ' 1795.07s 1st Model', ' 1450.83s Unsat', ' 0.00s)']",[' 1798.094s'], ,[' 753352049'],"[' 1324186  (Analyzed', ' 1324186)']","[' 2587     (Average', ' 511.86 Last', ' 24935)']",[' 11948.2 '],"[' 575      (Average Length', ' 1.00 Splits', ' 0)']","[' 1324186  (Deleted', ' 1188656)']","[' 411      (Ratio', '   0.03%)']","[' 130670   (Ratio', '   9.87%)']","[' 1324186  (Average Length', '   60.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1324186  (Average', ' 563.52 Max', ' 12122 Sum', ' 746206529)']","[' 1324186  (Average', ' 563.52 Max', ' 12122 Sum', ' 746206529 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 66845   '],[' 12750   '],[' 66345   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 13324    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4499'],[' 0.723235'],[' 0'], ,[' 421.561'],[' 0'],[' 48.2701'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62762e+09'],[' 3.45612e+09'],[' 0'],[' 8.45157e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv12,[' 678+'],[' 679'],"[' 1798.714s (Solving', ' 1793.75s 1st Model', ' 1217.04s Unsat', ' 0.00s)']",[' 1780.844s'], ,[' 712406932'],"[' 1013689  (Analyzed', ' 1013689)']","[' 2790     (Average', ' 363.33 Last', ' 5411)']",[' 11457.7 '],"[' 679      (Average Length', ' 1.00 Splits', ' 0)']","[' 1013689  (Deleted', ' 896308)']","[' 297      (Ratio', '   0.03%)']","[' 113594   (Ratio', '  11.21%)']","[' 1013689  (Average Length', '   62.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1013689  (Average', ' 694.81 Max', ' 12145 Sum', ' 704318624)']","[' 1013689  (Average', ' 694.81 Max', ' 12145 Sum', ' 704318624 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 66949   '],[' 12750   '],[' 66449   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 13428    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4620'],[' 0.862079'],[' 0'], ,[' 429.25'],[' 0'],[' 51.3076'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90873e+09'],[' 2.77735e+09'],[' 0'],[' 6.38979e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv13,[' 834+'],[' 835'],"[' 1798.226s (Solving', ' 1792.55s 1st Model', ' 1618.74s Unsat', ' 0.00s)']",[' 1797.219s'], ,[' 814293878'],"[' 1424406  (Analyzed', ' 1424406)']","[' 3914     (Average', ' 363.93 Last', ' 5621)']",[' 10297.5 '],"[' 835      (Average Length', ' 1.00 Splits', ' 0)']","[' 1424406  (Deleted', ' 1284695)']","[' 490      (Ratio', '   0.03%)']","[' 133425   (Ratio', '   9.37%)']","[' 1424406  (Average Length', '   63.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1424406  (Average', ' 565.33 Max', ' 12184 Sum', ' 805254246)']","[' 1424406  (Average', ' 565.33 Max', ' 12184 Sum', ' 805254246 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 67105   '],[' 12750   '],[' 66605   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 13584    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4627'],[' 1.02991'],[' 0'], ,[' 421.451'],[' 0'],[' 48.3298'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.78885e+09'],[' 3.60048e+09'],[' 0'],[' 9.70347e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv14,[' 841+'],[' 842'],"[' 1798.499s (Solving', ' 1792.49s 1st Model', ' 1656.22s Unsat', ' 0.00s)']",[' 1797.422s'], ,[' 806856941'],"[' 1276840  (Analyzed', ' 1276840)']","[' 3642     (Average', ' 350.59 Last', ' 9774)']",[' 10923.6 '],"[' 842      (Average Length', ' 1.00 Splits', ' 0)']","[' 1276840  (Deleted', ' 1145336)']","[' 330      (Ratio', '   0.03%)']","[' 128041   (Ratio', '  10.03%)']","[' 1276840  (Average Length', '   64.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1276840  (Average', ' 624.39 Max', ' 12142 Sum', ' 797242338)']","[' 1276840  (Average', ' 624.39 Max', ' 12142 Sum', ' 797242338 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 67112   '],[' 12750   '],[' 66612   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 13591    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4487'],[' 1.03533'],[' 0'], ,[' 416.035'],[' 0'],[' 48.2575'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68491e+09'],[' 3.51533e+09'],[' 0'],[' 8.70805e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv15,[' 735+'],[' 736'],"[' 1798.776s (Solving', ' 1793.83s 1st Model', ' 1666.78s Unsat', ' 0.00s)']",[' 1797.266s'], ,[' 835790318'],"[' 1304920  (Analyzed', ' 1304920)']","[' 3657     (Average', ' 356.83 Last', ' 4274)']",[' 10819.8 '],"[' 736      (Average Length', ' 1.00 Splits', ' 0)']","[' 1304920  (Deleted', ' 1170446)']","[' 381      (Ratio', '   0.03%)']","[' 129452   (Ratio', '   9.92%)']","[' 1304920  (Average Length', '   64.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1304920  (Average', ' 634.07 Max', ' 12148 Sum', ' 827411302)']","[' 1304920  (Average', ' 634.07 Max', ' 12148 Sum', ' 827411302 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 67006   '],[' 12750   '],[' 66506   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 13485    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4553'],[' 0.891125'],[' 0'], ,[' 417.858'],[' 0'],[' 49.6365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.70614e+09'],[' 3.53453e+09'],[' 0'],[' 8.68407e+09'],[' 0'],[' 0']
